"Status","Year","Region_ITL1","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Operational Delivery","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Operational Delivery","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Government Internal Audit Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Internal Audit Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Operational Delivery","130","110","40740","31660"
"In post","2021","East Midlands (England)","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Science and Engineering","220","200","43090","40020"
"In post","2021","East Midlands (England)","Health and Safety Executive","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Legal","70","60","41650","43170"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Operational Delivery","1260","1120","20870","19830"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Human Resources","70","60","36150","33840"
"In post","2021","East Midlands (England)","HM Land Registry","Legal","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Operational Delivery","690","630","28260","27130"
"In post","2021","East Midlands (England)","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Commercial","50","50","46280","47640"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Intelligence Analysis","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Operational Delivery","4690","4410","28450","26630"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Psychology","180","170","34580","30450"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Finance","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Human Resources","180","170","39370","35000"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Legal","190","180","31100","31810"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Operational Delivery","1370","1240","27300","25560"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Project Delivery","90","90","45060","38640"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Property","90","90","44350","38630"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Tax","1380","1310","32930","31810"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Unknown","320","310","31930","31810"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Operational Delivery","170","160","27270","25410"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Operational Delivery","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Institute for Apprenticeships and Technical Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Operational Delivery","150","140","21840","19770"
"In post","2021","East Midlands (England)","Legal Aid Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Maritime and Coastguard Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Finance","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Medicine","180","160","41560","37890"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Operational Delivery","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Other","680","660","22500","20920"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Project Delivery","120","120","31460","29200"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Property","170","160","24500","18800"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Science and Engineering","60","60","24850","22500"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Security","120","120","27230","22560"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Unknown","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Human Resources","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Operational Delivery","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Operational Delivery","110","110","37760","36410"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","70","70","64380","64500"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Operational Delivery","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Other","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Operational Delivery","410","370","21070","19830"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Operational Delivery","80","80","33520","28590"
"In post","2021","East Midlands (England)","Public Health England","Science and Engineering","70","60","45820","39010"
"In post","2021","East Midlands (England)","Rural Payments Agency","Operational Delivery","70","70","25890","25190"
"In post","2021","East Midlands (England)","Rural Payments Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Standards and Testing Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Standards and Testing Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Submarine Delivery Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Submarine Delivery Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Submarine Delivery Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Teaching Regulation Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Valuation Office Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Valuation Office Agency","Operational Delivery","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Valuation Office Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Valuation Office Agency","Property","120","110","35130","31600"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","Science and Engineering","40","40","[c]","[c]"
"In post","2021","East of England","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Advisory, Conciliation and Arbitration Service","Operational Delivery","40","30","[c]","[c]"
"In post","2021","East of England","Animal and Plant Health Agency","Operational Delivery","120","110","29530","28910"
"In post","2021","East of England","Animal and Plant Health Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Animal and Plant Health Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office (excl. agencies)","Unknown","120","110","46980","38500"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","50","50","[c]","[c]"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","350","330","34260","30220"
"In post","2021","East of England","Crown Commercial Service","Commercial","90","80","34770","34800"
"In post","2021","East of England","Crown Commercial Service","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","East of England","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Commercial Service","Operational Delivery","[c]","[c]","[c]","[c]"
