"Status","Year","Parent_department","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Mixed","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Unknown","100","90","46660","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","White","660","640","49730","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Asian","60","60","47270","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Mixed","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Unknown","90","90","48370","44530"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","White","560","560","51320","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Asian","410","390","39370","36570"
"In post","2021","Department for Education","Female","Black","200","200","39630","36500"
"In post","2021","Department for Education","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Mixed","120","120","42700","40780"
"In post","2021","Department for Education","Female","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Department for Education","Female","Undeclared","120","110","44460","40940"
"In post","2021","Department for Education","Female","Unknown","520","490","42750","38400"
"In post","2021","Department for Education","Female","White","3220","3030","43820","40230"
"In post","2021","Department for Education","Male","Asian","300","300","40130","36780"
"In post","2021","Department for Education","Male","Black","90","90","40400","37100"
"In post","2021","Department for Education","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Male","Mixed","70","70","41310","38330"
"In post","2021","Department for Education","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Male","Undeclared","170","170","43860","40300"
"In post","2021","Department for Education","Male","Unknown","390","390","42650","37280"
"In post","2021","Department for Education","Male","White","2220","2200","46140","42420"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Asian","200","190","35160","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Black","130","130","34650","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Mixed","110","100","36730","32620"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Undeclared","180","170","35360","31900"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Unknown","1040","960","33990","29720"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","White","4490","4120","35010","30760"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Asian","150","150","37270","33510"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Black","80","80","36200","32640"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Mixed","80","80","39670","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Undeclared","270","270","35830","31640"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Unknown","850","830","34430","29690"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","White","3390","3330","38290","35620"
"In post","2021","Department for International Trade","Female","Asian","100","100","41680","38160"
"In post","2021","Department for International Trade","Female","Black","80","80","37270","32230"
"In post","2021","Department for International Trade","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","Mixed","50","50","44740","39680"
"In post","2021","Department for International Trade","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Female","Unknown","370","370","42470","38540"
"In post","2021","Department for International Trade","Female","White","610","590","47450","51710"
"In post","2021","Department for International Trade","Male","Asian","110","110","43610","38540"
"In post","2021","Department for International Trade","Male","Black","50","50","[c]","[c]"
"In post","2021","Department for International Trade","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Mixed","50","50","[c]","[c]"
"In post","2021","Department for International Trade","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Male","Unknown","410","410","46380","39110"
"In post","2021","Department for International Trade","Male","White","740","740","48050","44030"
"In post","2021","Department for Transport","Female","Asian","220","210","38720","35060"
"In post","2021","Department for Transport","Female","Black","130","130","38010","35430"
"In post","2021","Department for Transport","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","Mixed","110","100","33020","30720"
"In post","2021","Department for Transport","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","Undeclared","300","280","30970","26780"
"In post","2021","Department for Transport","Female","Unknown","1020","940","30330","26350"
"In post","2021","Department for Transport","Female","White","5450","4700","29630","26130"
"In post","2021","Department for Transport","Male","Asian","300","300","41130","35060"
"In post","2021","Department for Transport","Male","Black","120","110","35950","33390"
"In post","2021","Department for Transport","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Male","Mixed","100","100","36490","33730"
"In post","2021","Department for Transport","Male","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Department for Transport","Male","Undeclared","750","730","34170","30580"
"In post","2021","Department for Transport","Male","Unknown","1280","1250","33420","27680"
"In post","2021","Department for Transport","Male","White","6090","5860","35150","30350"
"In post","2021","Department for Work and Pensions","Female","Asian","4420","3780","27730","27570"
"In post","2021","Department for Work and Pensions","Female","Black","2720","2520","29080","30330"
"In post","2021","Department for Work and Pensions","Female","Chinese","100","90","27190","27570"
"In post","2021","Department for Work and Pensions","Female","Mixed","1060","970","27930","27570"
"In post","2021","Department for Work and Pensions","Female","Other ethnicity","280","250","28990","28210"
"In post","2021","Department for Work and Pensions","Female","Undeclared","2510","2100","27310","27570"
"In post","2021","Department for Work and Pensions","Female","Unknown","3720","3280","27540","27570"
"In post","2021","Department for Work and Pensions","Female","White","46040","39470","27330","27570"
"In post","2021","Department for Work and Pensions","Male","Asian","2980","2890","28180","27570"
"In post","2021","Department for Work and Pensions","Male","Black","1170","1150","29530","29290"
"In post","2021","Department for Work and Pensions","Male","Chinese","60","60","31100","27570"
"In post","2021","Department for Work and Pensions","Male","Mixed","580","560","29180","27570"
"In post","2021","Department for Work and Pensions","Male","Other ethnicity","200","190","31630","27570"
"In post","2021","Department for Work and Pensions","Male","Undeclared","2030","1910","29500","27570"
"In post","2021","Department for Work and Pensions","Male","Unknown","2570","2500","30230","27570"
"In post","2021","Department for Work and Pensions","Male","White","23100","22100","29170","27570"
"In post","2021","Department of Health and Social Care","Female","Asian","770","710","41160","32980"
"In post","2021","Department of Health and Social Care","Female","Black","500","470","38000","32790"
"In post","2021","Department of Health and Social Care","Female","Chinese","60","60","47360","41460"
"In post","2021","Department of Health and Social Care","Female","Mixed","230","210","39720","33640"
"In post","2021","Department of Health and Social Care","Female","Other ethnicity","80","70","49930","41030"
"In post","2021","Department of Health and Social Care","Female","Undeclared","380","330","42800","38930"
"In post","2021","Department of Health and Social Care","Female","Unknown","1170","1130","44380","40650"
"In post","2021","Department of Health and Social Care","Female","White","4510","4100","44140","39400"
"In post","2021","Department of Health and Social Care","Male","Asian","390","380","44280","38930"
"In post","2021","Department of Health and Social Care","Male","Black","180","170","44090","35980"
"In post","2021","Department of Health and Social Care","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Male","Mixed","100","100","44510","40470"
"In post","2021","Department of Health and Social Care","Male","Other ethnicity","50","50","53760","51810"
"In post","2021","Department of Health and Social Care","Male","Undeclared","200","190","52040","48220"
"In post","2021","Department of Health and Social Care","Male","Unknown","820","810","47640","40650"
"In post","2021","Department of Health and Social Care","Male","White","2310","2220","49900","44950"
"In post","2021","ESTYN","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","White","60","60","53430","62360"
"In post","2021","ESTYN","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","White","50","40","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Unknown","30","30","[c]","[c]"
"In post","2021","Food Standards Agency","Female","White","410","400","39370","37910"
"In post","2021","Food Standards Agency","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Male","Unknown","30","30","[c]","[c]"
"In post","2021","Food Standards Agency","Male","White","660","640","35640","30810"
"In post","2021","Foreign, Commonwealth and Development Office","Female","Asian","260","250","40810","36360"
"In post","2021","Foreign, Commonwealth and Development Office","Female","Black","180","180","37730","34260"
"In post","2021","Foreign, Commonwealth and Development Office","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Female","Mixed","150","150","44140","38600"
"In post","2021","Foreign, Commonwealth and Development Office","Female","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Female","Undeclared","110","110","44320","39230"
"In post","2021","Foreign, Commonwealth and Development Office","Female","Unknown","620","610","46710","43910"
"In post","2021","Foreign, Commonwealth and Development Office","Female","White","2830","2720","47390","42890"
"In post","2021","Foreign, Commonwealth and Development Office","Male","Asian","210","210","45050","38680"
"In post","2021","Foreign, Commonwealth and Development Office","Male","Black","80","80","40030","36020"
"In post","2021","Foreign, Commonwealth and Development Office","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Male","Mixed","120","120","47050","44230"
"In post","2021","Foreign, Commonwealth and Development Office","Male","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Male","Undeclared","230","220","49460","44710"
"In post","2021","Foreign, Commonwealth and Development Office","Male","Unknown","580","570","47770","49370"
"In post","2021","Foreign, Commonwealth and Development Office","Male","White","3130","3090","49320","45590"
"In post","2021","HM Land Registry","Female","Asian","110","100","30340","27130"
"In post","2021","HM Land Registry","Female","Black","40","40","[c]","[c]"
"In post","2021","HM Land Registry","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Female","Mixed","50","40","[c]","[c]"
"In post","2021","HM Land Registry","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Female","Undeclared","110","100","31840","27130"
"In post","2021","HM Land Registry","Female","Unknown","580","540","27040","22350"
"In post","2021","HM Land Registry","Female","White","2900","2520","30700","27130"
"In post","2021","HM Land Registry","Male","Asian","90","90","31440","27130"
"In post","2021","HM Land Registry","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Male","Undeclared","140","120","34780","33840"
"In post","2021","HM Land Registry","Male","Unknown","460","450","29220","22350"
"In post","2021","HM Land Registry","Male","White","1790","1690","33230","31740"
"In post","2021","HM Revenue and Customs","Female","Asian","2080","1870","30580","28130"
"In post","2021","HM Revenue and Customs","Female","Black","890","840","31930","30430"
"In post","2021","HM Revenue and Customs","Female","Chinese","100","90","35840","29570"
"In post","2021","HM Revenue and Customs","Female","Mixed","400","370","32060","29450"
"In post","2021","HM Revenue and Customs","Female","Other ethnicity","120","110","33910","29780"
"In post","2021","HM Revenue and Customs","Female","Undeclared","1040","910","31780","28130"
"In post","2021","HM Revenue and Customs","Female","Unknown","7870","7020","26790","21440"
"In post","2021","HM Revenue and Customs","Female","White","22560","19700","31100","27230"
"In post","2021","HM Revenue and Customs","Male","Asian","2310","2230","31270","29570"
"In post","2021","HM Revenue and Customs","Male","Black","570","560","32390","30470"
"In post","2021","HM Revenue and Customs","Male","Chinese","80","80","32320","29570"
"In post","2021","HM Revenue and Customs","Male","Mixed","360","340","35800","31810"
"In post","2021","HM Revenue and Customs","Male","Other ethnicity","110","100","35950","31810"
"In post","2021","HM Revenue and Customs","Male","Undeclared","1610","1520","35580","31810"
"In post","2021","HM Revenue and Customs","Male","Unknown","8020","7750","28940","25560"
"In post","2021","HM Revenue and Customs","Male","White","18380","17590","33990","31810"
"In post","2021","HM Treasury","Female","Asian","150","150","44290","40680"
"In post","2021","HM Treasury","Female","Black","60","60","37940","32960"
"In post","2021","HM Treasury","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Female","Mixed","60","60","43640","38360"
"In post","2021","HM Treasury","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Female","Undeclared","40","40","[c]","[c]"
"In post","2021","HM Treasury","Female","Unknown","40","40","[c]","[c]"
"In post","2021","HM Treasury","Female","White","910","860","47210","43520"
"In post","2021","HM Treasury","Male","Asian","130","130","45690","39410"
"In post","2021","HM Treasury","Male","Black","40","40","[c]","[c]"
"In post","2021","HM Treasury","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Male","Mixed","50","50","49920","52530"
"In post","2021","HM Treasury","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Male","Undeclared","80","80","47690","43870"
"In post","2021","HM Treasury","Male","Unknown","70","70","48580","52500"
"In post","2021","HM Treasury","Male","White","1000","990","51510","52500"
"In post","2021","Home Office","Female","Asian","2600","2340","31130","28850"
"In post","2021","Home Office","Female","Black","1220","1130","32360","29080"
"In post","2021","Home Office","Female","Chinese","90","80","32130","29080"
"In post","2021","Home Office","Female","Mixed","430","390","33510","28850"
"In post","2021","Home Office","Female","Other ethnicity","110","100","32580","28920"
"In post","2021","Home Office","Female","Undeclared","850","760","32250","28650"
"In post","2021","Home Office","Female","Unknown","800","770","31650","27240"
"In post","2021","Home Office","Female","White","12220","10970","31150","25630"
"In post","2021","Home Office","Male","Asian","1890","1820","31490","28810"
"In post","2021","Home Office","Male","Black","670","650","32890","29080"
"In post","2021","Home Office","Male","Chinese","60","60","31320","28670"
"In post","2021","Home Office","Male","Mixed","300","280","33020","29010"
"In post","2021","Home Office","Male","Other ethnicity","100","100","31530","28650"
"In post","2021","Home Office","Male","Undeclared","1270","1210","33620","29360"
"In post","2021","Home Office","Male","Unknown","920","910","32080","25630"
"In post","2021","Home Office","Male","White","11850","11320","32740","27370"
"In post","2021","Ministry of Defence","Female","Asian","560","530","33590","30420"
"In post","2021","Ministry of Defence","Female","Black","380","380","32430","30750"
"In post","2021","Ministry of Defence","Female","Chinese","40","40","[c]","[c]"
"In post","2021","Ministry of Defence","Female","Mixed","280","270","33820","30750"
"In post","2021","Ministry of Defence","Female","Other ethnicity","100","90","30590","26670"
"In post","2021","Ministry of Defence","Female","Undeclared","900","860","33780","33250"
"In post","2021","Ministry of Defence","Female","Unknown","1690","1600","33670","30890"
"In post","2021","Ministry of Defence","Female","White","18860","17750","31970","28500"
"In post","2021","Ministry of Defence","Male","Asian","780","770","34870","33020"
"In post","2021","Ministry of Defence","Male","Black","370","370","33080","32050"
"In post","2021","Ministry of Defence","Male","Chinese","40","40","[c]","[c]"
"In post","2021","Ministry of Defence","Male","Mixed","330","320","35760","33300"
"In post","2021","Ministry of Defence","Male","Other ethnicity","120","120","37450","35340"
"In post","2021","Ministry of Defence","Male","Undeclared","2450","2410","37340","36900"
"In post","2021","Ministry of Defence","Male","Unknown","4380","4340","35090","32700"
"In post","2021","Ministry of Defence","Male","White","26410","25930","35160","33300"
"In post","2021","Ministry of Housing, Communities and Local Government","Female","Asian","130","130","40730","36340"
"In post","2021","Ministry of Housing, Communities and Local Government","Female","Black","100","90","41010","39600"
"In post","2021","Ministry of Housing, Communities and Local Government","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Female","Mixed","50","50","41100","38880"
"In post","2021","Ministry of Housing, Communities and Local Government","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Female","Undeclared","40","40","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Female","Unknown","140","130","43620","39600"
"In post","2021","Ministry of Housing, Communities and Local Government","Female","White","1200","1130","44900","40750"
"In post","2021","Ministry of Housing, Communities and Local Government","Male","Asian","90","90","41450","36340"
"In post","2021","Ministry of Housing, Communities and Local Government","Male","Black","60","60","40030","34920"
"In post","2021","Ministry of Housing, Communities and Local Government","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Male","Mixed","40","30","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Male","Undeclared","70","70","44750","46120"
"In post","2021","Ministry of Housing, Communities and Local Government","Male","Unknown","170","160","44460","41880"
"In post","2021","Ministry of Housing, Communities and Local Government","Male","White","1260","1230","47570","47660"
"In post","2021","Ministry of Justice","Female","Asian","2250","2030","27810","23500"
"In post","2021","Ministry of Justice","Female","Black","2210","2110","29410","26630"
"In post","2021","Ministry of Justice","Female","Chinese","80","80","31660","27360"
"In post","2021","Ministry of Justice","Female","Mixed","950","880","30570","26850"
"In post","2021","Ministry of Justice","Female","Other ethnicity","230","210","30180","26550"
"In post","2021","Ministry of Justice","Female","Undeclared","980","900","28420","25100"
"In post","2021","Ministry of Justice","Female","Unknown","4920","4620","27020","23970"
"In post","2021","Ministry of Justice","Female","White","31830","29010","28890","25450"
"In post","2021","Ministry of Justice","Male","Asian","1700","1630","29530","26410"
"In post","2021","Ministry of Justice","Male","Black","1390","1370","30910","30260"
"In post","2021","Ministry of Justice","Male","Chinese","60","60","30080","26410"
"In post","2021","Ministry of Justice","Male","Mixed","640","620","31730","30210"
"In post","2021","Ministry of Justice","Male","Other ethnicity","180","180","31330","31650"
