"Status","Year","Parent_department","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Charity Commission","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","EO","70","70","28600","28160"
"In post","2021","Competition and Markets Authority","London","G6/G7","390","380","66620","64220"
"In post","2021","Competition and Markets Authority","London","SCS","110","100","109740","101590"
"In post","2021","Competition and Markets Authority","London","SEO/HEO","190","180","37880","35660"
"In post","2021","Competition and Markets Authority","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","AA/AO","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","EO","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","SEO/HEO","120","110","35290","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","East of England","AA/AO","50","50","20980","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East of England","SEO/HEO","120","110","37020","36730"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","AA/AO","150","140","25280","25060"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","EO","420","410","28720","27690"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","G6/G7","2360","2300","59000","56990"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SCS","330","320","83830","75880"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","2360","2320","38240","39080"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","EO","70","70","24680","24250"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","SEO/HEO","100","100","34610","33250"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","AA/AO","90","90","20760","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","EO","100","90","24770","24250"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","G6/G7","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","SEO/HEO","230","220","36690","35070"
"In post","2021","Department for Business, Energy and Industrial Strategy","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Scotland","AA/AO","80","80","21320","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Scotland","EO","90","80","25070","24500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Scotland","SEO/HEO","200","190","42070","36730"
"In post","2021","Department for Business, Energy and Industrial Strategy","South East (England)","AA/AO","60","50","21560","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","South East (England)","SEO/HEO","140","140","37500","37420"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West (England)","AA/AO","150","150","21830","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West (England)","EO","210","200","26020","25780"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West (England)","G6/G7","590","570","52660","49270"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West (England)","SEO/HEO","1100","1050","37190","38200"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Wales","AA/AO","630","560","21370","21140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Wales","EO","810","770","26300","25100"
"In post","2021","Department for Business, Energy and Industrial Strategy","Wales","G6/G7","430","400","59240","59360"
"In post","2021","Department for Business, Energy and Industrial Strategy","Wales","SCS","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Wales","SEO/HEO","880","840","38210","39210"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Midlands (England)","AA/AO","170","160","20570","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Midlands (England)","EO","110","110","25340","24570"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Midlands (England)","G6/G7","80","80","55350","52930"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Midlands (England)","SEO/HEO","300","290","36650","36730"
"In post","2021","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","AA/AO","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","EO","40","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","SEO/HEO","110","100","36170","34500"
"In post","2021","Department for Digital, Culture, Media and Sport","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","EO","170","170","27490","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","London","G6/G7","780","770","58780","57300"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SCS","120","110","86940","77180"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SEO/HEO","630","630","37120","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","East Midlands (England)","EO","40","40","[c]","[c]"
"In post","2021","Department for Education","East Midlands (England)","G6/G7","100","100","54100","50630"
"In post","2021","Department for Education","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","East Midlands (England)","SEO/HEO","150","140","35260","36500"
"In post","2021","Department for Education","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","East of England","G6/G7","30","30","[c]","[c]"
"In post","2021","Department for Education","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","London","AA/AO","30","30","[c]","[c]"
"In post","2021","Department for Education","London","EO","280","270","29250","28500"
"In post","2021","Department for Education","London","G6/G7","1190","1140","59250","55800"
"In post","2021","Department for Education","London","SCS","200","190","84400","75290"
"In post","2021","Department for Education","London","SEO/HEO","940","910","38780","40230"
"In post","2021","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","North East (England)","EO","120","110","25770","26000"
"In post","2021","Department for Education","North East (England)","G6/G7","200","200","53710","50630"
"In post","2021","Department for Education","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","North East (England)","SEO/HEO","430","410","34520","36500"
"In post","2021","Department for Education","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","North West (England)","EO","160","160","25540","25000"
"In post","2021","Department for Education","North West (England)","G6/G7","370","360","54510","50630"
"In post","2021","Department for Education","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","North West (England)","SEO/HEO","570","560","34500","36500"
"In post","2021","Department for Education","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","South West (England)","G6/G7","80","80","55940","51140"
"In post","2021","Department for Education","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","South West (England)","SEO/HEO","120","110","35060","36500"
"In post","2021","Department for Education","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","West Midlands (England)","EO","170","170","25430","25000"
"In post","2021","Department for Education","West Midlands (England)","G6/G7","420","410","54660","50630"
"In post","2021","Department for Education","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","West Midlands (England)","SEO/HEO","640","620","34490","36500"
"In post","2021","Department for Education","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Yorkshire and The Humber","EO","170","170","25610","25000"
"In post","2021","Department for Education","Yorkshire and The Humber","G6/G7","480","460","54530","50630"
"In post","2021","Department for Education","Yorkshire and The Humber","SCS","30","30","[c]","[c]"
"In post","2021","Department for Education","Yorkshire and The Humber","SEO/HEO","790","760","34570","36500"
"In post","2021","Department for Environment, Food and Rural Affairs","East Midlands (England)","AA/AO","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","East Midlands (England)","EO","60","60","25460","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","East Midlands (England)","G6/G7","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","East Midlands (England)","SEO/HEO","90","80","33800","32160"
"In post","2021","Department for Environment, Food and Rural Affairs","East of England","AA/AO","80","70","20790","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","East of England","EO","190","180","25510","25010"
"In post","2021","Department for Environment, Food and Rural Affairs","East of England","G6/G7","150","140","51870","48370"
"In post","2021","Department for Environment, Food and Rural Affairs","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","East of England","SEO/HEO","420","390","33490","32140"
"In post","2021","Department for Environment, Food and Rural Affairs","London","AA/AO","90","80","24440","24370"
"In post","2021","Department for Environment, Food and Rural Affairs","London","EO","300","290","28690","28270"
"In post","2021","Department for Environment, Food and Rural Affairs","London","G6/G7","880","850","57270","54650"
"In post","2021","Department for Environment, Food and Rural Affairs","London","SCS","150","140","84250","77240"
"In post","2021","Department for Environment, Food and Rural Affairs","London","SEO/HEO","1180","1150","36430","35610"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","North East (England)","AA/AO","150","140","21080","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","North East (England)","EO","110","100","25430","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","North East (England)","G6/G7","90","80","52310","49360"
"In post","2021","Department for Environment, Food and Rural Affairs","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","North East (England)","SEO/HEO","200","190","33930","33440"
"In post","2021","Department for Environment, Food and Rural Affairs","North West (England)","AA/AO","620","550","21000","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","North West (England)","EO","320","290","25460","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","North West (England)","G6/G7","160","150","52030","49300"
"In post","2021","Department for Environment, Food and Rural Affairs","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","North West (England)","SEO/HEO","340","320","34060","32080"
"In post","2021","Department for Environment, Food and Rural Affairs","Scotland","AA/AO","40","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Scotland","EO","40","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Scotland","SEO/HEO","60","60","34570","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","South East (England)","AA/AO","280","270","23340","24370"
