"Status","Year","Region_ITL3","Organisation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Prison and Probation Service","Gloucestershire, Wiltshire and Bath/Bristol area","630","570","30820","29750"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office (incl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","200","180","26800","25260"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Maritime and Coastguard Agency","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","2070","1990","38600","36840"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","Gloucestershire, Wiltshire and Bath/Bristol area","410","400","35940","34140"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Submarine Delivery Agency","Gloucestershire, Wiltshire and Bath/Bristol area","1370","1340","41930","39860"
"In post","2021","Bedford","Department for Environment, Food and Rural Affairs (excl. agencies)","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions (excl. agencies)","Bedfordshire and Hertfordshire","170","150","27950","27570"
"In post","2021","Bedford","Driver and Vehicle Standards Agency","Bedfordshire and Hertfordshire","30","30","[c]","[c]"
"In post","2021","Bedford","Food Standards Agency","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Health and Safety Executive","Bedfordshire and Hertfordshire","60","60","43690","45100"
"In post","2021","Bedford","HM Courts and Tribunals Service","Bedfordshire and Hertfordshire","30","30","[c]","[c]"
"In post","2021","Bedford","HM Prison and Probation Service","Bedfordshire and Hertfordshire","370","350","29520","29920"
"In post","2021","Bedford","Home Office (incl. agencies)","Bedfordshire and Hertfordshire","120","110","28790","26160"
"In post","2021","Bedford","Met Office","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Defence (excl. agencies)","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice (excl. agencies)","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","National Crime Agency","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Cabinet Office (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Companies House","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Defence Equipment and Support","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Business, Energy and Industrial Strategy (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Work and Pensions (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","Northern Ireland","80","80","38880","37910"
"In post","2021","Belfast","HM Revenue and Customs (excl. agencies)","Northern Ireland","1990","1850","28520","25560"
"In post","2021","Belfast","Home Office (incl. agencies)","Northern Ireland","460","410","24980","24880"
"In post","2021","Belfast","Ministry of Defence (excl. agencies)","Northern Ireland","60","60","21760","20310"
"In post","2021","Belfast","National Crime Agency","Northern Ireland","110","110","39890","39200"
"In post","2021","Belfast","Northern Ireland Office","Northern Ireland","90","80","38110","34990"
"In post","2021","Berkshire","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Crown Prosecution Service","Berkshire, Buckinghamshire and Oxfordshire","140","130","43310","40000"
"In post","2021","Berkshire","Defence Equipment and Support","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","180","180","40880","36970"
"In post","2021","Berkshire","Department for International Trade","Berkshire, Buckinghamshire and Oxfordshire","120","110","47060","51860"
"In post","2021","Berkshire","Department for Work and Pensions (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","460","420","29410","29290"
"In post","2021","Berkshire","Department of Health and Social Care (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Driver and Vehicle Standards Agency","Berkshire, Buckinghamshire and Oxfordshire","40","40","[c]","[c]"
"In post","2021","Berkshire","Government Internal Audit Agency","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","HM Courts and Tribunals Service","Berkshire, Buckinghamshire and Oxfordshire","120","110","25660","22450"
"In post","2021","Berkshire","HM Prison and Probation Service","Berkshire, Buckinghamshire and Oxfordshire","150","140","29290","24870"
"In post","2021","Berkshire","HM Revenue and Customs (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","310","290","34710","32520"
"In post","2021","Berkshire","Home Office (incl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","50","40","[c]","[c]"
"In post","2021","Berkshire","Insolvency Service","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Met Office","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Ministry of Defence (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","1020","1010","34380","33300"
"In post","2021","Berkshire","Ministry of Justice (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","National Crime Agency","Berkshire, Buckinghamshire and Oxfordshire","110","110","39480","39570"
"In post","2021","Berkshire","Rural Payments Agency","Berkshire, Buckinghamshire and Oxfordshire","180","170","30530","25770"
"In post","2021","Berkshire","Submarine Delivery Agency","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Crown Prosecution Service","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Department for Work and Pensions (excl. agencies)","Outer London - East and North East","390","360","31090","31060"
"In post","2021","Bexley and Greenwich","Driver and Vehicle Standards Agency","Outer London - East and North East","50","50","32970","30780"
"In post","2021","Bexley and Greenwich","HM Courts and Tribunals Service","Outer London - East and North East","70","60","24080","23500"
"In post","2021","Bexley and Greenwich","HM Prison and Probation Service","Outer London - East and North East","1110","1070","32270","32700"
"In post","2021","Bexley and Greenwich","HM Revenue and Customs (excl. agencies)","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Maritime and Coastguard Agency","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Ministry of Defence (excl. agencies)","Outer London - East and North East","120","110","33260","33950"
"In post","2021","Bexley and Greenwich","Ministry of Justice (excl. agencies)","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Advisory, Conciliation and Arbitration Service","West Midlands","90","80","30970","30950"
"In post","2021","Birmingham","Cabinet Office (excl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Crown Commercial Service","West Midlands","30","30","[c]","[c]"
"In post","2021","Birmingham","Crown Prosecution Service","West Midlands","490","460","39820","38000"
"In post","2021","Birmingham","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands","150","150","40000","36740"
"In post","2021","Birmingham","Department for International Trade","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Department for Transport (excl. agencies)","West Midlands","60","60","34990","30730"
"In post","2021","Birmingham","Department for Work and Pensions (excl. agencies)","West Midlands","2160","1920","26690","27570"
"In post","2021","Birmingham","Driver and Vehicle Standards Agency","West Midlands","90","90","27620","26700"
"In post","2021","Birmingham","Food Standards Agency","West Midlands","70","70","39260","37910"
"In post","2021","Birmingham","Government Internal Audit Agency","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Government Property Agency","West Midlands","40","40","[c]","[c]"
"In post","2021","Birmingham","Health and Safety Executive","West Midlands","80","80","44170","46320"
"In post","2021","Birmingham","HM Courts and Tribunals Service","West Midlands","880","810","23250","20650"
"In post","2021","Birmingham","HM Prison and Probation Service","West Midlands","1020","970","29800","28080"
"In post","2021","Birmingham","HM Revenue and Customs (excl. agencies)","West Midlands","2810","2630","31160","28130"
"In post","2021","Birmingham","Home Office (incl. agencies)","West Midlands","130","120","29970","25310"
"In post","2021","Birmingham","Insolvency Service","West Midlands","420","400","31260","26410"
"In post","2021","Birmingham","Legal Aid Agency","West Midlands","110","110","25030","21170"
"In post","2021","Birmingham","Met Office","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Ministry of Defence (excl. agencies)","West Midlands","260","250","34060","33300"
"In post","2021","Birmingham","Ministry of Housing, Communities and Local Government (excl. agencies)","West Midlands","130","130","38760","36340"
"In post","2021","Birmingham","Ministry of Justice (excl. agencies)","West Midlands","130","130","43030","41240"
"In post","2021","Birmingham","National Crime Agency","West Midlands","410","400","37700","36410"
"In post","2021","Birmingham","Office for Standards in Education, Children's Services and Skills","West Midlands","150","150","55180","51360"
"In post","2021","Birmingham","Office of Rail and Road","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Office of the Public Guardian","West Midlands","990","920","22300","19930"
"In post","2021","Birmingham","Public Health England","West Midlands","450","410","41950","35160"
"In post","2021","Birmingham","Valuation Office Agency","West Midlands","180","160","33490","31100"
"In post","2021","Birmingham","Water Services Regulation Authority","West Midlands","180","170","50470","47200"
"In post","2021","Blackburn with Darwen","Department for Work and Pensions (excl. agencies)","Lancashire","350","310","26610","27570"
"In post","2021","Blackburn with Darwen","Driver and Vehicle Standards Agency","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","HM Courts and Tribunals Service","Lancashire","40","40","[c]","[c]"
"In post","2021","Blackburn with Darwen","HM Prison and Probation Service","Lancashire","70","60","28460","28200"
"In post","2021","Blackburn with Darwen","HM Revenue and Customs (excl. agencies)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Legal Aid Agency","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Ministry of Defence (excl. agencies)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Ministry of Justice (excl. agencies)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Cabinet Office (excl. agencies)","Lancashire","40","40","[c]","[c]"
"In post","2021","Blackpool","Department for Work and Pensions (excl. agencies)","Lancashire","4900","4470","28740","27570"
"In post","2021","Blackpool","Driver and Vehicle Standards Agency","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Government Internal Audit Agency","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","HM Courts and Tribunals Service","Lancashire","50","40","[c]","[c]"
"In post","2021","Blackpool","HM Prison and Probation Service","Lancashire","70","70","29310","30210"
"In post","2021","Blackpool","Insolvency Service","Lancashire","50","50","[c]","[c]"
"In post","2021","Blackpool","Ministry of Defence (excl. agencies)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Ministry of Justice (excl. agencies)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","National Savings and Investments","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Department for Work and Pensions (excl. agencies)","Dorset and Somerset","280","240","27400","27570"
"In post","2021","Bournemouth and Poole","Driver and Vehicle Standards Agency","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","HM Courts and Tribunals Service","Dorset and Somerset","120","110","23130","20100"
"In post","2021","Bournemouth and Poole","HM Prison and Probation Service","Dorset and Somerset","110","90","30530","28200"
"In post","2021","Bournemouth and Poole","Home Office (incl. agencies)","Dorset and Somerset","80","70","28110","27260"
"In post","2021","Bournemouth and Poole","Ministry of Defence (excl. agencies)","Dorset and Somerset","100","100","24170","20920"
"In post","2021","Bournemouth and Poole","Ministry of Justice (excl. agencies)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Cabinet Office (excl. agencies)","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Department for Work and Pensions (excl. agencies)","West Yorkshire","900","790","25300","27570"
"In post","2021","Bradford","Driver and Vehicle Standards Agency","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Food Standards Agency","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","HM Courts and Tribunals Service","West Yorkshire","210","180","21530","20100"
"In post","2021","Bradford","HM Prison and Probation Service","West Yorkshire","120","120","30320","30210"
"In post","2021","Bradford","HM Revenue and Customs (excl. agencies)","West Yorkshire","1840","1640","28530","25560"
"In post","2021","Bradford","Ministry of Justice (excl. agencies)","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Department for Work and Pensions (excl. agencies)","East Anglia","60","50","27890","27570"
"In post","2021","Breckland and South Norfolk","Food Standards Agency","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","HM Prison and Probation Service","East Anglia","430","410","28250","25790"
"In post","2021","Breckland and South Norfolk","Home Office (incl. agencies)","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Ministry of Defence (excl. agencies)","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Ministry of Justice (excl. agencies)","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Public Health England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Department for Work and Pensions (excl. agencies)","Outer London - West and North West","260","240","30440","31060"
"In post","2021","Brent","HM Courts and Tribunals Service","Outer London - West and North West","150","130","27380","23500"
"In post","2021","Brent","HM Prison and Probation Service","Outer London - West and North West","60","60","32140","28690"
"In post","2021","Brent","HM Revenue and Customs (excl. agencies)","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Valuation Office Agency","Outer London - West and North West","140","130","37250","34280"
"In post","2021","Bridgend and Neath Port Talbot","Crown Prosecution Service","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Department for Work and Pensions (excl. agencies)","West Wales and The Valleys","460","400","25730","27570"
"In post","2021","Bridgend and Neath Port Talbot","Driver and Vehicle Standards Agency","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","HM Courts and Tribunals Service","West Wales and The Valleys","100","90","21610","19830"
"In post","2021","Bridgend and Neath Port Talbot","HM Prison and Probation Service","West Wales and The Valleys","70","60","34790","31760"
"In post","2021","Bridgend and Neath Port Talbot","Ministry of Defence (excl. agencies)","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Ministry of Justice (excl. agencies)","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","National Crime Agency","West Wales and The Valleys","60","60","37280","36410"
"In post","2021","Bridgend and Neath Port Talbot","Welsh Government (excl. agencies)","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Cabinet Office (excl. agencies)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Crown Prosecution Service","Surrey, East and West Sussex","110","100","42660","36240"
"In post","2021","Brighton and Hove","Department for Work and Pensions (excl. agencies)","Surrey, East and West Sussex","280","250","27580","27570"
"In post","2021","Brighton and Hove","HM Courts and Tribunals Service","Surrey, East and West Sussex","130","110","24400","20650"
"In post","2021","Brighton and Hove","HM Prison and Probation Service","Surrey, East and West Sussex","90","80","30110","28200"
"In post","2021","Brighton and Hove","Insolvency Service","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Legal Aid Agency","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Ministry of Defence (excl. agencies)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Ministry of Justice (excl. agencies)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","60","50","33460","30970"
"In post","2021","Bristol, City of","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","50","50","25450","21050"
"In post","2021","Bristol, City of","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","70","60","43300","38420"
"In post","2021","Bristol, City of","Crown Commercial Service","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Crown Prosecution Service","Gloucestershire, Wiltshire and Bath/Bristol area","150","140","40450","38000"
"In post","2021","Bristol, City of","Department for Business, Energy and Industrial Strategy (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Department for Digital, Culture, Media and Sport","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","140","130","46090","42220"
"In post","2021","Bristol, City of","Department for Environment, Food and Rural Affairs (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","770","730","40680","36970"
"In post","2021","Bristol, City of","Department for International Trade","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
