"Status","Year","Sexual_orientation","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Operational Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","70","70","38440","35900"
"In post","2021","Heterosexual / straight","Operational Delivery","Department for International Trade","60","60","38590","32120"
"In post","2021","Heterosexual / straight","Operational Delivery","Department for Transport (excl. agencies)","50","50","40270","37660"
"In post","2021","Heterosexual / straight","Operational Delivery","Department of Health and Social Care (excl. agencies)","70","70","53270","40050"
"In post","2021","Heterosexual / straight","Operational Delivery","Driver and Vehicle Licensing Agency","2610","2280","22220","21590"
"In post","2021","Heterosexual / straight","Operational Delivery","Driver and Vehicle Standards Agency","2240","2110","28830","26780"
"In post","2021","Heterosexual / straight","Operational Delivery","Education and Skills Funding Agency","490","470","40420","36960"
"In post","2021","Heterosexual / straight","Operational Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","Food Standards Agency","350","340","32790","28940"
"In post","2021","Heterosexual / straight","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","430","410","33620","28000"
"In post","2021","Heterosexual / straight","Operational Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","Health and Safety Executive","1210","1130","43780","41480"
"In post","2021","Heterosexual / straight","Operational Delivery","HM Courts and Tribunals Service","10350","9230","22550","20650"
"In post","2021","Heterosexual / straight","Operational Delivery","HM Land Registry","2750","2460","29000","27130"
"In post","2021","Heterosexual / straight","Operational Delivery","HM Prison and Probation Service","34590","32720","29720","28200"
"In post","2021","Heterosexual / straight","Operational Delivery","HM Revenue and Customs (excl. agencies)","14490","12880","26600","25560"
"In post","2021","Heterosexual / straight","Operational Delivery","HM Treasury (excl. agencies)","110","110","31140","27910"
"In post","2021","Heterosexual / straight","Operational Delivery","Home Office (incl. agencies)","20190","18450","27860","25580"
"In post","2021","Heterosexual / straight","Operational Delivery","Insolvency Service","580","550","29840","26000"
"In post","2021","Heterosexual / straight","Operational Delivery","Institute for Apprenticeships and Technical Education","90","90","50320","50470"
"In post","2021","Heterosexual / straight","Operational Delivery","Legal Aid Agency","710","660","25260","21640"
"In post","2021","Heterosexual / straight","Operational Delivery","Maritime and Coastguard Agency","560","530","37720","33830"
"In post","2021","Heterosexual / straight","Operational Delivery","Medicines and Healthcare Products Regulatory Agency","100","100","38050","33090"
"In post","2021","Heterosexual / straight","Operational Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","Ministry of Defence (excl. agencies)","530","500","28670","26670"
"In post","2021","Heterosexual / straight","Operational Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","360","350","37660","33960"
"In post","2021","Heterosexual / straight","Operational Delivery","Ministry of Justice (excl. agencies)","910","890","36190","32870"
"In post","2021","Heterosexual / straight","Operational Delivery","National Crime Agency","3530","3460","39690","37330"
"In post","2021","Heterosexual / straight","Operational Delivery","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","Office for Standards in Education, Children's Services and Skills","180","160","28490","25620"
"In post","2021","Heterosexual / straight","Operational Delivery","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","Office of Qualifications and Examinations Regulation","50","50","43080","38000"
"In post","2021","Heterosexual / straight","Operational Delivery","Office of Rail and Road","60","60","50260","51310"
"In post","2021","Heterosexual / straight","Operational Delivery","Office of the Public Guardian","1010","940","21900","19930"
"In post","2021","Heterosexual / straight","Operational Delivery","Planning Inspectorate","200","190","31470","26050"
"In post","2021","Heterosexual / straight","Operational Delivery","Public Health England","2170","1970","37870","32650"
"In post","2021","Heterosexual / straight","Operational Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","Registers of Scotland","460","440","31360","30080"
"In post","2021","Heterosexual / straight","Operational Delivery","Rural Payments Agency","870","780","26950","25190"
"In post","2021","Heterosexual / straight","Operational Delivery","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","Scottish Courts and Tribunals Service","80","70","30430","22820"
"In post","2021","Heterosexual / straight","Operational Delivery","Scottish Prison Service","1170","1090","33260","33650"
"In post","2021","Heterosexual / straight","Operational Delivery","Standards and Testing Agency","70","70","42370","41690"
"In post","2021","Heterosexual / straight","Operational Delivery","Submarine Delivery Agency","130","120","32910","27610"
"In post","2021","Heterosexual / straight","Operational Delivery","Teaching Regulation Agency","60","60","31710","29360"
"In post","2021","Heterosexual / straight","Operational Delivery","The National Archives","60","60","30960","28460"
"In post","2021","Heterosexual / straight","Operational Delivery","UK Export Finance","200","200","53550","47590"
"In post","2021","Heterosexual / straight","Operational Delivery","UK Hydrographic Office","360","340","32660","33290"
"In post","2021","Heterosexual / straight","Operational Delivery","UK Intellectual Property Office","330","310","28460","23320"
"In post","2021","Heterosexual / straight","Operational Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","United Kingdom Statistics Authority","1950","1600","26800","23050"
"In post","2021","Heterosexual / straight","Operational Delivery","Valuation Office Agency","720","660","29390","24500"
"In post","2021","Heterosexual / straight","Operational Delivery","Vehicle Certification Agency","60","60","29150","25230"
"In post","2021","Heterosexual / straight","Operational Delivery","Veterinary Medicines Directorate","60","60","35780","32560"
"In post","2021","Heterosexual / straight","Operational Delivery","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","Welsh Government (excl. agencies)","1330","1250","36340","28850"
"In post","2021","Heterosexual / straight","Operational Delivery","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Defence Science and Technology Laboratory","380","360","42980","46080"
"In post","2021","Heterosexual / straight","Operational Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Foreign, Commonwealth and Development Office (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","HM Revenue and Customs (excl. agencies)","90","80","44230","38630"
"In post","2021","Heterosexual / straight","Operational Research","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Home Office (incl. agencies)","60","60","48700","43400"
"In post","2021","Heterosexual / straight","Operational Research","Ministry of Defence (excl. agencies)","60","60","42540","40580"
"In post","2021","Heterosexual / straight","Operational Research","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Ministry of Justice (excl. agencies)","60","60","46630","41000"
"In post","2021","Heterosexual / straight","Operational Research","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Defence Equipment and Support","2810","2680","31580","28000"
"In post","2021","Heterosexual / straight","Other","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Department for Digital, Culture, Media and Sport","70","60","40990","34330"
"In post","2021","Heterosexual / straight","Other","Department for International Trade","90","90","39430","33420"
"In post","2021","Heterosexual / straight","Other","Department for Transport (excl. agencies)","260","250","44640","31860"
"In post","2021","Heterosexual / straight","Other","Driver and Vehicle Licensing Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Foreign, Commonwealth and Development Office (excl. agencies)","160","160","70000","70410"
"In post","2021","Heterosexual / straight","Other","Government Actuary's Department","140","130","70790","65470"
"In post","2021","Heterosexual / straight","Other","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Government Legal Department","260","250","32100","27580"
"In post","2021","Heterosexual / straight","Other","Government Property Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","HM Revenue and Customs (excl. agencies)","290","260","43900","38630"
"In post","2021","Heterosexual / straight","Other","Home Office (incl. agencies)","1350","1250","34710","30870"
"In post","2021","Heterosexual / straight","Other","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Medicines and Healthcare Products Regulatory Agency","170","170","48210","41040"
"In post","2021","Heterosexual / straight","Other","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Ministry of Defence (excl. agencies)","8120","7830","24880","21580"
"In post","2021","Heterosexual / straight","Other","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","National Savings and Investments","60","60","53050","44580"
"In post","2021","Heterosexual / straight","Other","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Office for Standards in Education, Children's Services and Skills","200","190","29240","25880"
"In post","2021","Heterosexual / straight","Other","Office of Gas and Electricity Markets","240","240","40720","35000"
"In post","2021","Heterosexual / straight","Other","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Scottish Prison Service","220","200","33860","33650"
"In post","2021","Heterosexual / straight","Other","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","The National Archives","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Welsh Government (excl. agencies)","510","480","42920","37410"
"In post","2021","Heterosexual / straight","Planning","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Ministry of Housing, Communities and Local Government (excl. agencies)","80","80","47150","42980"
"In post","2021","Heterosexual / straight","Planning","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","Planning Inspectorate","260","240","57870","58810"
"In post","2021","Heterosexual / straight","Policy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Crown Prosecution Service","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Defence Equipment and Support","60","50","44070","41070"
"In post","2021","Heterosexual / straight","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","2640","2580","50280","53380"
"In post","2021","Heterosexual / straight","Policy","Department for Digital, Culture, Media and Sport","730","720","48940","51730"
"In post","2021","Heterosexual / straight","Policy","Department for Education (excl. agencies)","1870","1780","45660","41140"
"In post","2021","Heterosexual / straight","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","1620","1570","42940","38300"
"In post","2021","Heterosexual / straight","Policy","Department for International Trade","120","120","45570","38540"
"In post","2021","Heterosexual / straight","Policy","Department for Transport (excl. agencies)","620","600","49290","52730"
"In post","2021","Heterosexual / straight","Policy","Department of Health and Social Care (excl. agencies)","650","630","49020","49530"
"In post","2021","Heterosexual / straight","Policy","Driver and Vehicle Licensing Agency","90","80","29260","26780"
"In post","2021","Heterosexual / straight","Policy","Driver and Vehicle Standards Agency","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Education and Skills Funding Agency","150","140","48890","40940"
"In post","2021","Heterosexual / straight","Policy","Food Standards Agency","140","140","42360","37910"
"In post","2021","Heterosexual / straight","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","2840","2800","50540","50430"
"In post","2021","Heterosexual / straight","Policy","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Health and Safety Executive","70","60","46940","43770"
"In post","2021","Heterosexual / straight","Policy","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","HM Prison and Probation Service","410","390","38240","32080"
"In post","2021","Heterosexual / straight","Policy","HM Revenue and Customs (excl. agencies)","720","690","52330","52580"
"In post","2021","Heterosexual / straight","Policy","HM Treasury (excl. agencies)","1010","1000","49530","52500"
"In post","2021","Heterosexual / straight","Policy","Home Office (incl. agencies)","1590","1550","50650","52050"
"In post","2021","Heterosexual / straight","Policy","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Maritime and Coastguard Agency","160","150","38590","35180"
"In post","2021","Heterosexual / straight","Policy","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Ministry of Defence (excl. agencies)","750","740","43770","40580"
"In post","2021","Heterosexual / straight","Policy","Ministry of Housing, Communities and Local Government (excl. agencies)","960","940","48880","53130"
"In post","2021","Heterosexual / straight","Policy","Ministry of Justice (excl. agencies)","450","440","44150","36800"
"In post","2021","Heterosexual / straight","Policy","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Northern Ireland Office","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Office for Standards in Education, Children's Services and Skills","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","UK Intellectual Property Office","70","60","44240","39420"
"In post","2021","Heterosexual / straight","Policy","UK Space Agency","80","80","48040","49080"
"In post","2021","Heterosexual / straight","Policy","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Welsh Government (excl. agencies)","1300","1230","42660","37410"
"In post","2021","Heterosexual / straight","Policy","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Competition and Markets Authority","310","290","59750","56360"
"In post","2021","Heterosexual / straight","Project Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Defence Equipment and Support","1820","1770","40410","39100"
"In post","2021","Heterosexual / straight","Project Delivery","Defence Science and Technology Laboratory","350","330","40320","37320"
"In post","2021","Heterosexual / straight","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","60","51160","49200"
"In post","2021","Heterosexual / straight","Project Delivery","Department for Digital, Culture, Media and Sport","150","150","49280","51730"
"In post","2021","Heterosexual / straight","Project Delivery","Department for Education (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","160","160","42400","37240"
"In post","2021","Heterosexual / straight","Project Delivery","Department for International Trade","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Department for Transport (excl. agencies)","330","320","54620","54650"
"In post","2021","Heterosexual / straight","Project Delivery","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Driver and Vehicle Licensing Agency","70","60","39740","39040"
"In post","2021","Heterosexual / straight","Project Delivery","Driver and Vehicle Standards Agency","60","60","38270","39470"
"In post","2021","Heterosexual / straight","Project Delivery","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","FCDO Services","60","60","39320","35390"
"In post","2021","Heterosexual / straight","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","230","220","43140","38600"
"In post","2021","Heterosexual / straight","Project Delivery","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Health and Safety Executive","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","HM Courts and Tribunals Service","230","230","41380","36800"
"In post","2021","Heterosexual / straight","Project Delivery","HM Land Registry","90","90","41370","38550"
"In post","2021","Heterosexual / straight","Project Delivery","HM Revenue and Customs (excl. agencies)","1660","1590","43290","38630"
"In post","2021","Heterosexual / straight","Project Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Home Office (incl. agencies)","1050","1020","45030","41950"
"In post","2021","Heterosexual / straight","Project Delivery","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Ministry of Defence (excl. agencies)","3660","3570","39540","36460"
"In post","2021","Heterosexual / straight","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","80","80","44280","39600"
"In post","2021","Heterosexual / straight","Project Delivery","Ministry of Justice (excl. agencies)","180","180","42580","39450"
"In post","2021","Heterosexual / straight","Project Delivery","National Crime Agency","80","70","46170","45480"
"In post","2021","Heterosexual / straight","Project Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Rural Payments Agency","90","80","38630","36970"
"In post","2021","Heterosexual / straight","Project Delivery","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Submarine Delivery Agency","410","400","42510","40000"
"In post","2021","Heterosexual / straight","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","United Kingdom Statistics Authority","160","160","40050","36030"
"In post","2021","Heterosexual / straight","Project Delivery","Valuation Office Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Welsh Government (excl. agencies)","60","50","42620","41560"
"In post","2021","Heterosexual / straight","Project Delivery","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Defence Equipment and Support","90","90","35770","33320"
"In post","2021","Heterosexual / straight","Property","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Department for Education (excl. agencies)","430","420","51320","53420"
"In post","2021","Heterosexual / straight","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","300","290","37470","35900"
"In post","2021","Heterosexual / straight","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
