"Status","Year","Region_ITL3","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","50-59","150","140","41360","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","60-64","50","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","65+","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","50-59","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","65+","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Justice","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Justice","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Justice","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","20-29","180","170","26420","25870"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","30-39","280","270","32270","30650"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","40-49","260","250","36280","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","50-59","300","290","36370","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","60-64","80","60","33680","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Transport","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Transport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Transport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Transport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","20-29","90","90","22150","21010"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","30-39","230","210","23810","21010"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","40-49","230","210","23780","21010"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","50-59","280","260","24380","21010"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","60-64","110","90","24240","21010"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","30-39","50","50","22250","20140"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","40-49","90","80","22570","21400"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","50-59","80","80","26550","21440"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","60-64","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Justice","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Justice","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Justice","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Government","20-29","90","90","25000","23340"
"In post","2021","Angus and Dundee City","Scottish Government","30-39","150","140","30740","27150"
"In post","2021","Angus and Dundee City","Scottish Government","40-49","150","150","33340","29190"
"In post","2021","Angus and Dundee City","Scottish Government","50-59","140","130","35230","28610"
"In post","2021","Angus and Dundee City","Scottish Government","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Home Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Home Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","40-49","40","40","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","50-59","80","80","24360","20310"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","65+","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Cabinet Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Cabinet Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","40-49","50","50","22490","20310"
"In post","2021","Ards and North Down","Ministry of Defence","50-59","90","90","24060","20560"
"In post","2021","Ards and North Down","Ministry of Defence","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","65+","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Ministry of Defence","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Ministry of Defence","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Transport","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Transport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Transport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Transport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Transport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","20-29","70","70","30380","31060"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","30-39","80","70","31010","31060"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","40-49","110","100","30910","31060"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","50-59","160","150","31510","31060"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","60-64","40","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Food Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","HM Treasury","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Defence","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","50-59","40","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Transport","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Transport","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Transport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Transport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Transport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Work and Pensions","20-29","60","60","30190","31060"
"In post","2021","Barnet","Department for Work and Pensions","30-39","40","40","[c]","[c]"
"In post","2021","Barnet","Department for Work and Pensions","40-49","60","50","31640","31060"
"In post","2021","Barnet","Department for Work and Pensions","50-59","100","90","30750","31060"
"In post","2021","Barnet","Department for Work and Pensions","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Work and Pensions","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department of Health and Social Care","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department of Health and Social Care","20-29","240","230","30600","27710"
"In post","2021","Barnet","Department of Health and Social Care","30-39","260","250","40290","40070"
"In post","2021","Barnet","Department of Health and Social Care","40-49","260","250","48920","45360"
"In post","2021","Barnet","Department of Health and Social Care","50-59","240","220","47300","43460"
"In post","2021","Barnet","Department of Health and Social Care","60-64","70","60","55970","44970"
"In post","2021","Barnet","Department of Health and Social Care","65+","30","30","[c]","[c]"
"In post","2021","Barnet","Home Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Home Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Home Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Home Office","50-59","60","60","45130","43120"
"In post","2021","Barnet","Home Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Home Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Defence","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Defence","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Defence","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Defence","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","20-29","100","90","24270","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","30-39","210","180","24930","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","40-49","360","300","25190","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","50-59","520","450","25660","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","60-64","150","110","23980","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","65+","30","20","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Food Standards Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Food Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","HM Treasury","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","20-29","320","310","24830","25110"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","30-39","330","310","28000","26320"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","40-49","300","280","30700","28200"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","50-59","420","390","31030","31650"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","60-64","120","90","28910","28200"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","20-29","50","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","30-39","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","40-49","90","80","27800","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","50-59","110","90","27880","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","30-39","60","50","26370","25310"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","40-49","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","50-59","60","60","28070","26120"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","16-19","100","100","18070","17780"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","20-29","2500","2480","27900","27540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","30-39","2770","2650","37110","36300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","40-49","2460","2370","43140","40660"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","50-59","2830","2780","45210","41920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","60-64","730","650","43190","40980"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","65+","170","140","39890","39950"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","20-29","120","120","23760","23970"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","30-39","150","130","29300","27680"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","40-49","160","150","31980","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","50-59","240","220","34260","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","60-64","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","20-29","110","110","29680","28840"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","30-39","110","110","35410","34690"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","40-49","90","90","40150","37000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","50-59","80","80","41060","39970"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Business, Energy and Industrial Strategy","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Business, Energy and Industrial Strategy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Business, Energy and Industrial Strategy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Business, Energy and Industrial Strategy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Business, Energy and Industrial Strategy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Environment, Food and Rural Affairs","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions","20-29","[c]","[c]","[c]","[c]"
