"Status","Year","Profession_of_post","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Department for Education","Darlington","50","50","40700","37100"
"In post","2021","Commercial","Department for Education","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Manchester","100","90","38760","36780"
"In post","2021","Commercial","Department for Education","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Sheffield","90","90","38760","37100"
"In post","2021","Commercial","Department for Education","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Westminster","30","30","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","York","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Swansea","160","150","33180","31040"
"In post","2021","Commercial","Department for Transport","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Westminster","90","90","51000","54110"
"In post","2021","Commercial","Department for Work and Pensions","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Leeds","90","80","41630","36820"
"In post","2021","Commercial","Department of Health and Social Care","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Westminster","110","100","55070","53360"
"In post","2021","Commercial","Department of Health and Social Care","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","York","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Milton Keynes","70","70","43520","40850"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","South Lanarkshire","70","70","40370","39630"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Greater Manchester South West","50","50","38760","38630"
"In post","2021","Commercial","HM Revenue and Customs","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Croydon","40","40","[c]","[c]"
"In post","2021","Commercial","Home Office","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Bath and North East Somerset, North Somerset and South Gloucestershire","1150","1100","39550","37340"
"In post","2021","Commercial","Ministry of Defence","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Buckinghamshire CC","50","50","36550","36800"
"In post","2021","Commercial","Ministry of Defence","Cambridgeshire CC","50","50","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Central Hampshire","130","130","33970","34650"
"In post","2021","Commercial","Ministry of Defence","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Glasgow City","80","80","34770","33300"
"In post","2021","Commercial","Ministry of Defence","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Overseas","30","30","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Portsmouth","60","50","35880","34500"
"In post","2021","Commercial","Ministry of Defence","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Somerset","50","50","39590","35280"
"In post","2021","Commercial","Ministry of Defence","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Westminster","30","30","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Wiltshire","170","160","33670","34800"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Croydon","100","100","44710","44570"
"In post","2021","Commercial","Ministry of Justice","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Leeds","70","70","38990","36000"
"In post","2021","Commercial","Ministry of Justice","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Staffordshire CC","40","40","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Walsall","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Westminster","170","160","51430","46550"
"In post","2021","Commercial","Ministry of Justice","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","York","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Liverpool","190","180","33650","34800"
"In post","2021","Commercial","Other Cabinet Office Agencies","Monmouthshire and Newport","70","60","31160","28540"
"In post","2021","Commercial","Other Cabinet Office Agencies","Norwich and East Norfolk","90","80","34770","34800"
"In post","2021","Commercial","Other Cabinet Office Agencies","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","City of Edinburgh","50","50","36420","34190"
"In post","2021","Commercial","Scottish Government","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","Hounslow and Richmond upon Thames","40","40","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Bristol, City of","[c]","[c]","[c]","[c]"
