"Status","Year","Region_ITL1","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","30-39","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Department for Education (excl. agencies)","70","70","40820","36960"
"In post","2021","East Midlands (England)","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Department for Work and Pensions (excl. agencies)","740","670","25650","27570"
"In post","2021","East Midlands (England)","30-39","Driver and Vehicle Standards Agency","80","70","32740","31040"
"In post","2021","East Midlands (England)","30-39","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Health and Safety Executive","70","70","33760","31710"
"In post","2021","East Midlands (England)","30-39","HM Courts and Tribunals Service","240","210","21630","19830"
"In post","2021","East Midlands (England)","30-39","HM Land Registry","110","100","29170","27130"
"In post","2021","East Midlands (England)","30-39","HM Prison and Probation Service","1280","1210","28310","26850"
"In post","2021","East Midlands (England)","30-39","HM Revenue and Customs (excl. agencies)","770","730","31200","31810"
"In post","2021","East Midlands (England)","30-39","Home Office (incl. agencies)","60","60","26960","25290"
"In post","2021","East Midlands (England)","30-39","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Legal Aid Agency","60","60","21150","19770"
"In post","2021","East Midlands (England)","30-39","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Ministry of Defence (excl. agencies)","230","220","28100","26350"
"In post","2021","East Midlands (England)","30-39","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Ministry of Justice (excl. agencies)","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Office of the Public Guardian","100","90","20810","21170"
"In post","2021","East Midlands (England)","30-39","Public Health England","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Crown Prosecution Service","120","110","41220","48080"
"In post","2021","East Midlands (England)","40-49","Defence Equipment and Support","60","60","37390","35290"
"In post","2021","East Midlands (England)","40-49","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Department for Education (excl. agencies)","70","70","43090","41140"
"In post","2021","East Midlands (England)","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Department for Work and Pensions (excl. agencies)","1050","940","26120","27570"
"In post","2021","East Midlands (England)","40-49","Driver and Vehicle Standards Agency","160","150","33940","31380"
"In post","2021","East Midlands (England)","40-49","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Health and Safety Executive","100","90","42410","40020"
"In post","2021","East Midlands (England)","40-49","HM Courts and Tribunals Service","340","300","23490","20100"
"In post","2021","East Midlands (England)","40-49","HM Land Registry","180","170","34580","27130"
"In post","2021","East Midlands (England)","40-49","HM Prison and Probation Service","1050","1000","31140","30210"
"In post","2021","East Midlands (England)","40-49","HM Revenue and Customs (excl. agencies)","910","860","33140","31810"
"In post","2021","East Midlands (England)","40-49","Home Office (incl. agencies)","70","60","29770","27370"
"In post","2021","East Midlands (England)","40-49","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Legal Aid Agency","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Ministry of Defence (excl. agencies)","300","290","29330","22640"
"In post","2021","East Midlands (England)","40-49","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","National Crime Agency","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Office for Standards in Education, Children's Services and Skills","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Office of the Public Guardian","80","70","22320","21170"
"In post","2021","East Midlands (England)","40-49","Public Health England","60","50","43060","37690"
"In post","2021","East Midlands (England)","40-49","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Valuation Office Agency","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Crown Prosecution Service","140","120","41570","34480"
"In post","2021","East Midlands (England)","50-59","Defence Equipment and Support","90","90","36570","36230"
"In post","2021","East Midlands (England)","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Department for Education (excl. agencies)","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Department for Work and Pensions (excl. agencies)","1680","1500","26300","27570"
"In post","2021","East Midlands (England)","50-59","Driver and Vehicle Standards Agency","190","180","32930","27680"
"In post","2021","East Midlands (England)","50-59","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Health and Safety Executive","140","130","49220","45870"
"In post","2021","East Midlands (England)","50-59","HM Courts and Tribunals Service","440","390","23420","20100"
"In post","2021","East Midlands (England)","50-59","HM Land Registry","350","320","31730","27130"
"In post","2021","East Midlands (England)","50-59","HM Prison and Probation Service","1320","1240","31280","31650"
"In post","2021","East Midlands (England)","50-59","HM Revenue and Customs (excl. agencies)","1130","1060","34100","31810"
"In post","2021","East Midlands (England)","50-59","Home Office (incl. agencies)","60","60","28890","27280"
"In post","2021","East Midlands (England)","50-59","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Legal Aid Agency","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Ministry of Defence (excl. agencies)","620","600","27000","21580"
"In post","2021","East Midlands (England)","50-59","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Ministry of Justice (excl. agencies)","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","National Crime Agency","60","50","41390","40210"
"In post","2021","East Midlands (England)","50-59","Office for Standards in Education, Children's Services and Skills","60","60","54630","51360"
"In post","2021","East Midlands (England)","50-59","Office of the Public Guardian","100","100","22630","21170"
"In post","2021","East Midlands (England)","50-59","Public Health England","60","60","52020","44500"
"In post","2021","East Midlands (England)","50-59","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Valuation Office Agency","70","60","35220","31600"
"In post","2021","East Midlands (England)","50-59","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Department for Work and Pensions (excl. agencies)","440","340","25610","27570"
"In post","2021","East Midlands (England)","60-64","Driver and Vehicle Standards Agency","60","50","28690","26780"
"In post","2021","East Midlands (England)","60-64","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Health and Safety Executive","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","HM Courts and Tribunals Service","140","120","21130","19570"
"In post","2021","East Midlands (England)","60-64","HM Land Registry","50","30","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","HM Prison and Probation Service","320","260","27680","25400"
"In post","2021","East Midlands (England)","60-64","HM Revenue and Customs (excl. agencies)","260","210","31820","28130"
"In post","2021","East Midlands (England)","60-64","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Ministry of Defence (excl. agencies)","230","210","25850","21580"
"In post","2021","East Midlands (England)","60-64","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Office of the Public Guardian","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Department for Work and Pensions (excl. agencies)","110","80","24440","21010"
"In post","2021","East Midlands (England)","65+","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","HM Courts and Tribunals Service","50","30","[c]","[c]"
"In post","2021","East Midlands (England)","65+","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","HM Prison and Probation Service","70","50","29160","27380"
"In post","2021","East Midlands (England)","65+","HM Revenue and Customs (excl. agencies)","60","40","31350","28130"
"In post","2021","East Midlands (England)","65+","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Ministry of Defence (excl. agencies)","80","70","25560","21130"
"In post","2021","East Midlands (England)","65+","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2021","East of England","20-29","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Centre for Environment, Fisheries and Aquaculture Science","70","70","25360","24920"
"In post","2021","East of England","20-29","Crown Commercial Service","30","30","[c]","[c]"
"In post","2021","East of England","20-29","Crown Prosecution Service","60","60","28270","25480"
"In post","2021","East of England","20-29","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Department for Work and Pensions (excl. agencies)","470","470","27330","27570"
"In post","2021","East of England","20-29","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","HM Courts and Tribunals Service","90","90","20740","19930"
"In post","2021","East of England","20-29","HM Land Registry","40","30","[c]","[c]"
"In post","2021","East of England","20-29","HM Prison and Probation Service","1130","1110","26400","26300"
"In post","2021","East of England","20-29","HM Revenue and Customs (excl. agencies)","110","110","27540","25560"
"In post","2021","East of England","20-29","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Home Office (incl. agencies)","250","240","22760","21430"
"In post","2021","East of England","20-29","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2021","East of England","20-29","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Ministry of Defence (excl. agencies)","330","320","28860","26670"
"In post","2021","East of England","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Public Health England","60","50","26470","24460"
"In post","2021","East of England","20-29","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Centre for Environment, Fisheries and Aquaculture Science","130","120","32570","29750"
"In post","2021","East of England","30-39","Crown Commercial Service","60","50","33650","33950"
"In post","2021","East of England","30-39","Crown Prosecution Service","100","90","37800","36240"
"In post","2021","East of England","30-39","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","East of England","30-39","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Department for Work and Pensions (excl. agencies)","640","580","27650","27570"
"In post","2021","East of England","30-39","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","East of England","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","HM Courts and Tribunals Service","180","160","22570","20530"
"In post","2021","East of England","30-39","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","HM Prison and Probation Service","1290","1230","29280","29810"
"In post","2021","East of England","30-39","HM Revenue and Customs (excl. agencies)","170","160","31030","31810"
"In post","2021","East of England","30-39","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Home Office (incl. agencies)","360","330","25550","25040"
"In post","2021","East of England","30-39","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Medicines and Healthcare Products Regulatory Agency","90","90","39590","40450"
