"Status","Year","Sexual_orientation","Disability","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Declared non-disabled","Leicestershire, Rutland and Northamptonshire","3270","3000","27990","26630"
"In post","2021","Heterosexual / straight","Declared non-disabled","Lincolnshire","1620","1540","27970","26670"
"In post","2021","Heterosexual / straight","Declared non-disabled","Merseyside","10620","9770","29010","25560"
"In post","2021","Heterosexual / straight","Declared non-disabled","North Eastern Scotland","770","720","39560","31720"
"In post","2021","Heterosexual / straight","Declared non-disabled","North Yorkshire","2660","2530","34340","30210"
"In post","2021","Heterosexual / straight","Declared non-disabled","Northern Ireland","2030","1910","28670","25560"
"In post","2021","Heterosexual / straight","Declared non-disabled","Northumberland and Tyne and Wear","10490","9500","29510","26780"
"In post","2021","Heterosexual / straight","Declared non-disabled","Outer London - East and North East","1870","1770","31070","31060"
"In post","2021","Heterosexual / straight","Declared non-disabled","Outer London - South","6410","6080","38090","35050"
"In post","2021","Heterosexual / straight","Declared non-disabled","Outer London - West and North West","5130","4780","32490","31000"
"In post","2021","Heterosexual / straight","Declared non-disabled","Overseas","2100","2090","49620","49810"
"In post","2021","Heterosexual / straight","Declared non-disabled","Shropshire and Staffordshire","4500","4220","30220","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","South Yorkshire","5720","5230","31560","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","Southern Scotland","2600","2380","31060","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","Surrey, East and West Sussex","4400","4040","30880","27850"
"In post","2021","Heterosexual / straight","Declared non-disabled","Tees Valley and Durham","4950","4500","28230","26300"
"In post","2021","Heterosexual / straight","Declared non-disabled","Unknown","780","740","33340","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","West Central Scotland","8300","7700","30800","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","West Midlands","9080","8430","31370","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","West Wales and The Valleys","8590","7900","30020","26780"
"In post","2021","Heterosexual / straight","Declared non-disabled","West Yorkshire","8380","7780","32020","27570"
"In post","2021","Heterosexual / straight","Undeclared","Bedfordshire and Hertfordshire","110","110","31280","29290"
"In post","2021","Heterosexual / straight","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","310","290","33080","31810"
"In post","2021","Heterosexual / straight","Undeclared","Cheshire","100","90","29970","27570"
"In post","2021","Heterosexual / straight","Undeclared","Cornwall and Isles of Scilly","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Cumbria","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Derbyshire and Nottinghamshire","330","300","29770","27570"
"In post","2021","Heterosexual / straight","Undeclared","Devon","200","180","28140","26780"
"In post","2021","Heterosexual / straight","Undeclared","Dorset and Somerset","180","160","29850","27570"
"In post","2021","Heterosexual / straight","Undeclared","East Anglia","480","450","31120","29810"
"In post","2021","Heterosexual / straight","Undeclared","East Wales","370","350","30540","27570"
"In post","2021","Heterosexual / straight","Undeclared","East Yorkshire and Northern Lincolnshire","180","160","29910","29200"
"In post","2021","Heterosexual / straight","Undeclared","Eastern Scotland","260","250","31900","27570"
"In post","2021","Heterosexual / straight","Undeclared","Essex","150","140","30910","29290"
"In post","2021","Heterosexual / straight","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","720","680","36720","33300"
"In post","2021","Heterosexual / straight","Undeclared","Greater Manchester","480","450","29260","27570"
"In post","2021","Heterosexual / straight","Undeclared","Hampshire and Isle of Wight","480","440","30390","27570"
"In post","2021","Heterosexual / straight","Undeclared","Herefordshire, Worcestershire and Warwickshire","180","170","29520","27570"
"In post","2021","Heterosexual / straight","Undeclared","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Inner London - East","370","350","38190","32960"
"In post","2021","Heterosexual / straight","Undeclared","Inner London - West","1370","1340","44970","40170"
"In post","2021","Heterosexual / straight","Undeclared","Kent","310","290","30150","29290"
"In post","2021","Heterosexual / straight","Undeclared","Lancashire","450","410","28250","27570"
"In post","2021","Heterosexual / straight","Undeclared","Leicestershire, Rutland and Northamptonshire","190","180","26870","27130"
"In post","2021","Heterosexual / straight","Undeclared","Lincolnshire","120","110","28180","27570"
"In post","2021","Heterosexual / straight","Undeclared","Merseyside","360","330","29060","26670"
"In post","2021","Heterosexual / straight","Undeclared","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","North Yorkshire","180","170","32810","30810"
"In post","2021","Heterosexual / straight","Undeclared","Northern Ireland","120","110","28850","26750"
"In post","2021","Heterosexual / straight","Undeclared","Northumberland and Tyne and Wear","400","360","28300","25560"
"In post","2021","Heterosexual / straight","Undeclared","Outer London - East and North East","130","120","31870","31060"
"In post","2021","Heterosexual / straight","Undeclared","Outer London - South","210","200","36150","31060"
"In post","2021","Heterosexual / straight","Undeclared","Outer London - West and North West","210","200","32460","31060"
"In post","2021","Heterosexual / straight","Undeclared","Overseas","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Shropshire and Staffordshire","310","280","29790","27570"
"In post","2021","Heterosexual / straight","Undeclared","South Yorkshire","290","270","31520","29730"
"In post","2021","Heterosexual / straight","Undeclared","Southern Scotland","70","70","28830","27490"
"In post","2021","Heterosexual / straight","Undeclared","Surrey, East and West Sussex","260","240","29860","27570"
"In post","2021","Heterosexual / straight","Undeclared","Tees Valley and Durham","350","320","29200","27570"
"In post","2021","Heterosexual / straight","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","West Central Scotland","290","270","28800","27070"
"In post","2021","Heterosexual / straight","Undeclared","West Midlands","420","390","29240","27570"
"In post","2021","Heterosexual / straight","Undeclared","West Wales and The Valleys","420","380","27470","23830"
"In post","2021","Heterosexual / straight","Undeclared","West Yorkshire","380","350","29910","27570"
"In post","2021","Heterosexual / straight","Unknown","Bedfordshire and Hertfordshire","220","220","36990","34140"
"In post","2021","Heterosexual / straight","Unknown","Berkshire, Buckinghamshire and Oxfordshire","380","360","36110","33300"
"In post","2021","Heterosexual / straight","Unknown","Cheshire","590","580","34380","32770"
"In post","2021","Heterosexual / straight","Unknown","Cornwall and Isles of Scilly","60","50","25360","21130"
"In post","2021","Heterosexual / straight","Unknown","Cumbria","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Derbyshire and Nottinghamshire","290","280","32140","28130"
"In post","2021","Heterosexual / straight","Unknown","Devon","260","250","30480","26650"
"In post","2021","Heterosexual / straight","Unknown","Dorset and Somerset","140","130","29820","26670"
"In post","2021","Heterosexual / straight","Unknown","East Anglia","330","310","32780","29270"
"In post","2021","Heterosexual / straight","Unknown","East Wales","930","870","32560","29540"
"In post","2021","Heterosexual / straight","Unknown","East Yorkshire and Northern Lincolnshire","100","90","26650","26630"
"In post","2021","Heterosexual / straight","Unknown","Eastern Scotland","1870","1770","38630","33650"
"In post","2021","Heterosexual / straight","Unknown","Essex","150","140","32600","28130"
"In post","2021","Heterosexual / straight","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","1270","1220","37610","34860"
"In post","2021","Heterosexual / straight","Unknown","Greater Manchester","480","450","33150","30260"
"In post","2021","Heterosexual / straight","Unknown","Hampshire and Isle of Wight","1040","930","30000","27570"
"In post","2021","Heterosexual / straight","Unknown","Herefordshire, Worcestershire and Warwickshire","70","60","28530","26570"
"In post","2021","Heterosexual / straight","Unknown","Highlands and Islands","120","110","31240","29190"
"In post","2021","Heterosexual / straight","Unknown","Inner London - East","1250","1220","43920","39840"
"In post","2021","Heterosexual / straight","Unknown","Inner London - West","2370","2320","45220","40650"
"In post","2021","Heterosexual / straight","Unknown","Kent","180","180","32890","30420"
"In post","2021","Heterosexual / straight","Unknown","Lancashire","280","260","28770","25990"
"In post","2021","Heterosexual / straight","Unknown","Leicestershire, Rutland and Northamptonshire","140","130","30020","26670"
"In post","2021","Heterosexual / straight","Unknown","Lincolnshire","80","80","27350","21580"
"In post","2021","Heterosexual / straight","Unknown","Merseyside","580","550","32590","27770"
"In post","2021","Heterosexual / straight","Unknown","North Eastern Scotland","190","180","34530","33650"
"In post","2021","Heterosexual / straight","Unknown","North Yorkshire","140","130","32600","28720"
"In post","2021","Heterosexual / straight","Unknown","Northern Ireland","230","220","29250","25560"
"In post","2021","Heterosexual / straight","Unknown","Northumberland and Tyne and Wear","630","550","28830","25560"
"In post","2021","Heterosexual / straight","Unknown","Outer London - East and North East","50","50","28910","30870"
"In post","2021","Heterosexual / straight","Unknown","Outer London - South","200","190","39690","36220"
"In post","2021","Heterosexual / straight","Unknown","Outer London - West and North West","240","230","38550","32520"
"In post","2021","Heterosexual / straight","Unknown","Overseas","180","180","55300","54540"
"In post","2021","Heterosexual / straight","Unknown","Shropshire and Staffordshire","200","190","32950","27130"
"In post","2021","Heterosexual / straight","Unknown","South Yorkshire","200","200","33110","31540"
"In post","2021","Heterosexual / straight","Unknown","Southern Scotland","330","290","30030","26570"
"In post","2021","Heterosexual / straight","Unknown","Surrey, East and West Sussex","150","140","34510","30720"
"In post","2021","Heterosexual / straight","Unknown","Tees Valley and Durham","200","190","27050","22350"
"In post","2021","Heterosexual / straight","Unknown","Unknown","50","50","42680","42080"
"In post","2021","Heterosexual / straight","Unknown","West Central Scotland","1360","1280","36330","33650"
"In post","2021","Heterosexual / straight","Unknown","West Midlands","670","640","34070","31810"
"In post","2021","Heterosexual / straight","Unknown","West Wales and The Valleys","280","260","27130","22500"
"In post","2021","Heterosexual / straight","Unknown","West Yorkshire","520","490","36330","32770"
"In post","2021","LGBO","Declared disabled","Bedfordshire and Hertfordshire","40","40","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","70","70","29340","28670"
"In post","2021","LGBO","Declared disabled","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Derbyshire and Nottinghamshire","110","100","30080","27570"
"In post","2021","LGBO","Declared disabled","Devon","70","60","27400","27570"
"In post","2021","LGBO","Declared disabled","Dorset and Somerset","40","40","[c]","[c]"
"In post","2021","LGBO","Declared disabled","East Anglia","80","80","27400","27570"
"In post","2021","LGBO","Declared disabled","East Wales","160","160","31740","27570"
"In post","2021","LGBO","Declared disabled","East Yorkshire and Northern Lincolnshire","40","30","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Eastern Scotland","200","190","32820","28170"
"In post","2021","LGBO","Declared disabled","Essex","50","50","29260","29290"
"In post","2021","LGBO","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","230","220","31930","28650"
"In post","2021","LGBO","Declared disabled","Greater Manchester","200","200","29480","27570"
"In post","2021","LGBO","Declared disabled","Hampshire and Isle of Wight","120","110","29650","27570"
"In post","2021","LGBO","Declared disabled","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Inner London - East","140","140","38490","32260"
"In post","2021","LGBO","Declared disabled","Inner London - West","670","660","45020","40050"
"In post","2021","LGBO","Declared disabled","Kent","80","70","29570","29290"
"In post","2021","LGBO","Declared disabled","Lancashire","120","110","26540","27570"
"In post","2021","LGBO","Declared disabled","Leicestershire, Rutland and Northamptonshire","60","50","27280","27570"
"In post","2021","LGBO","Declared disabled","Lincolnshire","30","30","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Merseyside","120","110","28300","25560"
"In post","2021","LGBO","Declared disabled","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","North Yorkshire","40","40","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Northumberland and Tyne and Wear","140","130","27340","25560"
"In post","2021","LGBO","Declared disabled","Outer London - East and North East","40","40","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Outer London - South","70","70","38500","34960"
"In post","2021","LGBO","Declared disabled","Outer London - West and North West","50","50","33660","31060"
"In post","2021","LGBO","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Shropshire and Staffordshire","80","80","27750","25790"
"In post","2021","LGBO","Declared disabled","South Yorkshire","90","90","31320","27570"
"In post","2021","LGBO","Declared disabled","Southern Scotland","40","40","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Surrey, East and West Sussex","100","100","29140","27570"
"In post","2021","LGBO","Declared disabled","Tees Valley and Durham","50","50","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","West Central Scotland","150","140","29160","25870"
"In post","2021","LGBO","Declared disabled","West Midlands","160","150","28070","27570"
"In post","2021","LGBO","Declared disabled","West Wales and The Valleys","100","90","27910","26410"
"In post","2021","LGBO","Declared disabled","West Yorkshire","150","140","29940","27570"
"In post","2021","LGBO","Declared non-disabled","Bedfordshire and Hertfordshire","100","100","31900","29430"
"In post","2021","LGBO","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","250","240","31170","29290"
"In post","2021","LGBO","Declared non-disabled","Cheshire","100","100","29190","27570"
"In post","2021","LGBO","Declared non-disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared non-disabled","Cumbria","50","50","[c]","[c]"
"In post","2021","LGBO","Declared non-disabled","Derbyshire and Nottinghamshire","310","300","31000","27470"
"In post","2021","LGBO","Declared non-disabled","Devon","160","150","26860","25680"
"In post","2021","LGBO","Declared non-disabled","Dorset and Somerset","110","110","28260","27570"
"In post","2021","LGBO","Declared non-disabled","East Anglia","270","260","28520","27150"
"In post","2021","LGBO","Declared non-disabled","East Wales","600","590","32100","27570"
"In post","2021","LGBO","Declared non-disabled","East Yorkshire and Northern Lincolnshire","110","110","26600","26410"
"In post","2021","LGBO","Declared non-disabled","Eastern Scotland","430","420","34750","30080"
"In post","2021","LGBO","Declared non-disabled","Essex","130","120","30520","29290"
"In post","2021","LGBO","Declared non-disabled","Gloucestershire, Wiltshire and Bath/Bristol area","680","660","33300","29180"
"In post","2021","LGBO","Declared non-disabled","Greater Manchester","680","670","31480","27570"
"In post","2021","LGBO","Declared non-disabled","Hampshire and Isle of Wight","300","300","30930","27570"
"In post","2021","LGBO","Declared non-disabled","Herefordshire, Worcestershire and Warwickshire","110","100","28940","24920"
"In post","2021","LGBO","Declared non-disabled","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared non-disabled","Inner London - East","540","530","43290","36370"
"In post","2021","LGBO","Declared non-disabled","Inner London - West","2520","2480","48130","44660"
"In post","2021","LGBO","Declared non-disabled","Kent","230","220","30560","29290"
"In post","2021","LGBO","Declared non-disabled","Lancashire","300","290","27580","26560"
"In post","2021","LGBO","Declared non-disabled","Leicestershire, Rutland and Northamptonshire","150","150","28030","27380"
"In post","2021","LGBO","Declared non-disabled","Lincolnshire","40","40","[c]","[c]"
"In post","2021","LGBO","Declared non-disabled","Merseyside","420","400","28500","25380"
"In post","2021","LGBO","Declared non-disabled","North Eastern Scotland","40","40","[c]","[c]"
"In post","2021","LGBO","Declared non-disabled","North Yorkshire","130","130","33010","29180"
"In post","2021","LGBO","Declared non-disabled","Northern Ireland","70","60","26490","25310"
"In post","2021","LGBO","Declared non-disabled","Northumberland and Tyne and Wear","490","470","28840","25560"
"In post","2021","LGBO","Declared non-disabled","Outer London - East and North East","70","70","31810","31060"
"In post","2021","LGBO","Declared non-disabled","Outer London - South","200","200","40020","35200"
"In post","2021","LGBO","Declared non-disabled","Outer London - West and North West","200","190","33960","31060"
"In post","2021","LGBO","Declared non-disabled","Overseas","130","130","52300","52630"
"In post","2021","LGBO","Declared non-disabled","Shropshire and Staffordshire","210","200","28160","26750"
"In post","2021","LGBO","Declared non-disabled","South Yorkshire","250","240","31490","27570"
"In post","2021","LGBO","Declared non-disabled","Southern Scotland","90","80","30680","26780"
"In post","2021","LGBO","Declared non-disabled","Surrey, East and West Sussex","310","300","29110","27570"
"In post","2021","LGBO","Declared non-disabled","Tees Valley and Durham","210","200","28450","27130"
"In post","2021","LGBO","Declared non-disabled","Unknown","50","40","[c]","[c]"
"In post","2021","LGBO","Declared non-disabled","West Central Scotland","410","400","30490","27570"
"In post","2021","LGBO","Declared non-disabled","West Midlands","340","320","31530","27570"
"In post","2021","LGBO","Declared non-disabled","West Wales and The Valleys","320","300","28620","26290"
"In post","2021","LGBO","Declared non-disabled","West Yorkshire","480","460","31360","27570"
"In post","2021","LGBO","Undeclared","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Devon","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","East Wales","30","30","[c]","[c]"
"In post","2021","LGBO","Undeclared","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Eastern Scotland","30","30","[c]","[c]"
"In post","2021","LGBO","Undeclared","Essex","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","50","50","36360","33380"
"In post","2021","LGBO","Undeclared","Greater Manchester","60","50","28520","27570"
"In post","2021","LGBO","Undeclared","Hampshire and Isle of Wight","40","40","[c]","[c]"
"In post","2021","LGBO","Undeclared","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Inner London - East","30","30","[c]","[c]"
"In post","2021","LGBO","Undeclared","Inner London - West","170","170","44430","38190"
"In post","2021","LGBO","Undeclared","Kent","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Lancashire","30","30","[c]","[c]"
"In post","2021","LGBO","Undeclared","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Merseyside","30","30","[c]","[c]"
"In post","2021","LGBO","Undeclared","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Northumberland and Tyne and Wear","50","40","[c]","[c]"
"In post","2021","LGBO","Undeclared","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","West Yorkshire","50","40","[c]","[c]"
"In post","2021","LGBO","Unknown","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Cheshire","40","40","[c]","[c]"
"In post","2021","LGBO","Unknown","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Derbyshire and Nottinghamshire","30","30","[c]","[c]"
"In post","2021","LGBO","Unknown","Devon","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","East Wales","70","70","30310","29540"
"In post","2021","LGBO","Unknown","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Eastern Scotland","110","110","36960","33650"
"In post","2021","LGBO","Unknown","Essex","[c]","[c]","[c]","[c]"
