"Status","Year","Responsibility_level","Region_ITL3","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Greater Manchester North East","Greater Manchester","350","320","22930","21010"
"In post","2021","AA/AO","Greater Manchester North West","Greater Manchester","1060","940","21580","21010"
"In post","2021","AA/AO","Greater Manchester South East","Greater Manchester","690","610","20870","21010"
"In post","2021","AA/AO","Greater Manchester South West","Greater Manchester","1690","1520","20490","20140"
"In post","2021","AA/AO","Gwent Valleys","West Wales and The Valleys","340","290","20910","21010"
"In post","2021","AA/AO","Gwynedd","West Wales and The Valleys","410","370","21140","21010"
"In post","2021","AA/AO","Hackney and Newham","Inner London - East","770","670","24260","25060"
"In post","2021","AA/AO","Haringey and Islington","Inner London - East","700","670","27950","25450"
"In post","2021","AA/AO","Harrow and Hillingdon","Outer London - West and North West","610","560","25100","25630"
"In post","2021","AA/AO","Hartlepool and Stockton-on-Tees","Tees Valley and Durham","810","730","23360","21010"
"In post","2021","AA/AO","Heart of Essex","Essex","440","410","25280","24510"
"In post","2021","AA/AO","Herefordshire, County of","Herefordshire, Worcestershire and Warwickshire","220","210","25050","21010"
"In post","2021","AA/AO","Hertfordshire","Bedfordshire and Hertfordshire","700","650","25330","24240"
"In post","2021","AA/AO","Hounslow and Richmond upon Thames","Outer London - West and North West","960","890","26830","25110"
"In post","2021","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","West Central Scotland","340","300","21770","21010"
"In post","2021","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","Highlands and Islands","470","440","21660","21010"
"In post","2021","AA/AO","Isle of Anglesey","West Wales and The Valleys","70","70","22240","21130"
"In post","2021","AA/AO","Isle of Wight","Hampshire and Isle of Wight","570","520","24850","24040"
"In post","2021","AA/AO","Kensington & Chelsea and Hammersmith & Fulham","Inner London - West","440","420","30330","31550"
"In post","2021","AA/AO","Kent Thames Gateway","Kent","970","920","27480","29120"
"In post","2021","AA/AO","Kingston upon Hull, City of","East Yorkshire and Northern Lincolnshire","830","740","23400","21950"
"In post","2021","AA/AO","Lambeth","Inner London - East","480","460","27900","25860"
"In post","2021","AA/AO","Lancaster and Wyre","Lancashire","480","440","22900","21130"
"In post","2021","AA/AO","Leeds","West Yorkshire","2740","2540","21880","21010"
"In post","2021","AA/AO","Leicester","Leicestershire, Rutland and Northamptonshire","1200","1060","21120","21010"
"In post","2021","AA/AO","Leicestershire CC and Rutland","Leicestershire, Rutland and Northamptonshire","960","890","23180","21580"
"In post","2021","AA/AO","Lewisham and Southwark","Inner London - East","280","260","25980","25110"
"In post","2021","AA/AO","Lincolnshire","Lincolnshire","1290","1210","22240","21010"
"In post","2021","AA/AO","Lisburn and Castlereagh","Northern Ireland","200","190","21360","21670"
"In post","2021","AA/AO","Liverpool","Merseyside","3650","3260","21460","21430"
"In post","2021","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Highlands and Islands","160","140","23900","22920"
"In post","2021","AA/AO","Luton","Bedfordshire and Hertfordshire","140","120","20370","20650"
"In post","2021","AA/AO","Manchester","Greater Manchester","1930","1770","21690","21000"
"In post","2021","AA/AO","Medway","Kent","640","600","25150","24310"
"In post","2021","AA/AO","Merton, Kingston upon Thames and Sutton","Outer London - South","130","120","22290","22080"
"In post","2021","AA/AO","Mid and East Antrim","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Kent","Kent","330","310","24280","23240"
"In post","2021","AA/AO","Mid Lancashire","Lancashire","2830","2470","21520","21010"
"In post","2021","AA/AO","Milton Keynes","Berkshire, Buckinghamshire and Oxfordshire","870","840","25210","24380"
"In post","2021","AA/AO","Monmouthshire and Newport","East Wales","1100","970","20930","20180"
"In post","2021","AA/AO","Na h-Eileanan Siar","Highlands and Islands","100","90","21520","21010"
"In post","2021","AA/AO","Newry, Mourne and Down","Northern Ireland","60","60","20470","20310"
"In post","2021","AA/AO","North and North East Lincolnshire","East Yorkshire and Northern Lincolnshire","300","260","20880","21010"
"In post","2021","AA/AO","North and West Norfolk","East Anglia","500","470","24190","21240"
"In post","2021","AA/AO","North Hampshire","Hampshire and Isle of Wight","300","280","21290","20920"
"In post","2021","AA/AO","North Lanarkshire","West Central Scotland","1460","1220","20910","20640"
"In post","2021","AA/AO","North Northamptonshire","Leicestershire, Rutland and Northamptonshire","200","170","21220","21010"
"In post","2021","AA/AO","North Nottinghamshire","Derbyshire and Nottinghamshire","420","400","24120","23240"
"In post","2021","AA/AO","North Yorkshire CC","North Yorkshire","810","770","23110","20920"
"In post","2021","AA/AO","Northumberland","Northumberland and Tyne and Wear","90","80","20450","20920"
"In post","2021","AA/AO","Norwich and East Norfolk","East Anglia","630","570","22200","21010"
"In post","2021","AA/AO","Nottingham","Derbyshire and Nottinghamshire","2080","1890","21190","20600"
"In post","2021","AA/AO","Orkney Islands","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Overseas","50","50","22460","23000"
"In post","2021","AA/AO","Oxfordshire","Berkshire, Buckinghamshire and Oxfordshire","1150","1080","24240","21500"
"In post","2021","AA/AO","Perth and Kinross and Stirling","Eastern Scotland","460","430","23480","22920"
"In post","2021","AA/AO","Peterborough","East Anglia","690","600","20990","21430"
"In post","2021","AA/AO","Plymouth","Devon","1000","910","22880","21100"
"In post","2021","AA/AO","Portsmouth","Hampshire and Isle of Wight","1350","1230","22540","20920"
"In post","2021","AA/AO","Powys","East Wales","220","210","21090","20920"
"In post","2021","AA/AO","Redbridge and Waltham Forest","Outer London - East and North East","370","320","23780","25110"
"In post","2021","AA/AO","Sandwell","West Midlands","60","50","20710","21010"
"In post","2021","AA/AO","Scottish Borders","Southern Scotland","180","160","23700","24110"
"In post","2021","AA/AO","Sefton","Merseyside","2240","1930","20600","20660"
"In post","2021","AA/AO","Sheffield","South Yorkshire","1580","1390","20950","21430"
"In post","2021","AA/AO","Shetland Islands","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Shropshire CC","Shropshire and Staffordshire","450","430","23550","21710"
"In post","2021","AA/AO","Solihull","West Midlands","210","190","21100","21430"
"In post","2021","AA/AO","Somerset","Dorset and Somerset","530","480","20540","20920"
"In post","2021","AA/AO","South and West Derbyshire","Derbyshire and Nottinghamshire","340","310","24550","22850"
"In post","2021","AA/AO","South Ayrshire","Southern Scotland","90","80","21360","21050"
"In post","2021","AA/AO","South Hampshire","Hampshire and Isle of Wight","1350","940","20270","19520"
"In post","2021","AA/AO","South Lanarkshire","Southern Scotland","1420","1210","20610","20140"
"In post","2021","AA/AO","South Nottinghamshire","Derbyshire and Nottinghamshire","350","330","24130","22160"
"In post","2021","AA/AO","South Teesside","Tees Valley and Durham","440","390","20550","21010"
"In post","2021","AA/AO","South West Wales","West Wales and The Valleys","480","440","21590","21010"
"In post","2021","AA/AO","Southampton","Hampshire and Isle of Wight","280","240","20860","21010"
"In post","2021","AA/AO","Southend-on-Sea","Essex","310","260","21420","21440"
"In post","2021","AA/AO","Staffordshire CC","Shropshire and Staffordshire","1740","1630","23700","22850"
"In post","2021","AA/AO","Stoke-on-Trent","Shropshire and Staffordshire","600","520","19620","18880"
"In post","2021","AA/AO","Suffolk","East Anglia","1690","1570","23030","21400"
"In post","2021","AA/AO","Sunderland","Northumberland and Tyne and Wear","2380","1890","20740","21010"
"In post","2021","AA/AO","Swansea","West Wales and The Valleys","5140","4400","21000","21590"
"In post","2021","AA/AO","Swindon","Gloucestershire, Wiltshire and Bath/Bristol area","100","90","20080","19570"
"In post","2021","AA/AO","Telford and Wrekin","Shropshire and Staffordshire","460","410","21840","21010"
"In post","2021","AA/AO","Thurrock","Essex","110","110","21740","21430"
"In post","2021","AA/AO","Torbay","Devon","150","120","20650","21010"
"In post","2021","AA/AO","Tower Hamlets","Inner London - East","490","450","23610","23500"
"In post","2021","AA/AO","Tyneside","Northumberland and Tyne and Wear","6530","5600","20710","21010"
"In post","2021","AA/AO","Unknown","Unknown","240","220","22240","21010"
"In post","2021","AA/AO","Wakefield","West Yorkshire","760","690","25590","24740"
"In post","2021","AA/AO","Walsall","West Midlands","260","210","20620","21010"
"In post","2021","AA/AO","Wandsworth","Inner London - West","650","610","29480","30220"
"In post","2021","AA/AO","Warrington","Cheshire","760","690","23410","21300"
"In post","2021","AA/AO","Warwickshire","Herefordshire, Worcestershire and Warwickshire","490","440","20940","21010"
"In post","2021","AA/AO","West Cumbria","Cumbria","580","520","22240","21050"
"In post","2021","AA/AO","West Essex","Essex","90","80","20880","21430"
"In post","2021","AA/AO","West Kent","Kent","40","40","[c]","[c]"
"In post","2021","AA/AO","West Lothian","Eastern Scotland","180","170","22360","21010"
"In post","2021","AA/AO","West Northamptonshire","Leicestershire, Rutland and Northamptonshire","550","500","21800","20320"
"In post","2021","AA/AO","West Surrey","Surrey, East and West Sussex","750","710","24890","24370"
"In post","2021","AA/AO","West Sussex (North East)","Surrey, East and West Sussex","150","130","22210","22360"
"In post","2021","AA/AO","West Sussex (South West)","Surrey, East and West Sussex","390","350","21860","21010"
"In post","2021","AA/AO","Westminster","Inner London - West","2540","2420","24410","24120"
"In post","2021","AA/AO","Wiltshire","Gloucestershire, Wiltshire and Bath/Bristol area","1250","1190","22080","20920"
"In post","2021","AA/AO","Wirral","Merseyside","1000","860","21070","21010"
"In post","2021","AA/AO","Wolverhampton","West Midlands","360","300","20320","21010"
"In post","2021","AA/AO","Worcestershire","Herefordshire, Worcestershire and Warwickshire","1110","1050","23760","22850"
"In post","2021","AA/AO","York","North Yorkshire","570","530","21530","21010"
"In post","2021","EO","Aberdeen City and Aberdeenshire","North Eastern Scotland","600","560","29290","27570"
"In post","2021","EO","Angus and Dundee City","Eastern Scotland","490","450","27430","27570"
"In post","2021","EO","Antrim and Newtownabbey","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ards and North Down","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Barking & Dagenham and Havering","Outer London - East and North East","380","350","30980","31060"
"In post","2021","EO","Barnet","Outer London - West and North West","440","410","30040","31060"
"In post","2021","EO","Barnsley, Doncaster and Rotherham","South Yorkshire","940","820","28310","27570"
"In post","2021","EO","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","2610","2480","24800","25750"
"In post","2021","EO","Bedford","Bedfordshire and Hertfordshire","280","260","27760","27570"
"In post","2021","EO","Belfast","Northern Ireland","820","770","26290","25560"
"In post","2021","EO","Berkshire","Berkshire, Buckinghamshire and Oxfordshire","800","750","30940","29290"
"In post","2021","EO","Bexley and Greenwich","Outer London - East and North East","550","510","32070","31060"
"In post","2021","EO","Birmingham","West Midlands","3310","3060","26620","27570"
"In post","2021","EO","Blackburn with Darwen","Lancashire","220","200","27500","27570"
"In post","2021","EO","Blackpool","Lancashire","1860","1680","27440","27570"
"In post","2021","EO","Bournemouth and Poole","Dorset and Somerset","330","290","27070","27570"
"In post","2021","EO","Bradford","West Yorkshire","950","850","26690","27570"
"In post","2021","EO","Breckland and South Norfolk","East Anglia","130","120","28750","27570"
"In post","2021","EO","Brent","Outer London - West and North West","270","260","30670","31060"
"In post","2021","EO","Bridgend and Neath Port Talbot","West Wales and The Valleys","290","260","27980","27570"
"In post","2021","EO","Brighton and Hove","Surrey, East and West Sussex","270","240","27590","27570"
"In post","2021","EO","Bristol, City of","Gloucestershire, Wiltshire and Bath/Bristol area","1430","1310","26650","27250"
"In post","2021","EO","Bromley","Outer London - South","240","220","31060","31060"
"In post","2021","EO","Buckinghamshire CC","Berkshire, Buckinghamshire and Oxfordshire","490","470","28760","28350"
"In post","2021","EO","Caithness and Sutherland and Ross and Cromarty","Highlands and Islands","90","90","29660","28120"
"In post","2021","EO","Calderdale and Kirklees","West Yorkshire","610","550","27310","27570"
"In post","2021","EO","Cambridgeshire CC","East Anglia","710","670","27980","27570"
"In post","2021","EO","Camden and City of London","Inner London - West","930","880","29720","29570"
"In post","2021","EO","Cardiff and Vale of Glamorgan","East Wales","3320","3110","26860","26930"
"In post","2021","EO","Causeway Coast and Glens","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Central Bedfordshire","Bedfordshire and Hertfordshire","130","120","28060","27390"
"In post","2021","EO","Central Hampshire","Hampshire and Isle of Wight","720","680","27210","26670"
"In post","2021","EO","Central Valleys","West Wales and The Valleys","550","500","27760","27570"
"In post","2021","EO","Cheshire East","Cheshire","240","220","27510","27570"
"In post","2021","EO","Cheshire West and Chester","Cheshire","180","160","27190","27570"
"In post","2021","EO","Chorley and West Lancashire","Lancashire","320","290","29650","27570"
"In post","2021","EO","City of Edinburgh","Eastern Scotland","2630","2500","28470","28130"
"In post","2021","EO","Clackmannanshire and Fife","Eastern Scotland","550","510","29470","27570"
"In post","2021","EO","Conwy and Denbighshire","West Wales and The Valleys","170","160","27720","27570"
"In post","2021","EO","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","620","570","27220","27570"
"In post","2021","EO","Coventry","West Midlands","580","540","27010","27130"
"In post","2021","EO","Croydon","Outer London - South","2600","2450","29660","29370"
"In post","2021","EO","Darlington","Tees Valley and Durham","190","170","26370","26000"
"In post","2021","EO","Derby","Derbyshire and Nottinghamshire","300","270","27480","27570"
"In post","2021","EO","Devon CC","Devon","1330","1210","26930","27570"
"In post","2021","EO","Dorset CC","Dorset and Somerset","560","520","28090","27130"
"In post","2021","EO","Dudley","West Midlands","480","420","27300","27570"
"In post","2021","EO","Dumfries and Galloway","Southern Scotland","220","200","30370","29190"
"In post","2021","EO","Durham CC","Tees Valley and Durham","1250","1130","27690","27130"
"In post","2021","EO","Ealing","Outer London - West and North West","350","330","31200","31060"
"In post","2021","EO","East Ayrshire and North Ayrshire mainland","Southern Scotland","470","430","25690","27570"
"In post","2021","EO","East Cumbria","Cumbria","300","280","25240","25740"
"In post","2021","EO","East Derbyshire","Derbyshire and Nottinghamshire","200","180","27320","27570"
"In post","2021","EO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","West Central Scotland","620","590","30790","28210"
"In post","2021","EO","East Kent","Kent","2380","2150","27420","27370"
"In post","2021","EO","East Lancashire","Lancashire","210","190","27280","27570"
"In post","2021","EO","East Lothian and Midlothian","Eastern Scotland","80","70","27370","27570"
"In post","2021","EO","East Merseyside","Merseyside","520","460","27490","27570"
"In post","2021","EO","East Riding of Yorkshire","East Yorkshire and Northern Lincolnshire","600","580","28510","27160"
"In post","2021","EO","East Surrey","Surrey, East and West Sussex","230","210","31570","29290"
"In post","2021","EO","East Sussex CC","Surrey, East and West Sussex","740","670","27360","27570"
"In post","2021","EO","Enfield","Outer London - East and North East","250","230","30950","31060"
"In post","2021","EO","Essex Haven Gateway","Essex","510","480","29800","29290"
"In post","2021","EO","Essex Thames Gateway","Essex","410","370","29510","29290"
"In post","2021","EO","Falkirk","Eastern Scotland","690","620","29420","27570"
"In post","2021","EO","Flintshire and Wrexham","East Wales","660","620","27990","27570"
"In post","2021","EO","Glasgow City","West Central Scotland","3250","3000","27290","27570"
"In post","2021","EO","Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","540","480","27450","27570"
"In post","2021","EO","Greater Manchester North East","Greater Manchester","590","560","27650","27570"
"In post","2021","EO","Greater Manchester North West","Greater Manchester","650","580","27420","27570"
"In post","2021","EO","Greater Manchester South East","Greater Manchester","410","380","27190","27570"
"In post","2021","EO","Greater Manchester South West","Greater Manchester","1720","1630","25860","25560"
"In post","2021","EO","Gwent Valleys","West Wales and The Valleys","470","430","27490","27570"
"In post","2021","EO","Gwynedd","West Wales and The Valleys","190","170","27520","27570"
"In post","2021","EO","Hackney and Newham","Inner London - East","1090","1010","30850","31060"
"In post","2021","EO","Haringey and Islington","Inner London - East","510","480","31130","31060"
"In post","2021","EO","Harrow and Hillingdon","Outer London - West and North West","2010","1780","29540","29080"
"In post","2021","EO","Hartlepool and Stockton-on-Tees","Tees Valley and Durham","510","460","28070","27570"
"In post","2021","EO","Heart of Essex","Essex","330","320","28970","29290"
"In post","2021","EO","Herefordshire, County of","Herefordshire, Worcestershire and Warwickshire","140","130","28120","27570"
"In post","2021","EO","Hertfordshire","Bedfordshire and Hertfordshire","920","860","29990","29290"
"In post","2021","EO","Hounslow and Richmond upon Thames","Outer London - West and North West","940","890","30020","29250"
"In post","2021","EO","Inverclyde, East Renfrewshire and Renfrewshire","West Central Scotland","470","430","28650","27570"
"In post","2021","EO","Inverness and Nairn and Moray, Badenoch and Strathspey","Highlands and Islands","380","360","28680","27570"
"In post","2021","EO","Isle of Anglesey","West Wales and The Valleys","130","120","26910","27370"
"In post","2021","EO","Isle of Wight","Hampshire and Isle of Wight","220","190","28300","27570"
"In post","2021","EO","Kensington & Chelsea and Hammersmith & Fulham","Inner London - West","270","260","32040","31060"
"In post","2021","EO","Kent Thames Gateway","Kent","400","380","30370","29290"
"In post","2021","EO","Kingston upon Hull, City of","East Yorkshire and Northern Lincolnshire","710","630","27410","27570"
"In post","2021","EO","Lambeth","Inner London - East","1280","1220","32180","31880"
"In post","2021","EO","Lancaster and Wyre","Lancashire","370","340","27570","27570"
"In post","2021","EO","Leeds","West Yorkshire","3010","2820","26470","26160"
"In post","2021","EO","Leicester","Leicestershire, Rutland and Northamptonshire","750","680","27030","27570"
"In post","2021","EO","Leicestershire CC and Rutland","Leicestershire, Rutland and Northamptonshire","550","510","27620","27380"
"In post","2021","EO","Lewisham and Southwark","Inner London - East","570","560","30090","31060"
"In post","2021","EO","Lincolnshire","Lincolnshire","750","700","27810","27570"
"In post","2021","EO","Lisburn and Castlereagh","Northern Ireland","100","100","27210","27240"
"In post","2021","EO","Liverpool","Merseyside","3050","2790","25710","25310"
"In post","2021","EO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Highlands and Islands","130","120","28970","28120"
"In post","2021","EO","Luton","Bedfordshire and Hertfordshire","280","240","27590","27570"
"In post","2021","EO","Manchester","Greater Manchester","2430","2300","26450","26120"
"In post","2021","EO","Medway","Kent","410","390","30710","29290"
"In post","2021","EO","Merton, Kingston upon Thames and Sutton","Outer London - South","380","360","31420","31060"
"In post","2021","EO","Mid Kent","Kent","300","280","29500","29290"
"In post","2021","EO","Mid Lancashire","Lancashire","1390","1260","27040","27570"
"In post","2021","EO","Milton Keynes","Berkshire, Buckinghamshire and Oxfordshire","570","550","28320","27570"
"In post","2021","EO","Monmouthshire and Newport","East Wales","1360","1260","25610","25040"
"In post","2021","EO","Na h-Eileanan Siar","Highlands and Islands","50","40","[c]","[c]"
"In post","2021","EO","Newry, Mourne and Down","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","EO","North and North East Lincolnshire","East Yorkshire and Northern Lincolnshire","350","320","27130","27570"
"In post","2021","EO","North and West Norfolk","East Anglia","210","190","28450","27570"
"In post","2021","EO","North Hampshire","Hampshire and Isle of Wight","270","250","27220","27570"
"In post","2021","EO","North Lanarkshire","West Central Scotland","850","770","28110","27570"
"In post","2021","EO","North Northamptonshire","Leicestershire, Rutland and Northamptonshire","250","230","27640","27570"
"In post","2021","EO","North Nottinghamshire","Derbyshire and Nottinghamshire","320","300","27800","27570"
"In post","2021","EO","North Yorkshire CC","North Yorkshire","530","500","28020","27570"
"In post","2021","EO","Northumberland","Northumberland and Tyne and Wear","190","170","27250","27570"
"In post","2021","EO","Norwich and East Norfolk","East Anglia","560","490","27230","27570"
"In post","2021","EO","Nottingham","Derbyshire and Nottinghamshire","2150","2000","26100","25860"
"In post","2021","EO","Orkney Islands","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","EO","Overseas","Overseas","280","270","28020","27370"
"In post","2021","EO","Oxfordshire","Berkshire, Buckinghamshire and Oxfordshire","560","530","28350","27570"
"In post","2021","EO","Perth and Kinross and Stirling","Eastern Scotland","570","530","30650","30160"
"In post","2021","EO","Peterborough","East Anglia","460","410","26910","27130"
"In post","2021","EO","Plymouth","Devon","900","830","27120","27130"
"In post","2021","EO","Portsmouth","Hampshire and Isle of Wight","1160","1080","27310","26670"
"In post","2021","EO","Powys","East Wales","160","150","27610","27570"
"In post","2021","EO","Redbridge and Waltham Forest","Outer London - East and North East","540","500","30680","31060"
"In post","2021","EO","Sandwell","West Midlands","270","250","27320","27570"
"In post","2021","EO","Scottish Borders","Southern Scotland","190","170","28120","27570"
"In post","2021","EO","Sefton","Merseyside","1870","1720","26390","26410"
"In post","2021","EO","Sheffield","South Yorkshire","1800","1630","26350","26000"
"In post","2021","EO","Shetland Islands","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","EO","Shropshire CC","Shropshire and Staffordshire","430","410","28350","27570"
"In post","2021","EO","Solihull","West Midlands","530","490","26230","25560"
"In post","2021","EO","Somerset","Dorset and Somerset","730","660","26920","27570"
"In post","2021","EO","South and West Derbyshire","Derbyshire and Nottinghamshire","370","330","27880","27570"
"In post","2021","EO","South Ayrshire","Southern Scotland","180","170","27510","27570"
"In post","2021","EO","South Hampshire","Hampshire and Isle of Wight","980","920","26140","26520"
"In post","2021","EO","South Lanarkshire","Southern Scotland","840","730","26240","26120"
"In post","2021","EO","South Nottinghamshire","Derbyshire and Nottinghamshire","200","190","28130","27570"
"In post","2021","EO","South Teesside","Tees Valley and Durham","420","380","26860","27570"
