"Status","Year","Ethnicity","Age","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","65+","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","South East (England)","50","40","28430","26620"
"In post","2021","Asian","65+","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","East Midlands (England)","50","50","24130","22890"
"In post","2021","Black","20-29","East of England","80","80","26780","27570"
"In post","2021","Black","20-29","London","1500","1490","31650","31060"
"In post","2021","Black","20-29","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","North West (England)","110","100","26830","25560"
"In post","2021","Black","20-29","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","South East (England)","110","100","27850","27570"
"In post","2021","Black","20-29","South West (England)","50","50","25230","25530"
"In post","2021","Black","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","West Midlands (England)","130","130","25930","25560"
"In post","2021","Black","20-29","Yorkshire and The Humber","70","60","25060","24890"
"In post","2021","Black","30-39","East Midlands (England)","110","100","25630","25560"
"In post","2021","Black","30-39","East of England","120","120","29930","29290"
"In post","2021","Black","30-39","London","1780","1730","35340","31130"
"In post","2021","Black","30-39","North East (England)","40","40","[c]","[c]"
"In post","2021","Black","30-39","North West (England)","200","190","29020","27570"
"In post","2021","Black","30-39","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Scotland","80","70","28960","27570"
"In post","2021","Black","30-39","South East (England)","170","160","30480","29290"
"In post","2021","Black","30-39","South West (England)","170","170","32710","31810"
"In post","2021","Black","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Wales","50","50","27550","25560"
"In post","2021","Black","30-39","West Midlands (England)","260","250","27920","26140"
"In post","2021","Black","30-39","Yorkshire and The Humber","100","100","27650","25920"
"In post","2021","Black","40-49","East Midlands (England)","110","110","26660","26330"
"In post","2021","Black","40-49","East of England","140","130","32370","29290"
"In post","2021","Black","40-49","London","2160","2070","36420","31880"
"In post","2021","Black","40-49","North East (England)","60","50","27630","25560"
"In post","2021","Black","40-49","North West (England)","200","190","28520","26750"
"In post","2021","Black","40-49","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Scotland","100","100","33520","27570"
"In post","2021","Black","40-49","South East (England)","220","210","30860","29290"
"In post","2021","Black","40-49","South West (England)","150","140","34660","32700"
"In post","2021","Black","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Wales","60","60","29580","27460"
"In post","2021","Black","40-49","West Midlands (England)","250","240","29170","27570"
"In post","2021","Black","40-49","Yorkshire and The Humber","130","130","29820","27570"
"In post","2021","Black","50-59","East Midlands (England)","190","170","29380","27570"
"In post","2021","Black","50-59","East of England","210","200","31550","29290"
"In post","2021","Black","50-59","London","3550","3450","35030","31060"
"In post","2021","Black","50-59","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","North West (England)","170","160","29240","27370"
"In post","2021","Black","50-59","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Scotland","30","30","[c]","[c]"
"In post","2021","Black","50-59","South East (England)","270","260","31400","29290"
"In post","2021","Black","50-59","South West (England)","120","110","33630","30830"
"In post","2021","Black","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Wales","30","30","[c]","[c]"
"In post","2021","Black","50-59","West Midlands (England)","420","400","28820","27570"
"In post","2021","Black","50-59","Yorkshire and The Humber","180","170","31500","27570"
"In post","2021","Black","60-64","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Black","60-64","East of England","30","30","[c]","[c]"
"In post","2021","Black","60-64","London","740","690","32380","30630"
"In post","2021","Black","60-64","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","North West (England)","40","40","[c]","[c]"
"In post","2021","Black","60-64","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","South East (England)","60","50","29130","26990"
"In post","2021","Black","60-64","South West (England)","30","30","[c]","[c]"
"In post","2021","Black","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","West Midlands (England)","120","100","27290","26120"
"In post","2021","Black","60-64","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Black","65+","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","London","230","200","29890","26280"
"In post","2021","Black","65+","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","16-19","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","London","130","130","38810","35070"
"In post","2021","Chinese","20-29","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","20-29","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","London","180","180","46090","42410"
"In post","2021","Chinese","30-39","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","North West (England)","40","40","[c]","[c]"
"In post","2021","Chinese","30-39","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","30-39","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","London","170","160","43690","38860"
"In post","2021","Chinese","40-49","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","North West (England)","40","30","[c]","[c]"
"In post","2021","Chinese","40-49","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","40-49","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","London","90","90","44240","37910"
"In post","2021","Chinese","50-59","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","North West (England)","40","40","[c]","[c]"
"In post","2021","Chinese","50-59","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","50-59","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","60-64","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","65+","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","London","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","16-19","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","20-29","East Midlands (England)","60","60","25480","25560"
"In post","2021","Mixed","20-29","East of England","100","90","28000","27570"
"In post","2021","Mixed","20-29","London","1050","1030","35130","32560"
"In post","2021","Mixed","20-29","North East (England)","50","50","[c]","[c]"
"In post","2021","Mixed","20-29","North West (England)","160","150","25130","24890"
"In post","2021","Mixed","20-29","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","20-29","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","20-29","Scotland","50","50","[c]","[c]"
"In post","2021","Mixed","20-29","South East (England)","150","150","26860","26970"
"In post","2021","Mixed","20-29","South West (England)","150","150","27150","27540"
"In post","2021","Mixed","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","20-29","Wales","90","80","26040","25560"
"In post","2021","Mixed","20-29","West Midlands (England)","150","150","26540","25930"
"In post","2021","Mixed","20-29","Yorkshire and The Humber","130","130","27260","25790"
"In post","2021","Mixed","30-39","East Midlands (England)","110","110","29330","27570"
"In post","2021","Mixed","30-39","East of England","100","90","29350","27570"
"In post","2021","Mixed","30-39","London","990","970","43570","40050"
"In post","2021","Mixed","30-39","North East (England)","60","60","28100","25560"
"In post","2021","Mixed","30-39","North West (England)","190","180","29060","25560"
"In post","2021","Mixed","30-39","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","30-39","Overseas","40","40","[c]","[c]"
"In post","2021","Mixed","30-39","Scotland","90","90","35040","30650"
"In post","2021","Mixed","30-39","South East (England)","160","150","32870","29850"
"In post","2021","Mixed","30-39","South West (England)","160","150","33640","32330"
"In post","2021","Mixed","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","30-39","Wales","120","110","31020","27570"
"In post","2021","Mixed","30-39","West Midlands (England)","150","140","27700","25710"
"In post","2021","Mixed","30-39","Yorkshire and The Humber","130","120","31270","27570"
"In post","2021","Mixed","40-49","East Midlands (England)","80","70","33140","28430"
"In post","2021","Mixed","40-49","East of England","90","90","32570","29290"
"In post","2021","Mixed","40-49","London","670","640","46210","41700"
"In post","2021","Mixed","40-49","North East (England)","60","60","32100","27570"
"In post","2021","Mixed","40-49","North West (England)","190","170","31300","27570"
"In post","2021","Mixed","40-49","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","40-49","Overseas","30","30","[c]","[c]"
"In post","2021","Mixed","40-49","Scotland","60","60","37410","31810"
"In post","2021","Mixed","40-49","South East (England)","130","130","33690","30930"
"In post","2021","Mixed","40-49","South West (England)","150","140","34250","30120"
"In post","2021","Mixed","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","40-49","Wales","80","70","34010","28850"
"In post","2021","Mixed","40-49","West Midlands (England)","100","100","34040","27570"
"In post","2021","Mixed","40-49","Yorkshire and The Humber","120","110","32890","27570"
"In post","2021","Mixed","50-59","East Midlands (England)","70","70","33460","27570"
"In post","2021","Mixed","50-59","East of England","100","90","32550","31650"
"In post","2021","Mixed","50-59","London","550","520","41420","35980"
"In post","2021","Mixed","50-59","North East (England)","40","40","[c]","[c]"
"In post","2021","Mixed","50-59","North West (England)","170","160","31090","27570"
