"Status","Year","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","80","80","42430","39750"
"In post","2021","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","250","240","43690","40050"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Communications","Department for Education","330","320","39350","36780"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","270","260","41360","37560"
"In post","2021","Communications","Department for International Trade","140","140","43060","38540"
"In post","2021","Communications","Department for Transport","300","280","37850","34710"
"In post","2021","Communications","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","320","310","44140","40650"
"In post","2021","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","150","140","47900","44710"
"In post","2021","Communications","HM Land Registry","30","30","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","250","240","44360","39200"
"In post","2021","Communications","HM Treasury","50","50","[c]","[c]"
"In post","2021","Communications","Home Office","180","170","48630","43880"
"In post","2021","Communications","Ministry of Defence","620","600","35200","33300"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","110","110","41280","36340"
"In post","2021","Communications","Ministry of Justice","160","160","42990","38850"
"In post","2021","Communications","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","40","30","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","40","30","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","40","30","[c]","[c]"
"In post","2021","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","90","80","37320","36030"
"In post","2021","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","160","150","39340","37410"
"In post","2021","Corporate Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","50","50","39680","37760"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","280","270","45240","40080"
"In post","2021","Counter Fraud","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","260","250","39330","39170"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","60","60","30410","26780"
"In post","2021","Counter Fraud","Food Standards Agency","60","60","39060","37910"
"In post","2021","Counter Fraud","HM Treasury","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Home Office","180","160","26930","25310"
"In post","2021","Counter Fraud","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Attorney General's Departments","180","170","40120","38180"
"In post","2021","Digital, Data and Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","50","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Competition and Markets Authority","70","60","56530","54550"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","1030","1010","40760","38000"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Education","900","870","39980","36960"
"In post","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","710","690","43180","42440"
"In post","2021","Digital, Data and Technology","Department for International Trade","120","120","47030","44020"
"In post","2021","Digital, Data and Technology","Department for Transport","1160","1130","39360","35430"
"In post","2021","Digital, Data and Technology","Department for Work and Pensions","60","60","39240","33460"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care","380","370","44500","40850"
"In post","2021","Digital, Data and Technology","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Food Standards Agency","60","60","44630","40350"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","320","320","42140","39630"
"In post","2021","Digital, Data and Technology","HM Land Registry","670","640","38030","38450"
"In post","2021","Digital, Data and Technology","HM Revenue and Customs","1930","1850","39680","38630"
"In post","2021","Digital, Data and Technology","HM Treasury","60","60","51660","50000"
"In post","2021","Digital, Data and Technology","Home Office","1220","1200","50060","45550"
"In post","2021","Digital, Data and Technology","Ministry of Defence","1400","1370","36730","33300"
"In post","2021","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","120","110","45790","41610"
"In post","2021","Digital, Data and Technology","Ministry of Justice","1020","1010","46240","43960"
"In post","2021","Digital, Data and Technology","National Crime Agency","260","250","41070","37750"
"In post","2021","Digital, Data and Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office for Standards in Education","80","80","45050","39850"
"In post","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","100","100","51190","46140"
"In post","2021","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other Cabinet Office Agencies","120","120","41820","36120"
"In post","2021","Digital, Data and Technology","Scottish Government","210","200","39400","35720"
"In post","2021","Digital, Data and Technology","The National Archives","100","100","40050","39000"
"In post","2021","Digital, Data and Technology","UK Export Finance","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","United Kingdom Statistics Authority","600","590","40840","36840"
"In post","2021","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Welsh Government","230","220","38190","37410"
"In post","2021","Economics","Competition and Markets Authority","90","90","62530","59510"
"In post","2021","Economics","Department for Business, Energy and Industrial Strategy","310","310","46780","39640"
"In post","2021","Economics","Department for Digital, Culture, Media and Sport","80","70","53810","59730"
"In post","2021","Economics","Department for Environment, Food and Rural Affairs","160","160","44720","47550"
"In post","2021","Economics","Department for International Trade","150","150","43500","33220"
"In post","2021","Economics","Department for Transport","170","170","47750","54110"
"In post","2021","Economics","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Department of Health and Social Care","90","90","43100","36820"
"In post","2021","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Foreign, Commonwealth and Development Office","180","170","50950","54320"
"In post","2021","Economics","HM Revenue and Customs","120","120","48270","37190"
"In post","2021","Economics","HM Treasury","200","200","44310","35610"
"In post","2021","Economics","Home Office","110","110","46610","35070"
"In post","2021","Economics","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Economics","Ministry of Housing, Communities and Local Government","80","80","44560","35060"
"In post","2021","Economics","Ministry of Justice","50","40","[c]","[c]"
"In post","2021","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Office of Gas and Electricity Markets","60","50","47370","47000"
"In post","2021","Economics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","United Kingdom Statistics Authority","150","150","37150","32540"
"In post","2021","Economics","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Welsh Government","50","50","[c]","[c]"
"In post","2021","Finance","Attorney General's Departments","140","130","36050","31010"
"In post","2021","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chancellor's other departments","40","40","[c]","[c]"
"In post","2021","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Business, Energy and Industrial Strategy","360","340","45310","42430"
"In post","2021","Finance","Department for Digital, Culture, Media and Sport","70","70","56710","58490"
"In post","2021","Finance","Department for Education","790","760","42590","39360"
"In post","2021","Finance","Department for Environment, Food and Rural Affairs","410","390","43010","38060"
"In post","2021","Finance","Department for International Trade","90","90","49850","51970"
"In post","2021","Finance","Department for Transport","470","450","41120","39040"
"In post","2021","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department of Health and Social Care","510","500","40620","36820"
"In post","2021","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","50","50","41000","37910"
"In post","2021","Finance","Foreign, Commonwealth and Development Office","260","250","41830","38230"
"In post","2021","Finance","HM Land Registry","70","70","48120","46060"
"In post","2021","Finance","HM Revenue and Customs","1560","1370","34040","31810"
"In post","2021","Finance","HM Treasury","110","110","48060","49870"
"In post","2021","Finance","Home Office","280","270","45650","41970"
"In post","2021","Finance","Ministry of Defence","2210","2130","38410","33300"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government","140","130","50410","50030"
"In post","2021","Finance","Ministry of Justice","800","770","42180","38550"
"In post","2021","Finance","National Crime Agency","50","40","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education","40","30","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other Cabinet Office Agencies","60","60","44300","39000"
"In post","2021","Finance","Scottish Government","140","130","33910","30080"
"In post","2021","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","60","60","37140","29840"
"In post","2021","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Welsh Government","340","320","41780","37410"
"In post","2021","Human Resources","Attorney General's Departments","220","210","40210","34160"
"In post","2021","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy","420","400","41040","39210"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","60","60","48880","37990"
"In post","2021","Human Resources","Department for Education","160","150","36210","30590"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs","270","250","42740","38600"
"In post","2021","Human Resources","Department for International Trade","130","130","43380","38540"
"In post","2021","Human Resources","Department for Transport","410","380","37240","33350"
"In post","2021","Human Resources","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Human Resources","Department of Health and Social Care","290","280","42920","36820"
"In post","2021","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office","260","250","45000","39580"
"In post","2021","Human Resources","HM Land Registry","90","90","40150","33840"
"In post","2021","Human Resources","HM Revenue and Customs","750","700","40920","38300"
"In post","2021","Human Resources","HM Treasury","90","90","44940","45270"
"In post","2021","Human Resources","Home Office","570","540","42930","37450"
"In post","2021","Human Resources","Ministry of Defence","1990","1870","31830","26670"
"In post","2021","Human Resources","Ministry of Housing, Communities and Local Government","90","80","40860","36340"
"In post","2021","Human Resources","Ministry of Justice","930","900","41730","37540"
"In post","2021","Human Resources","National Crime Agency","190","180","40160","39240"
"In post","2021","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office for Standards in Education","60","50","39210","32010"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other Cabinet Office Agencies","50","40","[c]","[c]"
"In post","2021","Human Resources","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scottish Government","210","200","34930","33650"
"In post","2021","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","United Kingdom Statistics Authority","160","150","37410","32430"
"In post","2021","Human Resources","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Welsh Government","200","190","35770","29050"
"In post","2021","Inspector of Education and Training","ESTYN","60","60","74480","74730"
"In post","2021","Inspector of Education and Training","Office for Standards in Education","800","780","65820","64500"
"In post","2021","Intelligence Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Intelligence Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Department of Health and Social Care","230","230","53190","53360"
"In post","2021","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Foreign, Commonwealth and Development Office","200","190","45800","39220"
"In post","2021","Intelligence Analysis","HM Revenue and Customs","200","190","37880","36160"
"In post","2021","Intelligence Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Home Office","1380","1300","29700","27370"
"In post","2021","Intelligence Analysis","Ministry of Defence","860","830","37150","34640"
"In post","2021","Intelligence Analysis","Ministry of Justice","460","450","30890","28080"
"In post","2021","Intelligence Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Foreign, Commonwealth and Development Office","70","70","41070","37480"
"In post","2021","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","HM Revenue and Customs","80","70","44180","41350"
"In post","2021","Internal Audit","HM Treasury","340","320","50400","48780"
"In post","2021","Internal Audit","Ministry of Defence","150","140","38660","34630"
"In post","2021","Internal Audit","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Ministry of Justice","70","60","48010","48800"
"In post","2021","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Department for International Trade","1300","1280","48330","50430"
"In post","2021","International Trade","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","HM Revenue and Customs","140","130","33090","31810"
"In post","2021","International Trade","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","50","50","38940","36240"
"In post","2021","Knowledge and Information Management","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Transport","80","80","36030","33350"
"In post","2021","Knowledge and Information Management","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department of Health and Social Care","550","510","39290","37380"
"In post","2021","Knowledge and Information Management","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Foreign, Commonwealth and Development Office","140","130","44380","38230"
"In post","2021","Knowledge and Information Management","HM Revenue and Customs","50","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Home Office","90","90","42240","38290"
"In post","2021","Knowledge and Information Management","Ministry of Defence","950","930","34330","33000"
"In post","2021","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","50","50","35700","32530"
"In post","2021","Knowledge and Information Management","Ministry of Justice","80","80","31060","27330"
"In post","2021","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","The National Archives","80","80","34940","31310"
"In post","2021","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Welsh Government","110","110","33200","28850"
"In post","2021","Legal","Attorney General's Departments","5260","4880","57020","55610"
"In post","2021","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Competition and Markets Authority","130","120","70480","72430"
"In post","2021","Legal","Department for Business, Energy and Industrial Strategy","90","80","51950","52960"
"In post","2021","Legal","Department for Education","70","70","53960","54490"
"In post","2021","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Foreign, Commonwealth and Development Office","120","100","58300","58470"
"In post","2021","Legal","HM Land Registry","260","240","50540","57000"
"In post","2021","Legal","HM Revenue and Customs","3730","3560","33410","31810"
"In post","2021","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Legal","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Justice","1320","1200","43220","43370"
"In post","2021","Legal","National Crime Agency","50","50","55660","59160"
"In post","2021","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Gas and Electricity Markets","80","80","63840","63540"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Government","660","610","53650","52490"
"In post","2021","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Legal","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Welsh Government","150","140","56570","60830"
"In post","2021","Medicine","Department for Transport","60","50","75420","86070"
"In post","2021","Medicine","Department of Health and Social Care","560","490","92490","92370"
"In post","2021","Medicine","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Medicine","Ministry of Defence","1680","1500","44550","37890"
"In post","2021","Medicine","Welsh Government","170","160","45990","43760"
"In post","2021","Operational Delivery","Attorney General's Departments","3060","2830","27330","25480"
"In post","2021","Operational Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Charity Commission","60","50","32020","29160"
"In post","2021","Operational Delivery","Department for Business, Energy and Industrial Strategy","4130","3880","31170","26710"
"In post","2021","Operational Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Education","1600","1550","41630","36960"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","3850","3570","27010","25100"
"In post","2021","Operational Delivery","Department for International Trade","110","110","36650","32120"
"In post","2021","Operational Delivery","Department for Transport","9310","8380","26020","26350"
"In post","2021","Operational Delivery","Department for Work and Pensions","1720","1620","43890","41480"
"In post","2021","Operational Delivery","Department of Health and Social Care","3440","3130","39830","35370"
"In post","2021","Operational Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Food Standards Agency","620","600","31630","28520"
"In post","2021","Operational Delivery","Foreign, Commonwealth and Development Office","640","610","33490","28000"
"In post","2021","Operational Delivery","HM Land Registry","5000","4490","28210","27130"
"In post","2021","Operational Delivery","HM Revenue and Customs","28270","24960","25640","21440"
"In post","2021","Operational Delivery","HM Treasury","200","200","37100","29770"
"In post","2021","Operational Delivery","Home Office","25000","22880","27880","25630"
"In post","2021","Operational Delivery","Ministry of Defence","1810","1720","32470","29200"
"In post","2021","Operational Delivery","Ministry of Housing, Communities and Local Government","790","750","34770","30870"
"In post","2021","Operational Delivery","Ministry of Justice","68560","64000","27930","25830"
"In post","2021","Operational Delivery","National Crime Agency","4720","4620","39700","37560"
"In post","2021","Operational Delivery","Office for Standards in Education","220","210","28630","25620"
"In post","2021","Operational Delivery","Office of Gas and Electricity Markets","170","160","33350","27120"
"In post","2021","Operational Delivery","Office of Qualifications and Examinations Regulation","90","80","44940","38000"
"In post","2021","Operational Delivery","Office of Rail and Road","140","130","53330","53700"
"In post","2021","Operational Delivery","Other Cabinet Office Agencies","210","210","41580","37110"
"In post","2021","Operational Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Scottish Government","7210","6710","29400","29350"
