"Status","Year","Sex","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Yorkshire and The Humber","Other ethnicity","60","50","31600","27570"
"In post","2021","Female","Yorkshire and The Humber","Undeclared","590","510","30260","27570"
"In post","2021","Female","Yorkshire and The Humber","Unknown","2350","2170","30040","25790"
"In post","2021","Female","Yorkshire and The Humber","White","15320","13560","30820","27570"
"In post","2021","Male","East Midlands (England)","Asian","750","710","27440","25560"
"In post","2021","Male","East Midlands (England)","Black","200","190","28260","27570"
"In post","2021","Male","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Midlands (England)","Mixed","140","140","31050","27570"
"In post","2021","Male","East Midlands (England)","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Male","East Midlands (England)","Undeclared","510","490","30890","27590"
"In post","2021","Male","East Midlands (England)","Unknown","1340","1300","28360","25560"
"In post","2021","Male","East Midlands (England)","White","6370","6140","31560","27570"
"In post","2021","Male","East of England","Asian","470","450","31950","28080"
"In post","2021","Male","East of England","Black","210","200","31990","29290"
"In post","2021","Male","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","East of England","Mixed","180","170","31950","29290"
"In post","2021","Male","East of England","Other ethnicity","50","50","37060","31320"
"In post","2021","Male","East of England","Undeclared","670","640","32410","29870"
"In post","2021","Male","East of England","Unknown","1080","1050","29460","27570"
"In post","2021","Male","East of England","White","7760","7460","32360","29810"
"In post","2021","Male","London","Asian","5420","5300","38030","32790"
"In post","2021","Male","London","Black","3220","3170","35480","31880"
"In post","2021","Male","London","Chinese","250","240","41840","36360"
"In post","2021","Male","London","Mixed","1360","1340","42530","37270"
"In post","2021","Male","London","Other ethnicity","510","500","43660","36650"
"In post","2021","Male","London","Undeclared","2520","2450","44520","39870"
"In post","2021","Male","London","Unknown","7390","7310","44290","36800"
"In post","2021","Male","London","White","25990","25470","48140","42540"
"In post","2021","Male","North East (England)","Asian","180","170","29350","25560"
"In post","2021","Male","North East (England)","Black","70","70","29490","25960"
"In post","2021","Male","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","North East (England)","Mixed","110","100","29520","27180"
"In post","2021","Male","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","North East (England)","Undeclared","610","580","30390","27570"
"In post","2021","Male","North East (England)","Unknown","1970","1900","27620","25560"
"In post","2021","Male","North East (England)","White","9580","9120","29910","27570"
"In post","2021","Male","North West (England)","Asian","1420","1380","28280","26000"
"In post","2021","Male","North West (England)","Black","320","310","28870","27570"
"In post","2021","Male","North West (England)","Chinese","70","70","27980","25560"
"In post","2021","Male","North West (England)","Mixed","300","290","31320","27570"
"In post","2021","Male","North West (England)","Other ethnicity","90","90","32890","27570"
"In post","2021","Male","North West (England)","Undeclared","1200","1150","31760","27570"
"In post","2021","Male","North West (England)","Unknown","3570","3480","28790","25560"
"In post","2021","Male","North West (England)","White","18230","17540","31110","27570"
"In post","2021","Male","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland","Undeclared","60","60","29070","25710"
"In post","2021","Male","Northern Ireland","Unknown","360","360","26120","23370"
"In post","2021","Male","Northern Ireland","White","1620","1570","27920","24890"
"In post","2021","Male","Overseas","Asian","90","90","48870","45910"
"In post","2021","Male","Overseas","Black","30","30","[c]","[c]"
"In post","2021","Male","Overseas","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Overseas","Mixed","50","50","51740","53000"
"In post","2021","Male","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Overseas","Undeclared","140","140","48960","42030"
"In post","2021","Male","Overseas","Unknown","280","280","53470","53000"
"In post","2021","Male","Overseas","White","1640","1640","50410","49760"
"In post","2021","Male","Scotland","Asian","230","230","34650","27570"
"In post","2021","Male","Scotland","Black","110","110","35610","30790"
"In post","2021","Male","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Scotland","Mixed","120","120","35400","30080"
"In post","2021","Male","Scotland","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Male","Scotland","Undeclared","1000","950","34100","32140"
"In post","2021","Male","Scotland","Unknown","5020","4810","30870","28130"
"In post","2021","Male","Scotland","White","15400","14860","33940","29350"
"In post","2021","Male","South East (England)","Asian","600","570","31190","28400"
"In post","2021","Male","South East (England)","Black","370","360","31140","29290"
"In post","2021","Male","South East (England)","Chinese","40","40","[c]","[c]"
"In post","2021","Male","South East (England)","Mixed","320","310","33180","29920"
"In post","2021","Male","South East (England)","Other ethnicity","100","100","32430","31000"
"In post","2021","Male","South East (England)","Undeclared","1410","1350","34420","32030"
"In post","2021","Male","South East (England)","Unknown","2270","2190","31100","28650"
"In post","2021","Male","South East (England)","White","15340","14720","33080","30380"
"In post","2021","Male","South West (England)","Asian","420","410","35370","32650"
"In post","2021","Male","South West (England)","Black","270","260","33900","32780"
"In post","2021","Male","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","South West (England)","Mixed","310","290","34740","31810"
"In post","2021","Male","South West (England)","Other ethnicity","100","100","36360","33000"
"In post","2021","Male","South West (England)","Undeclared","1650","1600","38420","37320"
"In post","2021","Male","South West (England)","Unknown","2340","2280","33160","29000"
"In post","2021","Male","South West (England)","White","18670","18150","36600","33300"
"In post","2021","Male","Unknown","Asian","60","60","31140","27570"
"In post","2021","Male","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Male","Unknown","Unknown","1970","1960","37720","33570"
"In post","2021","Male","Unknown","White","440","420","34370","27570"
"In post","2021","Male","Wales","Asian","220","210","30430","25560"
"In post","2021","Male","Wales","Black","90","90","29930","27570"
"In post","2021","Male","Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Wales","Mixed","150","150","31790","27680"
"In post","2021","Male","Wales","Other ethnicity","60","50","34200","28850"
"In post","2021","Male","Wales","Undeclared","740","710","33490","29550"
"In post","2021","Male","Wales","Unknown","2170","2110","29930","25560"
"In post","2021","Male","Wales","White","11950","11530","33080","27770"
"In post","2021","Male","West Midlands (England)","Asian","1800","1760","28290","26560"
"In post","2021","Male","West Midlands (England)","Black","400","390","29190","27570"
"In post","2021","Male","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","West Midlands (England)","Mixed","190","190","29640","27570"
"In post","2021","Male","West Midlands (England)","Other ethnicity","70","70","30950","27570"
"In post","2021","Male","West Midlands (England)","Undeclared","640","610","31380","27570"
"In post","2021","Male","West Midlands (England)","Unknown","1680","1640","29640","25790"
"In post","2021","Male","West Midlands (England)","White","8190","7920","32600","28130"
"In post","2021","Male","Yorkshire and The Humber","Asian","1180","1140","28750","27570"
"In post","2021","Male","Yorkshire and The Humber","Black","240","230","29380","27570"
"In post","2021","Male","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Yorkshire and The Humber","Mixed","210","200","32350","27570"
"In post","2021","Male","Yorkshire and The Humber","Other ethnicity","60","60","34130","27570"
"In post","2021","Male","Yorkshire and The Humber","Undeclared","810","780","31790","27680"
"In post","2021","Male","Yorkshire and The Humber","Unknown","2500","2450","29820","25560"
"In post","2021","Male","Yorkshire and The Humber","White","11520","11080","32990","29180"
"In post","2021","Unknown","London","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","London","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South East (England)","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Wales","White","[c]","[c]","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Asian","1090","950","27990","26590"
"In post","2022","Female","East Midlands (England)","Black","380","350","27800","26590"
"In post","2022","Female","East Midlands (England)","Mixed","250","230","28890","26820"
"In post","2022","Female","East Midlands (England)","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Female","East Midlands (England)","Undeclared","410","370","30900","27570"
"In post","2022","Female","East Midlands (England)","Unknown","1500","1370","28010","26310"
"In post","2022","Female","East Midlands (England)","White","9390","8460","30260","27570"
"In post","2022","Female","East of England","Asian","700","620","30500","27570"
"In post","2022","Female","East of England","Black","410","380","30500","29290"
"In post","2022","Female","East of England","Mixed","250","230","30350","28170"
"In post","2022","Female","East of England","Other ethnicity","70","60","30370","28560"
"In post","2022","Female","East of England","Undeclared","420","370","30710","28550"
"In post","2022","Female","East of England","Unknown","1170","1060","29210","26310"
"In post","2022","Female","East of England","White","9460","8530","30440","27570"
"In post","2022","Female","London","Asian","8820","8170","37630","32960"
"In post","2022","Female","London","Black","7070","6770","34930","31060"
"In post","2022","Female","London","Mixed","2160","2060","40810","35490"
"In post","2022","Female","London","Other ethnicity","760","720","39510","34100"
"In post","2022","Female","London","Undeclared","1990","1850","39380","34020"
"In post","2022","Female","London","Unknown","8930","8630","41970","35490"
"In post","2022","Female","London","White","27430","25930","46590","41950"
"In post","2022","Female","North East (England)","Asian","300","270","28300","26590"
"In post","2022","Female","North East (England)","Black","90","80","26710","21300"
"In post","2022","Female","North East (England)","Mixed","140","130","29570","27570"
"In post","2022","Female","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Female","North East (England)","Undeclared","410","350","28830","26670"
"In post","2022","Female","North East (England)","Unknown","2490","2200","26570","22600"
"In post","2022","Female","North East (England)","White","15880","13820","28890","26820"
"In post","2022","Female","North West (England)","Asian","1440","1270","28100","26590"
"In post","2022","Female","North West (England)","Black","510","480","28910","26820"
"In post","2022","Female","North West (England)","Mixed","540","500","29270","26820"
"In post","2022","Female","North West (England)","Other ethnicity","90","80","30440","27570"
"In post","2022","Female","North West (England)","Undeclared","990","860","29800","27570"
"In post","2022","Female","North West (England)","Unknown","4520","4170","28240","25000"
"In post","2022","Female","North West (England)","White","28840","25890","29850","27570"
"In post","2022","Female","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Female","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2022","Female","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Female","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Female","Northern Ireland","Undeclared","30","30","[c]","[c]"
"In post","2022","Female","Northern Ireland","Unknown","360","330","27870","24880"
"In post","2022","Female","Northern Ireland","White","1560","1430","30460","26820"
"In post","2022","Female","Overseas","Asian","70","70","43670","34770"
"In post","2022","Female","Overseas","Black","30","30","[c]","[c]"
"In post","2022","Female","Overseas","Mixed","60","60","46050","40170"
"In post","2022","Female","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Female","Overseas","Undeclared","80","80","46060","44130"
"In post","2022","Female","Overseas","Unknown","270","270","48150","46600"
"In post","2022","Female","Overseas","White","980","980","50160","51500"
"In post","2022","Female","Scotland","Asian","400","360","30350","27230"
"In post","2022","Female","Scotland","Black","170","160","29070","27230"
"In post","2022","Female","Scotland","Mixed","180","170","35440","30040"
"In post","2022","Female","Scotland","Other ethnicity","60","60","32580","28920"
"In post","2022","Female","Scotland","Undeclared","630","560","31960","27570"
"In post","2022","Female","Scotland","Unknown","5470","5040","30700","27080"
"In post","2022","Female","Scotland","White","20780","18840","33090","27570"
"In post","2022","Female","South East (England)","Asian","880","790","29920","28350"
"In post","2022","Female","South East (England)","Black","520","490","30280","28480"
"In post","2022","Female","South East (England)","Mixed","410","380","30530","27570"
"In post","2022","Female","South East (England)","Other ethnicity","90","90","30900","27570"
"In post","2022","Female","South East (England)","Undeclared","830","740","32000","28670"
"In post","2022","Female","South East (England)","Unknown","2200","1990","29880","26820"
"In post","2022","Female","South East (England)","White","17190","15520","31180","27570"
"In post","2022","Female","South West (England)","Asian","440","400","33560","28900"
"In post","2022","Female","South West (England)","Black","280","270","32030","28700"
"In post","2022","Female","South West (England)","Mixed","350","320","32630","29230"
"In post","2022","Female","South West (England)","Other ethnicity","60","60","33330","27810"
"In post","2022","Female","South West (England)","Undeclared","760","690","33400","30980"
"In post","2022","Female","South West (England)","Unknown","2010","1840","30420","26740"
"In post","2022","Female","South West (England)","White","18430","16680","32840","29000"
"In post","2022","Female","Unknown","Asian","120","100","29000","27780"
"In post","2022","Female","Unknown","Black","40","40","[c]","[c]"
"In post","2022","Female","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Unknown","420","410","33750","30330"
"In post","2022","Female","Unknown","White","410","380","33670","29790"
"In post","2022","Female","Wales","Asian","290","270","31090","27570"
"In post","2022","Female","Wales","Black","120","120","29590","27570"
"In post","2022","Female","Wales","Mixed","260","240","30820","27570"
"In post","2022","Female","Wales","Other ethnicity","50","50","30100","27570"
"In post","2022","Female","Wales","Undeclared","500","450","30890","27130"
"In post","2022","Female","Wales","Unknown","2330","2120","27700","23880"
"In post","2022","Female","Wales","White","18170","16230","30850","27570"
"In post","2022","Female","West Midlands (England)","Asian","2720","2460","28310","26820"
"In post","2022","Female","West Midlands (England)","Black","950","880","28520","27570"
"In post","2022","Female","West Midlands (England)","Mixed","430","390","29410","27570"
"In post","2022","Female","West Midlands (England)","Other ethnicity","90","80","29730","26820"
"In post","2022","Female","West Midlands (England)","Undeclared","610","530","29690","27570"
"In post","2022","Female","West Midlands (England)","Unknown","2290","2120","29120","26290"
"In post","2022","Female","West Midlands (England)","White","12070","10860","30860","27570"
"In post","2022","Female","Yorkshire and The Humber","Asian","1440","1270","28210","26820"
"In post","2022","Female","Yorkshire and The Humber","Black","350","330","29450","27570"
"In post","2022","Female","Yorkshire and The Humber","Mixed","330","300","31370","27570"
"In post","2022","Female","Yorkshire and The Humber","Other ethnicity","60","50","31950","27570"
"In post","2022","Female","Yorkshire and The Humber","Undeclared","600","530","30720","27570"
"In post","2022","Female","Yorkshire and The Humber","Unknown","2690","2500","31060","26820"
"In post","2022","Female","Yorkshire and The Humber","White","16130","14400","31690","27570"
"In post","2022","Male","East Midlands (England)","Asian","860","820","28890","27130"
"In post","2022","Male","East Midlands (England)","Black","230","230","29310","27380"
"In post","2022","Male","East Midlands (England)","Mixed","170","160","31580","27350"
"In post","2022","Male","East Midlands (England)","Other ethnicity","40","30","[c]","[c]"
"In post","2022","Male","East Midlands (England)","Undeclared","530","500","32060","29080"
"In post","2022","Male","East Midlands (England)","Unknown","1370","1330","29450","26590"
"In post","2022","Male","East Midlands (England)","White","6760","6530","32390","27930"
"In post","2022","Male","East of England","Asian","480","460","32730","28140"
"In post","2022","Male","East of England","Black","230","230","31850","29290"
"In post","2022","Male","East of England","Mixed","190","190","33060","29290"
"In post","2022","Male","East of England","Other ethnicity","50","50","36480","31650"
"In post","2022","Male","East of England","Undeclared","640","610","32830","30820"
"In post","2022","Male","East of England","Unknown","1130","1090","30370","27120"
"In post","2022","Male","East of England","White","7730","7460","32750","30140"
"In post","2022","Male","London","Asian","5980","5860","39110","34260"
"In post","2022","Male","London","Black","3420","3370","36110","32350"
"In post","2022","Male","London","Mixed","1430","1420","43050","37930"
"In post","2022","Male","London","Other ethnicity","550","540","42540","36650"
"In post","2022","Male","London","Undeclared","2440","2380","45170","40650"
"In post","2022","Male","London","Unknown","7850","7750","44580","38050"
"In post","2022","Male","London","White","25990","25510","48790","43810"
"In post","2022","Male","North East (England)","Asian","290","280","31230","27570"
"In post","2022","Male","North East (England)","Black","80","80","30970","27570"
"In post","2022","Male","North East (England)","Mixed","120","110","29920","27570"
"In post","2022","Male","North East (England)","Other ethnicity","30","30","[c]","[c]"
"In post","2022","Male","North East (England)","Undeclared","650","620","32650","27570"
"In post","2022","Male","North East (England)","Unknown","2110","2050","29690","26820"
"In post","2022","Male","North East (England)","White","10490","10020","31610","27570"
"In post","2022","Male","North West (England)","Asian","1800","1740","29660","27570"
"In post","2022","Male","North West (England)","Black","430","420","30630","27570"
"In post","2022","Male","North West (England)","Mixed","350","340","31690","27570"
"In post","2022","Male","North West (England)","Other ethnicity","90","90","33150","27570"
"In post","2022","Male","North West (England)","Undeclared","1240","1180","33060","28840"
"In post","2022","Male","North West (England)","Unknown","4030","3930","30120","26820"
"In post","2022","Male","North West (England)","White","19440","18750","32270","27570"
"In post","2022","Male","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Male","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2022","Male","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Male","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Male","Northern Ireland","Undeclared","60","60","31950","27570"
"In post","2022","Male","Northern Ireland","Unknown","450","440","27670","24880"
"In post","2022","Male","Northern Ireland","White","1750","1710","29640","26590"
"In post","2022","Male","Overseas","Asian","100","100","46280","40490"
"In post","2022","Male","Overseas","Black","40","40","[c]","[c]"
"In post","2022","Male","Overseas","Mixed","60","60","53560","52410"
"In post","2022","Male","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Male","Overseas","Undeclared","160","160","48280","42110"
"In post","2022","Male","Overseas","Unknown","250","250","50560","52430"
"In post","2022","Male","Overseas","White","1550","1540","49980","49370"
"In post","2022","Male","Scotland","Asian","340","330","34970","28950"
"In post","2022","Male","Scotland","Black","140","140","34250","27570"
"In post","2022","Male","Scotland","Mixed","140","140","36060","30860"
"In post","2022","Male","Scotland","Other ethnicity","50","50","[c]","[c]"
"In post","2022","Male","Scotland","Undeclared","950","900","35430","33370"
"In post","2022","Male","Scotland","Unknown","5300","5090","32100","28990"
"In post","2022","Male","Scotland","White","16430","15870","35030","30950"
"In post","2022","Male","South East (England)","Asian","660","640","31730","28660"
"In post","2022","Male","South East (England)","Black","400","390","31540","29290"
"In post","2022","Male","South East (England)","Mixed","360","350","33580","30450"
"In post","2022","Male","South East (England)","Other ethnicity","90","90","32930","30930"
"In post","2022","Male","South East (England)","Undeclared","1340","1280","35100","32780"
"In post","2022","Male","South East (England)","Unknown","2380","2260","31750","28140"
"In post","2022","Male","South East (England)","White","15280","14660","33880","30810"
"In post","2022","Male","South West (England)","Asian","460","450","36160","33300"
"In post","2022","Male","South West (England)","Black","300","290","33680","33080"
"In post","2022","Male","South West (England)","Mixed","320","310","35010","32080"
"In post","2022","Male","South West (England)","Other ethnicity","90","90","36230","32980"
"In post","2022","Male","South West (England)","Undeclared","1590","1530","38570","37410"
"In post","2022","Male","South West (England)","Unknown","2380","2320","33630","29230"
"In post","2022","Male","South West (England)","White","19240","18700","36980","33300"
"In post","2022","Male","Unknown","Asian","50","50","31200","31060"
"In post","2022","Male","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Unknown","1800","1790","37840","33570"
"In post","2022","Male","Unknown","White","370","370","35630","30490"
"In post","2022","Male","Wales","Asian","300","290","31410","26820"
"In post","2022","Male","Wales","Black","110","110","31630","27570"
"In post","2022","Male","Wales","Mixed","170","170","33010","29430"
"In post","2022","Male","Wales","Other ethnicity","60","60","34160","30120"
"In post","2022","Male","Wales","Undeclared","760","730","34970","31650"
"In post","2022","Male","Wales","Unknown","2190","2130","31240","26820"
"In post","2022","Male","Wales","White","12580","12150","33840","29430"
"In post","2022","Male","West Midlands (England)","Asian","2140","2090","29540","27570"
