"Status","Year","Region_ITL3","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Barnet","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department of Health and Social Care","AA/AO","180","150","23860","23530"
"In post","2021","Barnet","Department of Health and Social Care","EO","160","150","28520","27520"
"In post","2021","Barnet","Department of Health and Social Care","G6/G7","280","270","59250","55130"
"In post","2021","Barnet","Department of Health and Social Care","SCS","40","40","[c]","[c]"
"In post","2021","Barnet","Department of Health and Social Care","SEO/HEO","450","430","38440","39700"
"In post","2021","Barnet","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Home Office","G6/G7","30","30","[c]","[c]"
"In post","2021","Barnet","Home Office","SEO/HEO","90","90","42080","42070"
"In post","2021","Barnet","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","AA/AO","30","30","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","Unknown","50","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","AA/AO","600","500","20790","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","EO","660","560","27480","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","SEO/HEO","100","90","33060","32250"
"In post","2021","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","AA/AO","860","800","24690","24120"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","EO","230","210","31040","31420"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","SEO/HEO","190","180","40190","38160"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","Unknown","210","190","29510","30210"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","AA/AO","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","EO","270","240","27530","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","AA/AO","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","EO","130","120","25890","25310"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","AA/AO","270","250","21670","20920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","EO","1890","1800","23340","23800"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","G6/G7","1840","1790","57240","55200"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","SCS","130","130","100620","93430"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","SEO/HEO","6020","5810","36370","36300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Unknown","1420","1390","42070","39860"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","AA/AO","380","340","24510","23330"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","EO","90","90","29790","31110"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","SEO/HEO","140","120","40270","38160"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","Unknown","110","100","31060","31420"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","AA/AO","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","EO","210","200","31420","32770"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","SEO/HEO","150","150","41920","41640"
"In post","2021","Bedford","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions","EO","140","130","28010","27570"
"In post","2021","Bedford","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Bedford","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Home Office","EO","70","60","25720","25310"
"In post","2021","Bedford","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Home Office","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Bedford","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice","AA/AO","240","240","26710","27850"
"In post","2021","Bedford","Ministry of Justice","EO","40","30","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice","Unknown","70","60","27390","23840"
"In post","2021","Bedford","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","SEO/HEO","50","50","35280","37910"
"In post","2021","Belfast","HM Revenue and Customs","AA/AO","710","640","20450","20140"
"In post","2021","Belfast","HM Revenue and Customs","EO","560","510","25960","25560"
"In post","2021","Belfast","HM Revenue and Customs","G6/G7","160","150","54520","52580"
"In post","2021","Belfast","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","HM Revenue and Customs","SEO/HEO","570","540","33510","31810"
"In post","2021","Belfast","Home Office","AA/AO","220","180","21260","21430"
"In post","2021","Belfast","Home Office","EO","180","170","25630","25310"
"In post","2021","Belfast","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Home Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Home Office","SEO/HEO","50","50","33230","30980"
"In post","2021","Belfast","Ministry of Defence","AA/AO","60","60","20430","20310"
"In post","2021","Belfast","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","National Crime Agency","EO","50","50","[c]","[c]"
"In post","2021","Belfast","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","National Crime Agency","SEO/HEO","50","50","42640","43710"
"In post","2021","Belfast","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland Office","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Berkshire","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Attorney General's Departments","G6/G7","60","50","59990","62120"
"In post","2021","Berkshire","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","AA/AO","80","70","21100","21050"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","EO","60","60","25780","25450"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","G6/G7","80","80","52820","49770"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","SEO/HEO","140","130","34720","35900"
"In post","2021","Berkshire","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for International Trade","G6/G7","60","60","55130","51970"
"In post","2021","Berkshire","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for International Trade","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Berkshire","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Transport","EO","30","30","[c]","[c]"
"In post","2021","Berkshire","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Work and Pensions","AA/AO","80","60","24110","24180"
"In post","2021","Berkshire","Department for Work and Pensions","EO","340","320","29660","29290"
"In post","2021","Berkshire","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Work and Pensions","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Berkshire","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","HM Revenue and Customs","AA/AO","40","30","[c]","[c]"
"In post","2021","Berkshire","HM Revenue and Customs","EO","100","90","28600","28130"
"In post","2021","Berkshire","HM Revenue and Customs","G6/G7","30","30","[c]","[c]"
"In post","2021","Berkshire","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","HM Revenue and Customs","SEO/HEO","140","130","36470","36160"
"In post","2021","Berkshire","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
