"Status","Year","Profession_of_post","Region_ITL1","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Overseas","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","20-29","50","40","[c]","[c]"
"In post","2021","Commercial","Scotland","30-39","50","50","[c]","[c]"
"In post","2021","Commercial","Scotland","40-49","60","60","37990","38310"
"In post","2021","Commercial","Scotland","50-59","100","100","37380","36300"
"In post","2021","Commercial","Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","20-29","70","70","29080","26670"
"In post","2021","Commercial","South East (England)","30-39","90","90","35880","34800"
"In post","2021","Commercial","South East (England)","40-49","110","110","39970","37460"
"In post","2021","Commercial","South East (England)","50-59","150","150","43320","42080"
"In post","2021","Commercial","South East (England)","60-64","30","30","[c]","[c]"
"In post","2021","Commercial","South East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","20-29","350","350","29140","29210"
"In post","2021","Commercial","South West (England)","30-39","460","430","37440","37400"
"In post","2021","Commercial","South West (England)","40-49","400","370","43580","40580"
"In post","2021","Commercial","South West (England)","50-59","400","390","46150","42080"
"In post","2021","Commercial","South West (England)","60-64","100","80","43430","41970"
"In post","2021","Commercial","South West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","30-39","90","80","33310","31090"
"In post","2021","Commercial","Wales","40-49","100","100","36830","32130"
"In post","2021","Commercial","Wales","50-59","90","80","35610","32090"
"In post","2021","Commercial","Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","20-29","40","40","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","30-39","40","40","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","40-49","70","70","41420","38950"
"In post","2021","Commercial","West Midlands (England)","50-59","80","70","43440","40580"
"In post","2021","Commercial","West Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","20-29","60","60","29930","28970"
"In post","2021","Commercial","Yorkshire and The Humber","30-39","90","90","39940","37170"
"In post","2021","Commercial","Yorkshire and The Humber","40-49","110","110","43310","38090"
"In post","2021","Commercial","Yorkshire and The Humber","50-59","110","100","43180","39970"
"In post","2021","Commercial","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","40-49","40","40","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","20-29","600","590","36620","35430"
"In post","2021","Communications","London","30-39","680","670","48060","45250"
"In post","2021","Communications","London","40-49","470","450","53970","53130"
"In post","2021","Communications","London","50-59","280","270","50070","45200"
"In post","2021","Communications","London","60-64","40","40","[c]","[c]"
"In post","2021","Communications","London","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","40-49","40","40","[c]","[c]"
"In post","2021","Communications","North East (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","30-39","60","60","36350","33660"
"In post","2021","Communications","North West (England)","40-49","60","60","39960","37960"
"In post","2021","Communications","North West (England)","50-59","50","40","[c]","[c]"
"In post","2021","Communications","North West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","20-29","40","40","[c]","[c]"
"In post","2021","Communications","South East (England)","30-39","60","60","34630","34150"
"In post","2021","Communications","South East (England)","40-49","80","80","35260","33300"
"In post","2021","Communications","South East (England)","50-59","90","90","33940","31520"
"In post","2021","Communications","South East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","20-29","40","30","[c]","[c]"
"In post","2021","Communications","South West (England)","30-39","80","80","35540","33300"
"In post","2021","Communications","South West (England)","40-49","90","80","38720","36970"
"In post","2021","Communications","South West (England)","50-59","80","80","36630","33350"
"In post","2021","Communications","South West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","20-29","50","50","28970","29200"
"In post","2021","Communications","Wales","30-39","120","110","36300","34490"
"In post","2021","Communications","Wales","40-49","110","100","40030","37410"
"In post","2021","Communications","Wales","50-59","60","60","40500","35950"
"In post","2021","Communications","Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","30-39","40","40","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","40-49","50","50","41160","38630"
"In post","2021","Communications","West Midlands (England)","50-59","30","30","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","40-49","50","50","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","50-59","40","30","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","East of England","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","East of England","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","East of England","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","East of England","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","East of England","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","30-39","30","30","[c]","[c]"
"In post","2021","Corporate Finance","London","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","65+","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","North West (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","20-29","60","60","32430","33100"
"In post","2021","Counter Fraud","London","30-39","110","110","41370","40000"
"In post","2021","Counter Fraud","London","40-49","80","70","46190","41970"
"In post","2021","Counter Fraud","London","50-59","110","110","48580","41580"
"In post","2021","Counter Fraud","London","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","40-49","40","40","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","50-59","30","30","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","50-59","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Midlands (England)","20-29","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Midlands (England)","30-39","70","60","37090","32580"
"In post","2021","Digital, Data and Technology","East Midlands (England)","40-49","90","80","37430","35900"
"In post","2021","Digital, Data and Technology","East Midlands (England)","50-59","70","70","37410","34590"
"In post","2021","Digital, Data and Technology","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","East of England","20-29","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","East of England","30-39","70","70","32910","31810"
"In post","2021","Digital, Data and Technology","East of England","40-49","140","130","39040","35820"
"In post","2021","Digital, Data and Technology","East of England","50-59","180","170","38430","36970"
"In post","2021","Digital, Data and Technology","East of England","60-64","50","40","36890","35000"
"In post","2021","Digital, Data and Technology","East of England","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","20-29","540","530","38690","36800"
"In post","2021","Digital, Data and Technology","London","30-39","830","820","49950","48900"
"In post","2021","Digital, Data and Technology","London","40-49","910","890","53640","52500"
"In post","2021","Digital, Data and Technology","London","50-59","810","800","51360","47730"
"In post","2021","Digital, Data and Technology","London","60-64","150","150","50440","44410"
"In post","2021","Digital, Data and Technology","London","65+","60","50","49720","46140"
"In post","2021","Digital, Data and Technology","North East (England)","20-29","90","90","32330","31810"
"In post","2021","Digital, Data and Technology","North East (England)","30-39","160","160","38290","38630"
"In post","2021","Digital, Data and Technology","North East (England)","40-49","210","200","41260","38630"
"In post","2021","Digital, Data and Technology","North East (England)","50-59","210","200","40550","38630"
"In post","2021","Digital, Data and Technology","North East (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","North East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","North West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","North West (England)","20-29","140","140","32820","31810"
"In post","2021","Digital, Data and Technology","North West (England)","30-39","280","280","39030","36780"
"In post","2021","Digital, Data and Technology","North West (England)","40-49","300","300","41310","38630"
"In post","2021","Digital, Data and Technology","North West (England)","50-59","260","250","41570","38630"
"In post","2021","Digital, Data and Technology","North West (England)","60-64","50","50","37580","35000"
"In post","2021","Digital, Data and Technology","North West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Scotland","20-29","90","90","32420","31810"
"In post","2021","Digital, Data and Technology","Scotland","30-39","170","170","35720","33930"
"In post","2021","Digital, Data and Technology","Scotland","40-49","150","150","42040","39500"
"In post","2021","Digital, Data and Technology","Scotland","50-59","160","160","43260","38630"
"In post","2021","Digital, Data and Technology","Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","South East (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","South East (England)","20-29","110","110","30030","29540"
"In post","2021","Digital, Data and Technology","South East (England)","30-39","170","160","36980","33300"
"In post","2021","Digital, Data and Technology","South East (England)","40-49","230","220","41770","38630"
"In post","2021","Digital, Data and Technology","South East (England)","50-59","240","230","40520","38060"
"In post","2021","Digital, Data and Technology","South East (England)","60-64","70","60","39230","33800"
"In post","2021","Digital, Data and Technology","South East (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","South West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","South West (England)","20-29","330","330","30760","29760"
"In post","2021","Digital, Data and Technology","South West (England)","30-39","530","520","38270","38280"
"In post","2021","Digital, Data and Technology","South West (England)","40-49","590","560","42210","40580"
"In post","2021","Digital, Data and Technology","South West (England)","50-59","550","530","42170","40580"
"In post","2021","Digital, Data and Technology","South West (England)","60-64","110","100","39100","38050"
"In post","2021","Digital, Data and Technology","South West (England)","65+","40","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Wales","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Wales","20-29","300","300","29880","27070"
"In post","2021","Digital, Data and Technology","Wales","30-39","570","560","37470","36030"
"In post","2021","Digital, Data and Technology","Wales","40-49","590","580","42930","41090"
"In post","2021","Digital, Data and Technology","Wales","50-59","440","430","43250","41090"
"In post","2021","Digital, Data and Technology","Wales","60-64","100","90","45370","42370"
"In post","2021","Digital, Data and Technology","Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","West Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","West Midlands (England)","20-29","140","140","32710","31810"
"In post","2021","Digital, Data and Technology","West Midlands (England)","30-39","190","190","39210","37100"
"In post","2021","Digital, Data and Technology","West Midlands (England)","40-49","250","240","43770","40110"
"In post","2021","Digital, Data and Technology","West Midlands (England)","50-59","230","230","44260","38670"
"In post","2021","Digital, Data and Technology","West Midlands (England)","60-64","60","50","41320","35860"
"In post","2021","Digital, Data and Technology","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","20-29","110","110","32990","30470"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","30-39","260","250","40560","38050"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","40-49","270","260","42750","38630"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","50-59","230","220","41710","37240"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","60-64","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"In post","2021","Economics","East of England","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Economics","East of England","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","20-29","1020","1010","38230","34330"
"In post","2021","Economics","London","30-39","440","420","58460","57980"
"In post","2021","Economics","London","40-49","170","160","67690","66280"
"In post","2021","Economics","London","50-59","100","100","67770","68880"
"In post","2021","Economics","London","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","65+","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North East (England)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North West (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North West (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North West (England)","40-49","[c]","[c]","[c]","[c]"
