"Status","Year","Profession_of_post","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Hartlepool and Stockton-on-Tees","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heart of Essex","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, County of","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","Commercial","50","50","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inverness and Nairn and Moray, Badenoch and Strathspey","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Anglesey","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Wight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kensington & Chelsea and Hammersmith & Fulham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent Thames Gateway","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kingston upon Hull, City of","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lambeth","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lambeth","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancaster and Wyre","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leeds","Commercial","160","160","40680","36820"
"In post","2021","Commercial","Leeds","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leeds","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicester","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire CC and Rutland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire CC and Rutland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lisburn and Castlereagh","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Liverpool","Commercial","200","190","34500","34800"
"In post","2021","Commercial","Liverpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Luton","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Manchester","Commercial","100","100","39550","36780"
"In post","2021","Commercial","Manchester","No function","30","30","[c]","[c]"
"In post","2021","Commercial","Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Medway","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mid Kent","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mid Lancashire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Milton Keynes","Commercial","80","70","43780","41160"
"In post","2021","Commercial","Monmouthshire and Newport","Commercial","100","100","35580","31700"
"In post","2021","Commercial","North and West Norfolk","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North and West Norfolk","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Hampshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Lanarkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Norwich and East Norfolk","Commercial","90","90","35650","34800"
"In post","2021","Commercial","Nottingham","Commercial","40","30","[c]","[c]"
"In post","2021","Commercial","Nottingham","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Nottingham","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Commercial","40","30","[c]","[c]"
"In post","2021","Commercial","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Oxfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Oxfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Perth and Kinross and Stirling","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Peterborough","Commercial","40","30","[c]","[c]"
"In post","2021","Commercial","Peterborough","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Plymouth","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Portsmouth","Commercial","50","50","34520","33300"
"In post","2021","Commercial","Portsmouth","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Portsmouth","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Powys","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Sefton","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Sheffield","Commercial","60","50","38850","38000"
"In post","2021","Commercial","Sheffield","No function","40","30","[c]","[c]"
"In post","2021","Commercial","Sheffield","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Shropshire CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Solihull","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Solihull","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Somerset","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Somerset","Project Delivery","30","30","[c]","[c]"
"In post","2021","Commercial","Somerset","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South and West Derbyshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Hampshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Lanarkshire","Commercial","70","70","40210","39630"
"In post","2021","Commercial","South Lanarkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Lanarkshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Teesside","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Southend-on-Sea","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Staffordshire CC","Commercial","70","70","39280","33300"
"In post","2021","Commercial","Stoke-on-Trent","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Suffolk","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Suffolk","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Swansea","Commercial","170","150","33420","31040"
"In post","2021","Commercial","Swansea","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Swindon","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Telford and Wrekin","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Telford and Wrekin","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Torbay","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tower Hamlets","Commercial","50","50","44720","40480"
"In post","2021","Commercial","Tower Hamlets","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tower Hamlets","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tyneside","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tyneside","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wakefield","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Walsall","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wandsworth","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Warrington","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Warwickshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Cumbria","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Kent","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Kent","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Lothian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Northamptonshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Surrey","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Sussex (North East)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Sussex (North East)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Sussex (South West)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Westminster","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Westminster","Commercial","440","430","49890","43290"
"In post","2021","Commercial","Westminster","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Westminster","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Westminster","No function","100","100","52220","54110"
"In post","2021","Commercial","Westminster","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Westminster","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wiltshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wiltshire","Commercial","180","170","33530","34800"
"In post","2021","Commercial","Wiltshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wirral","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Worcestershire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","York","Commercial","50","40","[c]","[c]"
"In post","2021","Communications","Barnet","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Barnsley, Doncaster and Rotherham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","40","40","[c]","[c]"
"In post","2021","Communications","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bedford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Belfast","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Berkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Birmingham","Communications","40","40","[c]","[c]"
"In post","2021","Communications","Birmingham","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Blackpool","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Blackpool","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bournemouth and Poole","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bradford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bristol, City of","Communications","90","80","37970","36500"
"In post","2021","Communications","Bristol, City of","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bristol, City of","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Buckinghamshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cambridgeshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Camden and City of London","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cardiff and Vale of Glamorgan","Communications","50","40","[c]","[c]"
"In post","2021","Communications","Cardiff and Vale of Glamorgan","Unknown","140","130","39700","37410"
"In post","2021","Communications","Central Bedfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Central Hampshire","Communications","70","60","31680","28060"
"In post","2021","Communications","Central Valleys","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Central Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cheshire East","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","City of Edinburgh","Communications","40","40","[c]","[c]"
"In post","2021","Communications","City of Edinburgh","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Clackmannanshire and Fife","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Conwy and Denbighshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cornwall and Isles of Scilly","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Coventry","Communications","30","30","[c]","[c]"
"In post","2021","Communications","Coventry","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Croydon","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Croydon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Darlington","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Darlington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Devon CC","Communications","40","40","[c]","[c]"
"In post","2021","Communications","Devon CC","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Dorset CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Durham CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Durham CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Cumbria","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Kent","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Merseyside","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Riding of Yorkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Sussex CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Essex Haven Gateway","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Flintshire and Wrexham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Glasgow City","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Glasgow City","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Glasgow City","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Gloucestershire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Greater Manchester North West","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Greater Manchester South East","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Greater Manchester South West","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Gwent Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Gwynedd","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Hackney and Newham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Harrow and Hillingdon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heart of Essex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Herefordshire, County of","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Hounslow and Richmond upon Thames","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inverclyde, East Renfrewshire and Renfrewshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inverness and Nairn and Moray, Badenoch and Strathspey","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Isle of Anglesey","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Kingston upon Hull, City of","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lambeth","Communications","60","60","49970","45650"
"In post","2021","Communications","Lancaster and Wyre","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Leeds","Communications","50","50","[c]","[c]"
"In post","2021","Communications","Leicester","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Leicester","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Leicestershire CC and Rutland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lisburn and Castlereagh","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Liverpool","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Liverpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Manchester","Communications","70","70","33740","30370"
"In post","2021","Communications","Manchester","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Manchester","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Manchester","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Medway","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mid Lancashire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Milton Keynes","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Monmouthshire and Newport","Communications","60","60","35610","30640"
"In post","2021","Communications","North and West Norfolk","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North Hampshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North Nottinghamshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North Yorkshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northumberland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Norwich and East Norfolk","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Nottingham","Communications","80","70","37070","36590"
"In post","2021","Communications","Nottingham","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Oxfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Peterborough","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Plymouth","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Portsmouth","Communications","40","40","[c]","[c]"
"In post","2021","Communications","Powys","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Powys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Redbridge and Waltham Forest","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Sefton","Communications","40","40","[c]","[c]"
"In post","2021","Communications","Sheffield","Communications","40","40","[c]","[c]"
"In post","2021","Communications","Sheffield","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Shropshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Solihull","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Somerset","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South Hampshire","Communications","40","40","[c]","[c]"
"In post","2021","Communications","South Lanarkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South Nottinghamshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Southampton","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Southend-on-Sea","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Staffordshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Stoke-on-Trent","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Suffolk","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Sunderland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Swansea","Communications","70","70","30400","26780"
"In post","2021","Communications","Swansea","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Swindon","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Telford and Wrekin","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tower Hamlets","Communications","140","130","46730","40550"
"In post","2021","Communications","Tower Hamlets","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tower Hamlets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tyneside","Communications","80","80","34110","31810"
"In post","2021","Communications","Unknown","Communications","[c]","[c]","[c]","[c]"
