"Status","Year","Responsibility_level","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","30-39","Foreign, Commonwealth and Development Office","80","80","24840","24750"
"In post","2021","AA/AO","30-39","HM Land Registry","420","400","22470","22350"
"In post","2021","AA/AO","30-39","HM Revenue and Customs","3640","3240","20350","20140"
"In post","2021","AA/AO","30-39","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","30-39","Home Office","1770","1570","21870","21430"
"In post","2021","AA/AO","30-39","Ministry of Defence","2210","2120","24190","20920"
"In post","2021","AA/AO","30-39","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","AA/AO","30-39","Ministry of Justice","9030","8470","24760","24120"
"In post","2021","AA/AO","30-39","National Crime Agency","50","40","[c]","[c]"
"In post","2021","AA/AO","30-39","Office for Standards in Education","50","40","21180","21160"
"In post","2021","AA/AO","30-39","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","30-39","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","30-39","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","30-39","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","30-39","Scottish Government","1240","1160","23080","22820"
"In post","2021","AA/AO","30-39","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","30-39","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","30-39","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","30-39","United Kingdom Statistics Authority","150","120","19630","19130"
"In post","2021","AA/AO","30-39","Welsh Government","200","180","23300","23830"
"In post","2021","AA/AO","40-49","Attorney General's Departments","320","280","22610","21950"
"In post","2021","AA/AO","40-49","Cabinet Office","90","80","21410","20860"
"In post","2021","AA/AO","40-49","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","40-49","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","40-49","Department for Business, Energy and Industrial Strategy","270","240","21410","20880"
"In post","2021","AA/AO","40-49","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","40-49","Department for Environment, Food and Rural Affairs","480","420","21320","21050"
"In post","2021","AA/AO","40-49","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","40-49","Department for Transport","1250","1110","21830","21590"
"In post","2021","AA/AO","40-49","Department for Work and Pensions","6510","5480","21120","21010"
"In post","2021","AA/AO","40-49","Department of Health and Social Care","130","110","21720","21730"
"In post","2021","AA/AO","40-49","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","40-49","Foreign, Commonwealth and Development Office","110","100","25130","24750"
"In post","2021","AA/AO","40-49","HM Land Registry","300","290","22470","22350"
"In post","2021","AA/AO","40-49","HM Revenue and Customs","4220","3660","20790","20140"
"In post","2021","AA/AO","40-49","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","40-49","Home Office","1620","1430","22100","21430"
"In post","2021","AA/AO","40-49","Ministry of Defence","2910","2800","23530","20920"
"In post","2021","AA/AO","40-49","Ministry of Housing, Communities and Local Government","40","30","[c]","[c]"
"In post","2021","AA/AO","40-49","Ministry of Justice","7430","6890","24780","23240"
"In post","2021","AA/AO","40-49","National Crime Agency","60","50","24600","24220"
"In post","2021","AA/AO","40-49","Office for Standards in Education","50","40","[c]","[c]"
"In post","2021","AA/AO","40-49","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","40-49","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","40-49","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","40-49","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","40-49","Scottish Government","1050","970","23450","22820"
"In post","2021","AA/AO","40-49","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","40-49","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","40-49","United Kingdom Statistics Authority","180","130","19760","19520"
"In post","2021","AA/AO","40-49","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","40-49","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","40-49","Welsh Government","150","130","23640","23830"
"In post","2021","AA/AO","50-59","Attorney General's Departments","400","360","22640","21950"
"In post","2021","AA/AO","50-59","Cabinet Office","130","120","21770","20920"
"In post","2021","AA/AO","50-59","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","Department for Business, Energy and Industrial Strategy","360","330","21840","21140"
"In post","2021","AA/AO","50-59","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","Department for Environment, Food and Rural Affairs","500","460","21680","21050"
"In post","2021","AA/AO","50-59","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","Department for Transport","1330","1180","22180","21590"
"In post","2021","AA/AO","50-59","Department for Work and Pensions","10130","8710","21090","21010"
"In post","2021","AA/AO","50-59","Department of Health and Social Care","150","130","21740","21970"
"In post","2021","AA/AO","50-59","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","Foreign, Commonwealth and Development Office","150","150","26140","25920"
"In post","2021","AA/AO","50-59","HM Land Registry","320","300","22560","22350"
"In post","2021","AA/AO","50-59","HM Revenue and Customs","6290","5320","21120","21440"
"In post","2021","AA/AO","50-59","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","Home Office","1930","1720","22110","21430"
"In post","2021","AA/AO","50-59","Ministry of Defence","6080","5910","22760","20920"
"In post","2021","AA/AO","50-59","Ministry of Housing, Communities and Local Government","60","50","23300","22560"
"In post","2021","AA/AO","50-59","Ministry of Justice","10310","9560","24750","22680"
"In post","2021","AA/AO","50-59","National Crime Agency","70","60","24670","24220"
"In post","2021","AA/AO","50-59","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","Office for Standards in Education","50","50","21220","21160"
"In post","2021","AA/AO","50-59","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","Scottish Government","1450","1340","23400","22820"
"In post","2021","AA/AO","50-59","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","United Kingdom Statistics Authority","480","330","19620","19520"
"In post","2021","AA/AO","50-59","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","50-59","Welsh Government","200","180","23800","23830"
"In post","2021","AA/AO","60-64","Attorney General's Departments","110","90","22740","22610"
"In post","2021","AA/AO","60-64","Cabinet Office","50","40","[c]","[c]"
"In post","2021","AA/AO","60-64","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","Department for Business, Energy and Industrial Strategy","140","120","21850","21790"
"In post","2021","AA/AO","60-64","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","Department for Environment, Food and Rural Affairs","170","150","21610","21050"
"In post","2021","AA/AO","60-64","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","Department for Transport","610","460","21900","21590"
"In post","2021","AA/AO","60-64","Department for Work and Pensions","3600","2820","21170","21010"
"In post","2021","AA/AO","60-64","Department of Health and Social Care","50","50","21590","21640"
"In post","2021","AA/AO","60-64","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","Foreign, Commonwealth and Development Office","50","50","[c]","[c]"
"In post","2021","AA/AO","60-64","HM Land Registry","80","70","22500","22350"
"In post","2021","AA/AO","60-64","HM Revenue and Customs","2360","1780","21120","21440"
"In post","2021","AA/AO","60-64","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","Home Office","810","670","22100","21430"
"In post","2021","AA/AO","60-64","Ministry of Defence","2140","1990","21600","20920"
"In post","2021","AA/AO","60-64","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","Ministry of Justice","3350","2710","23130","21490"
"In post","2021","AA/AO","60-64","National Crime Agency","40","30","[c]","[c]"
"In post","2021","AA/AO","60-64","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","Scottish Government","540","470","23310","22820"
"In post","2021","AA/AO","60-64","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","United Kingdom Statistics Authority","270","180","19700","19520"
"In post","2021","AA/AO","60-64","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","60-64","Welsh Government","80","60","23630","23830"
"In post","2021","AA/AO","65+","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","AA/AO","65+","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","65+","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","65+","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","65+","Department for Business, Energy and Industrial Strategy","60","40","22050","22490"
"In post","2021","AA/AO","65+","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","65+","Department for Environment, Food and Rural Affairs","70","60","22370","21050"
"In post","2021","AA/AO","65+","Department for Transport","190","140","22880","21590"
"In post","2021","AA/AO","65+","Department for Work and Pensions","1170","860","21350","21010"
"In post","2021","AA/AO","65+","Department of Health and Social Care","40","30","[c]","[c]"
"In post","2021","AA/AO","65+","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","65+","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","65+","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","65+","HM Revenue and Customs","710","530","21310","21400"
"In post","2021","AA/AO","65+","Home Office","360","280","22360","21430"
"In post","2021","AA/AO","65+","Ministry of Defence","800","710","20890","20920"
"In post","2021","AA/AO","65+","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","65+","Ministry of Justice","1220","900","21790","20600"
"In post","2021","AA/AO","65+","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","65+","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","65+","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","65+","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","65+","Scottish Government","200","160","23370","22230"
"In post","2021","AA/AO","65+","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","65+","United Kingdom Statistics Authority","170","100","19850","19520"
"In post","2021","AA/AO","65+","Welsh Government","50","40","23930","23830"
"In post","2021","AA/AO","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","EO","16-19","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Ministry of Defence","120","120","18670","17780"
"In post","2021","EO","16-19","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","Attorney General's Departments","440","430","27290","26970"
"In post","2021","EO","20-29","Cabinet Office","460","460","27120","27500"
"In post","2021","EO","20-29","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","Department for Business, Energy and Industrial Strategy","560","550","26400","25740"
"In post","2021","EO","20-29","Department for Digital, Culture, Media and Sport","100","100","27510","26180"
"In post","2021","EO","20-29","Department for Education","390","390","26660","25000"
"In post","2021","EO","20-29","Department for Environment, Food and Rural Affairs","460","450","26110","25100"
"In post","2021","EO","20-29","Department for International Trade","120","120","26590","26510"
"In post","2021","EO","20-29","Department for Transport","430","430","27620","26470"
"In post","2021","EO","20-29","Department for Work and Pensions","6020","5940","28420","27570"
"In post","2021","EO","20-29","Department of Health and Social Care","650","640","25930","26880"
"In post","2021","EO","20-29","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","Foreign, Commonwealth and Development Office","270","260","28540","29300"
"In post","2021","EO","20-29","HM Land Registry","320","320","27680","27130"
"In post","2021","EO","20-29","HM Revenue and Customs","3100","3060","25730","25560"
"In post","2021","EO","20-29","HM Treasury","110","110","26290","26750"
"In post","2021","EO","20-29","Home Office","2140","2110","26230","24890"
"In post","2021","EO","20-29","Ministry of Defence","2050","2030","24710","26350"
"In post","2021","EO","20-29","Ministry of Housing, Communities and Local Government","130","130","27440","27850"
"In post","2021","EO","20-29","Ministry of Justice","1380","1370","26650","26410"
"In post","2021","EO","20-29","National Crime Agency","710","710","31580","32260"
"In post","2021","EO","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","Office for Standards in Education","50","50","26670","25880"
"In post","2021","EO","20-29","Office of Gas and Electricity Markets","140","140","25240","25670"
"In post","2021","EO","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","Other Cabinet Office Agencies","50","50","23240","22230"
"In post","2021","EO","20-29","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","Scottish Government","990","980","28100","27150"
"In post","2021","EO","20-29","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","United Kingdom Statistics Authority","220","210","23500","23050"
"In post","2021","EO","20-29","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","20-29","Welsh Government","150","150","28200","28850"
"In post","2021","EO","30-39","Attorney General's Departments","310","290","27500","27350"
"In post","2021","EO","30-39","Cabinet Office","170","160","26890","27500"
"In post","2021","EO","30-39","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","30-39","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","30-39","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","30-39","Department for Business, Energy and Industrial Strategy","450","420","25880","24900"
"In post","2021","EO","30-39","Department for Digital, Culture, Media and Sport","30","30","[c]","[c]"
"In post","2021","EO","30-39","Department for Education","200","190","26370","26000"
"In post","2021","EO","30-39","Department for Environment, Food and Rural Affairs","380","360","25820","25190"
"In post","2021","EO","30-39","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","30-39","Department for Transport","760","720","27810","26700"
"In post","2021","EO","30-39","Department for Work and Pensions","8680","8110","28150","27570"
"In post","2021","EO","30-39","Department of Health and Social Care","280","250","26140","26880"
"In post","2021","EO","30-39","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","30-39","Food Standards Agency","40","30","[c]","[c]"
"In post","2021","EO","30-39","Foreign, Commonwealth and Development Office","180","180","28760","27390"
"In post","2021","EO","30-39","HM Land Registry","220","200","27530","27130"
"In post","2021","EO","30-39","HM Revenue and Customs","3510","3360","25650","25560"
"In post","2021","EO","30-39","HM Treasury","30","30","[c]","[c]"
"In post","2021","EO","30-39","Home Office","3480","3270","26230","25260"
"In post","2021","EO","30-39","Ministry of Defence","1590","1510","26720","26670"
"In post","2021","EO","30-39","Ministry of Housing, Communities and Local Government","60","60","27150","26980"
"In post","2021","EO","30-39","Ministry of Justice","2560","2460","28020","27380"
"In post","2021","EO","30-39","National Crime Agency","640","630","33290","32770"
"In post","2021","EO","30-39","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","30-39","Office for Standards in Education","60","60","26030","25880"
"In post","2021","EO","30-39","Office of Gas and Electricity Markets","70","60","25420","24650"
"In post","2021","EO","30-39","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","30-39","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","30-39","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","EO","30-39","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","30-39","Scottish Government","1390","1340","29900","29350"
"In post","2021","EO","30-39","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","30-39","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","30-39","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","30-39","United Kingdom Statistics Authority","170","160","23560","23050"
"In post","2021","EO","30-39","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","30-39","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","30-39","Welsh Government","280","260","28590","28850"
"In post","2021","EO","40-49","Attorney General's Departments","400","360","28320","28430"
"In post","2021","EO","40-49","Cabinet Office","100","90","27200","27500"
"In post","2021","EO","40-49","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","40-49","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","40-49","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","40-49","Department for Business, Energy and Industrial Strategy","360","330","26250","25830"
"In post","2021","EO","40-49","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","40-49","Department for Education","160","150","26620","26000"
"In post","2021","EO","40-49","Department for Environment, Food and Rural Affairs","520","470","26260","25640"
"In post","2021","EO","40-49","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","40-49","Department for Transport","930","900","28100","26780"
"In post","2021","EO","40-49","Department for Work and Pensions","11740","10720","28030","27570"
"In post","2021","EO","40-49","Department of Health and Social Care","230","210","26510","27140"
"In post","2021","EO","40-49","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","40-49","Food Standards Agency","80","80","27200","26750"
"In post","2021","EO","40-49","Foreign, Commonwealth and Development Office","190","180","29540","29970"
"In post","2021","EO","40-49","HM Land Registry","390","340","27550","27130"
"In post","2021","EO","40-49","HM Revenue and Customs","3140","2920","26180","25560"
"In post","2021","EO","40-49","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","40-49","Home Office","3550","3300","26860","26160"
"In post","2021","EO","40-49","Ministry of Defence","1930","1860","27500","26670"
"In post","2021","EO","40-49","Ministry of Housing, Communities and Local Government","70","70","27700","27530"
"In post","2021","EO","40-49","Ministry of Justice","2420","2330","28480","27380"
"In post","2021","EO","40-49","National Crime Agency","470","450","34200","34440"
"In post","2021","EO","40-49","Northern Ireland Office","[c]","[c]","[c]","[c]"
