"Status","Year","Organisation","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Ministry of Defence (excl. agencies)","Undeclared","Property","180","170","31450","33300"
"In post","2021","Ministry of Defence (excl. agencies)","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","Undeclared","Science and Engineering","150","140","32860","30670"
"In post","2021","Ministry of Defence (excl. agencies)","Undeclared","Security","430","430","30990","28380"
"In post","2021","Ministry of Defence (excl. agencies)","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","Undeclared","Unknown","140","130","34130","33300"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Commercial","90","90","36320","34800"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Communications","90","90","39050","33300"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Digital, Data and Technology","90","80","35910","33300"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Finance","160","160","40400","33460"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Human Resources","210","200","28630","24630"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Intelligence Analysis","120","120","38490","36730"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Knowledge and Information Management","70","70","37890","33150"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Medicine","470","410","44040","37890"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Operational Delivery","90","80","27240","26670"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Other","1560","1500","28390","22390"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Policy","170","170","42170","41500"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Project Delivery","480","470","40320","37930"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Property","360","350","26350","18800"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Science and Engineering","280","270","30910","25190"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Security","1500","1480","29740","26640"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Unknown","230","220","35910","33630"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Operational Delivery","50","50","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Policy","140","140","45440","39600"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Communications","70","60","43550","39600"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Digital, Data and Technology","50","50","51730","53130"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Economics","60","60","44220","35060"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Finance","90","80","53060","53130"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Human Resources","50","50","44710","39000"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Operational Delivery","340","320","37920","34660"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Planning","80","70","47550","42980"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Policy","920","900","49280","53130"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Project Delivery","80","70","46700","48200"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","Statistics","80","80","48260","43400"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","Policy","70","70","46180","46120"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Policy","140","130","47540","42340"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Digital, Data and Technology","80","70","45100","43140"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Finance","60","60","41850","36800"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Human Resources","110","100","42880","40160"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Operational Delivery","130","130","34770","31580"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Policy","70","70","39390","36800"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Project Delivery","30","30","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Commercial","90","80","35970","35190"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Communications","80","70","44610","40330"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Digital, Data and Technology","560","550","47450","45460"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Economics","30","30","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Finance","370","360","45370","41840"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Human Resources","450","430","41790","37080"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Legal","50","50","57070","57170"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Operational Delivery","900","880","36000","31880"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Operational Research","70","60","47480","44370"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Other","40","40","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Policy","470","450","44300","37340"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Project Delivery","170","170","42590","39450"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Property","110","110","41060","35760"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Social Research","50","50","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Statistics","80","80","44870","40480"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","Unknown","70","60","40870","38050"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Digital, Data and Technology","60","50","43380","40950"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Finance","60","60","42770","40880"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Human Resources","90","80","42680","41080"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Operational Delivery","110","100","36400","33170"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Policy","40","40","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Digital, Data and Technology","180","180","53160","53380"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Finance","40","40","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Operational Delivery","250","240","34140","30850"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Policy","100","90","42010","36800"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Project Delivery","30","30","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared disabled","Operational Delivery","170","160","37250","36200"
"In post","2021","National Crime Agency","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared non-disabled","Digital, Data and Technology","100","90","44750","43450"
"In post","2021","National Crime Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared non-disabled","Human Resources","70","70","43240","40730"
"In post","2021","National Crime Agency","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared non-disabled","Operational Delivery","1470","1440","42970","40210"
"In post","2021","National Crime Agency","Declared non-disabled","Project Delivery","40","40","[c]","[c]"
"In post","2021","National Crime Agency","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Unknown","Digital, Data and Technology","160","150","38930","36740"
"In post","2021","National Crime Agency","Unknown","Finance","30","30","[c]","[c]"
"In post","2021","National Crime Agency","Unknown","Human Resources","100","100","37860","36740"
"In post","2021","National Crime Agency","Unknown","Legal","40","30","[c]","[c]"
"In post","2021","National Crime Agency","Unknown","Operational Delivery","3080","3020","38260","36410"
"In post","2021","National Crime Agency","Unknown","Project Delivery","50","50","45710","45480"
"In post","2021","National Crime Agency","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","National Records of Scotland","Declared disabled","Unknown","50","40","[c]","[c]"
"In post","2021","National Records of Scotland","Declared non-disabled","Unknown","200","190","36460","35110"
"In post","2021","National Records of Scotland","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","National Records of Scotland","Unknown","Unknown","180","170","33200","28170"
"In post","2021","National Savings and Investments","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared non-disabled","Other","90","90","54170","44800"
"In post","2021","National Savings and Investments","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared non-disabled","Policy","50","50","51590","49960"
"In post","2021","Northern Ireland Office","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Policy","40","40","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","Unknown","Economics","30","30","[c]","[c]"
"In post","2021","Office for Budget Responsibility","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Finance","[c]","[c]","[c]","[c]"
