"Status","Year","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Causeway Coast and Glens","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Heterosexual / straight","330","320","30150","27570"
"In post","2021","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Undeclared","60","60","32440","30600"
"In post","2021","Central Bedfordshire","Unknown","30","30","[c]","[c]"
"In post","2021","Central Hampshire","Heterosexual / straight","3080","2960","35720","33300"
"In post","2021","Central Hampshire","LGBO","130","130","32890","29680"
"In post","2021","Central Hampshire","Undeclared","430","410","36240","33400"
"In post","2021","Central Hampshire","Unknown","550","530","39580","37320"
"In post","2021","Central Valleys","Heterosexual / straight","1260","1180","35110","28850"
"In post","2021","Central Valleys","LGBO","60","50","35430","27570"
"In post","2021","Central Valleys","Undeclared","160","150","36000","30860"
"In post","2021","Central Valleys","Unknown","240","210","30540","27570"
"In post","2021","Cheshire East","Heterosexual / straight","440","410","31250","27570"
"In post","2021","Cheshire East","LGBO","50","40","[c]","[c]"
"In post","2021","Cheshire East","Undeclared","80","70","30470","28690"
"In post","2021","Cheshire East","Unknown","190","170","27160","25350"
"In post","2021","Cheshire West and Chester","Heterosexual / straight","340","310","25690","26120"
"In post","2021","Cheshire West and Chester","LGBO","30","30","[c]","[c]"
"In post","2021","Cheshire West and Chester","Undeclared","50","40","[c]","[c]"
"In post","2021","Cheshire West and Chester","Unknown","40","40","[c]","[c]"
"In post","2021","Chorley and West Lancashire","Heterosexual / straight","860","800","29990","27570"
"In post","2021","Chorley and West Lancashire","LGBO","50","40","[c]","[c]"
"In post","2021","Chorley and West Lancashire","Undeclared","80","80","30430","27570"
"In post","2021","Chorley and West Lancashire","Unknown","340","310","28820","27470"
"In post","2021","City of Edinburgh","Heterosexual / straight","7040","6730","39570","34190"
"In post","2021","City of Edinburgh","LGBO","570","560","36760","31810"
"In post","2021","City of Edinburgh","Undeclared","1410","1340","33280","29350"
"In post","2021","City of Edinburgh","Unknown","3780","3570","34970","30650"
"In post","2021","Clackmannanshire and Fife","Heterosexual / straight","810","750","30470","27570"
"In post","2021","Clackmannanshire and Fife","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Undeclared","170","150","29090","27170"
"In post","2021","Clackmannanshire and Fife","Unknown","350","330","29130","27570"
"In post","2021","Conwy and Denbighshire","Heterosexual / straight","550","520","34990","31420"
"In post","2021","Conwy and Denbighshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Undeclared","70","60","39500","37410"
"In post","2021","Conwy and Denbighshire","Unknown","50","40","28700","27570"
"In post","2021","Cornwall and Isles of Scilly","Heterosexual / straight","1120","1030","26720","26670"
"In post","2021","Cornwall and Isles of Scilly","LGBO","50","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","160","140","27340","26670"
"In post","2021","Cornwall and Isles of Scilly","Unknown","320","280","25940","25260"
"In post","2021","Coventry","Heterosexual / straight","1560","1480","36840","32300"
"In post","2021","Coventry","LGBO","90","80","34730","31000"
"In post","2021","Coventry","Undeclared","170","150","35200","31000"
"In post","2021","Coventry","Unknown","620","580","37670","33840"
"In post","2021","Croydon","Heterosexual / straight","6860","6500","38670","35070"
"In post","2021","Croydon","LGBO","260","250","40690","36160"
