"Status","Year","Region_ITL2","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Legal","80","70","59200","61360"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","No function","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Unknown","140","140","60870","57540"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Finance","50","50","41540","39320"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Legal","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","No function","240","230","39510","38180"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Project Delivery","120","120","38800","37720"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Unknown","410","400","37740","37640"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","No function","290","260","27850","24020"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Grants Management","70","60","21050","21050"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Human Resources","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Legal","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","No function","1770","1680","26260","25400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Property","60","60","18940","18240"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Security","710","710","30170","27680"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Unknown","810","760","21470","21130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Commercial","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Digital, Data & Technology","50","50","29250","27060"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Finance","80","80","27750","27510"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Grants Management","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","No function","700","670","29890","28130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Project Delivery","90","80","25770","26670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Property","80","80","26990","26700"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Security","160","150","37910","42660"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","1070","990","28510","28350"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Commercial","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Digital, Data & Technology","70","60","56510","53160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Finance","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Legal","110","90","58690","57760"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","No function","230","220","59100","56500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Project Delivery","90","90","59080","56540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Property","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Unknown","60","50","70640","69160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Commercial","120","110","38770","38940"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Communications","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Digital, Data & Technology","130","120","38890","37670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Finance","140","130","38750","36150"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Grants Management","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Human Resources","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Legal","50","50","39810","40540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","No function","670","630","38080","38160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Project Delivery","290","280","37000","35390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Property","160","160","39440","40000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Security","180","170","40850","36460"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Unknown","360","340","37750","35400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","No function","370","340","28490","24940"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","80","80","40200","40620"
"In post","2021","Cheshire","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Grants Management","50","40","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","No function","780","730","24420","23240"
"In post","2021","Cheshire","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Unknown","370","320","20810","21010"
"In post","2021","Cheshire","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Grants Management","40","40","[c]","[c]"
"In post","2021","Cheshire","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","No function","790","770","31290","31470"
"In post","2021","Cheshire","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Unknown","550","500","27470","27570"
"In post","2021","Cheshire","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Digital, Data & Technology","60","60","51420","48990"
"In post","2021","Cheshire","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","No function","70","70","60380","57360"
"In post","2021","Cheshire","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Digital, Data & Technology","50","50","37160","36740"
"In post","2021","Cheshire","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Human Resources","40","40","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","No function","580","560","40800","40210"
"In post","2021","Cheshire","SEO/HEO","Project Delivery","30","30","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Unknown","60","50","33410","32480"
"In post","2021","Cheshire","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","No function","190","180","29280","28200"
"In post","2021","Cheshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","No function","80","70","20930","20260"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Security","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Unknown","540","490","20850","21010"
"In post","2021","Cornwall and Isles of Scilly","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","EO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","EO","No function","60","60","26660","26750"
"In post","2021","Cornwall and Isles of Scilly","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","EO","Unknown","510","470","27340","27570"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","No function","60","50","37550","36180"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Unknown","100","90","34350","33300"
"In post","2021","Cornwall and Isles of Scilly","Unknown","No function","50","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","AA/AO","Grants Management","430","370","20990","21050"
"In post","2021","Cumbria","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","AA/AO","No function","300","270","22490","21050"
"In post","2021","Cumbria","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","AA/AO","Security","80","80","26380","23540"
"In post","2021","Cumbria","AA/AO","Unknown","70","60","20840","21010"
"In post","2021","Cumbria","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","EO","Grants Management","130","120","25420","25190"
"In post","2021","Cumbria","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","EO","No function","110","110","27190","26700"
"In post","2021","Cumbria","EO","Project Delivery","80","80","21780","20730"
"In post","2021","Cumbria","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","EO","Unknown","190","160","27460","27570"
"In post","2021","Cumbria","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SCS","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","Grants Management","80","70","32700","30860"
"In post","2021","Cumbria","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","No function","80","80","38120","37240"
"In post","2021","Cumbria","SEO/HEO","Project Delivery","60","60","33690","33300"
"In post","2021","Cumbria","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
