"Status","Year","Sex","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Analysis","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Leeds","70","70","39870","38280"
"In post","2021","Female","Analysis","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Liverpool","40","40","[c]","[c]"
"In post","2021","Female","Analysis","Manchester","90","90","38260","33190"
"In post","2021","Female","Analysis","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Monmouthshire and Newport","540","500","35080","32630"
"In post","2021","Female","Analysis","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Sheffield","60","50","42340","42220"
"In post","2021","Female","Analysis","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","South Hampshire","250","230","37190","37020"
"In post","2021","Female","Analysis","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Suffolk","150","140","31480","29270"
"In post","2021","Female","Analysis","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Tower Hamlets","290","280","49920","45740"
"In post","2021","Female","Analysis","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Westminster","1090","1040","46620","42980"
"In post","2021","Female","Analysis","Wiltshire","50","50","37140","37320"
"In post","2021","Female","Analysis","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","York","30","30","[c]","[c]"
"In post","2021","Female","Commercial","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","270","250","41130","34800"
"In post","2021","Female","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Birmingham","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Bristol, City of","50","50","[c]","[c]"
"In post","2021","Female","Commercial","Buckinghamshire CC","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Cambridgeshire CC","80","70","35530","33300"
"In post","2021","Female","Commercial","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Central Hampshire","120","110","35410","33300"
"In post","2021","Female","Commercial","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Croydon","70","70","46880","45070"
"In post","2021","Female","Commercial","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Devon CC","100","90","40920","38340"
"In post","2021","Female","Commercial","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Glasgow City","60","60","37260","33300"
"In post","2021","Female","Commercial","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Greater Manchester South West","70","70","44480","38630"
"In post","2021","Female","Commercial","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Leeds","160","150","45790","38570"
"In post","2021","Female","Commercial","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Liverpool","150","140","39480","34800"
"In post","2021","Female","Commercial","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Manchester","80","80","44320","39850"
"In post","2021","Female","Commercial","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Milton Keynes","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Monmouthshire and Newport","50","50","36410","33320"
"In post","2021","Female","Commercial","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Norwich and East Norfolk","80","70","42280","38440"
"In post","2021","Female","Commercial","Nottingham","30","30","[c]","[c]"
"In post","2021","Female","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Peterborough","30","30","[c]","[c]"
"In post","2021","Female","Commercial","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Portsmouth","60","60","35500","33300"
"In post","2021","Female","Commercial","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Sheffield","60","50","46120","40780"
"In post","2021","Female","Commercial","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","South Lanarkshire","60","60","46170","43320"
"In post","2021","Female","Commercial","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Staffordshire CC","70","60","34720","33150"
"In post","2021","Female","Commercial","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Swansea","90","80","31900","31040"
"In post","2021","Female","Commercial","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Telford and Wrekin","30","30","[c]","[c]"
"In post","2021","Female","Commercial","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Tower Hamlets","90","90","48330","51150"
"In post","2021","Female","Commercial","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Walsall","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Westminster","660","640","56870","53360"
"In post","2021","Female","Commercial","Wiltshire","170","160","37180","34490"
"In post","2021","Female","Commercial","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","York","30","30","[c]","[c]"
"In post","2021","Female","Communications","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Bath and North East Somerset, North Somerset and South Gloucestershire","40","40","[c]","[c]"
"In post","2021","Female","Communications","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Birmingham","120","110","31760","28130"
"In post","2021","Female","Communications","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Bristol, City of","60","50","37300","35900"
"In post","2021","Female","Communications","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Cardiff and Vale of Glamorgan","400","370","28990","25560"
"In post","2021","Female","Communications","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Central Hampshire","40","30","[c]","[c]"
"In post","2021","Female","Communications","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","City of Edinburgh","80","70","33810","31810"
"In post","2021","Female","Communications","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Greater Manchester South West","140","130","28720","25560"
"In post","2021","Female","Communications","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Harrow and Hillingdon","40","40","[c]","[c]"
"In post","2021","Female","Communications","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Lambeth","40","30","[c]","[c]"
"In post","2021","Female","Communications","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Leeds","250","240","31070","25560"
"In post","2021","Female","Communications","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Manchester","70","70","32530","30320"
"In post","2021","Female","Communications","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Monmouthshire and Newport","40","40","[c]","[c]"
"In post","2021","Female","Communications","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Nottingham","230","220","30570","26520"
"In post","2021","Female","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Swansea","50","40","[c]","[c]"
"In post","2021","Female","Communications","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Tower Hamlets","90","90","43120","36160"
"In post","2021","Female","Communications","Tyneside","770","710","27860","25560"
"In post","2021","Female","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","West Cumbria","30","30","[c]","[c]"
"In post","2021","Female","Communications","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Westminster","1150","1120","45890","41890"
"In post","2021","Female","Communications","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","York","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Belfast","190","170","30930","28130"
"In post","2021","Female","Counter Fraud","Berkshire","40","40","[c]","[c]"
"In post","2021","Female","Counter Fraud","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Birmingham","300","270","30900","28130"
"In post","2021","Female","Counter Fraud","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Bristol, City of","160","150","34130","31810"
"In post","2021","Female","Counter Fraud","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Camden and City of London","440","420","35630","34660"
"In post","2021","Female","Counter Fraud","Cardiff and Vale of Glamorgan","180","160","29580","27230"
