"Status","Year","Disability","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Defence (excl. agencies)","50","50","33160","29200"
"In post","2021","Declared disabled","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Defence Equipment and Support","50","50","35490","34730"
"In post","2021","Declared disabled","Digital, Data and Technology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Department for Education (excl. agencies)","50","50","38450","36780"
"In post","2021","Declared disabled","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","70","70","43580","43320"
"In post","2021","Declared disabled","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Driver and Vehicle Licensing Agency","50","40","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","HM Land Registry","40","40","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","160","150","39070","35000"
"In post","2021","Declared disabled","Digital, Data and Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Home Office (incl. agencies)","80","80","51960","47940"
"In post","2021","Declared disabled","Digital, Data and Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Ministry of Defence (excl. agencies)","90","90","30300","27170"
"In post","2021","Declared disabled","Digital, Data and Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Ministry of Justice (excl. agencies)","80","70","45100","43140"
"In post","2021","Declared disabled","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Wales Office","[c]","[c]","[c]","[c]"
