"Status","Year","Organisation","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Department of Health and Social Care (excl. agencies)","Commercial","SEO/HEO","130","120","38490","40650"
"In post","2022","Department of Health and Social Care (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Communications","EO","100","100","27460","27270"
"In post","2022","Department of Health and Social Care (excl. agencies)","Communications","G6/G7","180","170","59170","56430"
"In post","2022","Department of Health and Social Care (excl. agencies)","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Communications","SEO/HEO","50","50","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","G6/G7","60","60","55580","53360"
"In post","2022","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","SEO/HEO","120","120","34900","32790"
"In post","2022","Department of Health and Social Care (excl. agencies)","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Finance","EO","70","70","24950","23690"
"In post","2022","Department of Health and Social Care (excl. agencies)","Finance","G6/G7","150","140","55840","53360"
"In post","2022","Department of Health and Social Care (excl. agencies)","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Finance","SEO/HEO","260","250","35820","36820"
"In post","2022","Department of Health and Social Care (excl. agencies)","Human Resources","EO","60","50","27480","27270"
"In post","2022","Department of Health and Social Care (excl. agencies)","Human Resources","G6/G7","30","30","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Human Resources","SEO/HEO","60","60","35810","32790"
"In post","2022","Department of Health and Social Care (excl. agencies)","No function","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","No function","EO","180","170","26920","27270"
"In post","2022","Department of Health and Social Care (excl. agencies)","No function","G6/G7","810","770","57670","54230"
"In post","2022","Department of Health and Social Care (excl. agencies)","No function","SCS","170","160","92930","90390"
"In post","2022","Department of Health and Social Care (excl. agencies)","No function","SEO/HEO","720","690","35910","34790"
"In post","2022","Department of Health and Social Care (excl. agencies)","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Property","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Unknown","G6/G7","100","100","56580","53360"
"In post","2022","Department of Health and Social Care (excl. agencies)","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Unknown","SEO/HEO","80","80","35880","32880"
"In post","2022","Disclosure Scotland","Unknown","AA/AO","220","200","22650","23230"
"In post","2022","Disclosure Scotland","Unknown","EO","60","60","30030","30040"
"In post","2022","Disclosure Scotland","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Disclosure Scotland","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Disclosure Scotland","Unknown","SEO/HEO","60","60","39410","37070"
"In post","2022","Driver and Vehicle Licensing Agency","Commercial","AA/AO","40","30","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Commercial","EO","40","40","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Commercial","SEO/HEO","80","70","35020","32180"
"In post","2022","Driver and Vehicle Licensing Agency","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Digital, Data & Technology","AA/AO","50","40","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Digital, Data & Technology","EO","180","180","26860","26470"
"In post","2022","Driver and Vehicle Licensing Agency","Digital, Data & Technology","G6/G7","140","140","63110","62240"
"In post","2022","Driver and Vehicle Licensing Agency","Digital, Data & Technology","SEO/HEO","440","430","40600","40380"
"In post","2022","Driver and Vehicle Licensing Agency","Finance","AA/AO","40","30","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Finance","SEO/HEO","60","60","36560","34730"
"In post","2022","Driver and Vehicle Licensing Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Human Resources","EO","50","50","26470","26470"
"In post","2022","Driver and Vehicle Licensing Agency","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Human Resources","SEO/HEO","100","90","34660","32790"
"In post","2022","Driver and Vehicle Licensing Agency","No function","AA/AO","3890","3300","20830","21840"
"In post","2022","Driver and Vehicle Licensing Agency","No function","EO","560","520","26580","26580"
"In post","2022","Driver and Vehicle Licensing Agency","No function","G6/G7","70","70","73540","83320"
"In post","2022","Driver and Vehicle Licensing Agency","No function","SEO/HEO","210","200","34200","32180"
"In post","2022","Driver and Vehicle Licensing Agency","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Project Delivery","EO","40","30","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Project Delivery","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Property","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Security","AA/AO","60","60","25020","24720"
"In post","2022","Driver and Vehicle Licensing Agency","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Commercial","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Digital, Data & Technology","EO","60","60","26430","26130"
"In post","2022","Driver and Vehicle Standards Agency","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Digital, Data & Technology","SEO/HEO","140","140","36990","33350"
"In post","2022","Driver and Vehicle Standards Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Finance","SEO/HEO","50","50","37330","38650"
"In post","2022","Driver and Vehicle Standards Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Human Resources","SEO/HEO","70","60","36940","38650"
"In post","2022","Driver and Vehicle Standards Agency","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","No function","AA/AO","1050","980","24720","23940"
"In post","2022","Driver and Vehicle Standards Agency","No function","EO","2470","2300","28200","26780"
"In post","2022","Driver and Vehicle Standards Agency","No function","G6/G7","40","40","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","No function","SEO/HEO","540","520","34440","33350"
"In post","2022","Driver and Vehicle Standards Agency","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Project Delivery","SEO/HEO","60","50","35120","33350"
"In post","2022","Driver and Vehicle Standards Agency","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","Finance","EO","60","60","25700","25000"
"In post","2022","Education and Skills Funding Agency","Finance","G6/G7","220","210","54080","50630"
"In post","2022","Education and Skills Funding Agency","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","Finance","SEO/HEO","490","470","34750","36500"
"In post","2022","Education and Skills Funding Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","No function","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","No function","EO","100","100","25990","26000"
"In post","2022","Education and Skills Funding Agency","No function","G6/G7","380","370","55490","53420"
"In post","2022","Education and Skills Funding Agency","No function","SCS","30","30","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","No function","SEO/HEO","560","540","34720","36500"
"In post","2022","Education Scotland","Unknown","AA/AO","40","30","[c]","[c]"
"In post","2022","Education Scotland","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Education Scotland","Unknown","G6/G7","210","200","69480","72480"
"In post","2022","Education Scotland","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Education Scotland","Unknown","SEO/HEO","70","70","42730","43000"
"In post","2022","Estyn","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Project Delivery","G6/G7","70","70","74040","75480"
"In post","2022","Estyn","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Commercial","G6/G7","30","30","[c]","[c]"
"In post","2022","FCDO Services","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Commercial","SEO/HEO","30","30","[c]","[c]"
"In post","2022","FCDO Services","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Digital, Data & Technology","SEO/HEO","60","60","44620","44120"
"In post","2022","FCDO Services","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Legal","G6/G7","50","30","[c]","[c]"
"In post","2022","FCDO Services","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Project Delivery","SEO/HEO","30","30","[c]","[c]"
"In post","2022","FCDO Services","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Property","EO","60","60","28100","28170"
"In post","2022","FCDO Services","Property","G6/G7","60","60","62970","63250"
"In post","2022","FCDO Services","Property","SEO/HEO","180","180","41120","41740"
"In post","2022","FCDO Services","Property","Unknown","40","40","[c]","[c]"
"In post","2022","FCDO Services","Security","AA/AO","90","90","26130","23950"
"In post","2022","FCDO Services","Security","EO","40","40","[c]","[c]"
"In post","2022","FCDO Services","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Security","SEO/HEO","120","110","39350","38200"
"In post","2022","FCDO Services","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Analysis","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Food Standards Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Communications","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Food Standards Agency","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Counter Fraud","SEO/HEO","50","40","[c]","[c]"
"In post","2022","Food Standards Agency","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Digital, Data & Technology","SEO/HEO","40","30","[c]","[c]"
"In post","2022","Food Standards Agency","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","No function","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","No function","EO","400","380","27150","26750"
"In post","2022","Food Standards Agency","No function","G6/G7","150","150","55270","55300"
"In post","2022","Food Standards Agency","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","No function","SEO/HEO","490","490","35610","37350"
"In post","2022","Food Standards Agency","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Scotland","Unknown","EO","90","90","28850","30040"
"In post","2022","Food Standards Scotland","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Scotland","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Scotland","Unknown","SEO/HEO","160","150","36330","34600"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Analysis","G6/G7","40","30","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","G6/G7","40","40","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","SEO/HEO","50","40","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","EO","40","30","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","G6/G7","60","60","54220","54270"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","SEO/HEO","120","120","37250","33930"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","G6/G7","100","100","57030","55060"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","SEO/HEO","110","100","37650","38500"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","EO","40","30","[c]","[c]"
