"Status","Year","Sex","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","AA/AO","Isle of Anglesey","40","40","[c]","[c]"
"In post","2021","Female","AA/AO","Isle of Wight","230","200","22740","21010"
"In post","2021","Female","AA/AO","Kensington & Chelsea and Hammersmith & Fulham","200","180","29420","30220"
"In post","2021","Female","AA/AO","Kent Thames Gateway","410","370","24770","23240"
"In post","2021","Female","AA/AO","Kingston upon Hull, City of","410","340","21970","21010"
"In post","2021","Female","AA/AO","Lambeth","250","240","26560","25110"
"In post","2021","Female","AA/AO","Lancaster and Wyre","260","240","22290","21030"
"In post","2021","Female","AA/AO","Leeds","1430","1260","21450","21010"
"In post","2021","Female","AA/AO","Leicester","700","580","20820","21010"
"In post","2021","Female","AA/AO","Leicestershire CC and Rutland","500","450","21870","20920"
"In post","2021","Female","AA/AO","Lewisham and Southwark","120","110","23870","24210"
"In post","2021","Female","AA/AO","Lincolnshire","680","610","21340","21010"
"In post","2021","Female","AA/AO","Lisburn and Castlereagh","100","90","21750","21880"
"In post","2021","Female","AA/AO","Liverpool","2140","1830","21130","21430"
"In post","2021","Female","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","60","50","22280","22230"
"In post","2021","Female","AA/AO","Luton","90","80","20080","20520"
"In post","2021","Female","AA/AO","Manchester","1050","930","20990","20880"
"In post","2021","Female","AA/AO","Medway","340","310","24000","21710"
"In post","2021","Female","AA/AO","Merton, Kingston upon Thames and Sutton","90","80","22230","22340"
"In post","2021","Female","AA/AO","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Mid Kent","180","160","22830","21550"
"In post","2021","Female","AA/AO","Mid Lancashire","1560","1290","21060","21010"
"In post","2021","Female","AA/AO","Milton Keynes","400","380","24200","23270"
"In post","2021","Female","AA/AO","Monmouthshire and Newport","700","590","20420","20100"
"In post","2021","Female","AA/AO","Na h-Eileanan Siar","70","60","21550","21010"
"In post","2021","Female","AA/AO","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","North and North East Lincolnshire","220","180","20790","21010"
"In post","2021","Female","AA/AO","North and West Norfolk","220","190","22410","20920"
"In post","2021","Female","AA/AO","North Hampshire","200","180","20910","20920"
"In post","2021","Female","AA/AO","North Lanarkshire","1010","800","20850","20810"
"In post","2021","Female","AA/AO","North Northamptonshire","160","120","20960","21010"
"In post","2021","Female","AA/AO","North Nottinghamshire","170","160","22770","21900"
"In post","2021","Female","AA/AO","North Yorkshire CC","340","310","21450","20920"
"In post","2021","Female","AA/AO","Northumberland","50","40","20640","20970"
"In post","2021","Female","AA/AO","Norwich and East Norfolk","330","270","21220","21010"
"In post","2021","Female","AA/AO","Nottingham","1170","1020","20830","20420"
"In post","2021","Female","AA/AO","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Oxfordshire","550","500","22920","21500"
"In post","2021","Female","AA/AO","Perth and Kinross and Stirling","230","200","22760","22230"
"In post","2021","Female","AA/AO","Peterborough","450","370","20900","21430"
"In post","2021","Female","AA/AO","Plymouth","490","420","21460","21100"
"In post","2021","Female","AA/AO","Portsmouth","710","600","21050","20920"
"In post","2021","Female","AA/AO","Powys","100","90","21680","21130"
"In post","2021","Female","AA/AO","Redbridge and Waltham Forest","260","210","23710","25110"
"In post","2021","Female","AA/AO","Sandwell","40","40","[c]","[c]"
"In post","2021","Female","AA/AO","Scottish Borders","100","80","23650","24110"
"In post","2021","Female","AA/AO","Sefton","1390","1130","20680","21010"
"In post","2021","Female","AA/AO","Sheffield","900","740","20910","21430"
"In post","2021","Female","AA/AO","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Shropshire CC","210","190","21910","21130"
"In post","2021","Female","AA/AO","Solihull","140","120","21150","21430"
"In post","2021","Female","AA/AO","Somerset","290","240","20510","21010"
"In post","2021","Female","AA/AO","South and West Derbyshire","200","180","23850","22160"
"In post","2021","Female","AA/AO","South Ayrshire","50","40","21590","21900"
"In post","2021","Female","AA/AO","South Hampshire","680","460","20050","19520"
"In post","2021","Female","AA/AO","South Lanarkshire","920","740","20710","20140"
"In post","2021","Female","AA/AO","South Nottinghamshire","170","150","22850","21650"
"In post","2021","Female","AA/AO","South Teesside","280","240","20520","21010"
"In post","2021","Female","AA/AO","South West Wales","310","270","21590","21010"
"In post","2021","Female","AA/AO","Southampton","210","170","20620","21010"
"In post","2021","Female","AA/AO","Southend-on-Sea","230","180","21580","21440"
"In post","2021","Female","AA/AO","Staffordshire CC","840","770","22640","21550"
"In post","2021","Female","AA/AO","Stoke-on-Trent","420","350","19600","18880"
"In post","2021","Female","AA/AO","Suffolk","880","790","21880","21050"
"In post","2021","Female","AA/AO","Sunderland","1770","1340","20770","21010"
"In post","2021","Female","AA/AO","Swansea","3330","2690","20710","21590"
"In post","2021","Female","AA/AO","Swindon","70","60","19700","19570"
"In post","2021","Female","AA/AO","Telford and Wrekin","290","240","21280","21010"
"In post","2021","Female","AA/AO","Thurrock","50","40","[c]","[c]"
"In post","2021","Female","AA/AO","Torbay","100","70","20660","21010"
"In post","2021","Female","AA/AO","Tower Hamlets","300","270","23650","23500"
"In post","2021","Female","AA/AO","Tyneside","3980","3200","20720","21010"
"In post","2021","Female","AA/AO","Unknown","160","140","22450","21010"
"In post","2021","Female","AA/AO","Wakefield","370","330","24250","21950"
"In post","2021","Female","AA/AO","Walsall","170","140","20610","21010"
"In post","2021","Female","AA/AO","Wandsworth","320","290","27940","25860"
"In post","2021","Female","AA/AO","Warrington","420","370","22120","21010"
"In post","2021","Female","AA/AO","Warwickshire","290","250","20650","21010"
"In post","2021","Female","AA/AO","West Cumbria","360","300","21480","21050"
"In post","2021","Female","AA/AO","West Essex","40","30","[c]","[c]"
"In post","2021","Female","AA/AO","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","West Lothian","110","100","21750","21070"
"In post","2021","Female","AA/AO","West Northamptonshire","330","290","20730","20100"
"In post","2021","Female","AA/AO","West Surrey","420","390","24250","24370"
"In post","2021","Female","AA/AO","West Sussex (North East)","100","90","22170","22360"
"In post","2021","Female","AA/AO","West Sussex (South West)","210","170","21030","21010"
"In post","2021","Female","AA/AO","Westminster","1390","1290","24250","24120"
"In post","2021","Female","AA/AO","Wiltshire","690","640","21250","20920"
"In post","2021","Female","AA/AO","Wirral","690","560","21000","21010"
"In post","2021","Female","AA/AO","Wolverhampton","260","200","20280","20180"
"In post","2021","Female","AA/AO","Worcestershire","570","510","22380","21050"
"In post","2021","Female","AA/AO","York","340","300","21490","21010"
"In post","2021","Female","EO","Aberdeen City and Aberdeenshire","320","290","28410","27570"
"In post","2021","Female","EO","Angus and Dundee City","330","290","27440","27570"
"In post","2021","Female","EO","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Female","EO","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Female","EO","Barking & Dagenham and Havering","230","200","30990","31060"
"In post","2021","Female","EO","Barnet","290","270","30080","31060"
"In post","2021","Female","EO","Barnsley, Doncaster and Rotherham","610","510","27540","27570"
"In post","2021","Female","EO","Bath and North East Somerset, North Somerset and South Gloucestershire","1290","1170","24680","25500"
"In post","2021","Female","EO","Bedford","160","150","27420","27570"
"In post","2021","Female","EO","Belfast","430","380","26340","25560"
"In post","2021","Female","EO","Berkshire","460","420","29530","29290"
"In post","2021","Female","EO","Bexley and Greenwich","330","310","31310","31060"
"In post","2021","Female","EO","Birmingham","1960","1750","26520","27570"
"In post","2021","Female","EO","Blackburn with Darwen","120","100","27360","27570"
"In post","2021","Female","EO","Blackpool","1200","1040","27400","27570"
"In post","2021","Female","EO","Bournemouth and Poole","190","160","27020","27570"
"In post","2021","Female","EO","Bradford","600","510","26650","27570"
"In post","2021","Female","EO","Breckland and South Norfolk","60","60","27210","27570"
"In post","2021","Female","EO","Brent","170","160","30690","31060"
"In post","2021","Female","EO","Bridgend and Neath Port Talbot","210","180","27510","27570"
"In post","2021","Female","EO","Brighton and Hove","170","160","27470","27570"
"In post","2021","Female","EO","Bristol, City of","790","690","26450","26780"
"In post","2021","Female","EO","Bromley","170","150","31010","31060"
"In post","2021","Female","EO","Buckinghamshire CC","290","270","28260","27570"
"In post","2021","Female","EO","Caithness and Sutherland and Ross and Cromarty","50","50","28290","27570"
"In post","2021","Female","EO","Calderdale and Kirklees","370","320","27260","27570"
"In post","2021","Female","EO","Cambridgeshire CC","350","320","27130","26930"
"In post","2021","Female","EO","Camden and City of London","500","460","29470","29570"
"In post","2021","Female","EO","Cardiff and Vale of Glamorgan","1810","1630","26740","27230"
"In post","2021","Female","EO","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Female","EO","Central Bedfordshire","70","60","27720","26930"
"In post","2021","Female","EO","Central Hampshire","410","380","26640","26670"
"In post","2021","Female","EO","Central Valleys","370","330","27730","27570"
"In post","2021","Female","EO","Cheshire East","150","130","27400","27570"
"In post","2021","Female","EO","Cheshire West and Chester","120","100","27160","27570"
"In post","2021","Female","EO","Chorley and West Lancashire","170","150","28630","27570"
"In post","2021","Female","EO","City of Edinburgh","1340","1250","28040","27570"
"In post","2021","Female","EO","Clackmannanshire and Fife","290","260","28560","27570"
"In post","2021","Female","EO","Conwy and Denbighshire","110","100","27730","27570"
"In post","2021","Female","EO","Cornwall and Isles of Scilly","350","310","27370","27570"
"In post","2021","Female","EO","Coventry","370","330","26840","27130"
"In post","2021","Female","EO","Croydon","1570","1440","29650","29370"
"In post","2021","Female","EO","Darlington","120","110","26290","26000"
"In post","2021","Female","EO","Derby","190","170","26960","27570"
"In post","2021","Female","EO","Devon CC","700","610","26850","27570"
"In post","2021","Female","EO","Dorset CC","260","230","27220","27130"
"In post","2021","Female","EO","Dudley","330","280","27240","27570"
"In post","2021","Female","EO","Dumfries and Galloway","100","90","29090","27570"
"In post","2021","Female","EO","Durham CC","740","650","27110","27130"
"In post","2021","Female","EO","Ealing","230","220","31250","31060"
"In post","2021","Female","EO","East Ayrshire and North Ayrshire mainland","240","210","26890","27570"
"In post","2021","Female","EO","East Cumbria","180","150","25590","26120"
"In post","2021","Female","EO","East Derbyshire","140","110","27260","27570"
"In post","2021","Female","EO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","270","250","28930","27570"
"In post","2021","Female","EO","East Kent","1100","970","27520","27370"
"In post","2021","Female","EO","East Lancashire","130","110","27340","27570"
"In post","2021","Female","EO","East Lothian and Midlothian","50","40","[c]","[c]"
"In post","2021","Female","EO","East Merseyside","340","300","27350","27570"
"In post","2021","Female","EO","East Riding of Yorkshire","160","140","27640","27570"
"In post","2021","Female","EO","East Surrey","140","130","30690","29290"
"In post","2021","Female","EO","East Sussex CC","490","420","27180","27570"
"In post","2021","Female","EO","Enfield","160","150","30950","31060"
"In post","2021","Female","EO","Essex Haven Gateway","260","240","29170","29290"
"In post","2021","Female","EO","Essex Thames Gateway","290","250","29550","29290"
"In post","2021","Female","EO","Falkirk","400","350","28350","27570"
"In post","2021","Female","EO","Flintshire and Wrexham","300","270","27320","27570"
"In post","2021","Female","EO","Glasgow City","1790","1610","26950","27570"
"In post","2021","Female","EO","Gloucestershire","320","270","27250","27570"
"In post","2021","Female","EO","Greater Manchester North East","360","330","27470","27570"
"In post","2021","Female","EO","Greater Manchester North West","440","370","27210","27570"
"In post","2021","Female","EO","Greater Manchester South East","240","220","27110","27570"
"In post","2021","Female","EO","Greater Manchester South West","840","770","25900","25560"
"In post","2021","Female","EO","Gwent Valleys","330","300","27430","27570"
"In post","2021","Female","EO","Gwynedd","100","90","27480","27570"
"In post","2021","Female","EO","Hackney and Newham","680","620","30870","31060"
"In post","2021","Female","EO","Haringey and Islington","300","270","30650","31060"
"In post","2021","Female","EO","Harrow and Hillingdon","960","850","29690","29370"
"In post","2021","Female","EO","Hartlepool and Stockton-on-Tees","310","260","27690","27570"
"In post","2021","Female","EO","Heart of Essex","200","190","28670","29290"
"In post","2021","Female","EO","Herefordshire, County of","80","70","27550","27570"
"In post","2021","Female","EO","Hertfordshire","570","520","29650","29290"
"In post","2021","Female","EO","Hounslow and Richmond upon Thames","510","470","29610","29250"
"In post","2021","Female","EO","Inverclyde, East Renfrewshire and Renfrewshire","280","250","27960","27570"
"In post","2021","Female","EO","Inverness and Nairn and Moray, Badenoch and Strathspey","210","190","28070","27570"
"In post","2021","Female","EO","Isle of Anglesey","70","60","26960","27570"
"In post","2021","Female","EO","Isle of Wight","120","100","27520","27570"
"In post","2021","Female","EO","Kensington & Chelsea and Hammersmith & Fulham","160","150","31500","31060"
"In post","2021","Female","EO","Kent Thames Gateway","220","200","29790","29290"
"In post","2021","Female","EO","Kingston upon Hull, City of","410","340","27240","27570"
"In post","2021","Female","EO","Lambeth","810","760","31530","31060"
"In post","2021","Female","EO","Lancaster and Wyre","220","200","27200","26930"
"In post","2021","Female","EO","Leeds","1600","1450","26360","26500"
"In post","2021","Female","EO","Leicester","440","380","27000","27570"
"In post","2021","Female","EO","Leicestershire CC and Rutland","280","250","26960","27370"
"In post","2021","Female","EO","Lewisham and Southwark","340","320","30330","31060"
"In post","2021","Female","EO","Lincolnshire","390","360","27270","27570"
"In post","2021","Female","EO","Lisburn and Castlereagh","50","50","27360","27240"
"In post","2021","Female","EO","Liverpool","1880","1670","25660","25310"
"In post","2021","Female","EO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","70","70","28540","27570"
"In post","2021","Female","EO","Luton","140","130","27010","27570"
"In post","2021","Female","EO","Manchester","1250","1160","26310","26290"
"In post","2021","Female","EO","Medway","250","230","30100","29290"
"In post","2021","Female","EO","Merton, Kingston upon Thames and Sutton","230","210","30830","31060"
"In post","2021","Female","EO","Mid Kent","170","160","28780","29290"
"In post","2021","Female","EO","Mid Lancashire","850","740","26830","27570"
"In post","2021","Female","EO","Milton Keynes","300","280","27800","27570"
"In post","2021","Female","EO","Monmouthshire and Newport","830","750","25290","24380"
"In post","2021","Female","EO","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Female","EO","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Female","EO","North and North East Lincolnshire","220","200","27210","27570"
"In post","2021","Female","EO","North and West Norfolk","110","100","27590","27570"
"In post","2021","Female","EO","North Hampshire","170","150","27150","27570"
"In post","2021","Female","EO","North Lanarkshire","470","410","27310","27570"
"In post","2021","Female","EO","North Northamptonshire","160","150","27490","27570"
"In post","2021","Female","EO","North Nottinghamshire","190","170","27470","27570"
"In post","2021","Female","EO","North Yorkshire CC","260","240","27540","27570"
"In post","2021","Female","EO","Northumberland","140","120","27330","27570"
"In post","2021","Female","EO","Norwich and East Norfolk","310","260","26880","27570"
"In post","2021","Female","EO","Nottingham","1230","1110","26060","26120"
"In post","2021","Female","EO","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","EO","Overseas","130","120","27990","27160"
"In post","2021","Female","EO","Oxfordshire","310","290","27260","27570"
"In post","2021","Female","EO","Perth and Kinross and Stirling","260","240","29660","28410"
"In post","2021","Female","EO","Peterborough","290","250","26940","27130"
"In post","2021","Female","EO","Plymouth","450","390","27240","27130"
"In post","2021","Female","EO","Portsmouth","580","520","26860","26670"
"In post","2021","Female","EO","Powys","100","90","27830","27570"
"In post","2021","Female","EO","Redbridge and Waltham Forest","350","310","30570","31060"
"In post","2021","Female","EO","Sandwell","190","160","27210","27570"
"In post","2021","Female","EO","Scottish Borders","100","90","28140","27570"
"In post","2021","Female","EO","Sefton","1120","1000","26400","26410"
"In post","2021","Female","EO","Sheffield","1050","920","26400","26070"
"In post","2021","Female","EO","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","EO","Shropshire CC","160","140","27440","27570"
"In post","2021","Female","EO","Solihull","300","260","26300","25690"
"In post","2021","Female","EO","Somerset","420","370","26880","27570"
"In post","2021","Female","EO","South and West Derbyshire","220","190","27640","27570"
"In post","2021","Female","EO","South Ayrshire","120","110","27420","27570"
"In post","2021","Female","EO","South Hampshire","470","430","25650","26350"
"In post","2021","Female","EO","South Lanarkshire","550","460","26280","26120"
"In post","2021","Female","EO","South Nottinghamshire","90","80","27740","27470"
"In post","2021","Female","EO","South Teesside","280","240","26950","27570"
"In post","2021","Female","EO","South West Wales","240","210","27410","27570"
"In post","2021","Female","EO","Southampton","230","200","26780","27370"
"In post","2021","Female","EO","Southend-on-Sea","250","220","27910","28130"
"In post","2021","Female","EO","Staffordshire CC","570","520","27600","27570"
"In post","2021","Female","EO","Stoke-on-Trent","250","230","26110","27570"
"In post","2021","Female","EO","Suffolk","650","580","26950","27570"
"In post","2021","Female","EO","Sunderland","940","810","27130","27570"
"In post","2021","Female","EO","Swansea","980","870","26860","26780"
"In post","2021","Female","EO","Swindon","100","90","27240","27570"
"In post","2021","Female","EO","Telford and Wrekin","350","300","26960","27570"
"In post","2021","Female","EO","Thurrock","110","100","27870","27370"
"In post","2021","Female","EO","Torbay","80","70","27280","27570"
"In post","2021","Female","EO","Tower Hamlets","620","580","29290","29570"
"In post","2021","Female","EO","Tyneside","2240","1980","26310","26120"
"In post","2021","Female","EO","Unknown","360","330","28060","27570"
"In post","2021","Female","EO","Wakefield","270","240","28280","27570"
"In post","2021","Female","EO","Walsall","170","150","27220","27570"
"In post","2021","Female","EO","Wandsworth","90","90","32050","31060"
"In post","2021","Female","EO","Warrington","560","530","29760","28840"
"In post","2021","Female","EO","Warwickshire","230","210","26440","27570"
"In post","2021","Female","EO","West Cumbria","180","160","26700","27120"
"In post","2021","Female","EO","West Essex","210","190","27890","27370"
"In post","2021","Female","EO","West Kent","50","40","[c]","[c]"
"In post","2021","Female","EO","West Lothian","100","90","27700","27570"
"In post","2021","Female","EO","West Northamptonshire","170","150","26870","27570"
"In post","2021","Female","EO","West Surrey","330","300","29120","29290"
"In post","2021","Female","EO","West Sussex (North East)","380","330","27600","27570"
"In post","2021","Female","EO","West Sussex (South West)","270","230","27250","27570"
"In post","2021","Female","EO","Westminster","3980","3840","28960","28670"
"In post","2021","Female","EO","Wiltshire","730","680","26280","26670"
"In post","2021","Female","EO","Wirral","520","440","27310","27570"
"In post","2021","Female","EO","Wolverhampton","250","220","27140","27570"
"In post","2021","Female","EO","Worcestershire","270","240","27160","27570"
"In post","2021","Female","EO","York","290","260","26520","26670"
"In post","2021","Female","G6/G7","Aberdeen City and Aberdeenshire","60","50","62970","61010"
"In post","2021","Female","G6/G7","Angus and Dundee City","40","40","[c]","[c]"
"In post","2021","Female","G6/G7","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Barnet","170","160","59670","55150"
"In post","2021","Female","G6/G7","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Bath and North East Somerset, North Somerset and South Gloucestershire","590","570","56360","54560"
"In post","2021","Female","G6/G7","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Belfast","100","100","53860","52580"
"In post","2021","Female","G6/G7","Berkshire","130","120","56880","54650"
"In post","2021","Female","G6/G7","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Birmingham","580","540","56790","53350"
"In post","2021","Female","G6/G7","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Blackpool","210","200","53470","49700"
"In post","2021","Female","G6/G7","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Bradford","90","90","55390","52580"
"In post","2021","Female","G6/G7","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Brent","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Brighton and Hove","40","40","[c]","[c]"
"In post","2021","Female","G6/G7","Bristol, City of","640","590","55850","52630"
"In post","2021","Female","G6/G7","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Buckinghamshire CC","40","40","[c]","[c]"
"In post","2021","Female","G6/G7","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Cambridgeshire CC","150","140","60950","57680"
"In post","2021","Female","G6/G7","Camden and City of London","230","220","65430","59240"
"In post","2021","Female","G6/G7","Cardiff and Vale of Glamorgan","690","650","59240","60830"
"In post","2021","Female","G6/G7","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Central Hampshire","260","250","53010","53320"
"In post","2021","Female","G6/G7","Central Valleys","80","80","61940","60830"
