"Status","Year","Profession_of_post","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Social Research","AA/AO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","AA/AO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","AA/AO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","AA/AO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","EO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","EO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Social Research","G6/G7","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Social Research","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","United Kingdom Statistics Authority","110","110","51580","49120"
"In post","2021","Social Research","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","United Kingdom Statistics Authority","420","400","33880","32540"
"In post","2021","Social Research","SEO/HEO","Welsh Government (excl. agencies)","130","130","45970","47000"
"In post","2021","Statistics","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","AA/AO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","AA/AO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","AA/AO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","AA/AO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","AA/AO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Ministry of Defence (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Statistics","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","United Kingdom Statistics Authority","40","30","[c]","[c]"
"In post","2021","Statistics","EO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Statistics","G6/G7","Department of Health and Social Care (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Statistics","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Statistics","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","HM Revenue and Customs (excl. agencies)","90","90","56610","59160"
"In post","2021","Statistics","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Statistics","G6/G7","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Statistics","G6/G7","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","United Kingdom Statistics Authority","170","160","53940","51640"
"In post","2021","Statistics","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Department for Transport (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","HM Revenue and Customs (excl. agencies)","160","160","36540","36160"
"In post","2021","Statistics","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Ministry of Defence (excl. agencies)","90","90","40490","40640"
"In post","2021","Statistics","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Ministry of Justice (excl. agencies)","50","50","38540","40480"
"In post","2021","Statistics","SEO/HEO","Office for Standards in Education, Children's Services and Skills","80","80","36150","35010"
"In post","2021","Statistics","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","United Kingdom Statistics Authority","290","290","34020","32780"
"In post","2021","Statistics","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Welsh Government (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Tax","AA/AO","HM Revenue and Customs (excl. agencies)","3790","3570","20260","20140"
"In post","2021","Tax","EO","HM Revenue and Customs (excl. agencies)","4060","3770","26550","25560"
"In post","2021","Tax","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Tax","G6/G7","HM Revenue and Customs (excl. agencies)","2680","2560","56870","52580"
"In post","2021","Tax","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Tax","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Tax","SCS","HM Revenue and Customs (excl. agencies)","70","70","80660","78420"
"In post","2021","Tax","SCS","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Tax","SCS","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Tax","SEO/HEO","HM Revenue and Customs (excl. agencies)","7130","6760","34590","31870"
"In post","2021","Tax","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Tax","SEO/HEO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Accountant in Bankruptcy","30","30","[c]","[c]"
"In post","2021","Unknown","AA/AO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Cabinet Office (excl. agencies)","550","510","21780","20920"
"In post","2021","Unknown","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Department for Work and Pensions (excl. agencies)","29320","25100","21170","21010"
"In post","2021","Unknown","AA/AO","Disclosure Scotland","190","170","21940","22230"
"In post","2021","Unknown","AA/AO","Education Scotland","40","40","[c]","[c]"
"In post","2021","Unknown","AA/AO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Forestry and Land Scotland","470","460","24930","25140"
"In post","2021","Unknown","AA/AO","HM Revenue and Customs (excl. agencies)","1570","1470","20330","20140"
"In post","2021","Unknown","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Ministry of Defence (excl. agencies)","220","210","21840","21130"
"In post","2021","Unknown","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","National Records of Scotland","160","140","22560","22230"
"In post","2021","Unknown","AA/AO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Scottish Forestry","50","40","23550","22920"
"In post","2021","Unknown","AA/AO","Scottish Government (excl. agencies)","920","880","23730","23340"
"In post","2021","Unknown","AA/AO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Scottish Public Pensions Agency","140","120","24020","24110"
"In post","2021","Unknown","AA/AO","Social Security Scotland","400","380","21090","20060"
"In post","2021","Unknown","AA/AO","Student Awards Agency for Scotland","120","110","21800","22230"
"In post","2021","Unknown","AA/AO","Transport Scotland","60","60","22880","22230"
"In post","2021","Unknown","AA/AO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Accountant in Bankruptcy","40","40","[c]","[c]"
"In post","2021","Unknown","EO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Cabinet Office (excl. agencies)","870","850","27210","27500"
"In post","2021","Unknown","EO","Charity Commission","70","70","24760","24440"
"In post","2021","Unknown","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Department for Work and Pensions (excl. agencies)","48570","43950","28120","27570"
"In post","2021","Unknown","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Disclosure Scotland","60","60","29370","29190"
"In post","2021","Unknown","EO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Food Standards Scotland","80","80","28600","29190"
"In post","2021","Unknown","EO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Forestry and Land Scotland","260","250","31440","30160"
"In post","2021","Unknown","EO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","HM Revenue and Customs (excl. agencies)","940","920","25660","25560"
"In post","2021","Unknown","EO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Medicines and Healthcare Products Regulatory Agency","50","50","[c]","[c]"
"In post","2021","Unknown","EO","Ministry of Defence (excl. agencies)","410","390","27920","26670"
"In post","2021","Unknown","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","National Records of Scotland","60","60","28660","29190"
"In post","2021","Unknown","EO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Scottish Forestry","60","50","30650","30160"
"In post","2021","Unknown","EO","Scottish Government (excl. agencies)","1170","1120","28270","28170"
"In post","2021","Unknown","EO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Scottish Public Pensions Agency","80","70","28210","29190"
"In post","2021","Unknown","EO","Social Security Scotland","280","270","26940","26160"
"In post","2021","Unknown","EO","Student Awards Agency for Scotland","60","50","28570","27150"
"In post","2021","Unknown","EO","Transport Scotland","40","40","[c]","[c]"
"In post","2021","Unknown","EO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Cabinet Office (excl. agencies)","2990","2930","59600","56340"
"In post","2021","Unknown","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Department for Transport (excl. agencies)","60","50","58900","55380"
"In post","2021","Unknown","G6/G7","Department for Work and Pensions (excl. agencies)","2760","2650","56700","54070"
"In post","2021","Unknown","G6/G7","Department of Health and Social Care (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Unknown","G6/G7","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Education Scotland","190","180","68400","71160"
"In post","2021","Unknown","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","100","100","61220","59470"
"In post","2021","Unknown","G6/G7","Forestry and Land Scotland","40","30","[c]","[c]"
"In post","2021","Unknown","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","HM Revenue and Customs (excl. agencies)","580","560","58930","59160"
"In post","2021","Unknown","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Unknown","G6/G7","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Medicines and Healthcare Products Regulatory Agency","30","30","[c]","[c]"
"In post","2021","Unknown","G6/G7","Ministry of Defence (excl. agencies)","130","120","59650","55480"
"In post","2021","Unknown","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","National Records of Scotland","50","50","62990","61060"
"In post","2021","Unknown","G6/G7","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Scotland Office (incl. Office of the Advocate General for Scotland)","40","30","[c]","[c]"
"In post","2021","Unknown","G6/G7","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Scottish Government (excl. agencies)","2120","2030","62220","61010"
"In post","2021","Unknown","G6/G7","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Social Security Scotland","130","130","59940","61010"
"In post","2021","Unknown","G6/G7","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Transport Scotland","140","130","63330","62120"
"In post","2021","Unknown","G6/G7","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Cabinet Office (excl. agencies)","970","950","92190","78290"
"In post","2021","Unknown","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Unknown","SCS","Department for Work and Pensions (excl. agencies)","240","230","89740","80670"
"In post","2021","Unknown","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Unknown","SCS","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","HM Revenue and Customs (excl. agencies)","100","100","94050","87000"
"In post","2021","Unknown","SCS","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Legal Aid Agency","[c]","[c]","[c]","[c]"
