"Status","Year","Region_ITL2","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Psychology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Psychology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Department of Health and Social Care","160","150","50950","45570"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Ministry of Defence","80","80","25050","22650"
"In post","2021","Bedfordshire and Hertfordshire","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Statistics","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Tax","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Department for Work and Pensions","1110","1020","28790","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Ministry of Defence","80","80","36220","36300"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Foreign, Commonwealth and Development Office","70","70","43520","40850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Ministry of Defence","80","80","36320","36800"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Ministry of Defence","60","60","30620","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","90","80","41520","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Foreign, Commonwealth and Development Office","110","100","44010","40670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Economics","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Foreign, Commonwealth and Development Office","70","70","38610","31730"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Ministry of Defence","180","170","37000","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Ministry of Defence","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","International Trade","Department for International Trade","60","60","43640","38540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","International Trade","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Attorney General's Departments","70","70","56700","57000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Foreign, Commonwealth and Development Office","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","HM Revenue and Customs","50","50","31400","30200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Ministry of Justice","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Medicine","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Medicine","Ministry of Defence","110","100","45660","37890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Attorney General's Departments","60","60","28220","26970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Department for Environment, Food and Rural Affairs","170","170","29090","25510"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Department for Transport","90","80","27680","26780"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Department of Health and Social Care","120","100","37030","30460"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Foreign, Commonwealth and Development Office","190","190","28600","24750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","HM Revenue and Customs","170","160","24490","21400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Home Office","70","70","27730","25630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Ministry of Justice","2380","2250","29210","29920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","National Crime Agency","110","100","39540","39570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Research","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","Ministry of Defence","900","870","26670","22080"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Planning","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Ministry of Defence","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Foreign, Commonwealth and Development Office","60","60","37890","32480"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Ministry of Defence","280","270","40300","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Foreign, Commonwealth and Development Office","180","180","35920","34080"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Ministry of Defence","130","130","29490","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Psychology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Psychology","Ministry of Justice","90","80","36490","30450"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","Department of Health and Social Care","190","180","46080","42380"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","Ministry of Defence","80","80","36770","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Foreign, Commonwealth and Development Office","200","190","35740","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Ministry of Defence","730","720","33490","30890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Ministry of Justice","50","50","40700","40450"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Statistics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Statistics","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Statistics","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Tax","HM Revenue and Customs","180","160","37540","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Cabinet Office","120","110","35550","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Department for Work and Pensions","1150","1050","28280","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","80","80","45110","48370"
"In post","2021","Cheshire","Digital, Data and Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data and Technology","National Crime Agency","50","50","[c]","[c]"
"In post","2021","Cheshire","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Cheshire","Intelligence Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Internal Audit","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Medicine","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Operational Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Operational Delivery","Department for Environment, Food and Rural Affairs","130","120","26090","25100"
"In post","2021","Cheshire","Operational Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Operational Delivery","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Cheshire","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Operational Delivery","Home Office","[c]","[c]","[c]","[c]"
