"Status","Year","Profession_of_post","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Unknown","260","250","32540","31400"
"In post","2021","Commercial","Scottish Government","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Unknown","80","70","30120","25870"
"In post","2021","Commercial","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Declared non-disabled","60","60","43970","39750"
"In post","2021","Communications","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Declared non-disabled","160","150","43680","40040"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Unknown","80","80","43860","39820"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","Declared non-disabled","220","210","41060","37310"
"In post","2021","Communications","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","Unknown","80","70","35260","30320"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Declared non-disabled","180","170","41040","37360"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Unknown","60","60","43710","40540"
"In post","2021","Communications","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Declared non-disabled","60","60","42420","38540"
"In post","2021","Communications","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Unknown","70","70","42970","38140"
"In post","2021","Communications","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","Declared non-disabled","190","180","37920","34710"
"In post","2021","Communications","Department for Transport","Undeclared","50","50","[c]","[c]"
"In post","2021","Communications","Department for Transport","Unknown","30","30","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","Declared non-disabled","120","110","44640","40850"
"In post","2021","Communications","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","Unknown","190","180","43730","38400"
"In post","2021","Communications","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","ESTYN","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","Declared non-disabled","90","90","48460","45840"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","Unknown","50","50","[c]","[c]"
"In post","2021","Communications","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","Declared non-disabled","170","160","45510","41450"
"In post","2021","Communications","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","Unknown","60","60","42360","38630"
"In post","2021","Communications","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Communications","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","Declared non-disabled","150","140","49490","44220"
"In post","2021","Communications","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","Declared disabled","60","60","34070","29200"
"In post","2021","Communications","Ministry of Defence","Declared non-disabled","420","410","34680","33300"
"In post","2021","Communications","Ministry of Defence","Undeclared","40","40","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","Unknown","100","100","39360","34380"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","Declared non-disabled","80","70","43210","39600"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","Declared non-disabled","120","110","43540","39080"
"In post","2021","Communications","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","Unknown","50","50","[c]","[c]"
"In post","2021","Communications","Wales Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","Declared non-disabled","140","130","39160","37410"
"In post","2021","Communications","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Attorney General's Departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Attorney General's Departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Business, Energy and Industrial Strategy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Education","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department of Health and Social Care","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department of Health and Social Care","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","Declared non-disabled","50","50","40710","39180"
"In post","2021","Corporate Finance","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","Declared non-disabled","180","180","45260","40140"
"In post","2021","Counter Fraud","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","Unknown","80","80","46620","40270"
"In post","2021","Counter Fraud","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chancellor's other departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Declared non-disabled","180","170","40650","39490"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Unknown","50","50","34590","34390"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","Undeclared","40","40","[c]","[c]"
"In post","2021","Counter Fraud","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HM Treasury","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Home Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Home Office","Declared non-disabled","150","140","26820","25310"
