"Status","Year","Responsibility_level","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","EO","60-64","White","8260","6500","27960","27570"
"In post","2021","EO","65+","Asian","220","160","29860","30330"
"In post","2021","EO","65+","Black","90","70","30340","31060"
"In post","2021","EO","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","65+","Mixed","40","30","[c]","[c]"
"In post","2021","EO","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","65+","Undeclared","200","140","28450","27570"
"In post","2021","EO","65+","Unknown","190","140","28370","27940"
"In post","2021","EO","65+","White","2330","1710","27850","27570"
"In post","2021","EO","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","20-29","Asian","270","260","54550","53380"
"In post","2021","G6/G7","20-29","Black","70","70","54230","53500"
"In post","2021","G6/G7","20-29","Chinese","40","40","[c]","[c]"
"In post","2021","G6/G7","20-29","Mixed","160","160","54740","53540"
"In post","2021","G6/G7","20-29","Other ethnicity","30","30","[c]","[c]"
"In post","2021","G6/G7","20-29","Undeclared","110","110","54630","53460"
"In post","2021","G6/G7","20-29","Unknown","970","960","54710","53760"
"In post","2021","G6/G7","20-29","White","2720","2710","54330","53380"
"In post","2021","G6/G7","30-39","Asian","1010","990","57290","54800"
"In post","2021","G6/G7","30-39","Black","310","310","56010","54070"
"In post","2021","G6/G7","30-39","Chinese","90","90","57320","54700"
"In post","2021","G6/G7","30-39","Mixed","480","470","57040","54760"
"In post","2021","G6/G7","30-39","Other ethnicity","130","120","59020","55890"
"In post","2021","G6/G7","30-39","Undeclared","680","670","56280","54700"
"In post","2021","G6/G7","30-39","Unknown","2620","2560","57420","55020"
"In post","2021","G6/G7","30-39","White","11200","10860","57050","54990"
"In post","2021","G6/G7","40-49","Asian","1080","1050","59360","57740"
"In post","2021","G6/G7","40-49","Black","400","390","57540","56600"
"In post","2021","G6/G7","40-49","Chinese","70","70","59010","58590"
"In post","2021","G6/G7","40-49","Mixed","390","370","58890","57680"
"In post","2021","G6/G7","40-49","Other ethnicity","130","130","59230","57200"
"In post","2021","G6/G7","40-49","Undeclared","810","790","58880","57330"
"In post","2021","G6/G7","40-49","Unknown","2220","2130","59710","57810"
"In post","2021","G6/G7","40-49","White","14040","13460","59010","57460"
"In post","2021","G6/G7","50-59","Asian","550","540","60520","59160"
"In post","2021","G6/G7","50-59","Black","430","430","59930","58970"
"In post","2021","G6/G7","50-59","Chinese","40","40","[c]","[c]"
"In post","2021","G6/G7","50-59","Mixed","240","230","60770","59230"
"In post","2021","G6/G7","50-59","Other ethnicity","110","110","60110","58990"
"In post","2021","G6/G7","50-59","Undeclared","1000","980","60000","58050"
"In post","2021","G6/G7","50-59","Unknown","1760","1710","60880","59160"
"In post","2021","G6/G7","50-59","White","14300","13940","60330","59020"
"In post","2021","G6/G7","60-64","Asian","70","60","61640","60690"
"In post","2021","G6/G7","60-64","Black","50","50","62410","60580"
"In post","2021","G6/G7","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","60-64","Other ethnicity","30","30","[c]","[c]"
"In post","2021","G6/G7","60-64","Undeclared","180","160","60200","58310"
"In post","2021","G6/G7","60-64","Unknown","280","250","61620","59540"
"In post","2021","G6/G7","60-64","White","2460","2150","61680","60070"
"In post","2021","G6/G7","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","65+","Undeclared","60","40","62560","60230"
"In post","2021","G6/G7","65+","Unknown","90","70","64180","61010"
"In post","2021","G6/G7","65+","White","660","520","63290","61010"
"In post","2021","G6/G7","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","SCS","20-29","Asian","[c]","[c]","[c]","[c]"
"In post","2021","SCS","20-29","Black","[c]","[c]","[c]","[c]"
"In post","2021","SCS","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SCS","20-29","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","SCS","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","SCS","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","20-29","White","[c]","[c]","[c]","[c]"
"In post","2021","SCS","30-39","Asian","60","60","82840","76280"
"In post","2021","SCS","30-39","Black","[c]","[c]","[c]","[c]"
"In post","2021","SCS","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SCS","30-39","Mixed","40","40","[c]","[c]"
"In post","2021","SCS","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","SCS","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","30-39","Unknown","270","270","77640","72900"
"In post","2021","SCS","30-39","White","740","720","79470","75200"
"In post","2021","SCS","40-49","Asian","140","130","88870","85000"
"In post","2021","SCS","40-49","Black","30","30","[c]","[c]"
"In post","2021","SCS","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SCS","40-49","Mixed","60","60","83020","78010"
"In post","2021","SCS","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","SCS","40-49","Undeclared","60","60","87040","82470"
"In post","2021","SCS","40-49","Unknown","470","460","91030","80080"
"In post","2021","SCS","40-49","White","2110","2040","87620","80410"
"In post","2021","SCS","50-59","Asian","80","80","102510","99820"
"In post","2021","SCS","50-59","Black","50","50","98540","86570"
"In post","2021","SCS","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SCS","50-59","Mixed","40","30","[c]","[c]"
"In post","2021","SCS","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","SCS","50-59","Undeclared","80","80","92710","85280"
"In post","2021","SCS","50-59","Unknown","330","330","100720","89370"
"In post","2021","SCS","50-59","White","2010","1970","94810","86670"
"In post","2021","SCS","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","SCS","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","SCS","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SCS","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","SCS","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","SCS","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","60-64","Unknown","40","30","[c]","[c]"
"In post","2021","SCS","60-64","White","360","330","103580","94500"
"In post","2021","SCS","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","SCS","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","SCS","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SCS","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","SCS","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","SCS","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","65+","White","80","60","103480","97560"
"In post","2021","SCS","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","White","[c]","[c]","[c]","[c]"
