"Status","Year","Region_ITL1","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA/AO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Crown Prosecution Service","90","80","27040","27350"
"In post","2021","East Midlands (England)","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Department for Work and Pensions (excl. agencies)","2610","2350","27490","27570"
"In post","2021","East Midlands (England)","EO","Driver and Vehicle Standards Agency","230","220","27120","26780"
"In post","2021","East Midlands (England)","EO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Health and Safety Executive","70","70","27550","27410"
"In post","2021","East Midlands (England)","EO","HM Courts and Tribunals Service","200","190","22200","21870"
"In post","2021","East Midlands (England)","EO","HM Land Registry","320","280","27170","27130"
"In post","2021","East Midlands (England)","EO","HM Prison and Probation Service","610","590","29870","28800"
"In post","2021","East Midlands (England)","EO","HM Revenue and Customs (excl. agencies)","940","880","25920","25560"
"In post","2021","East Midlands (England)","EO","Home Office (incl. agencies)","140","130","25920","25310"
"In post","2021","East Midlands (England)","EO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Legal Aid Agency","50","50","22700","21750"
"In post","2021","East Midlands (England)","EO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Ministry of Defence (excl. agencies)","290","280","28230","26670"
"In post","2021","East Midlands (England)","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","National Crime Agency","70","70","32630","32770"
"In post","2021","East Midlands (England)","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Office of the Public Guardian","140","140","21480","21170"
"In post","2021","East Midlands (England)","EO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Valuation Office Agency","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Crown Prosecution Service","180","170","53780","54170"
"In post","2021","East Midlands (England)","G6/G7","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Department for Education (excl. agencies)","70","70","54660","50630"
"In post","2021","East Midlands (England)","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Health and Safety Executive","110","100","60890","58330"
"In post","2021","East Midlands (England)","G6/G7","HM Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","HM Land Registry","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","HM Prison and Probation Service","50","50","74070","71840"
"In post","2021","East Midlands (England)","G6/G7","HM Revenue and Customs (excl. agencies)","490","470","55030","52580"
"In post","2021","East Midlands (England)","G6/G7","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Public Health England","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Advisory, Conciliation and Arbitration Service","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Crown Prosecution Service","60","50","35150","34480"
"In post","2021","East Midlands (England)","SEO/HEO","Defence Equipment and Support","180","180","35210","34840"
"In post","2021","East Midlands (England)","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Department for Education (excl. agencies)","110","100","35540","36500"
"In post","2021","East Midlands (England)","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Department for Work and Pensions (excl. agencies)","340","320","33400","32470"
"In post","2021","East Midlands (England)","SEO/HEO","Driver and Vehicle Standards Agency","190","190","36920","34800"
"In post","2021","East Midlands (England)","SEO/HEO","Education and Skills Funding Agency","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Health and Safety Executive","180","170","38870","39390"
"In post","2021","East Midlands (England)","SEO/HEO","HM Courts and Tribunals Service","160","150","32730","30990"
"In post","2021","East Midlands (England)","SEO/HEO","HM Land Registry","270","250","36750","33840"
"In post","2021","East Midlands (England)","SEO/HEO","HM Prison and Probation Service","640","610","40170","38160"
"In post","2021","East Midlands (England)","SEO/HEO","HM Revenue and Customs (excl. agencies)","1470","1400","33980","31810"
"In post","2021","East Midlands (England)","SEO/HEO","Home Office (incl. agencies)","50","50","33040","31100"
"In post","2021","East Midlands (England)","SEO/HEO","Insolvency Service","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Met Office","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Ministry of Defence (excl. agencies)","290","280","37380","35300"
"In post","2021","East Midlands (England)","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Ministry of Justice (excl. agencies)","80","80","36910","35640"
"In post","2021","East Midlands (England)","SEO/HEO","National Crime Agency","70","70","42410","42780"
"In post","2021","East Midlands (England)","SEO/HEO","Office for Standards in Education, Children's Services and Skills","70","70","42770","39850"
"In post","2021","East Midlands (England)","SEO/HEO","Office of the Public Guardian","50","50","27600","24000"
"In post","2021","East Midlands (England)","SEO/HEO","Public Health England","90","80","34630","36330"
"In post","2021","East Midlands (England)","SEO/HEO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Valuation Office Agency","70","60","37950","41230"
"In post","2021","East Midlands (England)","SEO/HEO","Vehicle Certification Agency","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","HM Prison and Probation Service","960","880","29420","28260"
"In post","2021","East Midlands (England)","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","40","40","[c]","[c]"
"In post","2021","East of England","AA/AO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Crown Prosecution Service","110","100","22440","23520"
"In post","2021","East of England","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Department for Work and Pensions (excl. agencies)","1020","850","22720","22980"
"In post","2021","East of England","AA/AO","Driver and Vehicle Standards Agency","80","80","26400","26580"
"In post","2021","East of England","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","HM Courts and Tribunals Service","720","620","19390","19570"
"In post","2021","East of England","AA/AO","HM Land Registry","70","70","22360","22350"
"In post","2021","East of England","AA/AO","HM Prison and Probation Service","3040","2890","26520","26630"
"In post","2021","East of England","AA/AO","HM Revenue and Customs (excl. agencies)","370","320","21040","21400"
"In post","2021","East of England","AA/AO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Home Office (incl. agencies)","640","570","21160","21430"
"In post","2021","East of England","AA/AO","Insolvency Service","50","50","21010","20880"
"In post","2021","East of England","AA/AO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Ministry of Defence (excl. agencies)","1480","1410","22440","20920"
"In post","2021","East of England","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Public Health England","70","60","21580","21570"
"In post","2021","East of England","AA/AO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Animal and Plant Health Agency","60","60","26100","25520"
"In post","2021","East of England","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Centre for Environment, Fisheries and Aquaculture Science","80","70","25090","24920"
"In post","2021","East of England","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Crown Prosecution Service","110","100","28640","28430"
"In post","2021","East of England","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Department for Work and Pensions (excl. agencies)","3170","2870","28780","29290"
"In post","2021","East of England","EO","Driver and Vehicle Standards Agency","240","220","28210","26780"
"In post","2021","East of England","EO","Food Standards Agency","60","50","27580","26750"
"In post","2021","East of England","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","HM Courts and Tribunals Service","170","160","23590","23530"
"In post","2021","East of England","EO","HM Land Registry","90","80","27210","27130"
"In post","2021","East of England","EO","HM Prison and Probation Service","600","590","30830","32040"
"In post","2021","East of England","EO","HM Revenue and Customs (excl. agencies)","450","410","26810","25560"
"In post","2021","East of England","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Home Office (incl. agencies)","990","880","26530","25410"
"In post","2021","East of England","EO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Medicines and Healthcare Products Regulatory Agency","50","50","[c]","[c]"
"In post","2021","East of England","EO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Ministry of Defence (excl. agencies)","720","700","29320","26930"
"In post","2021","East of England","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","National Crime Agency","70","60","34290","34140"
"In post","2021","East of England","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Public Health England","50","40","[c]","[c]"
"In post","2021","East of England","EO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","EO","Valuation Office Agency","60","50","26250","26180"
"In post","2021","East of England","G6/G7","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","East of England","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","90","90","51910","48080"
"In post","2021","East of England","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Crown Prosecution Service","190","170","58620","59930"
"In post","2021","East of England","G6/G7","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2021","East of England","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","51610","48980"
"In post","2021","East of England","G6/G7","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"In post","2021","East of England","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","East of England","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","HM Prison and Probation Service","70","70","73660","69760"
"In post","2021","East of England","G6/G7","HM Revenue and Customs (excl. agencies)","170","160","54930","52580"
"In post","2021","East of England","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Home Office (incl. agencies)","30","30","[c]","[c]"
"In post","2021","East of England","G6/G7","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Medicines and Healthcare Products Regulatory Agency","100","100","59650","53970"
"In post","2021","East of England","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Ministry of Defence (excl. agencies)","180","180","64150","59730"
"In post","2021","East of England","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Office for Standards in Education, Children's Services and Skills","50","50","75680","75500"
"In post","2021","East of England","G6/G7","Public Health England","90","90","56780","52350"
"In post","2021","East of England","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Public Health England","40","40","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Animal and Plant Health Agency","70","60","35100","32830"
"In post","2021","East of England","SEO/HEO","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","250","240","33020","30660"
"In post","2021","East of England","SEO/HEO","Crown Commercial Service","110","100","33270","33340"
"In post","2021","East of England","SEO/HEO","Crown Prosecution Service","70","70","37160","38000"
"In post","2021","East of England","SEO/HEO","Defence Equipment and Support","180","180","34600","33710"
"In post","2021","East of England","SEO/HEO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","90","80","33570","34710"
"In post","2021","East of England","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Department for Work and Pensions (excl. agencies)","360","340","35340","35120"
"In post","2021","East of England","SEO/HEO","Driver and Vehicle Standards Agency","50","50","33970","32490"
"In post","2021","East of England","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
