"Status","Year","Sexual_orientation","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Legal","480","450","54190","52490"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","No function","1160","1060","26920","22220"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Communications","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Digital, Data & Technology","90","90","39380","38180"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Finance","90","80","33050","30370"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Human Resources","120","120","40840","34160"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Legal","4350","4050","41000","38000"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Unknown","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Project Delivery","100","100","26660","27460"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Commercial","210","210","44820","41450"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Communications","230","220","26940","22450"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Finance","340","320","37770","31800"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Human Resources","160","150","39170","34370"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Project Delivery","7190","6960","36340","33740"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Property","180","180","39930","37770"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Unknown","120","110","37480","35000"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Analysis","330","310","40120","37360"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Commercial","60","60","33810","37320"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Finance","60","60","41370","40000"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Human Resources","70","60","33520","28650"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","No function","1690","1640","40640","37840"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Project Delivery","770","730","40450","37320"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Security","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","190","190","44700","37820"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","70","60","50230","45270"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","110","110","46360","40050"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","100","100","52460","53380"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","90","90","47040","49090"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","3110","3030","49820","53380"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","80","80","50650","53380"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Analysis","110","100","52430","50400"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Communications","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Finance","60","60","57990","61730"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Human Resources","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","No function","810","790","48360","51730"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Project Delivery","150","150","49030","51730"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Analysis","290","270","43860","42420"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Commercial","150","150","40420","38000"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Communications","150","140","38270","33640"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Digital, Data & Technology","270","260","39020","36500"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Finance","300","290","43030","42520"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Human Resources","100","90","36140","30980"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Legal","50","50","54200","55990"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","No function","1750","1670","43730","40230"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Project Delivery","330","320","48960","50400"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Property","210","200","50140","50850"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Unknown","390","370","50570","44540"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Analysis","60","60","38470","32560"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","110","100","38970","36970"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","180","170","41010","37360"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","480","460","44580","47550"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","320","310","43550","38110"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","200","190","43190","38730"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","1970","1910","43040","38750"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","160","160","42400","37240"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","300","290","37470","35900"
"In post","2021","Heterosexual / straight","Department for International Trade","Analysis","160","160","44340","39790"
"In post","2021","Heterosexual / straight","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Communications","50","50","42980","38540"
"In post","2021","Heterosexual / straight","Department for International Trade","Digital, Data & Technology","60","60","45420","43000"
"In post","2021","Heterosexual / straight","Department for International Trade","Finance","60","60","48510","51710"
"In post","2021","Heterosexual / straight","Department for International Trade","Human Resources","80","80","44180","38540"
"In post","2021","Heterosexual / straight","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","No function","1040","1030","47180","42030"
"In post","2021","Heterosexual / straight","Department for International Trade","Project Delivery","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Analysis","270","260","47590","43360"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Communications","70","60","46990","43360"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Digital, Data & Technology","80","80","42050","40280"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Finance","110","110","48800","46710"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Human Resources","80","80","45080","41230"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","No function","1350","1310","49090","44480"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Project Delivery","310","300","55630","54760"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Unknown","58730","53040","27900","27570"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Analysis","130","120","51480","53360"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Commercial","60","60","50140","40650"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Communications","80","70","42010","36070"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","70","70","44590","37500"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Finance","180","170","42630","37230"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Human Resources","70","70","43380","40650"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","No function","760","730","50030","49530"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Unknown","180","170","29580","24910"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Commercial","110","100","34050","31040"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Communications","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Digital, Data & Technology","470","460","40600","38930"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Finance","100","100","32640","30730"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Human Resources","140","130","32370","31380"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","No function","2760","2420","23180","21590"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Project Delivery","70","60","39740","39040"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Property","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Security","70","70","31150","26640"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Analysis","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Communications","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Digital, Data & Technology","120","120","38530","35040"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Finance","50","50","37630","33770"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Human Resources","70","60","36610","33600"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","No function","2290","2170","29070","26780"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Project Delivery","60","60","38270","39470"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Property","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Communications","60","60","43860","39840"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Digital, Data & Technology","130","130","39700","36780"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Finance","80","70","43890","40940"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","No function","870","840","41080","36960"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Project Delivery","50","50","34340","30230"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education Scotland","Unknown","180","170","58600","66290"
"In post","2021","Heterosexual / straight","ESTYN","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","No function","80","70","62210","74730"
"In post","2021","Heterosexual / straight","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","Commercial","70","70","46830","41170"
"In post","2021","Heterosexual / straight","FCDO Services","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","Digital, Data & Technology","100","100","45580","41690"
"In post","2021","Heterosexual / straight","FCDO Services","Finance","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","Human Resources","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","Legal","50","30","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","Project Delivery","60","60","39320","35390"
"In post","2021","Heterosexual / straight","FCDO Services","Property","260","260","38610","35120"
"In post","2021","Heterosexual / straight","FCDO Services","Security","160","160","34980","31340"
"In post","2021","Heterosexual / straight","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Counter Fraud","50","50","38850","37320"
"In post","2021","Heterosexual / straight","Food Standards Agency","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Finance","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
