"Status","Year","Function_of_post","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Department of Health and Social Care (excl. agencies)","230","230","53190","53360"
"In post","2021","Analysis","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Rural Payments Agency","30","30","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","United Kingdom Statistics Authority","450","420","30700","29540"
"In post","2021","Analysis","Operational Research","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Defence Science and Technology Laboratory","250","240","41950","46080"
"In post","2021","Analysis","Operational Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","Analysis","Operational Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Foreign, Commonwealth and Development Office (excl. agencies)","70","60","58060","58370"
"In post","2021","Analysis","Operational Research","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","HM Revenue and Customs (excl. agencies)","100","90","43790","38630"
"In post","2021","Analysis","Operational Research","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Ministry of Justice (excl. agencies)","100","100","47610","42190"
"In post","2021","Analysis","Operational Research","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Government Actuary's Department","170","160","69960","65470"
"In post","2021","Analysis","Other","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Department for Education (excl. agencies)","260","250","44510","45250"
"In post","2021","Analysis","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","HM Treasury (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","Policy","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Centre for Environment, Fisheries and Aquaculture Science","480","450","33720","29750"
"In post","2021","Analysis","Science and Engineering","Defence Science and Technology Laboratory","160","150","37330","37320"
"In post","2021","Analysis","Science and Engineering","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Analysis","Social Research","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","HM Revenue and Customs (excl. agencies)","80","80","45420","41760"
"In post","2021","Analysis","Social Research","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Ministry of Justice (excl. agencies)","60","60","49320","48350"
"In post","2021","Analysis","Social Research","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2021","Analysis","Social Research","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","United Kingdom Statistics Authority","550","520","37670","37020"
"In post","2021","Analysis","Social Research","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Department for Environment, Food and Rural Affairs (excl. agencies)","70","70","38190","32840"
"In post","2021","Analysis","Statistics","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Analysis","Statistics","Department for Transport (excl. agencies)","120","110","45060","42890"
"In post","2021","Analysis","Statistics","Department of Health and Social Care (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Analysis","Statistics","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","HM Revenue and Customs (excl. agencies)","270","260","43530","38630"
"In post","2021","Analysis","Statistics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Ministry of Defence (excl. agencies)","170","160","39700","37050"
"In post","2021","Analysis","Statistics","Ministry of Housing, Communities and Local Government (excl. agencies)","100","90","47910","44690"
"In post","2021","Analysis","Statistics","Ministry of Justice (excl. agencies)","110","100","45360","40480"
"In post","2021","Analysis","Statistics","Office for Standards in Education, Children's Services and Skills","110","110","39300","35010"
"In post","2021","Analysis","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","United Kingdom Statistics Authority","530","520","42070","37020"
"In post","2021","Analysis","Statistics","Valuation Office Agency","30","30","[c]","[c]"
"In post","2021","Analysis","Tax","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Analysis","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Crown Commercial Service","370","360","34050","34800"
"In post","2021","Commercial","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Defence Equipment and Support","60","60","48790","37530"
"In post","2021","Commercial","Commercial","Defence Science and Technology Laboratory","70","60","33560","35470"
"In post","2021","Commercial","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Department for Education (excl. agencies)","190","180","39780","38000"
"In post","2021","Commercial","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","140","140","39210","36970"
"In post","2021","Commercial","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Department of Health and Social Care (excl. agencies)","200","200","48750","40650"
"In post","2021","Commercial","Commercial","Driver and Vehicle Licensing Agency","160","140","32760","31040"
"In post","2021","Commercial","Commercial","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","Commercial","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","FCDO Services","80","80","47060","41610"
"In post","2021","Commercial","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","41540","39860"
"In post","2021","Commercial","Commercial","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Commercial","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","HM Prison and Probation Service","680","660","49260","48020"
"In post","2021","Commercial","Commercial","HM Revenue and Customs (excl. agencies)","70","70","39630","38630"
"In post","2021","Commercial","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Legal Aid Agency","90","90","40930","40080"
"In post","2021","Commercial","Commercial","Met Office","190","180","42990","40140"
"In post","2021","Commercial","Commercial","Ministry of Defence (excl. agencies)","860","820","36300","34800"
"In post","2021","Commercial","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Ministry of Justice (excl. agencies)","110","100","35430","34090"
"In post","2021","Commercial","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Public Health England","40","40","[c]","[c]"
"In post","2021","Commercial","Commercial","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Scottish Prison Service","80","80","30640","25870"
"In post","2021","Commercial","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Submarine Delivery Agency","150","140","40040","38240"
"In post","2021","Commercial","Commercial","The National Archives","40","40","[c]","[c]"
"In post","2021","Commercial","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Commercial","Commercial","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Legal Aid Agency","40","40","[c]","[c]"
"In post","2021","Commercial","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Ministry of Defence (excl. agencies)","680","660","33530","31000"
"In post","2021","Commercial","Operational Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Ministry of Justice (excl. agencies)","70","70","28080","24550"
"In post","2021","Commercial","Operational Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","UK Export Finance","190","190","53960","49790"
"In post","2021","Commercial","Operational Delivery","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Defence Equipment and Support","50","50","39920","39890"
"In post","2021","Commercial","Other","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Defence Equipment and Support","60","60","47010","42610"
"In post","2021","Commercial","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Defence Equipment and Support","90","90","42150","41970"
"In post","2021","Commercial","Tax","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Cabinet Office (excl. agencies)","1400","1380","70770","64500"
"In post","2021","Commercial","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Communications","Communications","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Crown Prosecution Service","50","50","41310","39750"
"In post","2021","Communications","Communications","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","110","100","49300","45270"
"In post","2021","Communications","Communications","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Communications","Communications","Department for Education (excl. agencies)","240","230","37820","33510"
"In post","2021","Communications","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","260","250","41570","37790"
"In post","2021","Communications","Communications","Department for International Trade","90","90","42740","38540"
"In post","2021","Communications","Communications","Department for Transport (excl. agencies)","110","110","47530","43360"
"In post","2021","Communications","Communications","Department of Health and Social Care (excl. agencies)","190","180","43490","38360"
"In post","2021","Communications","Communications","Driver and Vehicle Licensing Agency","70","60","29810","26740"
"In post","2021","Communications","Communications","Driver and Vehicle Standards Agency","90","80","31290","30730"
