"Status","Year","Ethnicity","Region_ITL1","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","London","Chancellor's other departments","50","50","[c]","[c]"
"In post","2021","Asian","London","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Competition and Markets Authority","100","100","45900","37660"
"In post","2021","Asian","London","Department for Business, Energy and Industrial Strategy","500","480","43200","40050"
"In post","2021","Asian","London","Department for Digital, Culture, Media and Sport","120","120","47120","42280"
"In post","2021","Asian","London","Department for Education","270","260","44280","40780"
"In post","2021","Asian","London","Department for Environment, Food and Rural Affairs","190","180","39280","33510"
"In post","2021","Asian","London","Department for International Trade","190","190","42550","38540"
"In post","2021","Asian","London","Department for Transport","300","300","43780","37660"
"In post","2021","Asian","London","Department for Work and Pensions","2450","2230","31100","31060"
"In post","2021","Asian","London","Department of Health and Social Care","780","740","42790","34980"
"In post","2021","Asian","London","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Asian","London","Foreign, Commonwealth and Development Office","320","310","42620","37100"
"In post","2021","Asian","London","HM Land Registry","40","40","[c]","[c]"
"In post","2021","Asian","London","HM Revenue and Customs","1330","1250","37700","36160"
"In post","2021","Asian","London","HM Treasury","260","260","45090","40360"
"In post","2021","Asian","London","Home Office","3110","2900","33820","29080"
"In post","2021","Asian","London","Ministry of Defence","350","340","34630","30750"
"In post","2021","Asian","London","Ministry of Housing, Communities and Local Government","170","170","42790","38950"
"In post","2021","Asian","London","Ministry of Justice","1560","1480","32520","28720"
"In post","2021","Asian","London","National Crime Agency","130","130","38540","37750"
"In post","2021","Asian","London","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Office for Standards in Education","40","40","[c]","[c]"
"In post","2021","Asian","London","Office of Gas and Electricity Markets","90","90","46400","41000"
"In post","2021","Asian","London","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","The National Archives","50","40","[c]","[c]"
"In post","2021","Asian","London","UK Export Finance","60","60","49250","42240"
"In post","2021","Asian","London","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Department for Work and Pensions","150","140","28240","21010"
"In post","2021","Asian","North East (England)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","HM Revenue and Customs","130","130","26290","24500"
"In post","2021","Asian","North East (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Home Office","30","20","[c]","[c]"
"In post","2021","Asian","North East (England)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Ministry of Justice","40","30","[c]","[c]"
"In post","2021","Asian","North East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Asian","North West (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Department for Education","80","70","35150","30320"
"In post","2021","Asian","North West (England)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Department for Work and Pensions","980","890","25960","27570"
"In post","2021","Asian","North West (England)","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Asian","North West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","HM Revenue and Customs","830","770","27010","25560"
"In post","2021","Asian","North West (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Home Office","210","190","26730","24890"
"In post","2021","Asian","North West (England)","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Asian","North West (England)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Ministry of Justice","220","200","28390","24000"
"In post","2021","Asian","North West (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Foreign, Commonwealth and Development Office","90","90","47570","46670"
"In post","2021","Asian","Overseas","Home Office","30","30","[c]","[c]"
"In post","2021","Asian","Overseas","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Department for Work and Pensions","110","100","29380","27570"
"In post","2021","Asian","Scotland","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","HM Revenue and Customs","90","80","25140","20140"
"In post","2021","Asian","Scotland","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Home Office","40","40","[c]","[c]"
"In post","2021","Asian","Scotland","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Scottish Government","180","170","36360","33100"
"In post","2021","Asian","Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Department for Environment, Food and Rural Affairs","70","70","32100","28410"
"In post","2021","Asian","South East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Department for Transport","40","40","[c]","[c]"
"In post","2021","Asian","South East (England)","Department for Work and Pensions","400","360","27920","29050"
"In post","2021","Asian","South East (England)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Foreign, Commonwealth and Development Office","60","50","34030","27600"
"In post","2021","Asian","South East (England)","HM Revenue and Customs","70","70","30330","29570"
"In post","2021","Asian","South East (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Home Office","110","100","26840","26200"
"In post","2021","Asian","South East (England)","Ministry of Defence","230","220","30050","26670"
"In post","2021","Asian","South East (England)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Ministry of Justice","230","210","29010","27160"
"In post","2021","Asian","South East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","United Kingdom Statistics Authority","60","50","25250","23130"
"In post","2021","Asian","South West (England)","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Department for Work and Pensions","80","70","26890","27570"
"In post","2021","Asian","South West (England)","Department of Health and Social Care","60","50","37720","28870"
"In post","2021","Asian","South West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","Asian","South West (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Ministry of Defence","430","420","36120","33270"
"In post","2021","Asian","South West (England)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Ministry of Justice","50","50","26830","24440"
"In post","2021","Asian","South West (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Work and Pensions","140","120","27810","27570"
"In post","2021","Asian","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Department for Business, Energy and Industrial Strategy","50","40","[c]","[c]"
"In post","2021","Asian","Wales","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Department for Transport","50","50","31790","21590"
"In post","2021","Asian","Wales","Department for Work and Pensions","60","60","25520","27570"
"In post","2021","Asian","Wales","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","HM Revenue and Customs","100","100","26270","20390"
"In post","2021","Asian","Wales","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","Asian","Wales","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","Asian","Wales","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Welsh Government","50","50","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Attorney General's Departments","100","90","36280","28430"
"In post","2021","Asian","West Midlands (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Department for Business, Energy and Industrial Strategy","100","90","28690","24570"
"In post","2021","Asian","West Midlands (England)","Department for Education","230","230","37370","36500"
"In post","2021","Asian","West Midlands (England)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Department for Work and Pensions","1310","1180","25540","27570"
"In post","2021","Asian","West Midlands (England)","Department of Health and Social Care","70","70","39720","24240"
"In post","2021","Asian","West Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","HM Land Registry","40","30","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","HM Revenue and Customs","670","640","29920","27230"
"In post","2021","Asian","West Midlands (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Home Office","280","260","26140","25040"
"In post","2021","Asian","West Midlands (England)","Ministry of Defence","80","80","31740","26930"
"In post","2021","Asian","West Midlands (England)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Ministry of Justice","1000","930","24240","20650"
"In post","2021","Asian","West Midlands (England)","National Crime Agency","50","50","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Attorney General's Departments","50","50","42800","48080"
"In post","2021","Asian","Yorkshire and The Humber","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Department for Education","90","80","36310","31780"
"In post","2021","Asian","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Department for Work and Pensions","770","700","26860","27570"
"In post","2021","Asian","Yorkshire and The Humber","Department of Health and Social Care","80","80","39240","31380"
"In post","2021","Asian","Yorkshire and The Humber","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","HM Revenue and Customs","640","590","26640","25560"
"In post","2021","Asian","Yorkshire and The Humber","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Home Office","360","330","24980","24890"
"In post","2021","Asian","Yorkshire and The Humber","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Ministry of Justice","230","200","28750","24440"
"In post","2021","Asian","Yorkshire and The Humber","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Department for Work and Pensions","150","140","25590","27570"
"In post","2021","Black","East Midlands (England)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","HM Revenue and Customs","70","70","28070","25560"
"In post","2021","Black","East Midlands (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Ministry of Justice","190","180","25970","22850"
"In post","2021","Black","East Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Department for Work and Pensions","250","230","28300","29290"
"In post","2021","Black","East of England","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Black","East of England","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Home Office","50","50","26290","26160"
