"Status","Year","Profession_of_post","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Declared non-disabled","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Department of Health and Social Care","60","60","46300","38790"
"In post","2021","Commercial","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Foreign, Commonwealth and Development Office","110","100","46010","41580"
"In post","2021","Commercial","Declared non-disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","HM Revenue and Customs","50","40","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Home Office","70","70","41060","42100"
"In post","2021","Commercial","Declared non-disabled","Ministry of Defence","1470","1410","37440","34800"
"In post","2021","Commercial","Declared non-disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Ministry of Justice","650","640","46810","43950"
"In post","2021","Commercial","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Other Cabinet Office Agencies","80","70","37880","35290"
"In post","2021","Commercial","Declared non-disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Transport","30","30","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Ministry of Defence","140","130","38980","37460"
"In post","2021","Commercial","Undeclared","Ministry of Justice","110","100","47630","46570"
"In post","2021","Commercial","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Education","50","50","37190","36500"
"In post","2021","Commercial","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department of Health and Social Care","170","160","48160","40650"
"In post","2021","Commercial","Unknown","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Ministry of Defence","230","220","39700","36800"
"In post","2021","Commercial","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Other Cabinet Office Agencies","260","250","32540","31400"
"In post","2021","Commercial","Unknown","Scottish Government","80","70","30120","25870"
"In post","2021","Commercial","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Ministry of Defence","60","60","34070","29200"
"In post","2021","Communications","Declared disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Attorney General's Departments","60","60","43970","39750"
"In post","2021","Communications","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Department for Business, Energy and Industrial Strategy","160","150","43680","40040"
"In post","2021","Communications","Declared non-disabled","Department for Digital, Culture, Media and Sport","40","30","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Department for Education","220","210","41060","37310"
"In post","2021","Communications","Declared non-disabled","Department for Environment, Food and Rural Affairs","180","170","41040","37360"
"In post","2021","Communications","Declared non-disabled","Department for International Trade","60","60","42420","38540"
"In post","2021","Communications","Declared non-disabled","Department for Transport","190","180","37920","34710"
"In post","2021","Communications","Declared non-disabled","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Department of Health and Social Care","120","110","44640","40850"
"In post","2021","Communications","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Foreign, Commonwealth and Development Office","90","90","48460","45840"
"In post","2021","Communications","Declared non-disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","HM Revenue and Customs","170","160","45510","41450"
"In post","2021","Communications","Declared non-disabled","HM Treasury","40","40","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Home Office","150","140","49490","44220"
"In post","2021","Communications","Declared non-disabled","Ministry of Defence","420","410","34680","33300"
"In post","2021","Communications","Declared non-disabled","Ministry of Housing, Communities and Local Government","80","70","43210","39600"
"In post","2021","Communications","Declared non-disabled","Ministry of Justice","120","110","43540","39080"
"In post","2021","Communications","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Welsh Government","140","130","39160","37410"
"In post","2021","Communications","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Department for Transport","50","50","[c]","[c]"
"In post","2021","Communications","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Communications","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Department for Business, Energy and Industrial Strategy","80","80","43860","39820"
"In post","2021","Communications","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Department for Education","80","70","35260","30320"
"In post","2021","Communications","Unknown","Department for Environment, Food and Rural Affairs","60","60","43710","40540"
"In post","2021","Communications","Unknown","Department for International Trade","70","70","42970","38140"
"In post","2021","Communications","Unknown","Department for Transport","30","30","[c]","[c]"
"In post","2021","Communications","Unknown","Department of Health and Social Care","190","180","43730","38400"
"In post","2021","Communications","Unknown","Foreign, Commonwealth and Development Office","50","50","[c]","[c]"
"In post","2021","Communications","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","HM Revenue and Customs","60","60","42360","38630"
"In post","2021","Communications","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Ministry of Defence","100","100","39360","34380"
"In post","2021","Communications","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","United Kingdom Statistics Authority","50","50","[c]","[c]"
"In post","2021","Communications","Unknown","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Ministry of Defence","50","50","40710","39180"
"In post","2021","Corporate Finance","Declared non-disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Attorney General's Departments","180","180","45260","40140"
"In post","2021","Counter Fraud","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Department for Business, Energy and Industrial Strategy","180","170","40650","39490"
"In post","2021","Counter Fraud","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Department for Transport","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Home Office","150","140","26820","25310"
"In post","2021","Counter Fraud","Declared non-disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
