"Status","Year","Organisation","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Debt Management Office","HM Treasury","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","65+","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","30-39","30","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","40-49","90","90","28920","27460"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","50-59","190","190","30910","28750"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","60-64","60","50","26830","27780"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","65+","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","16-19","110","110","18140","17780"
"In post","2021","Defence Equipment and Support","Ministry of Defence","20-29","2050","2040","26700","26590"
"In post","2021","Defence Equipment and Support","Ministry of Defence","30-39","2230","2140","35660","34770"
"In post","2021","Defence Equipment and Support","Ministry of Defence","40-49","2180","2100","40840","39820"
"In post","2021","Defence Equipment and Support","Ministry of Defence","50-59","3000","2940","40650","39380"
"In post","2021","Defence Equipment and Support","Ministry of Defence","60-64","870","790","38120","36760"
"In post","2021","Defence Equipment and Support","Ministry of Defence","65+","250","210","34500","33200"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","20-29","910","900","29050","28650"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","30-39","1030","1000","39410","37320"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","40-49","1020","970","44810","46080"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","50-59","1030","1010","45530","46090"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","60-64","270","240","45570","46090"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","65+","120","90","46310","46130"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","20-29","1830","1820","40660","39080"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","30-39","1470","1440","52480","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","40-49","990","950","56800","54300"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","50-59","840","820","51990","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","60-64","140","130","47010","42400"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","65+","50","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","20-29","680","670","41060","34840"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","30-39","610","590","52420","52070"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","40-49","280","270","57970","58190"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","50-59","170","170","54100","52250"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","60-64","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","20-29","1250","1250","36120","33190"
"In post","2021","Department for Education (excl. agencies)","Department for Education","30-39","1560","1500","45320","44320"
"In post","2021","Department for Education (excl. agencies)","Department for Education","40-49","1460","1380","48650","49860"
"In post","2021","Department for Education (excl. agencies)","Department for Education","50-59","1180","1140","46580","42580"
"In post","2021","Department for Education (excl. agencies)","Department for Education","60-64","190","180","46330","44540"
"In post","2021","Department for Education (excl. agencies)","Department for Education","65+","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","20-29","1120","1110","34890","32560"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","30-39","1360","1300","43040","39110"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","40-49","1450","1370","46310","47050"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","50-59","1190","1150","44960","40750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","60-64","190","180","41920","36030"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","65+","80","70","37430","32950"
"In post","2021","Department for International Trade","Department for International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","20-29","950","950","37340","33000"
"In post","2021","Department for International Trade","Department for International Trade","30-39","740","740","49740","51970"
"In post","2021","Department for International Trade","Department for International Trade","40-49","450","440","53370","51970"
"In post","2021","Department for International Trade","Department for International Trade","50-59","450","440","48930","42160"
"In post","2021","Department for International Trade","Department for International Trade","60-64","80","80","48390","43080"
"In post","2021","Department for International Trade","Department for International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","20-29","930","920","38180","35060"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","30-39","920","900","49270","50400"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","40-49","780","750","54840","54760"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","50-59","690","670","52160","46710"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","60-64","150","130","44980","37660"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","65+","50","40","[c]","[c]"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","16-19","200","200","22680","21010"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","20-29","10300","10110","26630","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","30-39","14790","13560","27620","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","40-49","21670","19500","28110","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","50-59","32160","29050","28090","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","60-64","9240","7140","26770","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","65+","2580","1840","26000","26120"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","20-29","1240","1230","37260","32790"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","30-39","850","820","50190","53360"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","40-49","730","700","53700","52080"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","50-59","600","580","52260","49530"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","60-64","90","80","49100","42480"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Scottish Government","20-29","70","70","23040","21150"
"In post","2021","Disclosure Scotland","Scottish Government","30-39","100","90","26650","24110"
"In post","2021","Disclosure Scotland","Scottish Government","40-49","70","60","32270","28170"
"In post","2021","Disclosure Scotland","Scottish Government","50-59","50","50","32550","28680"
"In post","2021","Disclosure Scotland","Scottish Government","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","16-19","40","30","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","20-29","790","750","22730","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","30-39","1740","1550","25140","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","40-49","1540","1410","27950","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","50-59","1420","1270","27950","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","60-64","560","400","24940","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","65+","130","90","24070","21590"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","20-29","280","270","26440","26130"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","30-39","650","630","29590","26780"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","40-49","1190","1150","30530","27680"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","50-59","1760","1700","30120","26780"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","60-64","650","560","29010","26780"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","65+","260","200","27980","26780"
"In post","2021","Education and Skills Funding Agency","Department for Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Department for Education","20-29","300","300","32760","30090"
"In post","2021","Education and Skills Funding Agency","Department for Education","30-39","430","410","39600","36780"
"In post","2021","Education and Skills Funding Agency","Department for Education","40-49","550","530","45070","40940"
"In post","2021","Education and Skills Funding Agency","Department for Education","50-59","440","430","45800","40940"
"In post","2021","Education and Skills Funding Agency","Department for Education","60-64","80","70","45890","42740"
"In post","2021","Education and Skills Funding Agency","Department for Education","65+","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Scottish Government","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Scottish Government","30-39","50","50","44590","44930"
"In post","2021","Education Scotland","Scottish Government","40-49","90","80","55580","58560"
"In post","2021","Education Scotland","Scottish Government","50-59","120","120","61190","68290"
"In post","2021","Education Scotland","Scottish Government","60-64","40","30","[c]","[c]"
"In post","2021","Education Scotland","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","ESTYN","20-29","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","ESTYN","30-39","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","ESTYN","40-49","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","ESTYN","50-59","50","40","[c]","[c]"
"In post","2021","ESTYN","ESTYN","60-64","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","ESTYN","65+","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","20-29","130","130","27540","26590"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","30-39","210","210","36650","34520"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","40-49","240","240","43130","39580"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","50-59","310","310","44280","42190"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","60-64","110","90","43520","42960"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","65+","60","40","49710","53630"
"In post","2021","Food Standards Agency","Food Standards Agency","20-29","110","110","32770","32350"
"In post","2021","Food Standards Agency","Food Standards Agency","30-39","260","250","38280","37910"
"In post","2021","Food Standards Agency","Food Standards Agency","40-49","360","350","40490","37910"
"In post","2021","Food Standards Agency","Food Standards Agency","50-59","430","430","36820","30810"
"In post","2021","Food Standards Agency","Food Standards Agency","60-64","110","100","32800","28800"
"In post","2021","Food Standards Agency","Food Standards Agency","65+","40","30","[c]","[c]"
"In post","2021","Food Standards Scotland","Scottish Government","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Scottish Government","30-39","70","70","33530","32140"
"In post","2021","Food Standards Scotland","Scottish Government","40-49","70","70","37940","33620"
"In post","2021","Food Standards Scotland","Scottish Government","50-59","60","60","36710","30650"
"In post","2021","Food Standards Scotland","Scottish Government","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","20-29","1340","1340","35370","34640"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","30-39","2100","2070","47930","51500"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","40-49","1970","1910","53830","55620"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","50-59","1720","1680","53190","52350"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","60-64","270","260","52770","48840"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","65+","70","60","46990","38430"
"In post","2021","Forestry and Land Scotland","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Scottish Government","20-29","100","100","25870","25140"
"In post","2021","Forestry and Land Scotland","Scottish Government","30-39","210","210","30000","28120"
"In post","2021","Forestry and Land Scotland","Scottish Government","40-49","230","220","33840","31060"
"In post","2021","Forestry and Land Scotland","Scottish Government","50-59","310","300","33280","31060"
"In post","2021","Forestry and Land Scotland","Scottish Government","60-64","100","90","30500","27320"
"In post","2021","Forestry and Land Scotland","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Chancellor's other departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Chancellor's other departments","20-29","60","60","35910","33380"
"In post","2021","Government Actuary's Department","Chancellor's other departments","30-39","60","60","68060","65470"
"In post","2021","Government Actuary's Department","Chancellor's other departments","40-49","50","40","[c]","[c]"
"In post","2021","Government Actuary's Department","Chancellor's other departments","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Chancellor's other departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Chancellor's other departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","HM Treasury","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","HM Treasury","30-39","60","60","45830","43800"
"In post","2021","Government Internal Audit Agency","HM Treasury","40-49","130","130","49560","48780"
"In post","2021","Government Internal Audit Agency","HM Treasury","50-59","190","180","51710","49750"
"In post","2021","Government Internal Audit Agency","HM Treasury","60-64","50","40","[c]","[c]"
"In post","2021","Government Internal Audit Agency","HM Treasury","65+","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Attorney General's Departments","20-29","340","330","36510","33460"
"In post","2021","Government Legal Department","Attorney General's Departments","30-39","830","780","51730","51250"
"In post","2021","Government Legal Department","Attorney General's Departments","40-49","730","650","59620","64680"
"In post","2021","Government Legal Department","Attorney General's Departments","50-59","510","480","62360","66960"
"In post","2021","Government Legal Department","Attorney General's Departments","60-64","100","80","62500","66940"
"In post","2021","Government Legal Department","Attorney General's Departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","30-39","40","40","[c]","[c]"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","40-49","60","60","50960","51570"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","50-59","70","70","54500","53110"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","65+","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","20-29","250","240","28880","26410"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","30-39","360","350","38800","39390"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","40-49","670","630","46150","45100"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","50-59","1030","970","45490","45870"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","60-64","220","190","46270","45100"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","65+","50","30","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","16-19","40","40","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","20-29","2180","2140","21940","19930"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","30-39","2990","2690","24200","21300"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","40-49","3770","3360","26090","22080"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","50-59","5320","4880","26090","21310"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","60-64","1630","1380","23370","20100"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","65+","690","530","21460","20100"
"In post","2021","HM Land Registry","HM Land Registry","16-19","[c]","[c]","[c]","[c]"
