"Status","Year","Responsibility_level","Organisation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Eastern Scotland","230","210","21890","22220"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Highlands and Islands","40","30","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","North Eastern Scotland","40","30","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Southern Scotland","100","90","21920","22220"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","West Central Scotland","300","270","21970","22220"
"In post","2021","AA/AO","Crown Prosecution Service","Bedfordshire and Hertfordshire","40","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Derbyshire and Nottinghamshire","70","70","21320","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Devon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","East Anglia","40","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","East Wales","60","60","21910","21950"
"In post","2021","AA/AO","Crown Prosecution Service","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Essex","40","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Greater Manchester","70","60","21940","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Hampshire and Isle of Wight","60","50","22260","23520"
"In post","2021","AA/AO","Crown Prosecution Service","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Inner London - West","260","240","22960","23520"
"In post","2021","AA/AO","Crown Prosecution Service","Kent","30","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Lancashire","30","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Leicestershire, Rutland and Northamptonshire","40","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Merseyside","90","80","21840","21950"
"In post","2021","AA/AO","Crown Prosecution Service","North Yorkshire","30","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Northumberland and Tyne and Wear","70","60","21800","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","South Yorkshire","40","40","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Surrey, East and West Sussex","30","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","West Midlands","110","100","21760","21950"
"In post","2021","AA/AO","Crown Prosecution Service","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","West Yorkshire","90","80","21740","21950"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","East Wales","80","70","19970","21000"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","100","100","18880","17710"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","60","60","25630","24900"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Essex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Inner London - West","80","80","24430","24370"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Inner London - West","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Inner London - East","80","60","32640","32740"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Inner London - West","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Bedfordshire and Hertfordshire","200","170","23240","24180"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","200","170","22540","22160"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Cheshire","350","300","20800","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Cornwall and Isles of Scilly","330","280","20880","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Cumbria","60","50","20850","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Derbyshire and Nottinghamshire","740","630","20830","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Devon","820","660","20810","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Dorset and Somerset","210","180","20930","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","East Anglia","390","310","20890","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","East Wales","660","570","20840","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","East Yorkshire and Northern Lincolnshire","420","340","20840","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Eastern Scotland","1490","1300","20900","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Essex","430","370","24130","24180"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","430","360","20970","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Greater Manchester","1830","1600","20690","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Hampshire and Isle of Wight","350","280","20760","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Herefordshire, Worcestershire and Warwickshire","350","290","20710","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Highlands and Islands","150","130","20860","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Inner London - East","670","590","24190","25110"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Inner London - West","180","160","24750","25110"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Kent","530","480","24430","24180"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Lancashire","3080","2730","20830","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Leicestershire, Rutland and Northamptonshire","620","520","20810","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Lincolnshire","150","120","20850","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Merseyside","1340","1100","20800","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","North Eastern Scotland","60","50","20600","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","North Yorkshire","60","50","20790","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Northumberland and Tyne and Wear","3150","2710","20870","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Outer London - East and North East","430","370","24570","25110"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Outer London - South","110","100","24660","25110"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Outer London - West and North West","230","200","24770","25110"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Shropshire and Staffordshire","370","300","20760","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","South Yorkshire","930","780","20800","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Southern Scotland","220","180","20730","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Surrey, East and West Sussex","770","660","21090","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Tees Valley and Durham","1050","900","20840","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Unknown","170","150","22470","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","West Central Scotland","1820","1560","20670","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","West Midlands","1680","1400","20720","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","West Wales and The Valleys","1380","1190","20870","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","West Yorkshire","910","790","20830","21010"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Disclosure Scotland","West Central Scotland","190","170","21940","22230"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","West Wales and The Valleys","4090","3460","20640","21590"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Derbyshire and Nottinghamshire","50","50","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Devon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","East Anglia","60","50","26260","26580"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Eastern Scotland","30","30","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Essex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Gloucestershire, Wiltshire and Bath/Bristol area","60","60","23730","21590"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Greater Manchester","30","30","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Lancashire","30","30","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Northumberland and Tyne and Wear","140","120","21900","21590"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Shropshire and Staffordshire","70","70","24440","24260"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","South Yorkshire","30","30","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Surrey, East and West Sussex","50","50","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","West Wales and The Valleys","160","150","22160","21590"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","West Yorkshire","100","90","22620","21590"
"In post","2021","AA/AO","Education and Skills Funding Agency","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Berkshire, Buckinghamshire and Oxfordshire","100","100","23180","22850"
"In post","2021","AA/AO","FCDO Services","Inner London - West","30","30","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","130","120","24800","24750"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Inner London - West","240","230","27590","28000"
