"Status","Year","Disability","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","AA/AO","630","570","21930","21380"
"In post","2022","Declared non-disabled","Finance","EO","1620","1540","26980","26670"
"In post","2022","Declared non-disabled","Finance","G6/G7","1970","1920","59150","57540"
"In post","2022","Declared non-disabled","Finance","SCS","250","240","88620","80680"
"In post","2022","Declared non-disabled","Finance","SEO/HEO","4060","3920","37600","36650"
"In post","2022","Declared non-disabled","Finance","Unknown","60","60","48680","41960"
"In post","2022","Declared non-disabled","Geography","AA/AO","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Geography","EO","90","80","27460","26740"
"In post","2022","Declared non-disabled","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Geography","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Geography","SEO/HEO","160","150","35560","33290"
"In post","2022","Declared non-disabled","Human Resources","AA/AO","800","730","21960","21380"
"In post","2022","Declared non-disabled","Human Resources","EO","1090","1010","27250","26900"
"In post","2022","Declared non-disabled","Human Resources","G6/G7","1490","1440","58050","56800"
"In post","2022","Declared non-disabled","Human Resources","SCS","160","160","86670","79480"
"In post","2022","Declared non-disabled","Human Resources","SEO/HEO","2870","2730","36560","35980"
"In post","2022","Declared non-disabled","Human Resources","Unknown","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Inspector of Education and Training","G6/G7","490","480","75580","75500"
"In post","2022","Declared non-disabled","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Inspector of Education and Training","SEO/HEO","300","300","50190","51360"
"In post","2022","Declared non-disabled","Intelligence Analysis","AA/AO","90","80","23450","21960"
"In post","2022","Declared non-disabled","Intelligence Analysis","EO","1150","1080","27630","27370"
"In post","2022","Declared non-disabled","Intelligence Analysis","G6/G7","170","160","59330","58230"
"In post","2022","Declared non-disabled","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Intelligence Analysis","SEO/HEO","900","880","36840","36140"
"In post","2022","Declared non-disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","EO","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","G6/G7","150","150","58040","56490"
"In post","2022","Declared non-disabled","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","SEO/HEO","360","330","40620","40550"
"In post","2022","Declared non-disabled","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","International Trade","EO","60","50","27620","26820"
"In post","2022","Declared non-disabled","International Trade","G6/G7","370","370","56580","54500"
"In post","2022","Declared non-disabled","International Trade","SCS","70","70","83240","75310"
"In post","2022","Declared non-disabled","International Trade","SEO/HEO","380","370","36230","37930"
"In post","2022","Declared non-disabled","Knowledge and Information Management","AA/AO","250","230","22360","21380"
"In post","2022","Declared non-disabled","Knowledge and Information Management","EO","420","390","27700","27570"
"In post","2022","Declared non-disabled","Knowledge and Information Management","G6/G7","220","210","57790","56120"
"In post","2022","Declared non-disabled","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","SEO/HEO","740","720","36700","36460"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","AA/AO","150","130","22370","22080"
"In post","2022","Declared non-disabled","Legal","EO","1110","1060","28370","26970"
"In post","2022","Declared non-disabled","Legal","G6/G7","4450","4110","59660","58590"
"In post","2022","Declared non-disabled","Legal","SCS","300","290","87650","82720"
"In post","2022","Declared non-disabled","Legal","SEO/HEO","2550","2390","40140","39320"
"In post","2022","Declared non-disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Medicine","AA/AO","210","190","23540","23280"
"In post","2022","Declared non-disabled","Medicine","EO","210","180","32010","31530"
"In post","2022","Declared non-disabled","Medicine","G6/G7","470","400","74060","75970"
"In post","2022","Declared non-disabled","Medicine","SCS","170","150","101110","100400"
"In post","2022","Declared non-disabled","Medicine","SEO/HEO","490","450","40190","39030"
"In post","2022","Declared non-disabled","Operational Delivery","AA/AO","65850","58550","22920","21410"
"In post","2022","Declared non-disabled","Operational Delivery","EO","57420","52530","27890","27570"
"In post","2022","Declared non-disabled","Operational Delivery","G6/G7","5560","5420","58600","55300"
"In post","2022","Declared non-disabled","Operational Delivery","SCS","580","570","89300","82270"
"In post","2022","Declared non-disabled","Operational Delivery","SEO/HEO","26460","25230","36780","35200"
"In post","2022","Declared non-disabled","Operational Delivery","Unknown","11910","11090","30540","28200"
"In post","2022","Declared non-disabled","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","EO","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","G6/G7","410","390","55190","54460"
"In post","2022","Declared non-disabled","Operational Research","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","SEO/HEO","410","390","36990","38070"
"In post","2022","Declared non-disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other","AA/AO","7190","6660","21280","21260"
"In post","2022","Declared non-disabled","Other","EO","6090","5770","27130","27570"
"In post","2022","Declared non-disabled","Other","G6/G7","1470","1420","60510","57460"
"In post","2022","Declared non-disabled","Other","SCS","240","230","97530","88110"
"In post","2022","Declared non-disabled","Other","SEO/HEO","4660","4490","35820","35010"
"In post","2022","Declared non-disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","G6/G7","60","60","58160","57110"
"In post","2022","Declared non-disabled","Planning","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","SEO/HEO","90","80","39130","39100"
"In post","2022","Declared non-disabled","Planning Inspectors","G6/G7","260","230","57120","58810"
"In post","2022","Declared non-disabled","Planning Inspectors","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Policy","AA/AO","440","420","23880","24340"
"In post","2022","Declared non-disabled","Policy","EO","1730","1670","28320","28310"
"In post","2022","Declared non-disabled","Policy","G6/G7","9150","8850","58340","57200"
"In post","2022","Declared non-disabled","Policy","SCS","1470","1410","84840","77650"
"In post","2022","Declared non-disabled","Policy","SEO/HEO","9600","9350","37430","37000"
"In post","2022","Declared non-disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","AA/AO","320","270","21980","21260"
"In post","2022","Declared non-disabled","Project Delivery","EO","980","920","26820","26750"
"In post","2022","Declared non-disabled","Project Delivery","G6/G7","3490","3400","57590","55210"
"In post","2022","Declared non-disabled","Project Delivery","SCS","290","290","89820","83920"
"In post","2022","Declared non-disabled","Project Delivery","SEO/HEO","6020","5790","37230","37610"
"In post","2022","Declared non-disabled","Project Delivery","Unknown","370","360","44890","41020"
"In post","2022","Declared non-disabled","Property","AA/AO","600","560","20480","21170"
"In post","2022","Declared non-disabled","Property","EO","990","920","27430","26950"
"In post","2022","Declared non-disabled","Property","G6/G7","1110","1080","58680","57600"
"In post","2022","Declared non-disabled","Property","SCS","70","70","88430","80190"
"In post","2022","Declared non-disabled","Property","SEO/HEO","2430","2330","37820","36500"
"In post","2022","Declared non-disabled","Property","Unknown","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Psychology","AA/AO","50","40","[c]","[c]"
"In post","2022","Declared non-disabled","Psychology","EO","280","280","26480","26590"
"In post","2022","Declared non-disabled","Psychology","G6/G7","100","90","65650","65520"
"In post","2022","Declared non-disabled","Psychology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Psychology","SEO/HEO","680","650","37170","33900"
"In post","2022","Declared non-disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Science and Engineering","AA/AO","790","770","21630","21800"
"In post","2022","Declared non-disabled","Science and Engineering","EO","1400","1360","26170","26370"
"In post","2022","Declared non-disabled","Science and Engineering","G6/G7","2420","2310","55470","54410"
"In post","2022","Declared non-disabled","Science and Engineering","SCS","60","60","93530","89300"
"In post","2022","Declared non-disabled","Science and Engineering","SEO/HEO","5230","5030","36920","38070"
"In post","2022","Declared non-disabled","Science and Engineering","Unknown","560","560","40900","38450"
"In post","2022","Declared non-disabled","Security","AA/AO","3400","3320","26140","21960"
"In post","2022","Declared non-disabled","Security","EO","710","690","33230","29200"
"In post","2022","Declared non-disabled","Security","G6/G7","350","350","59540","58240"
"In post","2022","Declared non-disabled","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Security","SEO/HEO","1320","1290","39270","37590"
"In post","2022","Declared non-disabled","Security","Unknown","130","130","32970","29640"
"In post","2022","Declared non-disabled","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Social Research","G6/G7","280","260","58130","57460"
"In post","2022","Declared non-disabled","Social Research","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Social Research","SEO/HEO","510","490","36790","37610"
"In post","2022","Declared non-disabled","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Statistics","EO","160","160","28160","28310"
"In post","2022","Declared non-disabled","Statistics","G6/G7","570","550","58490","59100"
"In post","2022","Declared non-disabled","Statistics","SCS","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Statistics","SEO/HEO","810","780","37630","37860"
"In post","2022","Declared non-disabled","Tax","AA/AO","1550","1450","21380","21250"
"In post","2022","Declared non-disabled","Tax","EO","2650","2500","27360","26820"
"In post","2022","Declared non-disabled","Tax","G6/G7","2100","2010","59570","55210"
"In post","2022","Declared non-disabled","Tax","SCS","70","70","82160","78810"
"In post","2022","Declared non-disabled","Tax","SEO/HEO","5210","4980","36200","33370"
"In post","2022","Declared non-disabled","Unknown","AA/AO","2530","2400","23250","22810"
"In post","2022","Declared non-disabled","Unknown","EO","3080","2990","28240","27500"
"In post","2022","Declared non-disabled","Unknown","G6/G7","4440","4310","61200","60640"
"In post","2022","Declared non-disabled","Unknown","SCS","760","740","95960","84740"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","6420","6240","38020","37300"
"In post","2022","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Veterinarian","G6/G7","100","100","54910","54340"
"In post","2022","Declared non-disabled","Veterinarian","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Veterinarian","SEO/HEO","200","190","40170","37910"
"In post","2022","Undeclared","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","EO","40","40","[c]","[c]"
"In post","2022","Undeclared","Commercial","G6/G7","80","70","61000","58120"
"In post","2022","Undeclared","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","SEO/HEO","200","190","39020","38720"
"In post","2022","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","G6/G7","40","40","[c]","[c]"
"In post","2022","Undeclared","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","SEO/HEO","90","90","38650","38180"
"In post","2022","Undeclared","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","AA/AO","50","50","22730","22720"
"In post","2022","Undeclared","Counter Fraud","EO","190","170","28120","27570"
"In post","2022","Undeclared","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","SEO/HEO","80","80","34820","34000"
"In post","2022","Undeclared","Digital, Data and Technology","AA/AO","50","40","[c]","[c]"
"In post","2022","Undeclared","Digital, Data and Technology","EO","200","190","28030","27130"
"In post","2022","Undeclared","Digital, Data and Technology","G6/G7","260","250","59570","57680"
"In post","2022","Undeclared","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data and Technology","SEO/HEO","580","570","38230","37900"
"In post","2022","Undeclared","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Economics","G6/G7","40","40","[c]","[c]"
"In post","2022","Undeclared","Economics","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Economics","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Undeclared","Finance","AA/AO","40","40","[c]","[c]"
"In post","2022","Undeclared","Finance","EO","140","130","27320","26860"
"In post","2022","Undeclared","Finance","G6/G7","130","130","60140","58680"
"In post","2022","Undeclared","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","SEO/HEO","340","330","38120","37000"
"In post","2022","Undeclared","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Geography","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Geography","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","AA/AO","70","60","21750","21380"
"In post","2022","Undeclared","Human Resources","EO","80","80","27990","27570"
"In post","2022","Undeclared","Human Resources","G6/G7","80","80","57820","56750"
"In post","2022","Undeclared","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","SEO/HEO","250","240","37490","37040"
"In post","2022","Undeclared","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","EO","140","130","28350","27380"
"In post","2022","Undeclared","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","SEO/HEO","120","110","37260","37000"
"In post","2022","Undeclared","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Knowledge and Information Management","EO","40","40","[c]","[c]"
"In post","2022","Undeclared","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Knowledge and Information Management","SEO/HEO","60","60","36280","34640"
"In post","2022","Undeclared","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","EO","90","80","28460","27130"
"In post","2022","Undeclared","Legal","G6/G7","190","180","62680","63730"
"In post","2022","Undeclared","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","SEO/HEO","230","220","39640","38020"
"In post","2022","Undeclared","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Medicine","G6/G7","30","20","[c]","[c]"
"In post","2022","Undeclared","Medicine","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Medicine","SEO/HEO","40","30","[c]","[c]"
"In post","2022","Undeclared","Operational Delivery","AA/AO","7010","6200","24910","22020"
"In post","2022","Undeclared","Operational Delivery","EO","4480","4160","28790","27570"
"In post","2022","Undeclared","Operational Delivery","G6/G7","320","310","60690","57540"
"In post","2022","Undeclared","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Operational Delivery","SEO/HEO","2290","2180","38030","36720"
"In post","2022","Undeclared","Operational Delivery","Unknown","790","730","31190","28760"
"In post","2022","Undeclared","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Operational Research","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other","AA/AO","700","660","21190","21260"
"In post","2022","Undeclared","Other","EO","500","480","27290","27570"
"In post","2022","Undeclared","Other","G6/G7","70","60","58250","57230"
"In post","2022","Undeclared","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other","SEO/HEO","400","380","36020","34460"
"In post","2022","Undeclared","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Policy","AA/AO","40","30","[c]","[c]"
"In post","2022","Undeclared","Policy","EO","120","120","28360","28110"
"In post","2022","Undeclared","Policy","G6/G7","690","670","58200","56040"
"In post","2022","Undeclared","Policy","SCS","80","80","82340","77000"
"In post","2022","Undeclared","Policy","SEO/HEO","780","760","36620","36360"
"In post","2022","Undeclared","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","EO","70","60","27360","26780"
"In post","2022","Undeclared","Project Delivery","G6/G7","220","210","57830","55210"
"In post","2022","Undeclared","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","SEO/HEO","420","400","37920","39450"
"In post","2022","Undeclared","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2022","Undeclared","Property","AA/AO","70","60","20500","21170"
"In post","2022","Undeclared","Property","EO","120","110","27660","27000"
"In post","2022","Undeclared","Property","G6/G7","90","90","59580","58250"
"In post","2022","Undeclared","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","SEO/HEO","250","240","39050","38000"
"In post","2022","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","EO","30","30","[c]","[c]"
"In post","2022","Undeclared","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","SEO/HEO","80","80","39640","39670"
"In post","2022","Undeclared","Science and Engineering","AA/AO","60","60","22530","22750"
"In post","2022","Undeclared","Science and Engineering","EO","120","120","28190","28150"
"In post","2022","Undeclared","Science and Engineering","G6/G7","90","80","58320","57230"
"In post","2022","Undeclared","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Science and Engineering","SEO/HEO","330","320","38090","38250"
"In post","2022","Undeclared","Science and Engineering","Unknown","60","60","44170","43800"
"In post","2022","Undeclared","Security","AA/AO","420","410","27980","22710"
"In post","2022","Undeclared","Security","EO","110","100","36710","40190"
"In post","2022","Undeclared","Security","G6/G7","40","40","[c]","[c]"
"In post","2022","Undeclared","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","SEO/HEO","200","190","41970","39720"
"In post","2022","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Undeclared","Tax","AA/AO","70","70","21350","21250"
"In post","2022","Undeclared","Tax","EO","190","180","28050","26820"
"In post","2022","Undeclared","Tax","G6/G7","230","220","59550","55210"
"In post","2022","Undeclared","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Tax","SEO/HEO","430","400","36600","33730"
"In post","2022","Undeclared","Unknown","AA/AO","110","100","22300","21260"
"In post","2022","Undeclared","Unknown","EO","120","120","27660","27230"
"In post","2022","Undeclared","Unknown","G6/G7","200","190","60330","58600"
"In post","2022","Undeclared","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","SEO/HEO","340","330","37320","36130"
"In post","2022","Undeclared","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","AA/AO","90","80","23440","22560"
"In post","2022","Unknown","Commercial","EO","190","190","26590","26350"
"In post","2022","Unknown","Commercial","G6/G7","260","250","56430","53360"
"In post","2022","Unknown","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","SEO/HEO","680","650","36610","36820"
"In post","2022","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","AA/AO","50","50","[c]","[c]"
"In post","2022","Unknown","Communications","EO","170","160","27530","27270"
"In post","2022","Unknown","Communications","G6/G7","310","300","58480","56440"
"In post","2022","Unknown","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","SEO/HEO","510","500","37720","37400"
"In post","2022","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","AA/AO","60","50","22640","22740"
"In post","2022","Unknown","Counter Fraud","EO","120","120","27750","27570"
"In post","2022","Unknown","Counter Fraud","G6/G7","30","30","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","SEO/HEO","100","100","35550","34390"
"In post","2022","Unknown","Digital, Data and Technology","AA/AO","140","140","22290","21290"
"In post","2022","Unknown","Digital, Data and Technology","EO","710","700","27940","27460"
"In post","2022","Unknown","Digital, Data and Technology","G6/G7","1180","1160","58730","57070"
"In post","2022","Unknown","Digital, Data and Technology","SCS","50","50","95250","90200"
"In post","2022","Unknown","Digital, Data and Technology","SEO/HEO","2080","2050","37830","37000"
"In post","2022","Unknown","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","EO","50","50","[c]","[c]"
"In post","2022","Unknown","Economics","G6/G7","170","170","59000","55800"
"In post","2022","Unknown","Economics","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","SEO/HEO","240","240","34520","33370"
"In post","2022","Unknown","Finance","AA/AO","200","170","22170","21250"
"In post","2022","Unknown","Finance","EO","370","360","26640","26590"
"In post","2022","Unknown","Finance","G6/G7","420","410","57970","55210"
"In post","2022","Unknown","Finance","SCS","50","50","87410","81920"
"In post","2022","Unknown","Finance","SEO/HEO","910","890","37220","36820"
"In post","2022","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Geography","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Geography","EO","50","40","[c]","[c]"
"In post","2022","Unknown","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Geography","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Geography","SEO/HEO","60","60","35710","33290"
"In post","2022","Unknown","Human Resources","AA/AO","220","200","22130","21380"
"In post","2022","Unknown","Human Resources","EO","360","340","27390","26930"
"In post","2022","Unknown","Human Resources","G6/G7","240","240","58280","57290"
"In post","2022","Unknown","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","SEO/HEO","580","560","35990","36050"
"In post","2022","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","SEO/HEO","50","40","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","EO","150","150","27240","26670"
"In post","2022","Unknown","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","SEO/HEO","150","140","38240","37610"
"In post","2022","Unknown","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","EO","40","40","[c]","[c]"
"In post","2022","Unknown","International Trade","G6/G7","230","230","55240","51970"
"In post","2022","Unknown","International Trade","SCS","40","30","[c]","[c]"
