"Status","Year","Region_ITL3","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","G6/G7","70","70","61630","61010"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","SEO/HEO","290","280","38010","35440"
"In post","2021","Aberdeen City and Aberdeenshire","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Operational Delivery","AA/AO","250","220","21000","21400"
"In post","2021","Angus and Dundee City","Operational Delivery","EO","70","60","27070","28130"
"In post","2021","Angus and Dundee City","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Tax","AA/AO","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","AA/AO","770","710","21220","21010"
"In post","2021","Angus and Dundee City","Unknown","EO","410","370","27510","27570"
"In post","2021","Angus and Dundee City","Unknown","G6/G7","60","50","61470","61010"
"In post","2021","Angus and Dundee City","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","SEO/HEO","150","150","35850","34290"
"In post","2021","Antrim and Newtownabbey","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
