"Status","Year","Organisation","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","No function","90","80","38550","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","No function","50","50","25450","21050"
"In post","2021","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","No function","80","80","27370","21050"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire East","No function","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","City of Edinburgh","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","No function","50","50","32140","26520"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon CC","No function","210","200","27290","21050"
"In post","2021","Animal and Plant Health Agency","Dorset CC","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dumfries and Galloway","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Cumbria","No function","160","150","25660","21050"
"In post","2021","Animal and Plant Health Agency","East Cumbria","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Kent","No function","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Riding of Yorkshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","No function","60","50","32320","30320"
"In post","2021","Animal and Plant Health Agency","Gwynedd","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gwynedd","No function","70","60","26640","22190"
"In post","2021","Animal and Plant Health Agency","Harrow and Hillingdon","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","No function","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hertfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","No function","70","70","32550","31460"
"In post","2021","Animal and Plant Health Agency","Inverness and Nairn and Moray, Badenoch and Strathspey","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Inverness and Nairn and Moray, Badenoch and Strathspey","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Leeds","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Leicestershire CC and Rutland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Manchester","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mid Kent","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mid Lancashire","No function","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mid Lancashire","Project Delivery","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North and West Norfolk","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Yorkshire CC","No function","130","120","31450","29180"
"In post","2021","Animal and Plant Health Agency","North Yorkshire CC","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Northumberland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Norwich and East Norfolk","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Nottingham","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Oxfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Perth and Kinross and Stirling","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Perth and Kinross and Stirling","No function","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Powys","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Powys","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scottish Borders","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Shropshire CC","No function","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Somerset","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Somerset","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South and West Derbyshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South Ayrshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South Lanarkshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South Nottinghamshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West Wales","No function","140","130","28020","25190"
"In post","2021","Animal and Plant Health Agency","South West Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Staffordshire CC","No function","60","60","25520","21050"
"In post","2021","Animal and Plant Health Agency","Suffolk","No function","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Telford and Wrekin","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Thurrock","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Tyneside","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Tyneside","No function","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Surrey","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Surrey","No function","550","520","33190","28550"
"In post","2021","Animal and Plant Health Agency","West Sussex (North East)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Westminster","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wiltshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Worcestershire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Worcestershire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Worcestershire","No function","110","110","28420","25420"
"In post","2021","Animal and Plant Health Agency","Worcestershire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","York","No function","60","60","24060","21050"
"In post","2021","Attorney General's Office","Westminster","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Westminster","Legal","30","30","[c]","[c]"
"In post","2021","Attorney General's Office","Westminster","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Ards and North Down","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Belfast","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Berkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Berkshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Birmingham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Birmingham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Birmingham","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Birmingham","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Blackpool","Commercial","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Blackpool","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bradford","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Brighton and Hove","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bristol, City of","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bristol, City of","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bristol, City of","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bristol, City of","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bristol, City of","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bristol, City of","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Buckinghamshire CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Buckinghamshire CC","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cambridgeshire CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cambridgeshire CC","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cambridgeshire CC","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Camden and City of London","Digital, Data & Technology","80","80","55580","54700"
"In post","2021","Cabinet Office (excl. agencies)","Camden and City of London","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Camden and City of London","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Camden and City of London","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cardiff and Vale of Glamorgan","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cardiff and Vale of Glamorgan","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cardiff and Vale of Glamorgan","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cardiff and Vale of Glamorgan","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Central Hampshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Central Hampshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Central Hampshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","City of Edinburgh","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","City of Edinburgh","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","City of Edinburgh","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Coventry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Coventry","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Croydon","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Croydon","No function","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Darlington","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Darlington","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Devon CC","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Dorset CC","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Merseyside","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Glasgow City","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Glasgow City","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Glasgow City","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Gloucestershire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester South East","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester South East","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester South West","Commercial","50","50","61190","53460"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester South West","Human Resources","100","90","38880","37300"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester South West","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester South West","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Hackney and Newham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Hackney and Newham","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Harrow and Hillingdon","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Hertfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Hertfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Lambeth","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Lancaster and Wyre","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Lancaster and Wyre","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Leeds","Commercial","60","60","67060","64500"
"In post","2021","Cabinet Office (excl. agencies)","Leeds","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Leeds","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Leeds","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Leeds","Human Resources","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Leeds","No function","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Leeds","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Leeds","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Leeds","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Lewisham and Southwark","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Lewisham and Southwark","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Lincolnshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Liverpool","Commercial","70","70","64390","55840"
"In post","2021","Cabinet Office (excl. agencies)","Liverpool","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Liverpool","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Liverpool","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Liverpool","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Manchester","Commercial","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Manchester","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Manchester","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Manchester","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Manchester","No function","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Manchester","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Manchester","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Medway","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Medway","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mid Kent","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Milton Keynes","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Milton Keynes","Security","90","90","30000","33150"
"In post","2021","Cabinet Office (excl. agencies)","Monmouthshire and Newport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Monmouthshire and Newport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North Hampshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North Hampshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North Hampshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North Yorkshire CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North Yorkshire CC","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Norwich and East Norfolk","Commercial","60","50","55100","52050"
"In post","2021","Cabinet Office (excl. agencies)","Norwich and East Norfolk","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Norwich and East Norfolk","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Norwich and East Norfolk","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Norwich and East Norfolk","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Nottingham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Nottingham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Nottingham","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Nottingham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Nottingham","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Nottingham","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Oxfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Oxfordshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Peterborough","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Plymouth","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Plymouth","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Portsmouth","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Portsmouth","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Portsmouth","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Sefton","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Sefton","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Sheffield","Commercial","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Sheffield","Human Resources","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Sheffield","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Sheffield","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South Hampshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South Hampshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South Lanarkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South Lanarkshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South Teesside","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West Wales","No function","[c]","[c]","[c]","[c]"
