"Status","Year","Sex","Sexual_orientation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","Heterosexual / straight","South West (England)","16060","15670","36380","33290"
"In post","2021","Male","Heterosexual / straight","Unknown","440","430","34470","28120"
"In post","2021","Male","Heterosexual / straight","Wales","9740","9440","33430","28660"
"In post","2021","Male","Heterosexual / straight","West Midlands (England)","8570","8340","31610","27570"
"In post","2021","Male","Heterosexual / straight","Yorkshire and The Humber","10710","10350","32550","27570"
"In post","2021","Male","LGBO","East Midlands (England)","350","340","29750","27570"
"In post","2021","Male","LGBO","East of England","330","320","29920","27570"
"In post","2021","Male","LGBO","London","2970","2930","46700","41950"
"In post","2021","Male","LGBO","North East (England)","490","480","28850","26810"
"In post","2021","Male","LGBO","North West (England)","1200","1170","29940","27570"
"In post","2021","Male","LGBO","Northern Ireland","50","50","25860","22330"
"In post","2021","Male","LGBO","Overseas","120","120","53650","54040"
"In post","2021","Male","LGBO","Scotland","870","850","32810","27570"
"In post","2021","Male","LGBO","South East (England)","760","740","31040","28180"
"In post","2021","Male","LGBO","South West (England)","750","730","32520","28500"
"In post","2021","Male","LGBO","Unknown","40","40","[c]","[c]"
"In post","2021","Male","LGBO","Wales","700","680","31790","27570"
"In post","2021","Male","LGBO","West Midlands (England)","490","470","30200","27570"
"In post","2021","Male","LGBO","Yorkshire and The Humber","670","650","31280","27570"
"In post","2021","Male","Undeclared","East Midlands (England)","900","850","31800","28170"
"In post","2021","Male","Undeclared","East of England","1090","1040","32640","31000"
"In post","2021","Male","Undeclared","London","4380","4260","45120","40220"
"In post","2021","Male","Undeclared","North East (England)","990","940","30310","27570"
"In post","2021","Male","Undeclared","North West (England)","2100","2000","31240","27570"
"In post","2021","Male","Undeclared","Northern Ireland","140","140","28250","25560"
"In post","2021","Male","Undeclared","Overseas","230","230","48910","42110"
"In post","2021","Male","Undeclared","Scotland","1900","1820","32240","27570"
"In post","2021","Male","Undeclared","South East (England)","2190","2080","33590","31650"
"In post","2021","Male","Undeclared","South West (England)","2500","2400","37890","36140"
"In post","2021","Male","Undeclared","Unknown","50","50","33130","28010"
"In post","2021","Male","Undeclared","Wales","1880","1780","32270","28130"
"In post","2021","Male","Undeclared","West Midlands (England)","1120","1070","31520","27570"
"In post","2021","Male","Undeclared","Yorkshire and The Humber","1450","1390","32350","29200"
"In post","2021","Male","Unknown","East Midlands (England)","2040","1950","28740","27130"
"In post","2021","Male","Unknown","East of England","1890","1810","31490","29290"
"In post","2021","Male","Unknown","London","9890","9720","44320","37230"
"In post","2021","Male","Unknown","North East (England)","3310","3130","28190","25560"
"In post","2021","Male","Unknown","North West (England)","5990","5730","29220","27130"
"In post","2021","Male","Unknown","Northern Ireland","470","460","26320","23870"
"In post","2021","Male","Unknown","Overseas","360","360","52180","52430"
"In post","2021","Male","Unknown","Scotland","6910","6610","31870","28870"
"In post","2021","Male","Unknown","South East (England)","3560","3400","32670","29830"
"In post","2021","Male","Unknown","South West (England)","4450","4290","35820","32730"
"In post","2021","Male","Unknown","Unknown","2000","2000","37630","33570"
"In post","2021","Male","Unknown","Wales","3100","2970","30330","26780"
"In post","2021","Male","Unknown","West Midlands (England)","2820","2710","30940","27570"
"In post","2021","Male","Unknown","Yorkshire and The Humber","3720","3570","30820","27570"
"In post","2021","Unknown","Heterosexual / straight","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Female","Heterosexual / straight","East Midlands (England)","9030","8150","30110","27570"
"In post","2022","Female","Heterosexual / straight","East of England","8830","8010","30410","27570"
"In post","2022","Female","Heterosexual / straight","London","38400","36340","42870","37860"
"In post","2022","Female","Heterosexual / straight","North East (England)","13240","11640","29210","26880"
"In post","2022","Female","Heterosexual / straight","North West (England)","25300","22890","30110","27570"
"In post","2022","Female","Heterosexual / straight","Northern Ireland","1370","1260","30800","26820"
"In post","2022","Female","Heterosexual / straight","Overseas","990","980","49310","49370"
"In post","2022","Female","Heterosexual / straight","Scotland","17320","15810","33380","27570"
"In post","2022","Female","Heterosexual / straight","South East (England)","15530","14050","30960","27570"
"In post","2022","Female","Heterosexual / straight","South West (England)","15690","14270","32780","28900"
"In post","2022","Female","Heterosexual / straight","Unknown","480","450","32970","30330"
"In post","2022","Female","Heterosexual / straight","Wales","15180","13720","31360","27570"
"In post","2022","Female","Heterosexual / straight","West Midlands (England)","13260","12050","30440","27570"
"In post","2022","Female","Heterosexual / straight","Yorkshire and The Humber","14970","13420","31630","27570"
"In post","2022","Female","LGBO","East Midlands (England)","550","530","29820","27520"
"In post","2022","Female","LGBO","East of England","460","450","28910","27570"
"In post","2022","Female","LGBO","London","2470","2410","42890","38160"
"In post","2022","Female","LGBO","North East (England)","680","650","28840","26820"
"In post","2022","Female","LGBO","North West (England)","1380","1320","29800","27540"
"In post","2022","Female","LGBO","Northern Ireland","60","50","28240","26820"
"In post","2022","Female","LGBO","Overseas","60","60","46430","44890"
"In post","2022","Female","LGBO","Scotland","1030","1000","32370","27570"
"In post","2022","Female","LGBO","South East (England)","1000","960","30580","28140"
"In post","2022","Female","LGBO","South West (England)","920","880","30980","27570"
"In post","2022","Female","LGBO","Unknown","40","30","[c]","[c]"
"In post","2022","Female","LGBO","Wales","780","750","30110","27370"
"In post","2022","Female","LGBO","West Midlands (England)","650","620","29880","27130"
"In post","2022","Female","LGBO","Yorkshire and The Humber","940","900","31370","27570"
"In post","2022","Female","Undeclared","East Midlands (England)","1110","1000","30100","27570"
"In post","2022","Female","Undeclared","East of England","1070","970","30660","27570"
"In post","2022","Female","Undeclared","London","5100","4790","42020","36720"
"In post","2022","Female","Undeclared","North East (England)","1200","1020","28600","26130"
"In post","2022","Female","Undeclared","North West (England)","2570","2270","29400","27570"
"In post","2022","Female","Undeclared","Northern Ireland","90","80","29790","26820"
"In post","2022","Female","Undeclared","Overseas","140","130","45290","40580"
"In post","2022","Female","Undeclared","Scotland","1570","1390","31530","27570"
"In post","2022","Female","Undeclared","South East (England)","1990","1800","31670","28570"
"In post","2022","Female","Undeclared","South West (England)","2010","1810","33760","31080"
"In post","2022","Female","Undeclared","Unknown","70","60","32330","27570"
"In post","2022","Female","Undeclared","Wales","2170","1840","29080","25830"
"In post","2022","Female","Undeclared","West Midlands (England)","1460","1300","29990","27570"
"In post","2022","Female","Undeclared","Yorkshire and The Humber","1750","1560","31320","27570"
"In post","2022","Female","Unknown","East Midlands (England)","2360","2080","28120","26820"
"In post","2022","Female","Unknown","East of England","2110","1850","30170","27570"
"In post","2022","Female","Unknown","London","11200","10580","41270","34770"
"In post","2022","Female","Unknown","North East (England)","4220","3570","26540","22080"
"In post","2022","Female","Unknown","North West (England)","7660","6760","27750","25700"
"In post","2022","Female","Unknown","Northern Ireland","470","420","28030","24890"
"In post","2022","Female","Unknown","Overseas","320","320","49870","46600"
"In post","2022","Female","Unknown","Scotland","7760","6990","30890","27230"
"In post","2022","Female","Unknown","South East (England)","3600","3180","30890","27570"
"In post","2022","Female","Unknown","South West (England)","3710","3300","31880","27570"
"In post","2022","Female","Unknown","Unknown","440","430","33080","29250"
"In post","2022","Female","Unknown","Wales","3590","3160","27860","24500"
"In post","2022","Female","Unknown","West Midlands (England)","3790","3360","28970","26820"
"In post","2022","Female","Unknown","Yorkshire and The Humber","3930","3500","30080","27130"
"In post","2022","Male","Heterosexual / straight","East Midlands (England)","6660","6460","32060","27570"
"In post","2022","Male","Heterosexual / straight","East of England","7220","6990","32670","29670"
"In post","2022","Male","Heterosexual / straight","London","30320","29800","45680","40230"
"In post","2022","Male","Heterosexual / straight","North East (England)","8870","8510","31910","27570"
"In post","2022","Male","Heterosexual / straight","North West (England)","17650","17090","32300","27570"
"In post","2022","Male","Heterosexual / straight","Northern Ireland","1540","1500","29830","26590"
"In post","2022","Male","Heterosexual / straight","Overseas","1500","1500","49500","46990"
"In post","2022","Male","Heterosexual / straight","Scotland","13520","13070","35270","31540"
"In post","2022","Male","Heterosexual / straight","South East (England)","13630","13120","33270","30210"
"In post","2022","Male","Heterosexual / straight","South West (England)","16730","16310","36760","33300"
"In post","2022","Male","Heterosexual / straight","Unknown","380","380","35780","31060"
"In post","2022","Male","Heterosexual / straight","Wales","10530","10220","34130","29430"
"In post","2022","Male","Heterosexual / straight","West Midlands (England)","9470","9190","32540","27570"
"In post","2022","Male","Heterosexual / straight","Yorkshire and The Humber","11620","11230","33280","28590"
"In post","2022","Male","LGBO","East Midlands (England)","410","400","30210","27570"
"In post","2022","Male","LGBO","East of England","360","350","31670","29060"
"In post","2022","Male","LGBO","London","3130","3090","47170","42440"
"In post","2022","Male","LGBO","North East (England)","620","600","30800","27570"
"In post","2022","Male","LGBO","North West (England)","1460","1430","31000","27570"
"In post","2022","Male","LGBO","Northern Ireland","70","70","28700","26590"
"In post","2022","Male","LGBO","Overseas","120","120","53120","53470"
"In post","2022","Male","LGBO","Scotland","1100","1070","33610","27570"
"In post","2022","Male","LGBO","South East (England)","760","740","31860","28810"
"In post","2022","Male","LGBO","South West (England)","840","820","33370","29230"
"In post","2022","Male","LGBO","Unknown","40","40","[c]","[c]"
"In post","2022","Male","LGBO","Wales","810","790","32290","27570"
"In post","2022","Male","LGBO","West Midlands (England)","570","550","31290","27570"
"In post","2022","Male","LGBO","Yorkshire and The Humber","770","750","32610","28550"
"In post","2022","Male","Undeclared","East Midlands (England)","890","850","32860","30450"
"In post","2022","Male","Undeclared","East of England","1080","1030","32890","31140"
"In post","2022","Male","Undeclared","London","4640","4530","46200","41520"
"In post","2022","Male","Undeclared","North East (England)","1060","1000","32150","27570"
"In post","2022","Male","Undeclared","North West (England)","2210","2110","32290","27570"
"In post","2022","Male","Undeclared","Northern Ireland","140","130","29820","27370"
"In post","2022","Male","Undeclared","Overseas","220","220","47490","42340"
"In post","2022","Male","Undeclared","Scotland","1420","1370","34990","30840"
"In post","2022","Male","Undeclared","South East (England)","2070","1970","34090","31880"
"In post","2022","Male","Undeclared","South West (England)","2550","2450","37900","36160"
"In post","2022","Male","Undeclared","Unknown","50","50","35230","31370"
"In post","2022","Male","Undeclared","Wales","1870","1790","33300","29430"
"In post","2022","Male","Undeclared","West Midlands (England)","1170","1110","32590","28800"
"In post","2022","Male","Undeclared","Yorkshire and The Humber","1580","1510","33740","30980"
"In post","2022","Male","Unknown","East Midlands (England)","1990","1900","29650","27130"
"In post","2022","Male","Unknown","East of England","1800","1710","31730","29050"
"In post","2022","Male","Unknown","London","9570","9400","44260","37930"
"In post","2022","Male","Unknown","North East (England)","3230","3070","29650","26820"
"In post","2022","Male","Unknown","North West (England)","6070","5830","30320","27350"
"In post","2022","Male","Unknown","Northern Ireland","530","520","27700","24880"
"In post","2022","Male","Unknown","Overseas","340","340","51000","52430"
"In post","2022","Male","Unknown","Scotland","7300","7000","32750","29900"
"In post","2022","Male","Unknown","South East (England)","4050","3840","34720","31020"
"In post","2022","Male","Unknown","South West (England)","4250","4120","36220","32630"
"In post","2022","Male","Unknown","Unknown","1810","1800","37710","33570"
"In post","2022","Male","Unknown","Wales","2960","2840","31570","27470"
"In post","2022","Male","Unknown","West Midlands (England)","2800","2680","31450","27570"
"In post","2022","Male","Unknown","Yorkshire and The Humber","3680","3540","31640","27570"
"In post","2022","Unknown","Heterosexual / straight","London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Heterosexual / straight","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Heterosexual / straight","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Heterosexual / straight","East Midlands (England)","370","320","26790","22080"
"Leaver CS","2021","Female","Heterosexual / straight","East of England","400","350","28000","24180"
"Leaver CS","2021","Female","Heterosexual / straight","London","1290","1180","40040","32650"
"Leaver CS","2021","Female","Heterosexual / straight","North East (England)","340","280","25820","21010"
"Leaver CS","2021","Female","Heterosexual / straight","North West (England)","740","620","27760","22570"
"Leaver CS","2021","Female","Heterosexual / straight","Northern Ireland","30","30","[c]","[c]"
"Leaver CS","2021","Female","Heterosexual / straight","Overseas","40","30","[c]","[c]"
"Leaver CS","2021","Female","Heterosexual / straight","Scotland","400","330","30260","26570"
"Leaver CS","2021","Female","Heterosexual / straight","South East (England)","660","580","28420","25110"
"Leaver CS","2021","Female","Heterosexual / straight","South West (England)","640","560","29420","26000"
"Leaver CS","2021","Female","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Heterosexual / straight","Wales","430","350","28410","22160"
"Leaver CS","2021","Female","Heterosexual / straight","West Midlands (England)","450","380","28220","25470"
"Leaver CS","2021","Female","Heterosexual / straight","Yorkshire and The Humber","500","420","28990","26120"
"Leaver CS","2021","Female","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","LGBO","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","LGBO","London","100","90","42000","33300"
"Leaver CS","2021","Female","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","LGBO","North West (England)","40","30","[c]","[c]"
"Leaver CS","2021","Female","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","LGBO","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","LGBO","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","LGBO","South East (England)","50","50","[c]","[c]"
"Leaver CS","2021","Female","LGBO","South West (England)","50","50","[c]","[c]"
"Leaver CS","2021","Female","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","LGBO","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","LGBO","West Midlands (England)","30","30","[c]","[c]"
"Leaver CS","2021","Female","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","East Midlands (England)","50","50","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","East of England","60","50","27190","24700"
"Leaver CS","2021","Female","Undeclared","London","190","170","41350","35200"
"Leaver CS","2021","Female","Undeclared","North East (England)","40","30","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","North West (England)","80","70","29940","24210"
"Leaver CS","2021","Female","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Scotland","110","90","28830","22820"
"Leaver CS","2021","Female","Undeclared","South East (England)","110","100","29270","26670"
"Leaver CS","2021","Female","Undeclared","South West (England)","100","80","29130","26780"
"Leaver CS","2021","Female","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Wales","80","60","28010","21590"
"Leaver CS","2021","Female","Undeclared","West Midlands (England)","70","50","29860","27570"
"Leaver CS","2021","Female","Undeclared","Yorkshire and The Humber","90","70","28150","26920"
"Leaver CS","2021","Female","Unknown","East Midlands (England)","430","360","25050","21170"
"Leaver CS","2021","Female","Unknown","East of England","470","390","27750","26890"
"Leaver CS","2021","Female","Unknown","London","1150","960","36750","31060"
"Leaver CS","2021","Female","Unknown","North East (England)","620","470","25650","21050"
"Leaver CS","2021","Female","Unknown","North West (England)","690","560","26160","21180"
"Leaver CS","2021","Female","Unknown","Northern Ireland","80","60","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Overseas","30","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Scotland","670","550","31260","26160"
"Leaver CS","2021","Female","Unknown","South East (England)","470","390","27800","24370"
"Leaver CS","2021","Female","Unknown","South West (England)","330","280","30020","27570"
"Leaver CS","2021","Female","Unknown","Unknown","300","300","39690","28000"
"Leaver CS","2021","Female","Unknown","Wales","500","410","25730","21590"
"Leaver CS","2021","Female","Unknown","West Midlands (England)","530","430","29640","22570"
"Leaver CS","2021","Female","Unknown","Yorkshire and The Humber","680","530","27970","25490"
"Leaver CS","2021","Male","Heterosexual / straight","East Midlands (England)","360","340","29210","27380"
"Leaver CS","2021","Male","Heterosexual / straight","East of England","400","370","32750","27570"
"Leaver CS","2021","Male","Heterosexual / straight","London","1140","1080","44340","36530"
"Leaver CS","2021","Male","Heterosexual / straight","North East (England)","260","230","28640","21430"
"Leaver CS","2021","Male","Heterosexual / straight","North West (England)","560","510","29960","25780"
"Leaver CS","2021","Male","Heterosexual / straight","Northern Ireland","40","30","[c]","[c]"
"Leaver CS","2021","Male","Heterosexual / straight","Overseas","30","30","[c]","[c]"
"Leaver CS","2021","Male","Heterosexual / straight","Scotland","410","380","34930","30950"
"Leaver CS","2021","Male","Heterosexual / straight","South East (England)","780","720","30670","27670"
"Leaver CS","2021","Male","Heterosexual / straight","South West (England)","790","740","35500","32670"
"Leaver CS","2021","Male","Heterosexual / straight","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Male","Heterosexual / straight","Wales","420","390","32060","26890"
"Leaver CS","2021","Male","Heterosexual / straight","West Midlands (England)","370","340","32170","26120"
"Leaver CS","2021","Male","Heterosexual / straight","Yorkshire and The Humber","470","430","31780","26670"
"Leaver CS","2021","Male","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","LGBO","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","LGBO","London","110","100","45100","40350"
"Leaver CS","2021","Male","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","LGBO","North West (England)","50","50","[c]","[c]"
"Leaver CS","2021","Male","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","LGBO","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","LGBO","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","LGBO","South East (England)","40","40","[c]","[c]"
"Leaver CS","2021","Male","LGBO","South West (England)","40","40","[c]","[c]"
"Leaver CS","2021","Male","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","LGBO","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","East Midlands (England)","70","60","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","East of England","70","60","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","London","200","170","46940","40470"
"Leaver CS","2021","Male","Undeclared","North East (England)","30","30","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","North West (England)","80","70","28040","26780"
"Leaver CS","2021","Male","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Scotland","110","100","30610","27570"
"Leaver CS","2021","Male","Undeclared","South East (England)","120","110","35250","32430"
"Leaver CS","2021","Male","Undeclared","South West (England)","120","110","34410","33010"
"Leaver CS","2021","Male","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Wales","60","60","30510","24950"
"Leaver CS","2021","Male","Undeclared","West Midlands (England)","60","50","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Yorkshire and The Humber","70","60","[c]","[c]"
"Leaver CS","2021","Male","Unknown","East Midlands (England)","280","260","26510","25640"
"Leaver CS","2021","Male","Unknown","East of England","350","320","32170","27570"
"Leaver CS","2021","Male","Unknown","London","1080","940","39770","31880"
"Leaver CS","2021","Male","Unknown","North East (England)","370","320","25260","21240"
"Leaver CS","2021","Male","Unknown","North West (England)","520","460","27330","24920"
"Leaver CS","2021","Male","Unknown","Northern Ireland","50","50","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Scotland","590","530","33830","29190"
"Leaver CS","2021","Male","Unknown","South East (England)","450","400","31510","26890"
"Leaver CS","2021","Male","Unknown","South West (England)","400","370","33430","27570"
"Leaver CS","2021","Male","Unknown","Unknown","330","320","40710","32400"
"Leaver CS","2021","Male","Unknown","Wales","430","380","28650","23320"
"Leaver CS","2021","Male","Unknown","West Midlands (England)","350","330","30580","25140"
"Leaver CS","2021","Male","Unknown","Yorkshire and The Humber","480","430","33070","27570"
"Leaver CS","2021","Unknown","Heterosexual / straight","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","London","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","London","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Heterosexual / straight","East Midlands (England)","690","610","27820","26670"
"Leaver CS","2022","Female","Heterosexual / straight","East of England","930","830","30230","27570"
"Leaver CS","2022","Female","Heterosexual / straight","London","2980","2720","40060","33400"
"Leaver CS","2022","Female","Heterosexual / straight","North East (England)","680","560","28120","23780"
"Leaver CS","2022","Female","Heterosexual / straight","North West (England)","1390","1180","28580","25220"
"Leaver CS","2022","Female","Heterosexual / straight","Northern Ireland","50","50","27800","24530"
"Leaver CS","2022","Female","Heterosexual / straight","Overseas","30","30","[c]","[c]"
"Leaver CS","2022","Female","Heterosexual / straight","Scotland","740","650","30640","27570"
