"Status","Year","Organisation","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","HM Courts and Tribunals Service","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","30-39","Legal","200","190","37100","35520"
"In post","2022","HM Courts and Tribunals Service","30-39","Operational Delivery","2490","2240","25040","21490"
"In post","2022","HM Courts and Tribunals Service","30-39","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","30-39","Planning","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","30-39","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","40-49","Digital, Data and Technology","80","80","40440","36050"
"In post","2022","HM Courts and Tribunals Service","40-49","Finance","40","40","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","40-49","Legal","320","290","44060","42500"
"In post","2022","HM Courts and Tribunals Service","40-49","Operational Delivery","3100","2750","25530","21490"
"In post","2022","HM Courts and Tribunals Service","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","40-49","Property","30","30","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","50-59","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","50-59","Finance","40","40","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","50-59","Legal","430","380","47860","46300"
"In post","2022","HM Courts and Tribunals Service","50-59","Operational Delivery","4520","4130","25240","21490"
"In post","2022","HM Courts and Tribunals Service","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","50-59","Property","40","40","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","60-64","Legal","80","60","49500","47100"
"In post","2022","HM Courts and Tribunals Service","60-64","Operational Delivery","1510","1290","23080","20970"
"In post","2022","HM Courts and Tribunals Service","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","65+","Operational Delivery","640","500","22170","21190"
"In post","2022","HM Courts and Tribunals Service","65+","Property","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","16-19","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","40-49","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","50-59","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","20-29","Digital, Data and Technology","120","120","30400","30180"
"In post","2022","HM Land Registry","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","20-29","Operational Delivery","910","890","24920","22600"
"In post","2022","HM Land Registry","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","20-29","Project Delivery","40","40","[c]","[c]"
"In post","2022","HM Land Registry","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","30-39","Digital, Data and Technology","140","130","36890","38450"
"In post","2022","HM Land Registry","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","30-39","Legal","60","50","51980","57000"
"In post","2022","HM Land Registry","30-39","Operational Delivery","780","730","25710","22600"
"In post","2022","HM Land Registry","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","30-39","Project Delivery","40","40","[c]","[c]"
"In post","2022","HM Land Registry","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","40-49","Digital, Data and Technology","190","190","41340","38450"
"In post","2022","HM Land Registry","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","40-49","Human Resources","40","30","[c]","[c]"
"In post","2022","HM Land Registry","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","40-49","Legal","60","60","52140","60520"
"In post","2022","HM Land Registry","40-49","Operational Delivery","880","820","29250","27130"
"In post","2022","HM Land Registry","40-49","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","40-49","Project Delivery","50","50","[c]","[c]"
"In post","2022","HM Land Registry","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","50-59","Digital, Data and Technology","210","190","40260","38450"
"In post","2022","HM Land Registry","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","50-59","Legal","100","90","49220","46590"
"In post","2022","HM Land Registry","50-59","Operational Delivery","2040","1820","30510","27130"
"In post","2022","HM Land Registry","50-59","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","50-59","Project Delivery","50","50","42460","38550"
"In post","2022","HM Land Registry","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","60-64","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2022","HM Land Registry","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","60-64","Operational Delivery","470","340","30420","27130"
"In post","2022","HM Land Registry","60-64","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","65+","Operational Delivery","100","60","30340","27130"
"In post","2022","HM Land Registry","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","16-19","Operational Delivery","160","160","23270","23140"
"In post","2022","HM Prison and Probation Service","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","20-29","Intelligence Analysis","60","60","27470","26330"
"In post","2022","HM Prison and Probation Service","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","20-29","Operational Delivery","11380","11230","25880","24800"
"In post","2022","HM Prison and Probation Service","20-29","Policy","30","30","[c]","[c]"
"In post","2022","HM Prison and Probation Service","20-29","Psychology","370","370","27720","27700"
"In post","2022","HM Prison and Probation Service","20-29","Security","120","120","31200","29060"
"In post","2022","HM Prison and Probation Service","20-29","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","30-39","Commercial","110","110","43120","42970"
"In post","2022","HM Prison and Probation Service","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","30-39","Human Resources","40","40","[c]","[c]"
"In post","2022","HM Prison and Probation Service","30-39","Intelligence Analysis","130","120","30230","27380"
"In post","2022","HM Prison and Probation Service","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","30-39","Operational Delivery","13660","13030","28970","27700"
"In post","2022","HM Prison and Probation Service","30-39","Policy","50","50","43570","43600"
"In post","2022","HM Prison and Probation Service","30-39","Psychology","550","530","34690","31180"
"In post","2022","HM Prison and Probation Service","30-39","Security","230","230","38050","36480"
"In post","2022","HM Prison and Probation Service","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","40-49","Commercial","130","130","49450","46550"
"In post","2022","HM Prison and Probation Service","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","40-49","Human Resources","40","40","[c]","[c]"
"In post","2022","HM Prison and Probation Service","40-49","Intelligence Analysis","90","90","31660","28010"
"In post","2022","HM Prison and Probation Service","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","40-49","Operational Delivery","12210","11600","31890","31180"
"In post","2022","HM Prison and Probation Service","40-49","Policy","50","40","[c]","[c]"
"In post","2022","HM Prison and Probation Service","40-49","Psychology","290","270","44650","46550"
"In post","2022","HM Prison and Probation Service","40-49","Security","200","200","40550","38160"
"In post","2022","HM Prison and Probation Service","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","50-59","Commercial","160","160","53180","49770"
"In post","2022","HM Prison and Probation Service","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","50-59","Human Resources","50","50","52630","51150"
"In post","2022","HM Prison and Probation Service","50-59","Intelligence Analysis","120","120","31290","28640"
"In post","2022","HM Prison and Probation Service","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","50-59","Operational Delivery","14820","14030","32030","31650"
"In post","2022","HM Prison and Probation Service","50-59","Policy","50","50","42730","33620"
"In post","2022","HM Prison and Probation Service","50-59","Psychology","140","130","40050","31180"
"In post","2022","HM Prison and Probation Service","50-59","Security","210","210","42480","38160"
"In post","2022","HM Prison and Probation Service","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","60-64","Operational Delivery","4570","3680","29990","28200"
"In post","2022","HM Prison and Probation Service","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","60-64","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","65+","Operational Delivery","1400","1020","29370","27420"
"In post","2022","HM Prison and Probation Service","65+","Policy","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","65+","Security","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","Operational Delivery","110","110","21560","21250"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","Tax","60","60","21680","21250"
"In post","2022","HM Revenue and Customs (excl. agencies)","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Digital, Data and Technology","390","380","34650","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Economics","90","90","40360","37930"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Finance","120","110","30000","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Human Resources","70","70","34940","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Intelligence Analysis","60","60","33960","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Legal","500","490","30680","30750"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Operational Delivery","3920","3820","25150","21250"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Operational Research","50","40","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Policy","80","80","42710","37930"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Project Delivery","210","210","36890","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Social Research","40","40","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Statistics","110","110","38140","37610"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Tax","4190","4110","28790","26590"
"In post","2022","HM Revenue and Customs (excl. agencies)","20-29","Unknown","1600","1580","31390","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Communications","40","40","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Digital, Data and Technology","470","470","40160","40180"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Economics","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Finance","160","150","42480","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Human Resources","130","130","41130","40180"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Intelligence Analysis","80","80","38570","37770"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","International Trade","40","40","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Legal","920","900","35010","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Operational Delivery","5640","5280","27740","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Operational Research","40","40","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Other","80","80","46120","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Policy","190","190","57300","62120"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Project Delivery","540","520","43010","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Property","40","30","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Social Research","40","40","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Statistics","80","80","49860","47940"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Tax","5320","5150","34620","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","30-39","Unknown","1700","1650","35940","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Communications","60","60","50540","44090"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Digital, Data and Technology","500","490","45420","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Finance","310","290","43880","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Human Resources","180","180","45100","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Intelligence Analysis","60","60","42200","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Legal","950","920","36960","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Operational Delivery","6190","5620","27970","26590"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Operational Research","30","30","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Other","120","110","47380","42410"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Policy","270","260","57430","55210"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Project Delivery","790","770","47000","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Property","70","60","41410","40180"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Security","60","60","47180","40910"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Statistics","60","50","53860","55210"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Tax","3810","3660","36640","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","40-49","Unknown","1090","1050","38960","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Commercial","30","30","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Communications","80","70","47770","43430"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Digital, Data and Technology","580","570","45160","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Economics","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Finance","390","370","44580","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Human Resources","250","240","45220","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Intelligence Analysis","40","40","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Internal Audit","30","30","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","International Trade","40","30","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Legal","1150","1110","37460","33440"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Operational Delivery","8950","7930","28070","25410"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Other","180","170","44160","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Policy","450","440","55550","55210"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Project Delivery","980","950","48830","43710"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Property","100","90","45440","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Security","80","80","44770","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Statistics","40","40","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Tax","4550","4350","39160","35390"
"In post","2022","HM Revenue and Customs (excl. agencies)","50-59","Unknown","750","730","40050","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Digital, Data and Technology","140","110","40710","37930"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Finance","80","70","36950","35170"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Human Resources","60","40","37210","35980"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Legal","220","170","36430","33440"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Operational Delivery","3040","2280","25690","22080"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Other","60","50","43380","37930"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Policy","100","80","52340","47240"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Project Delivery","160","130","46000","41380"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Property","30","30","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Tax","1270","1000","38710","35010"
"In post","2022","HM Revenue and Customs (excl. agencies)","60-64","Unknown","120","110","32470","26590"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Digital, Data and Technology","30","20","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Internal Audit","[c]","[c]","[c]","[c]"
