"Status","Year","Sex","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","East Midlands (England)","HM Revenue and Customs (excl. agencies)","1950","1760","31410","28130"
"In post","2021","Female","East Midlands (England)","Home Office (incl. agencies)","110","100","27560","25310"
"In post","2021","Female","East Midlands (England)","Insolvency Service","40","40","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Legal Aid Agency","110","100","22600","19970"
"In post","2021","Female","East Midlands (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Ministry of Defence (excl. agencies)","810","760","26190","21130"
"In post","2021","Female","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Ministry of Justice (excl. agencies)","100","90","35400","34090"
"In post","2021","Female","East Midlands (England)","National Crime Agency","60","50","34990","36410"
"In post","2021","Female","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","120","110","42850","39850"
"In post","2021","Female","East Midlands (England)","Office of the Public Guardian","250","220","21310","20150"
"In post","2021","Female","East Midlands (England)","Public Health England","150","140","40960","36330"
"In post","2021","Female","East Midlands (England)","Rural Payments Agency","40","40","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Valuation Office Agency","80","60","31510","27530"
"In post","2021","Female","East Midlands (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Animal and Plant Health Agency","70","70","31020","28710"
"In post","2021","Female","East of England","Cabinet Office (excl. agencies)","60","50","46960","38460"
"In post","2021","Female","East of England","Centre for Environment, Fisheries and Aquaculture Science","220","200","31780","29270"
"In post","2021","Female","East of England","Crown Commercial Service","80","70","34840","34800"
"In post","2021","Female","East of England","Crown Prosecution Service","330","280","37950","30110"
"In post","2021","Female","East of England","Defence Equipment and Support","60","60","32180","29620"
"In post","2021","Female","East of England","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Department for Education (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","90","90","37800","36970"
"In post","2021","Female","East of England","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Department for Work and Pensions (excl. agencies)","3080","2660","27950","27570"
"In post","2021","Female","East of England","Driver and Vehicle Standards Agency","80","70","27800","26780"
"In post","2021","Female","East of England","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Health and Safety Executive","70","60","39760","41000"
"In post","2021","Female","East of England","HM Courts and Tribunals Service","830","710","23020","20100"
"In post","2021","Female","East of England","HM Land Registry","180","160","30320","27130"
"In post","2021","Female","East of England","HM Prison and Probation Service","2530","2350","28490","27150"
"In post","2021","Female","East of England","HM Revenue and Customs (excl. agencies)","930","810","30440","28130"
"In post","2021","Female","East of England","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","East of England","Home Office (incl. agencies)","900","800","25620","25040"
"In post","2021","Female","East of England","Insolvency Service","80","80","29740","25840"
"In post","2021","Female","East of England","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Medicines and Healthcare Products Regulatory Agency","180","170","43800","41010"
"In post","2021","Female","East of England","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Ministry of Defence (excl. agencies)","1630","1550","29760","26670"
"In post","2021","Female","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","East of England","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","East of England","National Crime Agency","70","60","34870","34140"
"In post","2021","Female","East of England","Office for Standards in Education, Children's Services and Skills","70","70","58660","51360"
"In post","2021","Female","East of England","Public Health England","290","250","41260","34530"
"In post","2021","Female","East of England","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Valuation Office Agency","80","70","31220","26500"
"In post","2021","Female","London","Advisory, Conciliation and Arbitration Service","110","110","40100","38670"
"In post","2021","Female","London","Animal and Plant Health Agency","50","50","36390","31800"
"In post","2021","Female","London","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","Cabinet Office (excl. agencies)","3450","3380","47090","40600"
"In post","2021","Female","London","Charity Commission","50","50","[c]","[c]"
"In post","2021","Female","London","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","Competition and Markets Authority","400","380","58800","56000"
"In post","2021","Female","London","Crown Commercial Service","30","30","[c]","[c]"
"In post","2021","Female","London","Crown Prosecution Service","1100","1020","43330","39750"
"In post","2021","Female","London","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","Debt Management Office","40","40","[c]","[c]"
"In post","2021","Female","London","Defence Equipment and Support","40","40","[c]","[c]"
"In post","2021","Female","London","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","2360","2280","48280","46620"
"In post","2021","Female","London","Department for Digital, Culture, Media and Sport","920","890","48550","51730"
"In post","2021","Female","London","Department for Education (excl. agencies)","1350","1280","49410","53420"
"In post","2021","Female","London","Department for Environment, Food and Rural Affairs (excl. agencies)","1350","1290","44950","39420"
"In post","2021","Female","London","Department for International Trade","1130","1120","44160","38540"
"In post","2021","Female","London","Department for Transport (excl. agencies)","1330","1290","47370","43360"
"In post","2021","Female","London","Department for Work and Pensions (excl. agencies)","6430","5870","32900","31060"
"In post","2021","Female","London","Department of Health and Social Care (excl. agencies)","1460","1420","47020","40650"
"In post","2021","Female","London","Driver and Vehicle Standards Agency","80","80","31650","30780"
"In post","2021","Female","London","Education and Skills Funding Agency","170","160","49040","46030"
"In post","2021","Female","London","FCDO Services","40","40","[c]","[c]"
"In post","2021","Female","London","Food Standards Agency","230","220","43240","40960"
"In post","2021","Female","London","Foreign, Commonwealth and Development Office (excl. agencies)","2200","2120","47820","41810"
"In post","2021","Female","London","Government Actuary's Department","80","70","60350","60780"
"In post","2021","Female","London","Government Internal Audit Agency","80","80","49710","48080"
"In post","2021","Female","London","Government Legal Department","1580","1430","54330","52010"
"In post","2021","Female","London","Government Property Agency","30","30","[c]","[c]"
"In post","2021","Female","London","Health and Safety Executive","80","80","44580","43710"
"In post","2021","Female","London","HM Courts and Tribunals Service","2890","2670","28540","23500"
"In post","2021","Female","London","HM Land Registry","200","190","39500","37290"
"In post","2021","Female","London","HM Prison and Probation Service","3460","3320","34920","32090"
"In post","2021","Female","London","HM Revenue and Customs (excl. agencies)","3950","3680","41970","36160"
"In post","2021","Female","London","HM Treasury (excl. agencies)","940","910","46730","42890"
"In post","2021","Female","London","Home Office (incl. agencies)","7160","6620","38680","35070"
"In post","2021","Female","London","Insolvency Service","170","150","38070","35350"
"In post","2021","Female","London","Institute for Apprenticeships and Technical Education","60","60","51850","53680"
"In post","2021","Female","London","Legal Aid Agency","100","90","41640","37410"
"In post","2021","Female","London","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","Medicines and Healthcare Products Regulatory Agency","610","580","47600","41010"
"In post","2021","Female","London","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","Ministry of Defence (excl. agencies)","1510","1460","41360","37640"
"In post","2021","Female","London","Ministry of Housing, Communities and Local Government (excl. agencies)","900","870","48270","53130"
"In post","2021","Female","London","Ministry of Justice (excl. agencies)","1990","1920","42870","37210"
"In post","2021","Female","London","National Crime Agency","750","720","41790","39840"
"In post","2021","Female","London","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","National Savings and Investments","80","80","47740","44370"
"In post","2021","Female","London","Northern Ireland Office","40","40","[c]","[c]"
"In post","2021","Female","London","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","Office for Standards in Education, Children's Services and Skills","300","290","55970","51360"
"In post","2021","Female","London","Office of Gas and Electricity Markets","300","290","49510","46160"
"In post","2021","Female","London","Office of Rail and Road","90","90","50940","49580"
"In post","2021","Female","London","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","Public Health England","2030","1850","45600","40070"
"In post","2021","Female","London","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","Serious Fraud Office","220","210","45630","40170"
"In post","2021","Female","London","Standards and Testing Agency","30","30","[c]","[c]"
"In post","2021","Female","London","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","The National Archives","290","270","35110","32290"
"In post","2021","Female","London","UK Export Finance","150","150","49040","43000"
"In post","2021","Female","London","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","UK Space Agency","70","70","45250","40050"
"In post","2021","Female","London","UK Supreme Court","30","30","[c]","[c]"
"In post","2021","Female","London","United Kingdom Statistics Authority","200","200","40650","32540"
"In post","2021","Female","London","Valuation Office Agency","320","300","38260","33750"
"In post","2021","Female","London","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","London","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2021","Female","London","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Advisory, Conciliation and Arbitration Service","90","80","29580","26380"
"In post","2021","Female","North East (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Cabinet Office (excl. agencies)","250","230","28400","24570"
"In post","2021","Female","North East (England)","Crown Prosecution Service","230","200","36330","28430"
"In post","2021","Female","North East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Department for Education (excl. agencies)","360","330","36940","36500"
"In post","2021","Female","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","100","90","37400","35900"
"In post","2021","Female","North East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Department for Work and Pensions (excl. agencies)","6040","5110","26370","27570"
"In post","2021","Female","North East (England)","Driver and Vehicle Standards Agency","160","140","25640","21590"
"In post","2021","Female","North East (England)","Education and Skills Funding Agency","130","120","36910","36500"
"In post","2021","Female","North East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Female","North East (England)","HM Courts and Tribunals Service","520","440","23490","20100"
"In post","2021","Female","North East (England)","HM Land Registry","460","410","27810","27130"
"In post","2021","Female","North East (England)","HM Prison and Probation Service","1620","1490","28520","26310"
"In post","2021","Female","North East (England)","HM Revenue and Customs (excl. agencies)","6300","5290","26480","21440"
"In post","2021","Female","North East (England)","Home Office (incl. agencies)","750","620","24730","21430"
"In post","2021","Female","North East (England)","Insolvency Service","30","30","[c]","[c]"
"In post","2021","Female","North East (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Legal Aid Agency","160","140","23400","21170"
"In post","2021","Female","North East (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Ministry of Defence (excl. agencies)","100","90","23600","21580"
"In post","2021","Female","North East (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Female","North East (England)","Ministry of Justice (excl. agencies)","50","50","37920","32480"
"In post","2021","Female","North East (England)","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Female","North East (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Public Health England","110","100","43190","38890"
"In post","2021","Female","North East (England)","Rural Payments Agency","180","160","27880","24920"
"In post","2021","Female","North East (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Valuation Office Agency","260","240","27240","24500"
"In post","2021","Female","North West (England)","Advisory, Conciliation and Arbitration Service","80","70","29720","30950"
"In post","2021","Female","North West (England)","Animal and Plant Health Agency","180","170","27860","24920"
"In post","2021","Female","North West (England)","Cabinet Office (excl. agencies)","250","240","45240","38890"
"In post","2021","Female","North West (England)","Charity Commission","180","160","32560","29160"
"In post","2021","Female","North West (England)","Crown Commercial Service","230","220","36320","34800"
"In post","2021","Female","North West (England)","Crown Prosecution Service","640","580","37660","30610"
"In post","2021","Female","North West (England)","Defence Equipment and Support","30","30","[c]","[c]"
"In post","2021","Female","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","North West (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","North West (England)","Department for Education (excl. agencies)","510","490","40600","36780"
"In post","2021","Female","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","160","150","39470","36970"
"In post","2021","Female","North West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","North West (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","North West (England)","Department for Work and Pensions (excl. agencies)","11320","9780","26330","27570"
"In post","2021","Female","North West (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","North West (England)","Driver and Vehicle Standards Agency","110","100","27220","26700"
"In post","2021","Female","North West (England)","Education and Skills Funding Agency","110","110","38970","36960"
"In post","2021","Female","North West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","North West (England)","Government Internal Audit Agency","30","30","[c]","[c]"
"In post","2021","Female","North West (England)","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","North West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","North West (England)","Health and Safety Executive","500","450","37290","31800"
"In post","2021","Female","North West (England)","HM Courts and Tribunals Service","1580","1390","23620","20650"
"In post","2021","Female","North West (England)","HM Land Registry","560","490","29310","27130"
"In post","2021","Female","North West (England)","HM Prison and Probation Service","3520","3260","28640","26300"
"In post","2021","Female","North West (England)","HM Revenue and Customs (excl. agencies)","6570","5830","29470","25560"
"In post","2021","Female","North West (England)","Home Office (incl. agencies)","3990","3570","26370","24890"
"In post","2021","Female","North West (England)","Insolvency Service","170","160","32520","30470"
"In post","2021","Female","North West (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","North West (England)","Legal Aid Agency","150","140","25020","22570"
"In post","2021","Female","North West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","North West (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","North West (England)","Ministry of Defence (excl. agencies)","840","760","27040","22080"
"In post","2021","Female","North West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","80","80","34860","31950"
"In post","2021","Female","North West (England)","Ministry of Justice (excl. agencies)","150","150","36580","33790"
"In post","2021","Female","North West (England)","National Crime Agency","620","600","34710","32770"
"In post","2021","Female","North West (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","North West (England)","Office for Standards in Education, Children's Services and Skills","320","300","39450","32010"
"In post","2021","Female","North West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","North West (England)","Public Health England","370","330","36730","31370"
"In post","2021","Female","North West (England)","Rural Payments Agency","560","480","24690","21050"
"In post","2021","Female","North West (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","North West (England)","Submarine Delivery Agency","40","30","[c]","[c]"
"In post","2021","Female","North West (England)","Valuation Office Agency","170","160","34570","30000"
"In post","2021","Female","Northern Ireland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","Food Standards Agency","60","50","38740","37910"
"In post","2021","Female","Northern Ireland","HM Revenue and Customs (excl. agencies)","1020","910","28110","25560"
"In post","2021","Female","Northern Ireland","Home Office (incl. agencies)","270","230","25320","24890"
"In post","2021","Female","Northern Ireland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","Ministry of Defence (excl. agencies)","280","260","26110","22330"
"In post","2021","Female","Northern Ireland","National Crime Agency","60","50","39180","39480"
"In post","2021","Female","Northern Ireland","Northern Ireland Office","50","50","36720","34990"
"In post","2021","Female","Overseas","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Female","Overseas","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","930","930","52510","53610"
"In post","2021","Female","Overseas","Home Office (incl. agencies)","130","130","[c]","[c]"
"In post","2021","Female","Overseas","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","Ministry of Defence (excl. agencies)","320","320","41500","40580"
"In post","2021","Female","Overseas","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Accountant in Bankruptcy","80","70","30250","29190"
"In post","2021","Female","Scotland","Advisory, Conciliation and Arbitration Service","50","50","28900","28660"
"In post","2021","Female","Scotland","Animal and Plant Health Agency","80","80","30110","26270"
"In post","2021","Female","Scotland","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Scotland","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Female","Scotland","Criminal Injuries Compensation Authority","160","140","26500","22570"
"In post","2021","Female","Scotland","Crown Office and Procurator Fiscal Service","1460","1330","34880","29040"
"In post","2021","Female","Scotland","Defence Equipment and Support","80","70","25910","22800"
"In post","2021","Female","Scotland","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","50","46060","36740"
"In post","2021","Female","Scotland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Department for Work and Pensions (excl. agencies)","5980","5090","25170","27570"
"In post","2021","Female","Scotland","Disclosure Scotland","160","140","28010","24110"
"In post","2021","Female","Scotland","Driver and Vehicle Standards Agency","60","60","27250","26780"
"In post","2021","Female","Scotland","Education Scotland","230","220","54330","56120"
"In post","2021","Female","Scotland","Food Standards Scotland","110","110","35010","32140"
"In post","2021","Female","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","550","520","39850","33930"
"In post","2021","Female","Scotland","Forestry and Land Scotland","330","310","31430","29140"
"In post","2021","Female","Scotland","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Health and Safety Executive","90","80","43650","41480"
"In post","2021","Female","Scotland","HM Courts and Tribunals Service","150","130","22370","20650"
"In post","2021","Female","Scotland","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","HM Revenue and Customs (excl. agencies)","4310","3700","26280","21440"
"In post","2021","Female","Scotland","Home Office (incl. agencies)","550","490","26920","25040"
"In post","2021","Female","Scotland","Insolvency Service","40","40","[c]","[c]"
"In post","2021","Female","Scotland","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Maritime and Coastguard Agency","60","50","31710","27160"
"In post","2021","Female","Scotland","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Ministry of Defence (excl. agencies)","1330","1250","27160","22080"
"In post","2021","Female","Scotland","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","National Records of Scotland","240","220","34740","32140"
"In post","2021","Female","Scotland","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Office of Gas and Electricity Markets","240","240","34900","31720"
"In post","2021","Female","Scotland","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Office of the Scottish Charity Regulator","30","30","[c]","[c]"
"In post","2021","Female","Scotland","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Registers of Scotland","580","540","32830","30080"
"In post","2021","Female","Scotland","Revenue Scotland","30","30","[c]","[c]"
"In post","2021","Female","Scotland","Scotland Office (incl. Office of the Advocate General for Scotland)","50","50","47490","48930"
"In post","2021","Female","Scotland","Scottish Courts and Tribunals Service","1210","1070","27580","22820"
"In post","2021","Female","Scotland","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Scottish Forestry","100","90","30690","29650"
"In post","2021","Female","Scotland","Scottish Government (excl. agencies)","4290","4020","42510","38540"
"In post","2021","Female","Scotland","Scottish Housing Regulator","30","30","[c]","[c]"
"In post","2021","Female","Scotland","Scottish Prison Service","1520","1440","30120","28410"
"In post","2021","Female","Scotland","Scottish Public Pensions Agency","160","130","28590","26160"
"In post","2021","Female","Scotland","Social Security Scotland","660","620","30650","26160"
"In post","2021","Female","Scotland","Student Awards Agency for Scotland","130","120","28540","24910"
"In post","2021","Female","Scotland","Submarine Delivery Agency","30","30","[c]","[c]"
"In post","2021","Female","Scotland","Transport Scotland","210","200","40780","38060"
"In post","2021","Female","Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","South East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","South East (England)","Animal and Plant Health Agency","400","380","31540","28470"
"In post","2021","Female","South East (England)","Cabinet Office (excl. agencies)","110","100","39030","33300"
"In post","2021","Female","South East (England)","Crown Prosecution Service","470","430","40860","33930"
"In post","2021","Female","South East (England)","Defence Equipment and Support","130","120","29360","27150"
"In post","2021","Female","South East (England)","Defence Science and Technology Laboratory","510","470","37560","37320"
"In post","2021","Female","South East (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
