"Status","Year","Sexual_orientation","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Analysis","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Sheffield","100","90","44360","42420"
"In post","2021","Heterosexual / straight","Analysis","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","South Hampshire","310","290","38120","37020"
"In post","2021","Heterosexual / straight","Analysis","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Suffolk","120","120","32950","29510"
"In post","2021","Heterosexual / straight","Analysis","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Tower Hamlets","440","430","51230","47060"
"In post","2021","Heterosexual / straight","Analysis","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Westminster","1660","1620","46960","42980"
"In post","2021","Heterosexual / straight","Analysis","Wiltshire","80","80","36680","37320"
"In post","2021","Heterosexual / straight","Analysis","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","York","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","460","450","42360","40290"
"In post","2021","Heterosexual / straight","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Birmingham","50","50","45220","38370"
"In post","2021","Heterosexual / straight","Commercial","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Bristol, City of","60","50","41920","39830"
"In post","2021","Heterosexual / straight","Commercial","Buckinghamshire CC","50","50","36110","36800"
"In post","2021","Heterosexual / straight","Commercial","Cambridgeshire CC","90","90","35900","34710"
"In post","2021","Heterosexual / straight","Commercial","Camden and City of London","[c]","[c]","[c]","[c]"
