"Status","Year","Region_ITL3","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Flintshire and Wrexham","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Legal","Attorney General's Departments","70","70","40530","43130"
"In post","2022","Flintshire and Wrexham","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","No function","Department for Transport","40","40","[c]","[c]"
"In post","2022","Flintshire and Wrexham","No function","Department for Work and Pensions","630","570","25000","21260"
"In post","2022","Flintshire and Wrexham","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","No function","Ministry of Defence","310","300","28910","29470"
"In post","2022","Flintshire and Wrexham","No function","Ministry of Justice","870","850","27320","25210"
"In post","2022","Flintshire and Wrexham","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Property","HM Revenue and Customs","60","60","40290","41730"
"In post","2022","Flintshire and Wrexham","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Security","Ministry of Defence","40","40","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Flintshire and Wrexham","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Analysis","Office of Gas and Electricity Markets","60","60","39680","35000"
"In post","2022","Glasgow City","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Commercial","Cabinet Office","40","40","[c]","[c]"
"In post","2022","Glasgow City","Commercial","Ministry of Defence","130","130","34440","33000"
"In post","2022","Glasgow City","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Counter Fraud","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Counter Fraud","Department for Work and Pensions","390","360","24880","26120"
"In post","2022","Glasgow City","Counter Fraud","HM Revenue and Customs","260","230","33260","33080"
"In post","2022","Glasgow City","Debt","Department for Work and Pensions","50","40","22280","21260"
"In post","2022","Glasgow City","Debt","HM Revenue and Customs","80","70","24290","21460"
"In post","2022","Glasgow City","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Digital, Data & Technology","HM Revenue and Customs","50","50","[c]","[c]"
"In post","2022","Glasgow City","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Digital, Data & Technology","Ministry of Justice","40","40","[c]","[c]"
"In post","2022","Glasgow City","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Digital, Data & Technology","Scottish Government","40","40","[c]","[c]"
"In post","2022","Glasgow City","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Human Resources","Cabinet Office","30","30","[c]","[c]"
"In post","2022","Glasgow City","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Human Resources","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2022","Glasgow City","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Human Resources","Ministry of Defence","410","380","24150","21830"
"In post","2022","Glasgow City","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Legal","HM Revenue and Customs","50","50","[c]","[c]"
"In post","2022","Glasgow City","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Legal","Scottish Government","180","170","57100","56920"
"In post","2022","Glasgow City","No function","Cabinet Office","70","70","40390","32280"
"In post","2022","Glasgow City","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","No function","Department for Business, Energy and Industrial Strategy","80","70","30620","30950"
"In post","2022","Glasgow City","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","No function","Department for Work and Pensions","2110","1880","25560","26120"
"In post","2022","Glasgow City","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","No function","HM Revenue and Customs","1180","1110","31920","33080"
"In post","2022","Glasgow City","No function","Ministry of Justice","520","480","26100","21490"
"In post","2022","Glasgow City","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","No function","Office of Gas and Electricity Markets","410","400","33340","30950"
"In post","2022","Glasgow City","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","No function","Scottish Government","1420","1320","30330","30450"
"In post","2022","Glasgow City","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Project Delivery","HM Revenue and Customs","130","120","40320","40180"
"In post","2022","Glasgow City","Project Delivery","Ministry of Defence","80","70","38770","37910"
"In post","2022","Glasgow City","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Property","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Security","Cabinet Office","70","70","35380","32000"
"In post","2022","Glasgow City","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Security","Ministry of Defence","30","30","[c]","[c]"
"In post","2022","Glasgow City","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Unknown","Home Office","720","680","27400","24890"
"In post","2022","Glasgow City","Unknown","Ministry of Defence","200","190","26090","21830"
"In post","2022","Glasgow City","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Glasgow City","Unknown","Scottish Government","4070","3950","39900","35540"
"In post","2022","Gloucestershire CC","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Counter Fraud","Department for Work and Pensions","50","40","[c]","[c]"
"In post","2022","Gloucestershire CC","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Legal","HM Land Registry","40","30","[c]","[c]"
"In post","2022","Gloucestershire CC","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","No function","Department for Environment, Food and Rural Affairs","70","70","32450","29180"
"In post","2022","Gloucestershire CC","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","No function","Department for Work and Pensions","280","240","26800","27570"
"In post","2022","Gloucestershire CC","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","No function","HM Land Registry","320","270","28800","27130"
"In post","2022","Gloucestershire CC","No function","Ministry of Justice","260","230","28520","25090"
"In post","2022","Gloucestershire CC","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Property","Ministry of Defence","30","30","[c]","[c]"
"In post","2022","Gloucestershire CC","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Security","Ministry of Defence","80","80","33020","39070"
"In post","2022","Gloucestershire CC","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Gloucestershire CC","Unknown","Ministry of Defence","200","190","28240","26350"
"In post","2022","Gloucestershire CC","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Analysis","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Counter Fraud","Department for Work and Pensions","50","40","[c]","[c]"
"In post","2022","Greater Manchester North East","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","No function","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","No function","Department for Transport","70","70","27740","26780"
"In post","2022","Greater Manchester North East","No function","Department for Work and Pensions","580","530","26700","27570"
"In post","2022","Greater Manchester North East","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","No function","Ministry of Justice","460","430","28900","27120"
"In post","2022","Greater Manchester North East","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North East","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Counter Fraud","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2022","Greater Manchester North West","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","No function","Department for Transport","40","40","[c]","[c]"
"In post","2022","Greater Manchester North West","No function","Department for Work and Pensions","1330","1170","24180","21260"
"In post","2022","Greater Manchester North West","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","No function","Ministry of Justice","630","590","28040","25210"
"In post","2022","Greater Manchester North West","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester North West","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Counter Fraud","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","No function","Department for Work and Pensions","730","660","24100","21260"
"In post","2022","Greater Manchester South East","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","No function","Ministry of Justice","200","190","28330","24800"
"In post","2022","Greater Manchester South East","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Property","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South East","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South West","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South West","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South West","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South West","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South West","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South West","Commercial","Cabinet Office","70","70","59610","61710"
"In post","2022","Greater Manchester South West","Commercial","HM Revenue and Customs","100","90","36700","33370"
"In post","2022","Greater Manchester South West","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South West","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester South West","Communications","HM Revenue and Customs","350","340","29340","26820"
"In post","2022","Greater Manchester South West","Counter Fraud","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2022","Greater Manchester South West","Counter Fraud","HM Revenue and Customs","810","770","35810","33370"
"In post","2022","Greater Manchester South West","Debt","Department for Work and Pensions","250","220","22430","21260"
"In post","2022","Greater Manchester South West","Debt","HM Revenue and Customs","[c]","[c]","[c]","[c]"
