"Status","Year","Profession_of_post","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Croydon","90","80","42340","42070"
"In post","2021","Commercial","Female","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Devon CC","100","90","40920","38340"
"In post","2021","Commercial","Female","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Glasgow City","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Greater Manchester South West","40","30","[c]","[c]"
"In post","2021","Commercial","Female","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Leeds","110","100","40010","36820"
"In post","2021","Commercial","Female","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Liverpool","110","110","33490","34800"
"In post","2021","Commercial","Female","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Manchester","80","80","40770","37100"
"In post","2021","Commercial","Female","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Milton Keynes","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Monmouthshire and Newport","50","40","[c]","[c]"
"In post","2021","Commercial","Female","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Norwich and East Norfolk","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Portsmouth","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Sheffield","50","50","37770","36860"
"In post","2021","Commercial","Female","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Somerset","40","30","[c]","[c]"
"In post","2021","Commercial","Female","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","South Lanarkshire","40","40","[c]","[c]"
"In post","2021","Commercial","Female","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Staffordshire CC","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Swansea","90","70","31830","31040"
"In post","2021","Commercial","Female","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Walsall","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Westminster","310","300","48260","42170"
"In post","2021","Commercial","Female","Wiltshire","110","100","33020","34490"
"In post","2021","Commercial","Female","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","York","30","30","[c]","[c]"
"In post","2021","Commercial","Male","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Bath and North East Somerset, North Somerset and South Gloucestershire","580","570","41650","38600"
"In post","2021","Commercial","Male","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Central Hampshire","60","60","35440","34650"
"In post","2021","Commercial","Male","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","City of Edinburgh","30","30","[c]","[c]"
"In post","2021","Commercial","Male","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Croydon","60","60","46220","45460"
"In post","2021","Commercial","Male","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Devon CC","100","100","45130","47680"
"In post","2021","Commercial","Male","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Glasgow City","50","50","[c]","[c]"
"In post","2021","Commercial","Male","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Greater Manchester South West","40","30","[c]","[c]"
"In post","2021","Commercial","Male","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Hounslow and Richmond upon Thames","30","30","[c]","[c]"
"In post","2021","Commercial","Male","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Leeds","70","70","41720","37480"
"In post","2021","Commercial","Male","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Liverpool","90","80","35850","34800"
"In post","2021","Commercial","Male","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Manchester","60","60","37860","36500"
"In post","2021","Commercial","Male","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Milton Keynes","40","30","[c]","[c]"
"In post","2021","Commercial","Male","Monmouthshire and Newport","50","50","37150","34800"
"In post","2021","Commercial","Male","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Norwich and East Norfolk","50","50","[c]","[c]"
"In post","2021","Commercial","Male","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Sheffield","40","40","[c]","[c]"
"In post","2021","Commercial","Male","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Swansea","80","80","35330","31380"
"In post","2021","Commercial","Male","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Walsall","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Westminster","260","260","52390","47700"
"In post","2021","Commercial","Male","Wiltshire","80","70","34480","34800"
"In post","2021","Commercial","Male","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","York","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","30","30","[c]","[c]"
"In post","2021","Communications","Female","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Bristol, City of","50","50","36580","35900"
"In post","2021","Communications","Female","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Cardiff and Vale of Glamorgan","110","100","39730","37410"
"In post","2021","Communications","Female","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Central Hampshire","30","30","[c]","[c]"
"In post","2021","Communications","Female","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Coventry","40","30","[c]","[c]"
"In post","2021","Communications","Female","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Lambeth","40","30","[c]","[c]"
"In post","2021","Communications","Female","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Manchester","50","50","33390","30440"
"In post","2021","Communications","Female","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Monmouthshire and Newport","40","40","[c]","[c]"
"In post","2021","Communications","Female","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","North Nottinghamshire","[c]","[c]","[c]","[c]"
