"Status","Year","Function_of_post","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Legal","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","AA/AO","770","730","21950","21950"
"In post","2021","Legal","Male","EO","730","710","27990","28430"
"In post","2021","Legal","Male","G6/G7","2310","2230","60340","59160"
"In post","2021","Legal","Male","SCS","220","210","90250","83830"
"In post","2021","Legal","Male","SEO/HEO","1120","1090","38440","37940"
"In post","2021","Legal","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Female","AA/AO","37970","32830","22040","21400"
"In post","2021","No function","Female","EO","17080","15680","27360","26860"
"In post","2021","No function","Female","G6/G7","10040","9570","57840","54700"
"In post","2021","No function","Female","SCS","1450","1350","88830","79790"
"In post","2021","No function","Female","SEO/HEO","23530","22310","35970","34690"
"In post","2021","No function","Female","Unknown","9290","8480","29630","28200"
"In post","2021","No function","Male","AA/AO","32540","30960","24330","22430"
"In post","2021","No function","Male","EO","16040","15400","29110","28080"
"In post","2021","No function","Male","G6/G7","11040","10820","58740","56350"
"In post","2021","No function","Male","SCS","1510","1470","92070","83110"
"In post","2021","No function","Male","SEO/HEO","21720","21100","37390","36360"
"In post","2021","No function","Male","Unknown","2720","2610","30740","30210"
"In post","2021","No function","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","AA/AO","400","360","21800","21440"
"In post","2021","Project Delivery","Female","EO","2300","2130","25230","26120"
"In post","2021","Project Delivery","Female","G6/G7","3240","3120","56750","55060"
"In post","2021","Project Delivery","Female","SCS","310","290","87850","79720"
"In post","2021","Project Delivery","Female","SEO/HEO","6080","5760","35640","35100"
"In post","2021","Project Delivery","Female","Unknown","300","290","39210","37210"
"In post","2021","Project Delivery","Male","AA/AO","220","210","21380","21440"
"In post","2021","Project Delivery","Male","EO","2310","2260","24490","25560"
"In post","2021","Project Delivery","Male","G6/G7","4140","4070","57870","55990"
"In post","2021","Project Delivery","Male","SCS","390","380","94440","85610"
"In post","2021","Project Delivery","Male","SEO/HEO","7670","7520","36910","37370"
"In post","2021","Project Delivery","Male","Unknown","1060","1040","43190","41270"
"In post","2021","Project Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","AA/AO","1050","930","21040","21100"
"In post","2021","Property","Female","EO","950","860","27110","26500"
"In post","2021","Property","Female","G6/G7","400","390","56130","54990"
"In post","2021","Property","Female","SCS","30","30","[c]","[c]"
"In post","2021","Property","Female","SEO/HEO","1440","1360","36460","35300"
"In post","2021","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","AA/AO","1300","1270","21880","21100"
"In post","2021","Property","Male","EO","1000","980","27760","26670"
"In post","2021","Property","Male","G6/G7","860","840","58220","56280"
"In post","2021","Property","Male","SCS","60","60","98700","93050"
"In post","2021","Property","Male","SEO/HEO","2180","2120","37830","37000"
"In post","2021","Property","Male","Unknown","30","30","[c]","[c]"
"In post","2021","Security","Female","AA/AO","910","860","24410","20920"
"In post","2021","Security","Female","EO","360","350","28870","26670"
"In post","2021","Security","Female","G6/G7","140","130","59600","55430"
"In post","2021","Security","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","SEO/HEO","600","590","37600","35900"
"In post","2021","Security","Female","Unknown","40","40","[c]","[c]"
"In post","2021","Security","Male","AA/AO","4610","4530","27160","22650"
"In post","2021","Security","Male","EO","820","810","33870","30750"
"In post","2021","Security","Male","G6/G7","240","240","60670","58600"
"In post","2021","Security","Male","SCS","30","30","[c]","[c]"
"In post","2021","Security","Male","SEO/HEO","980","960","40520","37320"
"In post","2021","Security","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","AA/AO","31090","26140","21400","21010"
"In post","2021","Unknown","Female","EO","42870","37930","27900","27570"
"In post","2021","Unknown","Female","G6/G7","6050","5720","60240","58700"
"In post","2021","Unknown","Female","SCS","630","600","88140","82460"
"In post","2021","Unknown","Female","SEO/HEO","17370","16330","36680","35310"
"In post","2021","Unknown","Female","Unknown","350","340","35660","35380"
"In post","2021","Unknown","Male","AA/AO","17960","17180","21400","21010"
"In post","2021","Unknown","Male","EO","27220","26100","27890","27570"
"In post","2021","Unknown","Male","G6/G7","5990","5860","61410","60740"
"In post","2021","Unknown","Male","SCS","710","700","91790","83230"
"In post","2021","Unknown","Male","SEO/HEO","14340","14030","37390","36460"
"In post","2021","Unknown","Male","Unknown","2120","2120","38010","34460"
"In post","2022","Analysis","Female","AA/AO","140","130","21850","21510"
"In post","2022","Analysis","Female","EO","450","420","26750","26350"
"In post","2022","Analysis","Female","G6/G7","1230","1130","58480","55840"
"In post","2022","Analysis","Female","SCS","80","80","85190","79590"
"In post","2022","Analysis","Female","SEO/HEO","2070","1980","36180","36580"
"In post","2022","Analysis","Male","AA/AO","130","120","21730","21260"
"In post","2022","Analysis","Male","EO","420","410","26930","26590"
"In post","2022","Analysis","Male","G6/G7","1580","1550","59370","57030"
"In post","2022","Analysis","Male","SCS","110","110","92290","81460"
"In post","2022","Analysis","Male","SEO/HEO","2240","2210","36350","36640"
"In post","2022","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","AA/AO","150","130","22640","21840"
"In post","2022","Commercial","Female","EO","470","440","26540","26350"
"In post","2022","Commercial","Female","G6/G7","1070","1040","60400","57710"
"In post","2022","Commercial","Female","SCS","130","120","102950","96340"
"In post","2022","Commercial","Female","SEO/HEO","1530","1460","36910","36820"
"In post","2022","Commercial","Female","Unknown","80","70","37500","37280"
"In post","2022","Commercial","Male","AA/AO","150","140","22520","21660"
"In post","2022","Commercial","Male","EO","300","290","26850","26660"
"In post","2022","Commercial","Male","G6/G7","1180","1170","62580","61710"
"In post","2022","Commercial","Male","SCS","210","210","115430","113870"
"In post","2022","Commercial","Male","SEO/HEO","1290","1280","37800","38320"
"In post","2022","Commercial","Male","Unknown","90","90","42140","39860"
"In post","2022","Communications","Female","AA/AO","270","240","21810","21250"
"In post","2022","Communications","Female","EO","1580","1500","26970","26820"
"In post","2022","Communications","Female","G6/G7","740","710","58560","56370"
"In post","2022","Communications","Female","SCS","70","70","88820","83110"
"In post","2022","Communications","Female","SEO/HEO","1900","1820","36710","34710"
"In post","2022","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Male","AA/AO","220","210","21830","21250"
"In post","2022","Communications","Male","EO","1660","1640","26910","26820"
"In post","2022","Communications","Male","G6/G7","460","460","58760","56360"
"In post","2022","Communications","Male","SCS","70","70","95760","87750"
"In post","2022","Communications","Male","SEO/HEO","1560","1550","36390","33370"
"In post","2022","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Female","AA/AO","1750","1430","22380","21260"
"In post","2022","Counter Fraud","Female","EO","4030","3590","28130","27570"
"In post","2022","Counter Fraud","Female","G6/G7","480","460","58590","55210"
"In post","2022","Counter Fraud","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Female","SEO/HEO","2710","2540","36020","33680"
"In post","2022","Counter Fraud","Male","AA/AO","1010","970","22240","21260"
"In post","2022","Counter Fraud","Male","EO","3160","3010","28170","27570"
"In post","2022","Counter Fraud","Male","G6/G7","830","810","60080","57990"
"In post","2022","Counter Fraud","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Male","SEO/HEO","3000","2910","36610","35310"
"In post","2022","Debt","Female","AA/AO","3200","2670","21680","21260"
"In post","2022","Debt","Female","EO","720","630","27830","27570"
"In post","2022","Debt","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Female","SEO/HEO","230","200","34750","33370"
"In post","2022","Debt","Male","AA/AO","1980","1890","21580","21250"
"In post","2022","Debt","Male","EO","500","470","27790","27570"
"In post","2022","Debt","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Male","SEO/HEO","140","130","36110","33370"
"In post","2022","Digital, Data & Technology","Female","AA/AO","450","430","21810","21380"
"In post","2022","Digital, Data & Technology","Female","EO","1410","1310","27390","26900"
"In post","2022","Digital, Data & Technology","Female","G6/G7","2140","2060","56480","54700"
"In post","2022","Digital, Data & Technology","Female","SCS","110","110","88340","79860"
"In post","2022","Digital, Data & Technology","Female","SEO/HEO","4120","3930","36620","36050"
"In post","2022","Digital, Data & Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","AA/AO","490","490","21950","21380"
"In post","2022","Digital, Data & Technology","Male","EO","2390","2330","27760","27570"
"In post","2022","Digital, Data & Technology","Male","G6/G7","3870","3820","58450","56190"
"In post","2022","Digital, Data & Technology","Male","SCS","220","220","94460","90000"
"In post","2022","Digital, Data & Technology","Male","SEO/HEO","6790","6680","37910","37420"
"In post","2022","Digital, Data & Technology","Male","Unknown","50","50","[c]","[c]"
"In post","2022","Finance","Female","AA/AO","1130","910","21830","21260"
"In post","2022","Finance","Female","EO","1310","1210","26950","26780"
"In post","2022","Finance","Female","G6/G7","1340","1290","57730","55980"
"In post","2022","Finance","Female","SCS","120","110","85720","79810"
"In post","2022","Finance","Female","SEO/HEO","2950","2800","36850","36500"
"In post","2022","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Male","AA/AO","590","550","21680","21250"
"In post","2022","Finance","Male","EO","790","780","26760","26820"
"In post","2022","Finance","Male","G6/G7","1430","1410","58920","57450"
"In post","2022","Finance","Male","SCS","190","190","88420","80290"
"In post","2022","Finance","Male","SEO/HEO","2480","2430","37670","36840"
"In post","2022","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Female","AA/AO","750","650","21280","21300"
"In post","2022","Grants Management","Female","EO","370","330","25430","25190"
"In post","2022","Grants Management","Female","G6/G7","40","30","[c]","[c]"
"In post","2022","Grants Management","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Female","SEO/HEO","190","170","32360","30640"
"In post","2022","Grants Management","Male","AA/AO","530","510","21270","21300"
"In post","2022","Grants Management","Male","EO","230","230","25450","25190"
"In post","2022","Grants Management","Male","G6/G7","30","30","[c]","[c]"
"In post","2022","Grants Management","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Male","SEO/HEO","170","160","32850","31360"
"In post","2022","Human Resources","Female","AA/AO","1180","1040","21760","21330"
"In post","2022","Human Resources","Female","EO","1760","1620","27150","26930"
"In post","2022","Human Resources","Female","G6/G7","1600","1530","57360","55210"
"In post","2022","Human Resources","Female","SCS","170","170","86920","79750"
"In post","2022","Human Resources","Female","SEO/HEO","3340","3160","36020","35260"
"In post","2022","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","AA/AO","460","440","21600","21250"
"In post","2022","Human Resources","Male","EO","830","810","27580","27570"
"In post","2022","Human Resources","Male","G6/G7","750","740","58400","56760"
"In post","2022","Human Resources","Male","SCS","90","90","86510","78150"
"In post","2022","Human Resources","Male","SEO/HEO","1510","1480","36800","36320"
"In post","2022","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Female","EO","40","30","[c]","[c]"
"In post","2022","Internal Audit","Female","G6/G7","100","90","58430","55230"
"In post","2022","Internal Audit","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Female","SEO/HEO","250","240","40370","40180"
"In post","2022","Internal Audit","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Male","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Male","G6/G7","110","110","58810","58950"
"In post","2022","Internal Audit","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Male","SEO/HEO","200","190","41010","40660"
"In post","2022","Legal","Female","AA/AO","1160","1040","22750","22200"
"In post","2022","Legal","Female","EO","1520","1390","27980","27710"
"In post","2022","Legal","Female","G6/G7","3750","3380","58870","56650"
"In post","2022","Legal","Female","SCS","250","240","86800","82500"
"In post","2022","Legal","Female","SEO/HEO","1390","1310","39610","38180"
"In post","2022","Legal","Male","AA/AO","470","460","22830","22200"
"In post","2022","Legal","Male","EO","610","600","28080","27570"
"In post","2022","Legal","Male","G6/G7","2250","2170","60330","58970"
"In post","2022","Legal","Male","SCS","210","210","89170","83350"
"In post","2022","Legal","Male","SEO/HEO","800","790","39270","38000"
"In post","2022","No function","Female","AA/AO","54090","46180","22290","21260"
"In post","2022","No function","Female","EO","46370","41480","28060","27570"
"In post","2022","No function","Female","G6/G7","12190","11660","57980","55210"
"In post","2022","No function","Female","SCS","1650","1560","88220","79890"
"In post","2022","No function","Female","SEO/HEO","30880","29300","36370","34770"
"In post","2022","No function","Female","Unknown","14490","13330","29760","28200"
"In post","2022","No function","Male","AA/AO","39690","37730","24050","21840"
"In post","2022","No function","Male","EO","30440","29320","28870","27570"
"In post","2022","No function","Male","G6/G7","12480","12220","58980","56380"
"In post","2022","No function","Male","SCS","1680","1640","91430","83040"
"In post","2022","No function","Male","SEO/HEO","25860","25190","37560","36480"
"In post","2022","No function","Male","Unknown","4710","4440","31140","28200"
"In post","2022","No function","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","AA/AO","450","370","22050","21300"
"In post","2022","Project Delivery","Female","EO","1680","1540","25500","26160"
"In post","2022","Project Delivery","Female","G6/G7","3160","3030","57510","55210"
"In post","2022","Project Delivery","Female","SCS","280","270","87700","79720"
"In post","2022","Project Delivery","Female","SEO/HEO","5840","5490","36140","36000"
"In post","2022","Project Delivery","Female","Unknown","450","420","37180","34000"
"In post","2022","Project Delivery","Male","AA/AO","190","180","21970","21260"
"In post","2022","Project Delivery","Male","EO","1760","1710","24250","25270"
"In post","2022","Project Delivery","Male","G6/G7","4090","4010","58510","55860"
"In post","2022","Project Delivery","Male","SCS","320","320","96560","87290"
"In post","2022","Project Delivery","Male","SEO/HEO","7210","7040","37190","37830"
"In post","2022","Project Delivery","Male","Unknown","1170","1150","42550","40760"
"In post","2022","Project Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","AA/AO","900","800","21530","22010"
"In post","2022","Property","Female","EO","940","860","26940","26880"
"In post","2022","Property","Female","G6/G7","620","600","57070","55210"
"In post","2022","Property","Female","SCS","40","40","[c]","[c]"
"In post","2022","Property","Female","SEO/HEO","1630","1550","36840","35340"
"In post","2022","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","AA/AO","940","920","21450","21750"
"In post","2022","Property","Male","EO","970","950","26610","26670"
"In post","2022","Property","Male","G6/G7","1110","1090","59170","58090"
"In post","2022","Property","Male","SCS","80","80","95920","92790"
"In post","2022","Property","Male","SEO/HEO","2270","2210","38120","37210"
"In post","2022","Property","Male","Unknown","40","40","[c]","[c]"
"In post","2022","Security","Female","AA/AO","940","890","24840","21280"
"In post","2022","Security","Female","EO","560","530","28430","26670"
"In post","2022","Security","Female","G6/G7","210","210","58360","56730"
"In post","2022","Security","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","SEO/HEO","980","950","37450","36140"
"In post","2022","Security","Female","Unknown","50","50","[c]","[c]"
"In post","2022","Security","Male","AA/AO","4720","4620","27340","23540"
"In post","2022","Security","Male","EO","950","930","33720","29430"
"In post","2022","Security","Male","G6/G7","390","390","59820","58550"
"In post","2022","Security","Male","SCS","50","50","[c]","[c]"
"In post","2022","Security","Male","SEO/HEO","1690","1660","39690","37660"
"In post","2022","Security","Male","Unknown","140","140","31800","28280"
"In post","2022","Unknown","Female","AA/AO","10990","9850","22220","21680"
"In post","2022","Unknown","Female","EO","11690","10720","27360","27230"
"In post","2022","Unknown","Female","G6/G7","5260","4970","61820","61440"
"In post","2022","Unknown","Female","SCS","460","440","87360","81570"
"In post","2022","Unknown","Female","SEO/HEO","12850","12210","37930","37450"
"In post","2022","Unknown","Female","Unknown","280","280","32910","32400"
"In post","2022","Unknown","Male","AA/AO","8050","7790","22160","21680"
"In post","2022","Unknown","Male","EO","11380","10920","27620","27230"
"In post","2022","Unknown","Male","G6/G7","4930","4840","62490","61440"
"In post","2022","Unknown","Male","SCS","560","540","91350","83230"
"In post","2022","Unknown","Male","SEO/HEO","11450","11260","38320","37460"
"In post","2022","Unknown","Male","Unknown","1780","1780","37960","34460"
"Leaver CS","2021","Analysis","Female","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Analysis","Female","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2021","Analysis","Male","AA/AO","60","60","[c]","[c]"
"Leaver CS","2021","Analysis","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","SEO/HEO","50","50","35230","34940"
"Leaver CS","2021","Commercial","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Commercial","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Commercial","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","SEO/HEO","60","60","38330","37640"
"Leaver CS","2021","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","EO","[c]","[c]","[c]","[c]"
