"Status","Year","Region_ITL2","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Unknown","680","620","31950","29290"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","No function","120","110","27400","26610"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Unknown","210","180","31960","29290"
"In post","2021","Bedfordshire and Hertfordshire","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","No function","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Unknown","70","50","29860","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Finance","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Legal","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","No function","770","760","27420","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Project Delivery","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Property","50","50","25580","26550"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Security","200","200","27580","26610"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Unknown","240","240","26250","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Commercial","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Digital, Data & Technology","50","50","37710","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Finance","70","60","36550","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Legal","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","No function","770","730","31010","30810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Project Delivery","80","80","37270","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Property","60","60","34430","33510"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Security","250","250","34420","33410"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Unknown","400","380","29620","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Commercial","60","60","45330","37170"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Communications","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Digital, Data & Technology","80","80","46160","44970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Finance","70","70","39970","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Grants Management","50","50","25930","21050"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Human Resources","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Legal","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","No function","770","730","34050","32040"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Project Delivery","120","110","40170","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Property","70","70","34610","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Security","220","220","36740","41070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Unknown","500","470","29870","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Commercial","70","70","43200","41160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Communications","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Digital, Data & Technology","70","70","44760","40670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Finance","100","100","42550","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Grants Management","60","50","31940","26520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Human Resources","50","50","43130","40190"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Legal","60","50","46330","45100"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","No function","1050","1000","33630","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Project Delivery","190","190","41320","40000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Property","110","100","38260","36050"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Security","300","290","36930","39070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Unknown","790","750","29230","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Legal","30","20","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","No function","270","230","32400","27550"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Project Delivery","50","50","39420","37640"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Property","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Security","80","70","33190","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Unknown","290","260","27910","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","No function","110","80","29480","25560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Security","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Unknown","130","110","29010","25110"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","16-19","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","No function","450","440","27200","26300"
"In post","2021","Cheshire","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","Unknown","130","130","25380","27570"
"In post","2021","Cheshire","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Cheshire","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","No function","580","560","32070","31580"
"In post","2021","Cheshire","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","30-39","Unknown","170","150","25440","27570"
"In post","2021","Cheshire","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Cheshire","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","No function","540","520","34210","32990"
"In post","2021","Cheshire","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","40-49","Unknown","200","180","25820","27570"
"In post","2021","Cheshire","50-59","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Cheshire","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","No function","670","640","34510","31920"
"In post","2021","Cheshire","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","50-59","Unknown","370","330","25650","27570"
"In post","2021","Cheshire","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","No function","150","120","31160","30800"
"In post","2021","Cheshire","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Unknown","90","80","24880","26840"
"In post","2021","Cheshire","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","65+","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","65+","No function","30","20","[c]","[c]"
"In post","2021","Cheshire","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","20-29","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","20-29","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","20-29","Unknown","100","100","23420","21010"
"In post","2021","Cornwall and Isles of Scilly","30-39","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","No function","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Unknown","190","170","25060","22640"
"In post","2021","Cornwall and Isles of Scilly","40-49","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","No function","60","60","31560","29180"
"In post","2021","Cornwall and Isles of Scilly","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Unknown","260","230","26520","27570"
"In post","2021","Cornwall and Isles of Scilly","50-59","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","50-59","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","50-59","No function","110","100","29110","26750"
"In post","2021","Cornwall and Isles of Scilly","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","50-59","Security","30","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","50-59","Unknown","430","400","25670","26670"
"In post","2021","Cornwall and Isles of Scilly","60-64","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
