"Status","Year","Region_ITL1","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Legal","Legal","330","300","48420","48830"
"In post","2021","East Midlands (England)","Medicine","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Unknown","180","160","41560","37890"
"In post","2021","East Midlands (England)","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Communications","110","110","29090","25560"
"In post","2021","East Midlands (England)","Operational Delivery","Counter Fraud","190","170","30950","28130"
"In post","2021","East Midlands (England)","Operational Delivery","Debt","160","150","22270","20140"
"In post","2021","East Midlands (England)","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Finance","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Grants Management","70","70","25890","25190"
"In post","2021","East Midlands (England)","Operational Delivery","Human Resources","70","70","31960","31810"
"In post","2021","East Midlands (England)","Operational Delivery","Legal","270","240","25600","23470"
"In post","2021","East Midlands (England)","Operational Delivery","No function","8910","8230","27210","25380"
"In post","2021","East Midlands (England)","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Property","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Unknown","210","200","27790","26160"
"In post","2021","East Midlands (England)","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","No function","80","70","39580","26780"
"In post","2021","East Midlands (England)","Other","Project Delivery","60","60","32370","29620"
"In post","2021","East Midlands (England)","Other","Unknown","700","670","22760","20920"
"In post","2021","East Midlands (England)","Planning","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","No function","180","170","41140","36960"
"In post","2021","East Midlands (England)","Policy","Project Delivery","60","50","39660","37100"
"In post","2021","East Midlands (England)","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Project Delivery","350","340","38970","35640"
"In post","2021","East Midlands (England)","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Property","460","430","33250","31810"
"In post","2021","East Midlands (England)","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","No function","180","170","34580","30450"
"In post","2021","East Midlands (England)","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","No function","350","330","42900","39390"
"In post","2021","East Midlands (England)","Science and Engineering","Project Delivery","120","110","37110","35590"
"In post","2021","East Midlands (England)","Science and Engineering","Unknown","60","60","24850","22500"
"In post","2021","East Midlands (England)","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Security","160","150","29070","26180"
"In post","2021","East Midlands (England)","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","Communications","210","210","27410","25560"
"In post","2021","East Midlands (England)","Tax","Counter Fraud","120","120","39600","35000"
"In post","2021","East Midlands (England)","Tax","Debt","80","70","20360","20140"
"In post","2021","East Midlands (England)","Tax","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","No function","920","870","34340","31810"
"In post","2021","East Midlands (England)","Tax","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Communications","80","80","28310","25560"
"In post","2021","East Midlands (England)","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","No function","150","150","30870","31810"
"In post","2021","East Midlands (England)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Unknown","4520","4000","25920","27570"
"In post","2021","East Midlands (England)","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Commercial","230","220","39160","35760"
"In post","2021","East of England","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Communications","90","90","34140","31810"
"In post","2021","East of England","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Digital, Data & Technology","490","470","36260","33300"
"In post","2021","East of England","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Economics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Economics","No function","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Finance","390","360","36720","33300"
"In post","2021","East of England","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Human Resources","190","170","35680","32910"
"In post","2021","East of England","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","No function","90","90","65420","75500"
"In post","2021","East of England","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","No function","50","50","31480","27970"
"In post","2021","East of England","Intelligence Analysis","Unknown","360","350","32310","33300"
"In post","2021","East of England","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Commercial","90","90","34150","33000"
"In post","2021","East of England","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","No function","60","60","38510","36890"
"In post","2021","East of England","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Counter Fraud","320","300","26850","25560"
"In post","2021","East of England","Legal","Legal","350","320","49770","50520"
"In post","2021","East of England","Medicine","No function","30","30","[c]","[c]"
"In post","2021","East of England","Medicine","Unknown","140","120","45210","37890"
"In post","2021","East of England","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Operational Delivery","Counter Fraud","60","60","28030","25560"
"In post","2021","East of England","Operational Delivery","Debt","140","120","24890","24670"
"In post","2021","East of England","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Operational Delivery","Finance","70","60","24750","21440"
"In post","2021","East of England","Operational Delivery","Grants Management","50","50","26230","25190"
"In post","2021","East of England","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Operational Delivery","Legal","230","210","27250","25820"
"In post","2021","East of England","Operational Delivery","No function","7570","7070","28820","27380"
"In post","2021","East of England","Operational Delivery","Project Delivery","60","60","34250","29750"
"In post","2021","East of England","Operational Delivery","Property","40","40","[c]","[c]"
"In post","2021","East of England","Operational Delivery","Unknown","1940","1760","26600","25220"
"In post","2021","East of England","Operational Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","Project Delivery","60","60","32060","30000"
"In post","2021","East of England","Other","Unknown","1080","1020","23950","21130"
"In post","2021","East of England","Policy","No function","80","80","43000","41020"
"In post","2021","East of England","Policy","Project Delivery","60","60","41010","38630"
"In post","2021","East of England","Policy","Unknown","60","60","45930","45200"
"In post","2021","East of England","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Project Delivery","550","530","39450","38390"
"In post","2021","East of England","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Unknown","40","40","[c]","[c]"
"In post","2021","East of England","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Property","Property","500","480","32470","33000"
"In post","2021","East of England","Psychology","No function","170","160","35150","30450"
"In post","2021","East of England","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Science and Engineering","Analysis","350","330","34330","30220"
"In post","2021","East of England","Science and Engineering","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Science and Engineering","No function","170","160","36970","34820"
"In post","2021","East of England","Science and Engineering","Project Delivery","90","80","35870","33740"
"In post","2021","East of England","Science and Engineering","Unknown","300","290","39800","33460"
"In post","2021","East of England","Security","No function","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Security","Security","540","530","33210","28890"
"In post","2021","East of England","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Tax","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Tax","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Tax","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Tax","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Tax","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Tax","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Tax","No function","220","190","34140","31810"
"In post","2021","East of England","Tax","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Commercial","70","60","57360","54800"
"In post","2021","East of England","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","No function","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Unknown","4770","4290","28380","27570"
"In post","2021","East of England","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Commercial","700","680","47510","42470"
"In post","2021","London","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","No function","110","110","52220","54110"
"In post","2021","London","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Unknown","60","60","42660","43180"
"In post","2021","London","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Communications","1790","1750","46170","42130"
"In post","2021","London","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Legal","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","No function","90","90","43740","40220"
"In post","2021","London","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Unknown","170","160","49560","44220"
"In post","2021","London","Corporate Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","London","Corporate Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Corporate Finance","Finance","50","50","54740","52230"
"In post","2021","London","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","Counter Fraud","330","330","44300","40000"
"In post","2021","London","Counter Fraud","No function","40","40","[c]","[c]"
"In post","2021","London","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data and Technology","Analysis","80","80","47300","44740"
"In post","2021","London","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data and Technology","Digital, Data & Technology","2250","2210","48410","44030"
"In post","2021","London","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data and Technology","No function","80","80","47230","42340"
"In post","2021","London","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data and Technology","Unknown","850","840","53120","48200"
"In post","2021","London","Economics","Analysis","1070","1050","47760","42020"
"In post","2021","London","Economics","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Economics","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","London","Economics","Finance","70","70","44860","40650"
"In post","2021","London","Economics","No function","410","400","48850","52290"
"In post","2021","London","Economics","Project Delivery","60","60","52580","55340"
"In post","2021","London","Economics","Unknown","160","160","45350","35120"
"In post","2021","London","Finance","Analysis","30","30","[c]","[c]"
"In post","2021","London","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Finance","2060","2020","49200","44900"
"In post","2021","London","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","No function","180","170","48110","42890"
"In post","2021","London","Finance","Project Delivery","30","30","[c]","[c]"
"In post","2021","London","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Unknown","200","200","50830","45590"
"In post","2021","London","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Human Resources","1930","1880","46890","42200"
"In post","2021","London","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","No function","40","40","[c]","[c]"
"In post","2021","London","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Unknown","390","370","45700","41970"
"In post","2021","London","Inspector of Education and Training","No function","230","230","66190","64500"
"In post","2021","London","Intelligence Analysis","Analysis","210","210","54010","53360"
"In post","2021","London","Intelligence Analysis","Counter Fraud","60","60","43950","39800"
"In post","2021","London","Intelligence Analysis","No function","80","80","37550","34710"
"In post","2021","London","Intelligence Analysis","Security","150","140","46250","39240"
"In post","2021","London","Intelligence Analysis","Unknown","920","870","36740","35070"
"In post","2021","London","Internal Audit","Internal Audit","210","200","53870","51710"
"In post","2021","London","International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","International Trade","No function","1070","1060","47390","42470"
"In post","2021","London","International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","London","Knowledge and Information Management","Commercial","130","120","37250","32040"
"In post","2021","London","Knowledge and Information Management","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","London","Knowledge and Information Management","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","London","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","London","Knowledge and Information Management","No function","440","410","41920","37780"
"In post","2021","London","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","Knowledge and Information Management","Unknown","80","80","41730","38030"
"In post","2021","London","Legal","Counter Fraud","920","900","36170","36160"
"In post","2021","London","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Legal","Legal","3840","3590","59280","59160"
"In post","2021","London","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2021","London","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Medicine","No function","170","140","102700","99580"
"In post","2021","London","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Medicine","Unknown","210","200","62290","67000"
"In post","2021","London","Operational Delivery","Analysis","80","80","39530","32540"
"In post","2021","London","Operational Delivery","Commercial","240","240","52260","46550"
"In post","2021","London","Operational Delivery","Communications","80","70","46090","35290"
"In post","2021","London","Operational Delivery","Counter Fraud","390","370","34840","32520"
"In post","2021","London","Operational Delivery","Debt","510","450","28170","25630"
"In post","2021","London","Operational Delivery","Digital, Data & Technology","90","90","43730","40000"
"In post","2021","London","Operational Delivery","Finance","130","130","40590","36800"
"In post","2021","London","Operational Delivery","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Operational Delivery","Human Resources","80","80","39370","36160"
"In post","2021","London","Operational Delivery","Legal","950","890","30010","27440"
"In post","2021","London","Operational Delivery","No function","16150","15450","34990","32180"
"In post","2021","London","Operational Delivery","Project Delivery","380","370","40820","38600"
"In post","2021","London","Operational Delivery","Property","190","180","41010","36400"
"In post","2021","London","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","Operational Delivery","Unknown","6620","6100","32990","29080"
"In post","2021","London","Operational Research","Analysis","280","270","49340","48170"
"In post","2021","London","Operational Research","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","London","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Operational Research","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Operational Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","London","Operational Research","Unknown","90","90","49620","43560"
"In post","2021","London","Other","Analysis","210","200","64030","57250"
"In post","2021","London","Other","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Other","Communications","190","180","25630","21800"
"In post","2021","London","Other","Counter Fraud","80","70","40070","36160"
"In post","2021","London","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Other","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Other","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Other","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Other","Legal","350","330","30770","27580"
"In post","2021","London","Other","No function","1140","1110","43350","35180"
"In post","2021","London","Other","Project Delivery","180","170","60480","64680"
"In post","2021","London","Other","Property","[c]","[c]","[c]","[c]"
"In post","2021","London","Other","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","Other","Unknown","1990","1900","37520","32960"
"In post","2021","London","Planning","No function","90","90","46190","42140"
"In post","2021","London","Planning","Property","[c]","[c]","[c]","[c]"
"In post","2021","London","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Policy","Analysis","220","210","50490","46030"
"In post","2021","London","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Policy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","London","Policy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Policy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Policy","Human Resources","40","40","[c]","[c]"
"In post","2021","London","Policy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Policy","Legal","60","60","52110","51250"
"In post","2021","London","Policy","No function","15060","14730","48140","44480"
"In post","2021","London","Policy","Project Delivery","1400","1340","55320","56630"
"In post","2021","London","Policy","Property","[c]","[c]","[c]","[c]"
"In post","2021","London","Policy","Unknown","2860","2790","51690","46140"
"In post","2021","London","Project Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","No function","110","110","44650","40050"
"In post","2021","London","Project Delivery","Project Delivery","2600","2540","50910","45200"
"In post","2021","London","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","Security","[c]","[c]","[c]","[c]"
