"Status","Year","Sex","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Bedford","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","20-29","90","90","26590","27570"
"In post","2021","Female","Bedford","30-39","90","80","27790","27570"
"In post","2021","Female","Bedford","40-49","100","90","30060","27570"
"In post","2021","Female","Bedford","50-59","140","130","30990","27670"
"In post","2021","Female","Bedford","60-64","40","30","[c]","[c]"
"In post","2021","Female","Bedford","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","20-29","190","180","23490","20140"
"In post","2021","Female","Belfast","30-39","350","320","28870","25560"
"In post","2021","Female","Belfast","40-49","380","340","29010","25560"
"In post","2021","Female","Belfast","50-59","400","360","31470","28130"
"In post","2021","Female","Belfast","60-64","80","60","26950","25560"
"In post","2021","Female","Belfast","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","20-29","180","180","28010","26610"
"In post","2021","Female","Berkshire","30-39","250","240","33760","30890"
"In post","2021","Female","Berkshire","40-49","330","300","34230","29290"
"In post","2021","Female","Berkshire","50-59","420","400","33370","30070"
"In post","2021","Female","Berkshire","60-64","130","110","32700","29290"
"In post","2021","Female","Berkshire","65+","50","40","29530","25630"
"In post","2021","Female","Bexley and Greenwich","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","20-29","200","190","29220","31060"
"In post","2021","Female","Bexley and Greenwich","30-39","190","180","31500","31060"
"In post","2021","Female","Bexley and Greenwich","40-49","200","190","31260","31060"
"In post","2021","Female","Bexley and Greenwich","50-59","260","240","30960","30330"
"In post","2021","Female","Bexley and Greenwich","60-64","70","50","28480","26610"
"In post","2021","Female","Bexley and Greenwich","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","20-29","1000","970","25030","23140"
"In post","2021","Female","Birmingham","30-39","1460","1330","29480","27470"
"In post","2021","Female","Birmingham","40-49","1610","1430","33350","27570"
"In post","2021","Female","Birmingham","50-59","1890","1710","31510","27570"
"In post","2021","Female","Birmingham","60-64","520","400","29090","27090"
"In post","2021","Female","Birmingham","65+","110","80","27460","26000"
"In post","2021","Female","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","20-29","30","30","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","30-39","50","40","25450","27570"
"In post","2021","Female","Blackburn with Darwen","40-49","100","80","27410","27570"
"In post","2021","Female","Blackburn with Darwen","50-59","80","70","27110","27570"
"In post","2021","Female","Blackburn with Darwen","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","20-29","290","290","24470","21010"
"In post","2021","Female","Blackpool","30-39","390","350","27290","27570"
"In post","2021","Female","Blackpool","40-49","870","770","29420","27570"
"In post","2021","Female","Blackpool","50-59","1280","1140","29670","27570"
"In post","2021","Female","Blackpool","60-64","280","210","26440","26120"
"In post","2021","Female","Blackpool","65+","90","70","24320","21010"
"In post","2021","Female","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","20-29","40","30","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","30-39","60","50","26360","27570"
"In post","2021","Female","Bournemouth and Poole","40-49","100","90","27230","27570"
"In post","2021","Female","Bournemouth and Poole","50-59","150","130","28380","27570"
"In post","2021","Female","Bournemouth and Poole","60-64","50","40","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","20-29","230","220","23610","21010"
"In post","2021","Female","Bradford","30-39","330","280","26320","25560"
"In post","2021","Female","Bradford","40-49","410","330","27380","25560"
"In post","2021","Female","Bradford","50-59","650","560","28530","25650"
"In post","2021","Female","Bradford","60-64","210","150","25780","21440"
"In post","2021","Female","Bradford","65+","30","20","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","20-29","40","40","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","30-39","60","50","28390","26810"
"In post","2021","Female","Breckland and South Norfolk","40-49","40","40","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","50-59","60","50","27120","25790"
"In post","2021","Female","Breckland and South Norfolk","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brent","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brent","20-29","70","70","29250","31060"
"In post","2021","Female","Brent","30-39","60","50","29720","31060"
"In post","2021","Female","Brent","40-49","80","70","30990","31060"
"In post","2021","Female","Brent","50-59","140","130","32140","30130"
"In post","2021","Female","Brent","60-64","30","30","[c]","[c]"
"In post","2021","Female","Brent","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","20-29","60","50","25080","27570"
"In post","2021","Female","Bridgend and Neath Port Talbot","30-39","100","90","25890","27570"
"In post","2021","Female","Bridgend and Neath Port Talbot","40-49","130","110","28360","27570"
"In post","2021","Female","Bridgend and Neath Port Talbot","50-59","150","130","26700","27570"
"In post","2021","Female","Bridgend and Neath Port Talbot","60-64","60","40","24100","21010"
"In post","2021","Female","Bridgend and Neath Port Talbot","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","20-29","60","50","25310","26970"
"In post","2021","Female","Brighton and Hove","30-39","70","60","29020","27570"
"In post","2021","Female","Brighton and Hove","40-49","110","90","33910","27570"
"In post","2021","Female","Brighton and Hove","50-59","140","120","33460","27570"
"In post","2021","Female","Brighton and Hove","60-64","40","30","[c]","[c]"
"In post","2021","Female","Brighton and Hove","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","20-29","650","630","27440","25560"
"In post","2021","Female","Bristol, City of","30-39","860","770","34280","31810"
"In post","2021","Female","Bristol, City of","40-49","870","760","37380","32670"
"In post","2021","Female","Bristol, City of","50-59","880","800","36940","31810"
"In post","2021","Female","Bristol, City of","60-64","200","160","33950","27570"
"In post","2021","Female","Bristol, City of","65+","60","40","33610","26580"
"In post","2021","Female","Bromley","20-29","40","40","[c]","[c]"
"In post","2021","Female","Bromley","30-39","50","40","[c]","[c]"
"In post","2021","Female","Bromley","40-49","60","50","30010","30920"
"In post","2021","Female","Bromley","50-59","130","120","29980","31060"
"In post","2021","Female","Bromley","60-64","40","30","[c]","[c]"
"In post","2021","Female","Bromley","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","20-29","170","170","27790","27850"
"In post","2021","Female","Buckinghamshire CC","30-39","190","180","32060","28670"
"In post","2021","Female","Buckinghamshire CC","40-49","210","190","33490","29530"
"In post","2021","Female","Buckinghamshire CC","50-59","300","280","31490","28670"
"In post","2021","Female","Buckinghamshire CC","60-64","80","70","29500","27570"
"In post","2021","Female","Buckinghamshire CC","65+","30","30","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","50-59","40","40","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Calderdale and Kirklees","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Calderdale and Kirklees","20-29","60","60","25550","27570"
"In post","2021","Female","Calderdale and Kirklees","30-39","140","110","26460","27570"
"In post","2021","Female","Calderdale and Kirklees","40-49","170","140","26720","27570"
"In post","2021","Female","Calderdale and Kirklees","50-59","250","220","27690","27570"
"In post","2021","Female","Calderdale and Kirklees","60-64","60","50","25740","27470"
"In post","2021","Female","Calderdale and Kirklees","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","20-29","230","220","26630","26670"
"In post","2021","Female","Cambridgeshire CC","30-39","340","310","32370","30210"
"In post","2021","Female","Cambridgeshire CC","40-49","400","360","35860","33050"
"In post","2021","Female","Cambridgeshire CC","50-59","470","440","35670","30090"
"In post","2021","Female","Cambridgeshire CC","60-64","140","120","29610","27380"
"In post","2021","Female","Cambridgeshire CC","65+","50","40","28040","26450"
"In post","2021","Female","Camden and City of London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Camden and City of London","20-29","290","290","30510","29250"
"In post","2021","Female","Camden and City of London","30-39","350","330","37460","31110"
"In post","2021","Female","Camden and City of London","40-49","390","360","39610","32520"
"In post","2021","Female","Camden and City of London","50-59","540","510","36410","32520"
"In post","2021","Female","Camden and City of London","60-64","150","130","32900","28990"
"In post","2021","Female","Camden and City of London","65+","60","50","28620","25630"
"In post","2021","Female","Cardiff and Vale of Glamorgan","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","20-29","1040","1020","25760","25030"
"In post","2021","Female","Cardiff and Vale of Glamorgan","30-39","1520","1390","32330","28850"
"In post","2021","Female","Cardiff and Vale of Glamorgan","40-49","1500","1350","36410","31810"
"In post","2021","Female","Cardiff and Vale of Glamorgan","50-59","1790","1620","33390","27570"
"In post","2021","Female","Cardiff and Vale of Glamorgan","60-64","500","380","30390","26120"
"In post","2021","Female","Cardiff and Vale of Glamorgan","65+","140","100","30620","23830"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Causeway Coast and Glens","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Causeway Coast and Glens","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Causeway Coast and Glens","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Causeway Coast and Glens","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Causeway Coast and Glens","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Causeway Coast and Glens","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","40-49","40","40","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","50-59","80","70","28120","26680"
"In post","2021","Female","Central Bedfordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Hampshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Hampshire","20-29","290","290","28560","28650"
"In post","2021","Female","Central Hampshire","30-39","380","360","35120","33300"
"In post","2021","Female","Central Hampshire","40-49","480","450","35950","33300"
"In post","2021","Female","Central Hampshire","50-59","550","530","34160","33300"
"In post","2021","Female","Central Hampshire","60-64","120","110","30080","26800"
"In post","2021","Female","Central Hampshire","65+","40","30","[c]","[c]"
"In post","2021","Female","Central Valleys","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Valleys","20-29","100","100","25720","24320"
"In post","2021","Female","Central Valleys","30-39","230","220","31870","28850"
"In post","2021","Female","Central Valleys","40-49","320","290","35230","30210"
"In post","2021","Female","Central Valleys","50-59","380","350","33340","27570"
"In post","2021","Female","Central Valleys","60-64","90","70","32110","27570"
"In post","2021","Female","Central Valleys","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire East","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire East","20-29","80","80","24870","24920"
"In post","2021","Female","Cheshire East","30-39","100","90","29630","27570"
"In post","2021","Female","Cheshire East","40-49","120","110","33610","27620"
"In post","2021","Female","Cheshire East","50-59","130","120","30470","27570"
"In post","2021","Female","Cheshire East","60-64","30","20","[c]","[c]"
"In post","2021","Female","Cheshire East","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire West and Chester","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire West and Chester","20-29","30","30","[c]","[c]"
"In post","2021","Female","Cheshire West and Chester","30-39","40","40","[c]","[c]"
"In post","2021","Female","Cheshire West and Chester","40-49","60","60","27330","27570"
"In post","2021","Female","Cheshire West and Chester","50-59","120","110","26490","27570"
"In post","2021","Female","Cheshire West and Chester","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire West and Chester","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chorley and West Lancashire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chorley and West Lancashire","20-29","110","110","25130","24620"
"In post","2021","Female","Chorley and West Lancashire","30-39","160","150","30110","27700"
"In post","2021","Female","Chorley and West Lancashire","40-49","150","140","31390","27570"
"In post","2021","Female","Chorley and West Lancashire","50-59","170","150","27990","27380"
"In post","2021","Female","Chorley and West Lancashire","60-64","40","30","[c]","[c]"
"In post","2021","Female","Chorley and West Lancashire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","City of Edinburgh","16-19","50","50","[c]","[c]"
"In post","2021","Female","City of Edinburgh","20-29","1280","1250","27920","26160"
"In post","2021","Female","City of Edinburgh","30-39","1680","1580","37340","33620"
"In post","2021","Female","City of Edinburgh","40-49","1660","1520","41940","36780"
"In post","2021","Female","City of Edinburgh","50-59","1650","1540","40480","35110"
"In post","2021","Female","City of Edinburgh","60-64","360","300","33990","28130"
"In post","2021","Female","City of Edinburgh","65+","80","70","32660","28100"
"In post","2021","Female","Clackmannanshire and Fife","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Clackmannanshire and Fife","20-29","80","70","25410","24030"
"In post","2021","Female","Clackmannanshire and Fife","30-39","120","110","27780","27570"
"In post","2021","Female","Clackmannanshire and Fife","40-49","150","130","29880","27570"
"In post","2021","Female","Clackmannanshire and Fife","50-59","260","240","28180","27570"
"In post","2021","Female","Clackmannanshire and Fife","60-64","70","50","25720","27570"
"In post","2021","Female","Clackmannanshire and Fife","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Conwy and Denbighshire","20-29","30","30","[c]","[c]"
"In post","2021","Female","Conwy and Denbighshire","30-39","80","70","32090","30210"
"In post","2021","Female","Conwy and Denbighshire","40-49","120","110","36720","37410"
"In post","2021","Female","Conwy and Denbighshire","50-59","170","160","36680","37170"
"In post","2021","Female","Conwy and Denbighshire","60-64","40","30","[c]","[c]"
"In post","2021","Female","Conwy and Denbighshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","20-29","70","70","23400","21010"
"In post","2021","Female","Cornwall and Isles of Scilly","30-39","150","130","26190","22640"
"In post","2021","Female","Cornwall and Isles of Scilly","40-49","220","190","27230","27570"
"In post","2021","Female","Cornwall and Isles of Scilly","50-59","350","320","26770","27570"
"In post","2021","Female","Cornwall and Isles of Scilly","60-64","100","70","24840","22080"
"In post","2021","Female","Cornwall and Isles of Scilly","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Coventry","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Coventry","20-29","220","220","29390","28000"
"In post","2021","Female","Coventry","30-39","330","300","35410","31420"
"In post","2021","Female","Coventry","40-49","400","360","39590","36960"
"In post","2021","Female","Coventry","50-59","400","370","36380","31000"
"In post","2021","Female","Coventry","60-64","90","70","33320","27570"
"In post","2021","Female","Coventry","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Croydon","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Croydon","20-29","640","630","31890","29570"
"In post","2021","Female","Croydon","30-39","970","900","37710","35070"
"In post","2021","Female","Croydon","40-49","1280","1170","39670","35200"
"In post","2021","Female","Croydon","50-59","1850","1730","37620","32520"
"In post","2021","Female","Croydon","60-64","430","370","33310","29370"
"In post","2021","Female","Croydon","65+","180","140","29390","25630"
"In post","2021","Female","Darlington","20-29","70","70","29560","29250"
"In post","2021","Female","Darlington","30-39","120","110","33790","30280"
"In post","2021","Female","Darlington","40-49","170","160","36850","36500"
"In post","2021","Female","Darlington","50-59","200","180","35420","30300"
"In post","2021","Female","Darlington","60-64","30","30","[c]","[c]"
"In post","2021","Female","Darlington","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Darlington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derby","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derby","20-29","80","80","24130","22920"
"In post","2021","Female","Derby","30-39","120","100","24540","21530"
"In post","2021","Female","Derby","40-49","160","130","26280","23840"
"In post","2021","Female","Derby","50-59","220","190","25070","21010"
"In post","2021","Female","Derby","60-64","60","40","23560","21010"
"In post","2021","Female","Derby","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derry City and Strabane","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derry City and Strabane","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derry City and Strabane","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derry City and Strabane","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon CC","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon CC","20-29","330","320","25410","24620"
"In post","2021","Female","Devon CC","30-39","600","530","30650","27570"
"In post","2021","Female","Devon CC","40-49","720","610","32200","27570"
"In post","2021","Female","Devon CC","50-59","760","670","30020","27570"
"In post","2021","Female","Devon CC","60-64","250","190","25890","21650"
"In post","2021","Female","Devon CC","65+","50","40","25160","22410"
"In post","2021","Female","Dorset CC","20-29","140","130","24630","23970"
"In post","2021","Female","Dorset CC","30-39","170","150","28010","26350"
"In post","2021","Female","Dorset CC","40-49","210","190","29150","27130"
"In post","2021","Female","Dorset CC","50-59","340","300","28650","27130"
"In post","2021","Female","Dorset CC","60-64","90","70","26850","26670"
"In post","2021","Female","Dorset CC","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dudley","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dudley","20-29","60","60","23940","22920"
"In post","2021","Female","Dudley","30-39","130","100","24590","27570"
"In post","2021","Female","Dudley","40-49","270","220","25260","27570"
"In post","2021","Female","Dudley","50-59","270","220","25180","26120"
"In post","2021","Female","Dudley","60-64","70","60","24000","21010"
"In post","2021","Female","Dudley","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dumfries and Galloway","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dumfries and Galloway","20-29","30","30","[c]","[c]"
"In post","2021","Female","Dumfries and Galloway","30-39","50","40","[c]","[c]"
"In post","2021","Female","Dumfries and Galloway","40-49","60","50","27580","26520"
"In post","2021","Female","Dumfries and Galloway","50-59","80","70","28750","27570"
"In post","2021","Female","Dumfries and Galloway","60-64","30","30","[c]","[c]"
"In post","2021","Female","Dumfries and Galloway","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Durham CC","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Durham CC","20-29","480","460","23420","22350"
"In post","2021","Female","Durham CC","30-39","600","530","25790","23910"
"In post","2021","Female","Durham CC","40-49","770","680","27100","25310"
"In post","2021","Female","Durham CC","50-59","940","830","27240","25580"
"In post","2021","Female","Durham CC","60-64","290","200","24860","21440"
"In post","2021","Female","Durham CC","65+","70","50","25230","21440"
"In post","2021","Female","Ealing","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ealing","20-29","60","60","30910","31060"
"In post","2021","Female","Ealing","30-39","40","40","[c]","[c]"
"In post","2021","Female","Ealing","40-49","60","60","32410","31060"
"In post","2021","Female","Ealing","50-59","130","120","31950","31060"
"In post","2021","Female","Ealing","60-64","40","30","[c]","[c]"
"In post","2021","Female","Ealing","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Ayrshire and North Ayrshire mainland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Ayrshire and North Ayrshire mainland","20-29","30","30","[c]","[c]"
"In post","2021","Female","East Ayrshire and North Ayrshire mainland","30-39","90","70","28260","27570"
"In post","2021","Female","East Ayrshire and North Ayrshire mainland","40-49","120","100","26310","27570"
"In post","2021","Female","East Ayrshire and North Ayrshire mainland","50-59","210","180","25400","25320"
"In post","2021","Female","East Ayrshire and North Ayrshire mainland","60-64","60","40","25450","26120"
"In post","2021","Female","East Ayrshire and North Ayrshire mainland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Cumbria","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Cumbria","20-29","40","40","[c]","[c]"
"In post","2021","Female","East Cumbria","30-39","90","70","26780","24920"
"In post","2021","Female","East Cumbria","40-49","180","150","28480","25880"
"In post","2021","Female","East Cumbria","50-59","190","170","27580","25560"
"In post","2021","Female","East Cumbria","60-64","50","40","[c]","[c]"
"In post","2021","Female","East Cumbria","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Derbyshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Derbyshire","30-39","40","40","[c]","[c]"
"In post","2021","Female","East Derbyshire","40-49","70","60","26520","27570"
"In post","2021","Female","East Derbyshire","50-59","130","110","26220","27570"
"In post","2021","Female","East Derbyshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Derbyshire","65+","[c]","[c]","[c]","[c]"
