"Status","Year","Profession_of_post","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","Ministry of Defence","Communications","600","580","35110","33300"
"In post","2021","Communications","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","Communications","110","110","40730","34920"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","Communications","120","110","46020","42910"
"In post","2021","Communications","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","Communications","30","30","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","Communications","40","30","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Communications","30","30","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","Communications","40","30","[c]","[c]"
"In post","2021","Communications","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
