"Status","Year","Function_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","210","200","45330","41580"
"In post","2021","Finance","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Business, Energy and Industrial Strategy","Undeclared","30","30","[c]","[c]"
"In post","2021","Finance","Department for Business, Energy and Industrial Strategy","Unknown","70","70","40310","40040"
"In post","2021","Finance","Department for Digital, Culture, Media and Sport","Heterosexual / straight","60","60","57990","61730"
"In post","2021","Finance","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Education","Heterosexual / straight","380","360","43360","42520"
"In post","2021","Finance","Department for Education","LGBO","30","30","[c]","[c]"
"In post","2021","Finance","Department for Education","Undeclared","40","40","[c]","[c]"
"In post","2021","Finance","Department for Education","Unknown","90","90","43960","41730"
"In post","2021","Finance","Department for Environment, Food and Rural Affairs","Heterosexual / straight","330","320","43190","38060"
"In post","2021","Finance","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Environment, Food and Rural Affairs","Unknown","60","50","40690","37240"
"In post","2021","Finance","Department for International Trade","Heterosexual / straight","60","60","48510","51710"
"In post","2021","Finance","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Transport","Heterosexual / straight","300","290","39890","35640"
"In post","2021","Finance","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Transport","Undeclared","60","60","39780","38650"
"In post","2021","Finance","Department for Transport","Unknown","50","40","[c]","[c]"
"In post","2021","Finance","Department for Work and Pensions","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department of Health and Social Care","Heterosexual / straight","300","300","42640","37760"
"In post","2021","Finance","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department of Health and Social Care","Undeclared","30","30","[c]","[c]"
"In post","2021","Finance","Department of Health and Social Care","Unknown","250","240","39380","32790"
"In post","2021","Finance","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Foreign, Commonwealth and Development Office","Heterosexual / straight","210","200","44420","39600"
"In post","2021","Finance","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Foreign, Commonwealth and Development Office","Unknown","70","60","36290","33930"
"In post","2021","Finance","HM Land Registry","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Finance","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Revenue and Customs","Heterosexual / straight","1440","1300","35230","31810"
"In post","2021","Finance","HM Revenue and Customs","LGBO","60","50","32600","31810"
"In post","2021","Finance","HM Revenue and Customs","Undeclared","230","200","31390","28130"
"In post","2021","Finance","HM Revenue and Customs","Unknown","760","670","28990","21440"
"In post","2021","Finance","HM Treasury","Heterosexual / straight","90","80","49810","52500"
"In post","2021","Finance","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Defence","Heterosexual / straight","1710","1640","38340","33300"
"In post","2021","Finance","Ministry of Defence","LGBO","40","40","[c]","[c]"
"In post","2021","Finance","Ministry of Defence","Undeclared","260","250","38670","33950"
"In post","2021","Finance","Ministry of Defence","Unknown","140","130","37030","33290"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government","Heterosexual / straight","110","100","52430","53130"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice","Heterosexual / straight","610","590","41510","37070"
"In post","2021","Finance","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice","Undeclared","70","70","45420","40850"
"In post","2021","Finance","Ministry of Justice","Unknown","80","80","43290","40530"
"In post","2021","Finance","National Crime Agency","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Finance","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other Cabinet Office Agencies","Heterosexual / straight","50","50","45200","39890"
"In post","2021","Finance","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Government","Heterosexual / straight","70","70","36460","34190"
"In post","2021","Finance","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Government","Unknown","90","90","32510","30550"
"In post","2021","Finance","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Finance","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Supreme Court","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wales Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wales Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Welsh Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Department for Environment, Food and Rural Affairs","Heterosexual / straight","790","710","26630","25190"
"In post","2021","Grants Management","Department for Environment, Food and Rural Affairs","LGBO","60","50","25940","24920"
"In post","2021","Grants Management","Department for Environment, Food and Rural Affairs","Undeclared","60","60","25920","25190"
"In post","2021","Grants Management","Department for Environment, Food and Rural Affairs","Unknown","980","910","24560","21050"
"In post","2021","Grants Management","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Attorney General's Departments","Heterosexual / straight","170","170","40260","33930"
"In post","2021","Human Resources","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Cabinet Office","Heterosexual / straight","870","820","39480","35590"
"In post","2021","Human Resources","Cabinet Office","LGBO","70","70","38240","35820"
"In post","2021","Human Resources","Cabinet Office","Undeclared","50","50","41150","35670"
"In post","2021","Human Resources","Cabinet Office","Unknown","130","120","36850","34550"
"In post","2021","Human Resources","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Competition and Markets Authority","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Human Resources","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","260","250","40970","39210"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Unknown","110","100","37630","33860"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Education","Heterosexual / straight","110","110","36860","32180"
"In post","2021","Human Resources","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs","Heterosexual / straight","210","200","43060","38710"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs","Unknown","30","30","[c]","[c]"
"In post","2021","Human Resources","Department for International Trade","Heterosexual / straight","80","80","44180","38540"
"In post","2021","Human Resources","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Transport","Heterosexual / straight","320","300","36620","32250"
"In post","2021","Human Resources","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Transport","Undeclared","50","50","[c]","[c]"
"In post","2021","Human Resources","Department for Transport","Unknown","40","40","[c]","[c]"
"In post","2021","Human Resources","Department for Work and Pensions","Heterosexual / straight","70","60","40240","35910"
"In post","2021","Human Resources","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department of Health and Social Care","Heterosexual / straight","210","200","44670","40070"
"In post","2021","Human Resources","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Department of Health and Social Care","Unknown","60","60","37610","32790"
"In post","2021","Human Resources","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office","Heterosexual / straight","220","210","44500","39580"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office","Unknown","40","40","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","Heterosexual / straight","70","60","43630","38550"
"In post","2021","Human Resources","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Revenue and Customs","Heterosexual / straight","1090","1020","36950","31810"
"In post","2021","Human Resources","HM Revenue and Customs","LGBO","70","70","36410","31810"
"In post","2021","Human Resources","HM Revenue and Customs","Undeclared","110","100","33520","28850"
"In post","2021","Human Resources","HM Revenue and Customs","Unknown","400","370","32330","28130"
"In post","2021","Human Resources","HM Treasury","Heterosexual / straight","90","80","42860","39200"
"In post","2021","Human Resources","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Defence","Heterosexual / straight","1750","1640","32440","26670"
"In post","2021","Human Resources","Ministry of Defence","LGBO","70","70","34690","29130"
"In post","2021","Human Resources","Ministry of Defence","Undeclared","220","200","32060","26830"
"In post","2021","Human Resources","Ministry of Defence","Unknown","150","140","30290","26670"
"In post","2021","Human Resources","Ministry of Housing, Communities and Local Government","Heterosexual / straight","80","70","41330","36340"
"In post","2021","Human Resources","Ministry of Housing, Communities and Local Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice","Heterosexual / straight","770","750","41810","38000"
"In post","2021","Human Resources","Ministry of Justice","LGBO","40","40","[c]","[c]"
"In post","2021","Human Resources","Ministry of Justice","Undeclared","80","80","41510","35380"
"In post","2021","Human Resources","Ministry of Justice","Unknown","80","80","39450","33520"
"In post","2021","Human Resources","National Crime Agency","Heterosexual / straight","150","140","40410","38440"
"In post","2021","Human Resources","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office for Standards in Education","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Human Resources","Office for Standards in Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office for Standards in Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other Cabinet Office Agencies","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Human Resources","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scotland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scotland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scottish Government","Heterosexual / straight","180","170","37360","35810"
"In post","2021","Human Resources","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scottish Government","Unknown","90","90","29010","28120"
"In post","2021","Human Resources","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Export Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Supreme Court","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Heterosexual / straight","140","130","37370","36030"
"In post","2021","Human Resources","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","United Kingdom Statistics Authority","Unknown","50","50","34480","30130"
"In post","2021","Human Resources","Wales Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Wales Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Welsh Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Foreign, Commonwealth and Development Office","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Internal Audit","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","HM Revenue and Customs","Heterosexual / straight","60","50","43630","41350"
"In post","2021","Internal Audit","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","HM Treasury","Heterosexual / straight","300","280","50340","48780"
"In post","2021","Internal Audit","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","HM Treasury","Undeclared","40","30","[c]","[c]"
"In post","2021","Internal Audit","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Ministry of Defence","Heterosexual / straight","110","110","38420","33810"
"In post","2021","Internal Audit","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Ministry of Justice","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Internal Audit","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","UK Export Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
