"Status","Year","Sexual_orientation","Region_ITL3","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","890","750","25260","27570"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Home Office","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Ministry of Justice","1060","980","28750","26810"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","230","210","27600","27570"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","150","140","26400","25240"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","9050","8750","38750","36420"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","510","470","30880","28220"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","310","300","36280","34440"
"In post","2021","Heterosexual / straight","Bedford","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Department for Work and Pensions","160","150","31550","27570"
"In post","2021","Heterosexual / straight","Bedford","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Home Office","90","90","28810","26160"
"In post","2021","Heterosexual / straight","Bedford","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Ministry of Justice","270","260","30150","30210"
"In post","2021","Heterosexual / straight","Bedford","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Food Standards Agency","60","60","37860","37910"
"In post","2021","Heterosexual / straight","Belfast","HM Revenue and Customs","1170","1080","30440","28130"
"In post","2021","Heterosexual / straight","Belfast","Home Office","370","330","24870","21430"
"In post","2021","Heterosexual / straight","Belfast","Ministry of Defence","50","50","22130","20310"
"In post","2021","Heterosexual / straight","Belfast","National Crime Agency","90","90","39540","37970"
"In post","2021","Heterosexual / straight","Belfast","Northern Ireland Office","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Attorney General's Departments","90","90","42390","38120"
"In post","2021","Heterosexual / straight","Berkshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Department for Environment, Food and Rural Affairs","230","220","38120","35900"
"In post","2021","Heterosexual / straight","Berkshire","Department for International Trade","90","90","46080","51970"
"In post","2021","Heterosexual / straight","Berkshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Department for Work and Pensions","320","300","29270","29290"
"In post","2021","Heterosexual / straight","Berkshire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","HM Revenue and Customs","190","170","34370","32100"
"In post","2021","Heterosexual / straight","Berkshire","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Home Office","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Ministry of Defence","690","670","34600","33300"
"In post","2021","Heterosexual / straight","Berkshire","Ministry of Justice","200","190","28750","24440"
"In post","2021","Heterosexual / straight","Berkshire","National Crime Agency","70","70","39380","37960"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Department for Transport","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Department for Work and Pensions","270","250","30980","31060"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Ministry of Defence","80","80","33250","33950"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Ministry of Justice","750","730","32130","32600"
"In post","2021","Heterosexual / straight","Birmingham","Attorney General's Departments","340","320","38910","38000"
"In post","2021","Heterosexual / straight","Birmingham","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Birmingham","Department for Business, Energy and Industrial Strategy","360","340","36120","34280"
"In post","2021","Heterosexual / straight","Birmingham","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Birmingham","Department for Transport","90","80","32170","30730"
"In post","2021","Heterosexual / straight","Birmingham","Department for Work and Pensions","1300","1180","27900","27570"
"In post","2021","Heterosexual / straight","Birmingham","Department of Health and Social Care","290","260","41190","33630"
"In post","2021","Heterosexual / straight","Birmingham","Food Standards Agency","50","50","38800","37910"
"In post","2021","Heterosexual / straight","Birmingham","HM Revenue and Customs","1650","1540","32670","31810"
"In post","2021","Heterosexual / straight","Birmingham","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Birmingham","Home Office","100","90","29480","25310"
"In post","2021","Heterosexual / straight","Birmingham","Ministry of Defence","190","190","34280","33300"
"In post","2021","Heterosexual / straight","Birmingham","Ministry of Housing, Communities and Local Government","110","110","38280","36340"
"In post","2021","Heterosexual / straight","Birmingham","Ministry of Justice","2280","2120","26190","22570"
"In post","2021","Heterosexual / straight","Birmingham","National Crime Agency","310","300","37450","36410"
"In post","2021","Heterosexual / straight","Birmingham","Office for Standards in Education","130","130","55000","51360"
"In post","2021","Heterosexual / straight","Birmingham","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Birmingham","Other Cabinet Office Agencies","60","50","39710","34800"
"In post","2021","Heterosexual / straight","Birmingham","Water Services Regulation Authority","70","70","54370","50620"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Department for Work and Pensions","240","210","27050","27570"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Ministry of Justice","90","80","27020","22920"
"In post","2021","Heterosexual / straight","Blackpool","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Department for Work and Pensions","3120","2860","28970","27570"
"In post","2021","Heterosexual / straight","Blackpool","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Ministry of Justice","100","90","27540","23840"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Department for Work and Pensions","170","150","27370","27570"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Home Office","70","60","27780","26410"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Ministry of Defence","70","70","23460","20920"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Ministry of Justice","180","160","26680","22260"
"In post","2021","Heterosexual / straight","Bradford","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","Department for Work and Pensions","560","490","25320","27570"
"In post","2021","Heterosexual / straight","Bradford","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","HM Revenue and Customs","960","860","30760","25560"
"In post","2021","Heterosexual / straight","Bradford","Ministry of Justice","270","240","25630","22920"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","Ministry of Justice","320","300","28720","26300"
"In post","2021","Heterosexual / straight","Brent","Department for Work and Pensions","160","150","30680","31060"
"In post","2021","Heterosexual / straight","Brent","HM Revenue and Customs","80","70","37330","34890"
"In post","2021","Heterosexual / straight","Brent","Ministry of Justice","140","130","28810","26410"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Department for Work and Pensions","320","280","25990","27570"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Ministry of Justice","150","140","27420","22310"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","National Crime Agency","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","Attorney General's Departments","70","70","44500","40000"
"In post","2021","Heterosexual / straight","Brighton and Hove","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","Department for Work and Pensions","150","140","27650","27570"
"In post","2021","Heterosexual / straight","Brighton and Hove","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","Ministry of Justice","160","140","29060","22920"
"In post","2021","Heterosexual / straight","Bristol, City of","Attorney General's Departments","100","90","39580","33310"
"In post","2021","Heterosexual / straight","Bristol, City of","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Bristol, City of","Department for Business, Energy and Industrial Strategy","80","70","36930","34500"
"In post","2021","Heterosexual / straight","Bristol, City of","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bristol, City of","Department for Education","150","140","44650","37270"
"In post","2021","Heterosexual / straight","Bristol, City of","Department for Environment, Food and Rural Affairs","590","560","40060","36970"
"In post","2021","Heterosexual / straight","Bristol, City of","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bristol, City of","Department for Transport","310","290","35870","31860"
"In post","2021","Heterosexual / straight","Bristol, City of","Department for Work and Pensions","570","500","27330","27570"
"In post","2021","Heterosexual / straight","Bristol, City of","Department of Health and Social Care","230","210","37560","30160"
"In post","2021","Heterosexual / straight","Bristol, City of","HM Revenue and Customs","840","790","36110","31810"
"In post","2021","Heterosexual / straight","Bristol, City of","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bristol, City of","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bristol, City of","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bristol, City of","Ministry of Housing, Communities and Local Government","610","570","45220","47660"
"In post","2021","Heterosexual / straight","Bristol, City of","Ministry of Justice","590","550","27200","23970"
"In post","2021","Heterosexual / straight","Bristol, City of","Office for Standards in Education","220","210","44850","39850"
"In post","2021","Heterosexual / straight","Bristol, City of","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bristol, City of","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bromley","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bromley","Department for Work and Pensions","180","170","30960","31060"
"In post","2021","Heterosexual / straight","Bromley","Ministry of Justice","130","110","26360","22450"
"In post","2021","Heterosexual / straight","Bromley","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Department for Work and Pensions","150","140","27950","27570"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Ministry of Defence","580","560","34260","31200"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Ministry of Justice","520","490","31120","30400"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","Scottish Government","50","50","30230","29190"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","Department for Work and Pensions","460","410","27230","27570"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","HM Revenue and Customs","70","60","27610","23920"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","Ministry of Justice","130","120","27200","23840"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Department for Education","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Department for Environment, Food and Rural Affairs","60","50","35110","30040"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Department for Work and Pensions","170","160","28560","27570"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Department of Health and Social Care","210","190","40910","31370"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Ministry of Defence","840","820","34890","33300"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Ministry of Justice","890","840","29880","29750"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Office for Standards in Education","80","80","62190","64500"
"In post","2021","Heterosexual / straight","Camden and City of London","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Camden and City of London","Cabinet Office","60","60","57860","54700"
"In post","2021","Heterosexual / straight","Camden and City of London","Chancellor's other departments","160","150","66860","61760"
"In post","2021","Heterosexual / straight","Camden and City of London","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Camden and City of London","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Camden and City of London","HM Revenue and Customs","820","790","38950","36160"
"In post","2021","Heterosexual / straight","Camden and City of London","HM Treasury","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Camden and City of London","Home Office","260","250","33860","30230"
"In post","2021","Heterosexual / straight","Camden and City of London","Ministry of Defence","80","80","36120","31510"
"In post","2021","Heterosexual / straight","Camden and City of London","Ministry of Justice","660","630","27940","23500"
"In post","2021","Heterosexual / straight","Camden and City of London","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Camden and City of London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Attorney General's Departments","160","150","41350","40420"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Department for Business, Energy and Industrial Strategy","830","770","32270","27460"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Department for Environment, Food and Rural Affairs","70","70","30130","24920"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Department for Transport","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Department for Work and Pensions","790","730","28060","27570"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","ESTYN","100","90","58240","74730"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Food Standards Agency","80","80","41080","37910"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","HM Revenue and Customs","2340","2170","29120","25560"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Home Office","270","250","28880","25360"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Ministry of Defence","210","200","26540","22640"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Ministry of Housing, Communities and Local Government","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Ministry of Justice","810","760","29510","25250"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Welsh Government","2350","2220","43140","37410"
"In post","2021","Heterosexual / straight","Causeway Coast and Glens","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Causeway Coast and Glens","Ministry of Defence","50","50","20870","20310"
"In post","2021","Heterosexual / straight","Central Bedfordshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Bedfordshire","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Bedfordshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Bedfordshire","Ministry of Defence","290","290","30420","26930"
"In post","2021","Heterosexual / straight","Central Hampshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Hampshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Hampshire","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Hampshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Hampshire","Department for Work and Pensions","90","80","27380","27570"
"In post","2021","Heterosexual / straight","Central Hampshire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Hampshire","Ministry of Defence","2630","2540","36500","33300"
"In post","2021","Heterosexual / straight","Central Hampshire","Ministry of Justice","270","260","30710","29830"
"In post","2021","Heterosexual / straight","Central Hampshire","National Crime Agency","60","50","37070","36410"
"In post","2021","Heterosexual / straight","Central Valleys","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Valleys","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Valleys","Department for Work and Pensions","400","360","26860","27570"
"In post","2021","Heterosexual / straight","Central Valleys","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Valleys","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Valleys","Ministry of Justice","120","110","28190","28200"
"In post","2021","Heterosexual / straight","Central Valleys","Welsh Government","710","680","41130","37410"
