"Status","Year","Responsibility_level","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Female","HM Prison and Probation Service","11680","10820","24900","23700"
"In post","2021","AA/AO","Female","HM Revenue and Customs (excl. agencies)","12270","9960","20840","20140"
"In post","2021","AA/AO","Female","HM Treasury (excl. agencies)","40","30","[c]","[c]"
"In post","2021","AA/AO","Female","Home Office (incl. agencies)","4840","4080","22060","21430"
"In post","2021","AA/AO","Female","Insolvency Service","400","370","21290","20880"
"In post","2021","AA/AO","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Legal Aid Agency","290","260","19840","19930"
"In post","2021","AA/AO","Female","Maritime and Coastguard Agency","150","130","23230","21590"
"In post","2021","AA/AO","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Met Office","50","50","23740","21280"
"In post","2021","AA/AO","Female","Ministry of Defence (excl. agencies)","6850","6390","21540","21030"
"In post","2021","AA/AO","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","Female","Ministry of Justice (excl. agencies)","170","150","21070","20890"
"In post","2021","AA/AO","Female","National Crime Agency","200","180","23570","24220"
"In post","2021","AA/AO","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","National Records of Scotland","80","70","22620","22230"
"In post","2021","AA/AO","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Office for Standards in Education, Children's Services and Skills","160","140","21230","21160"
"In post","2021","AA/AO","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Office of the Public Guardian","480","420","19770","19930"
"In post","2021","AA/AO","Female","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Planning Inspectorate","100","90","21400","21270"
"In post","2021","AA/AO","Female","Public Health England","660","570","21270","21020"
"In post","2021","AA/AO","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Registers of Scotland","170","150","24010","24130"
"In post","2021","AA/AO","Female","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Rural Payments Agency","580","490","21000","21050"
"In post","2021","AA/AO","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Scottish Courts and Tribunals Service","630","540","21870","22820"
"In post","2021","AA/AO","Female","Scottish Forestry","40","30","[c]","[c]"
"In post","2021","AA/AO","Female","Scottish Government (excl. agencies)","510","480","23130","23340"
"In post","2021","AA/AO","Female","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Scottish Prison Service","700","640","23280","22430"
"In post","2021","AA/AO","Female","Scottish Public Pensions Agency","80","60","24050","24110"
"In post","2021","AA/AO","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Social Security Scotland","230","210","21020","20060"
"In post","2021","AA/AO","Female","Student Awards Agency for Scotland","70","60","21720","22230"
"In post","2021","AA/AO","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","The National Archives","40","30","[c]","[c]"
"In post","2021","AA/AO","Female","Transport Scotland","30","30","[c]","[c]"
"In post","2021","AA/AO","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","UK Hydrographic Office","30","30","[c]","[c]"
"In post","2021","AA/AO","Female","UK Intellectual Property Office","120","100","20910","21140"
"In post","2021","AA/AO","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","United Kingdom Statistics Authority","830","590","19540","19520"
"In post","2021","AA/AO","Female","Valuation Office Agency","550","470","21320","21100"
"In post","2021","AA/AO","Female","Vehicle Certification Agency","30","30","[c]","[c]"
"In post","2021","AA/AO","Female","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Welsh Government (excl. agencies)","610","540","23340","23830"
"In post","2021","AA/AO","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Animal and Plant Health Agency","260","250","22000","21050"
"In post","2021","AA/AO","Male","Cabinet Office (excl. agencies)","240","230","21890","20920"
"In post","2021","AA/AO","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Companies House","140","140","21420","22490"
"In post","2021","AA/AO","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Criminal Injuries Compensation Authority","50","50","20120","20480"
"In post","2021","AA/AO","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Crown Office and Procurator Fiscal Service","170","160","22050","22220"
"In post","2021","AA/AO","Male","Crown Prosecution Service","390","380","22200","21950"
"In post","2021","AA/AO","Male","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Defence Electronics and Components Agency","60","60","19510","19810"
"In post","2021","AA/AO","Male","Defence Science and Technology Laboratory","90","90","19130","17710"
"In post","2021","AA/AO","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","22940","24370"
"In post","2021","AA/AO","Male","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Department for Transport (excl. agencies)","100","80","30340","32740"
"In post","2021","AA/AO","Male","Department for Work and Pensions (excl. agencies)","9690","9200","21190","21010"
"In post","2021","AA/AO","Male","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Disclosure Scotland","90","90","21890","22230"
"In post","2021","AA/AO","Male","Driver and Vehicle Licensing Agency","1360","1290","20950","21590"
"In post","2021","AA/AO","Male","Driver and Vehicle Standards Agency","750","730","25860","26580"
"In post","2021","AA/AO","Male","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","FCDO Services","90","90","25630","23340"
"In post","2021","AA/AO","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Foreign, Commonwealth and Development Office (excl. agencies)","180","180","25910","25430"
"In post","2021","AA/AO","Male","Forestry and Land Scotland","340","330","25390","26530"
"In post","2021","AA/AO","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Health and Safety Executive","90","80","21960","22160"
"In post","2021","AA/AO","Male","HM Courts and Tribunals Service","3020","2880","19980","19930"
"In post","2021","AA/AO","Male","HM Land Registry","710","690","22460","22350"
"In post","2021","AA/AO","Male","HM Prison and Probation Service","16730","16050","27350","26810"
"In post","2021","AA/AO","Male","HM Revenue and Customs (excl. agencies)","8490","8010","20600","20140"
"In post","2021","AA/AO","Male","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Home Office (incl. agencies)","3490","3300","21900","21430"
"In post","2021","AA/AO","Male","Insolvency Service","240","230","21060","20880"
"In post","2021","AA/AO","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Legal Aid Agency","160","150","19540","19860"
"In post","2021","AA/AO","Male","Maritime and Coastguard Agency","140","140","25310","26590"
"In post","2021","AA/AO","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Met Office","50","50","[c]","[c]"
"In post","2021","AA/AO","Male","Ministry of Defence (excl. agencies)","8760","8610","23920","20920"
"In post","2021","AA/AO","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","Male","Ministry of Justice (excl. agencies)","110","100","21520","21710"
"In post","2021","AA/AO","Male","National Crime Agency","130","120","24050","24220"
"In post","2021","AA/AO","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","National Records of Scotland","80","70","22510","22230"
"In post","2021","AA/AO","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Office for Standards in Education, Children's Services and Skills","70","70","21300","21160"
"In post","2021","AA/AO","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Office of the Public Guardian","380","360","19740","19930"
"In post","2021","AA/AO","Male","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Planning Inspectorate","70","70","21720","21270"
"In post","2021","AA/AO","Male","Public Health England","240","220","20960","20150"
"In post","2021","AA/AO","Male","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Registers of Scotland","190","180","24020","24130"
"In post","2021","AA/AO","Male","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Rural Payments Agency","400","390","21010","21050"
"In post","2021","AA/AO","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Scottish Courts and Tribunals Service","290","270","21290","20850"
"In post","2021","AA/AO","Male","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Scottish Government (excl. agencies)","410","400","24480","23340"
"In post","2021","AA/AO","Male","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Scottish Prison Service","850","820","24150","25870"
"In post","2021","AA/AO","Male","Scottish Public Pensions Agency","60","60","23990","24110"
"In post","2021","AA/AO","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Social Security Scotland","170","170","21170","20060"
"In post","2021","AA/AO","Male","Student Awards Agency for Scotland","50","50","[c]","[c]"
"In post","2021","AA/AO","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","The National Archives","60","50","21000","20650"
"In post","2021","AA/AO","Male","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","UK Hydrographic Office","50","50","[c]","[c]"
"In post","2021","AA/AO","Male","UK Intellectual Property Office","80","80","20660","21140"
"In post","2021","AA/AO","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","United Kingdom Statistics Authority","630","450","19760","19520"
"In post","2021","AA/AO","Male","Valuation Office Agency","300","290","21210","21100"
"In post","2021","AA/AO","Male","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Welsh Government (excl. agencies)","350","340","23370","23830"
"In post","2021","AA/AO","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Accountant in Bankruptcy","30","30","[c]","[c]"
"In post","2021","EO","Female","Advisory, Conciliation and Arbitration Service","210","200","25100","24250"
"In post","2021","EO","Female","Animal and Plant Health Agency","460","430","26380","25380"
"In post","2021","EO","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Cabinet Office (excl. agencies)","530","510","27150","27500"
"In post","2021","EO","Female","Centre for Environment, Fisheries and Aquaculture Science","70","60","25050","24920"
"In post","2021","EO","Female","Charity Commission","70","60","24740","24440"
"In post","2021","EO","Female","Companies House","140","120","26910","27460"
"In post","2021","EO","Female","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","EO","Female","Criminal Injuries Compensation Authority","50","40","[c]","[c]"
"In post","2021","EO","Female","Crown Commercial Service","60","60","23380","22230"
"In post","2021","EO","Female","Crown Office and Procurator Fiscal Service","240","220","27320","26570"
"In post","2021","EO","Female","Crown Prosecution Service","980","880","27970","28430"
"In post","2021","EO","Female","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Defence Equipment and Support","1020","930","22180","21470"
"In post","2021","EO","Female","Defence Science and Technology Laboratory","150","130","22850","22780"
"In post","2021","EO","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","250","240","27870","27680"
"In post","2021","EO","Female","Department for Digital, Culture, Media and Sport","120","120","27470","26180"
"In post","2021","EO","Female","Department for Education (excl. agencies)","450","430","26960","26000"
"In post","2021","EO","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","300","280","26720","25910"
"In post","2021","EO","Female","Department for International Trade","140","140","27400","26510"
"In post","2021","EO","Female","Department for Transport (excl. agencies)","230","220","28640","30270"
"In post","2021","EO","Female","Department for Work and Pensions (excl. agencies)","32260","28270","28110","27570"
"In post","2021","EO","Female","Department of Health and Social Care (excl. agencies)","280","270","27030","27270"
"In post","2021","EO","Female","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Driver and Vehicle Licensing Agency","500","450","26600","26780"
"In post","2021","EO","Female","Driver and Vehicle Standards Agency","680","620","27400","26780"
"In post","2021","EO","Female","Education and Skills Funding Agency","110","100","25940","26000"
"In post","2021","EO","Female","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","FCDO Services","80","80","27680","26590"
"In post","2021","EO","Female","Food Standards Agency","90","80","27140","26750"
"In post","2021","EO","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Foreign, Commonwealth and Development Office (excl. agencies)","450","440","29910","30300"
"In post","2021","EO","Female","Forestry and Land Scotland","100","90","30470","30160"
"In post","2021","EO","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Government Legal Department","210","200","28450","27580"
"In post","2021","EO","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Health and Safety Executive","280","260","28150","28210"
"In post","2021","EO","Female","HM Courts and Tribunals Service","1940","1790","24010","23700"
"In post","2021","EO","Female","HM Land Registry","1460","1220","27380","27130"
"In post","2021","EO","Female","HM Prison and Probation Service","2400","2290","29630","28400"
"In post","2021","EO","Female","HM Revenue and Customs (excl. agencies)","7830","6960","26480","25560"
"In post","2021","EO","Female","HM Treasury (excl. agencies)","130","130","27130","26780"
"In post","2021","EO","Female","Home Office (incl. agencies)","7200","6450","26860","25990"
"In post","2021","EO","Female","Insolvency Service","130","130","25990","26290"
"In post","2021","EO","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Legal Aid Agency","190","180","23690","22570"
"In post","2021","EO","Female","Maritime and Coastguard Agency","110","100","27950","26700"
"In post","2021","EO","Female","Medicines and Healthcare Products Regulatory Agency","150","140","27880","27510"
"In post","2021","EO","Female","Met Office","90","80","25630","25630"
"In post","2021","EO","Female","Ministry of Defence (excl. agencies)","3270","3110","27850","26670"
"In post","2021","EO","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","150","140","28030","27850"
"In post","2021","EO","Female","Ministry of Justice (excl. agencies)","460","430","26010","26410"
"In post","2021","EO","Female","National Crime Agency","1260","1210","32730","32770"
"In post","2021","EO","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","National Records of Scotland","30","30","[c]","[c]"
"In post","2021","EO","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Office for Standards in Education, Children's Services and Skills","120","110","26190","25880"
"In post","2021","EO","Female","Office of Gas and Electricity Markets","140","130","26110","25610"
"In post","2021","EO","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Office of the Public Guardian","210","200","22320","22570"
"In post","2021","EO","Female","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Planning Inspectorate","40","40","[c]","[c]"
"In post","2021","EO","Female","Public Health England","710","640","25990","25800"
"In post","2021","EO","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Registers of Scotland","190","180","30030","30080"
"In post","2021","EO","Female","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Rural Payments Agency","360","310","25520","25190"
"In post","2021","EO","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Scottish Courts and Tribunals Service","340","310","28650","29350"
"In post","2021","EO","Female","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Scottish Government (excl. agencies)","620","590","27910","28170"
"In post","2021","EO","Female","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Scottish Prison Service","600","580","32230","33650"
"In post","2021","EO","Female","Scottish Public Pensions Agency","40","40","[c]","[c]"
"In post","2021","EO","Female","Serious Fraud Office","40","30","[c]","[c]"
"In post","2021","EO","Female","Social Security Scotland","180","180","26820","26160"
"In post","2021","EO","Female","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Student Awards Agency for Scotland","30","30","[c]","[c]"
"In post","2021","EO","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","The National Archives","40","40","[c]","[c]"
"In post","2021","EO","Female","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","UK Hydrographic Office","90","80","27550","26740"
"In post","2021","EO","Female","UK Intellectual Property Office","270","250","25110","23320"
"In post","2021","EO","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","United Kingdom Statistics Authority","500","460","23920","23050"
"In post","2021","EO","Female","Valuation Office Agency","530","470","27020","26000"
"In post","2021","EO","Female","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Welsh Government (excl. agencies)","570","520","28710","28850"
"In post","2021","EO","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Advisory, Conciliation and Arbitration Service","140","140","25000","24250"
"In post","2021","EO","Male","Animal and Plant Health Agency","320","300","26820","26440"
"In post","2021","EO","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Cabinet Office (excl. agencies)","350","350","27300","27500"
"In post","2021","EO","Male","Centre for Environment, Fisheries and Aquaculture Science","50","50","25120","24920"
"In post","2021","EO","Male","Charity Commission","40","40","[c]","[c]"
"In post","2021","EO","Male","Companies House","150","140","28760","27460"
"In post","2021","EO","Male","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","EO","Male","Criminal Injuries Compensation Authority","40","40","[c]","[c]"
"In post","2021","EO","Male","Crown Commercial Service","50","50","[c]","[c]"
"In post","2021","EO","Male","Crown Office and Procurator Fiscal Service","80","80","27340","26570"
"In post","2021","EO","Male","Crown Prosecution Service","380","370","27910","28430"
"In post","2021","EO","Male","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Defence Electronics and Components Agency","240","230","28100","28750"
"In post","2021","EO","Male","Defence Equipment and Support","1590","1570","22290","21120"
"In post","2021","EO","Male","Defence Science and Technology Laboratory","100","90","23380","22780"
"In post","2021","EO","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","150","150","28510","27690"
"In post","2021","EO","Male","Department for Digital, Culture, Media and Sport","60","60","27240","26180"
"In post","2021","EO","Male","Department for Education (excl. agencies)","290","280","26740","26000"
"In post","2021","EO","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","220","210","26790","26300"
"In post","2021","EO","Male","Department for International Trade","110","110","27300","26510"
"In post","2021","EO","Male","Department for Transport (excl. agencies)","160","160","28900","30270"
"In post","2021","EO","Male","Department for Work and Pensions (excl. agencies)","16310","15680","28140","27570"
"In post","2021","EO","Male","Department of Health and Social Care (excl. agencies)","160","160","26430","27270"
"In post","2021","EO","Male","Disclosure Scotland","30","30","[c]","[c]"
"In post","2021","EO","Male","Driver and Vehicle Licensing Agency","400","390","26860","26670"
"In post","2021","EO","Male","Driver and Vehicle Standards Agency","1910","1800","28600","26780"
"In post","2021","EO","Male","Education and Skills Funding Agency","70","70","26060","26000"
"In post","2021","EO","Male","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","FCDO Services","130","130","28670","27280"
