"Status","Year","Region_ITL3","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Female","80","70","23040","22910"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","EO","Female","230","200","30990","31060"
"In post","2021","Barking & Dagenham and Havering","EO","Male","150","150","30970","31060"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Female","30","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Female","40","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","AA/AO","Female","200","170","23990","23530"
"In post","2021","Barnet","AA/AO","Male","80","70","23320","23530"
"In post","2021","Barnet","EO","Female","290","270","30080","31060"
"In post","2021","Barnet","EO","Male","150","140","29970","30780"
"In post","2021","Barnet","G6/G7","Female","170","160","59670","55150"
"In post","2021","Barnet","G6/G7","Male","140","140","60490","58870"
"In post","2021","Barnet","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Female","350","330","38090","38930"
"In post","2021","Barnet","SEO/HEO","Male","220","220","40270","40470"
"In post","2021","Barnet","Unknown","Female","40","40","[c]","[c]"
"In post","2021","Barnet","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Female","870","730","21660","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Male","640","610","25100","25300"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Female","610","510","27540","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Male","330","310","29720","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Female","180","170","36460","33650"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Male","130","120","39220","37280"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Female","170","150","29240","28200"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Female","440","390","22680","21130"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Male","320","310","23720","21130"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Female","1290","1170","24680","25500"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Male","1320","1300","24930","25750"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Female","590","570","56360","54560"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Male","1330","1310","57860","55500"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Female","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Male","110","110","101170","93990"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Female","2450","2290","35310","34010"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Male","3930","3860","37330","37970"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Female","550","510","37110","33310"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Male","980","970","43630","40430"
"In post","2021","Bedford","AA/AO","Female","160","140","24550","22160"
"In post","2021","Bedford","AA/AO","Male","140","130","27430","28740"
"In post","2021","Bedford","EO","Female","160","150","27420","27570"
"In post","2021","Bedford","EO","Male","120","120","28220","27570"
"In post","2021","Bedford","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SEO/HEO","Female","70","70","37540","35510"
"In post","2021","Bedford","SEO/HEO","Male","90","90","38520","37360"
"In post","2021","Bedford","Unknown","Female","60","50","27250","23380"
"In post","2021","Bedford","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","AA/AO","Female","510","430","20740","20140"
"In post","2021","Belfast","AA/AO","Male","500","470","20560","20140"
"In post","2021","Belfast","EO","Female","430","380","26340","25560"
"In post","2021","Belfast","EO","Male","390","380","26220","25560"
"In post","2021","Belfast","G6/G7","Female","100","100","53860","52580"
"In post","2021","Belfast","G6/G7","Male","110","110","55600","52580"
"In post","2021","Belfast","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","SEO/HEO","Female","390","370","34330","31810"
"In post","2021","Belfast","SEO/HEO","Male","370","360","34230","31810"
"In post","2021","Berkshire","AA/AO","Female","350","310","23250","22080"
"In post","2021","Berkshire","AA/AO","Male","660","650","29840","26610"
"In post","2021","Berkshire","EO","Female","460","420","29530","29290"
"In post","2021","Berkshire","EO","Male","340","330","32830","29290"
"In post","2021","Berkshire","G6/G7","Female","130","120","56880","54650"
"In post","2021","Berkshire","G6/G7","Male","160","160","57010","54380"
"In post","2021","Berkshire","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","SEO/HEO","Female","300","280","36870","36520"
"In post","2021","Berkshire","SEO/HEO","Male","350","340","38690","37190"
"In post","2021","Berkshire","Unknown","Female","120","110","29690","27920"
"In post","2021","Berkshire","Unknown","Male","70","70","35210","38000"
"In post","2021","Bexley and Greenwich","AA/AO","Female","420","400","26700","24890"
"In post","2021","Bexley and Greenwich","AA/AO","Male","460","450","30110","31590"
"In post","2021","Bexley and Greenwich","EO","Female","330","310","31310","31060"
"In post","2021","Bexley and Greenwich","EO","Male","210","210","33240","31880"
"In post","2021","Bexley and Greenwich","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","SEO/HEO","Female","70","70","40410","38440"
"In post","2021","Bexley and Greenwich","SEO/HEO","Male","120","120","42110","40960"
"In post","2021","Bexley and Greenwich","Unknown","Female","90","80","33190","34100"
"In post","2021","Bexley and Greenwich","Unknown","Male","50","50","[c]","[c]"
"In post","2021","Birmingham","AA/AO","Female","2120","1840","20770","20180"
"In post","2021","Birmingham","AA/AO","Male","1450","1390","21350","20140"
"In post","2021","Birmingham","EO","Female","1960","1750","26520","27570"
"In post","2021","Birmingham","EO","Male","1350","1310","26780","27370"
"In post","2021","Birmingham","G6/G7","Female","580","540","56790","53350"
"In post","2021","Birmingham","G6/G7","Male","570","560","58470","55530"
"In post","2021","Birmingham","SCS","Female","60","50","101480","93050"
"In post","2021","Birmingham","SCS","Male","60","50","98290","98230"
"In post","2021","Birmingham","SEO/HEO","Female","1560","1470","35420","33300"
"In post","2021","Birmingham","SEO/HEO","Male","1460","1430","35980","34000"
"In post","2021","Birmingham","Unknown","Female","330","290","29760","28200"
"In post","2021","Birmingham","Unknown","Male","110","110","31350","28200"
"In post","2021","Blackburn with Darwen","AA/AO","Female","100","80","20480","21010"
"In post","2021","Blackburn with Darwen","AA/AO","Male","60","50","22010","21010"
"In post","2021","Blackburn with Darwen","EO","Female","120","100","27360","27570"
"In post","2021","Blackburn with Darwen","EO","Male","100","100","27680","27570"
"In post","2021","Blackburn with Darwen","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","Female","50","40","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","AA/AO","Female","1110","950","20790","21010"
"In post","2021","Blackpool","AA/AO","Male","650","620","20930","21010"
"In post","2021","Blackpool","EO","Female","1200","1040","27400","27570"
"In post","2021","Blackpool","EO","Male","660","640","27500","27570"
"In post","2021","Blackpool","G6/G7","Female","210","200","53470","49700"
"In post","2021","Blackpool","G6/G7","Male","210","200","57610","56190"
"In post","2021","Blackpool","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","SEO/HEO","Female","630","590","34380","33720"
"In post","2021","Blackpool","SEO/HEO","Male","390","380","34660","34290"
"In post","2021","Blackpool","Unknown","Female","50","50","28600","28200"
"In post","2021","Blackpool","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","AA/AO","Female","100","90","19990","20100"
"In post","2021","Bournemouth and Poole","AA/AO","Male","90","90","20670","20520"
"In post","2021","Bournemouth and Poole","EO","Female","190","160","27020","27570"
"In post","2021","Bournemouth and Poole","EO","Male","140","130","27140","27570"
"In post","2021","Bournemouth and Poole","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","SEO/HEO","Female","40","40","[c]","[c]"
"In post","2021","Bournemouth and Poole","SEO/HEO","Male","40","30","[c]","[c]"
"In post","2021","Bournemouth and Poole","Unknown","Female","80","70","28890","26570"
"In post","2021","Bournemouth and Poole","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","AA/AO","Female","800","620","20460","20140"
"In post","2021","Bradford","AA/AO","Male","540","500","20520","20140"
"In post","2021","Bradford","EO","Female","600","510","26650","27570"
"In post","2021","Bradford","EO","Male","360","340","26760","27570"
"In post","2021","Bradford","G6/G7","Female","90","90","55390","52580"
"In post","2021","Bradford","G6/G7","Male","90","80","54310","52580"
"In post","2021","Bradford","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","SEO/HEO","Female","280","260","33720","31870"
"In post","2021","Bradford","SEO/HEO","Male","220","220","34640","32100"
"In post","2021","Bradford","Unknown","Female","90","80","30010","28200"
"In post","2021","Bradford","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Breckland and South Norfolk","AA/AO","Female","120","110","23340","22850"
"In post","2021","Breckland and South Norfolk","AA/AO","Male","190","180","24760","24120"
"In post","2021","Breckland and South Norfolk","EO","Female","60","60","27210","27570"
"In post","2021","Breckland and South Norfolk","EO","Male","70","70","30210","28860"
"In post","2021","Breckland and South Norfolk","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","SEO/HEO","Female","30","30","[c]","[c]"
"In post","2021","Breckland and South Norfolk","SEO/HEO","Male","40","40","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Brent","AA/AO","Female","120","100","23460","23500"
"In post","2021","Brent","AA/AO","Male","40","40","[c]","[c]"
"In post","2021","Brent","EO","Female","170","160","30690","31060"
"In post","2021","Brent","EO","Male","100","100","30620","31060"
"In post","2021","Brent","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Brent","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Brent","SEO/HEO","Female","40","40","[c]","[c]"
"In post","2021","Brent","SEO/HEO","Male","50","50","[c]","[c]"
"In post","2021","Brent","Unknown","Female","60","50","32700","28690"
"In post","2021","Brent","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","AA/AO","Female","180","150","20470","21010"
"In post","2021","Bridgend and Neath Port Talbot","AA/AO","Male","90","80","20560","21010"
"In post","2021","Bridgend and Neath Port Talbot","EO","Female","210","180","27510","27570"
"In post","2021","Bridgend and Neath Port Talbot","EO","Male","80","80","29190","27570"
"In post","2021","Bridgend and Neath Port Talbot","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","SEO/HEO","Female","50","50","35000","34290"
"In post","2021","Bridgend and Neath Port Talbot","SEO/HEO","Male","30","30","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Unknown","Female","50","50","32600","30210"
"In post","2021","Bridgend and Neath Port Talbot","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","AA/AO","Female","90","80","20700","20650"
"In post","2021","Brighton and Hove","AA/AO","Male","60","60","20230","20590"
"In post","2021","Brighton and Hove","EO","Female","170","160","27470","27570"
"In post","2021","Brighton and Hove","EO","Male","90","90","27810","27570"
"In post","2021","Brighton and Hove","G6/G7","Female","40","40","[c]","[c]"
"In post","2021","Brighton and Hove","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","SEO/HEO","Female","50","40","[c]","[c]"
"In post","2021","Brighton and Hove","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Unknown","Female","70","50","28620","28200"
"In post","2021","Brighton and Hove","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","AA/AO","Female","770","670","21170","21010"
"In post","2021","Bristol, City of","AA/AO","Male","570","550","21980","21050"
"In post","2021","Bristol, City of","EO","Female","790","690","26450","26780"
"In post","2021","Bristol, City of","EO","Male","650","620","26900","27530"
"In post","2021","Bristol, City of","G6/G7","Female","640","590","55850","52630"
"In post","2021","Bristol, City of","G6/G7","Male","790","750","57200","55610"
"In post","2021","Bristol, City of","SCS","Female","40","40","[c]","[c]"
"In post","2021","Bristol, City of","SCS","Male","40","40","[c]","[c]"
"In post","2021","Bristol, City of","SEO/HEO","Female","1170","1070","35230","34290"
"In post","2021","Bristol, City of","SEO/HEO","Male","1000","960","35600","34480"
"In post","2021","Bristol, City of","Unknown","Female","120","110","28590","28200"
"In post","2021","Bristol, City of","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Bromley","AA/AO","Female","100","90","22380","22450"
"In post","2021","Bromley","AA/AO","Male","40","40","[c]","[c]"
"In post","2021","Bromley","EO","Female","170","150","31010","31060"
"In post","2021","Bromley","EO","Male","70","70","31170","31060"
"In post","2021","Bromley","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","SEO/HEO","Female","40","40","[c]","[c]"
"In post","2021","Bromley","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","AA/AO","Female","320","300","23970","22920"
"In post","2021","Buckinghamshire CC","AA/AO","Male","240","240","27010","27850"
"In post","2021","Buckinghamshire CC","EO","Female","290","270","28260","27570"
"In post","2021","Buckinghamshire CC","EO","Male","200","200","29470","28670"
"In post","2021","Buckinghamshire CC","G6/G7","Female","40","40","[c]","[c]"
"In post","2021","Buckinghamshire CC","G6/G7","Male","40","40","[c]","[c]"
"In post","2021","Buckinghamshire CC","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","SEO/HEO","Female","250","230","38310","35300"
"In post","2021","Buckinghamshire CC","SEO/HEO","Male","200","190","39260","38160"
"In post","2021","Buckinghamshire CC","Unknown","Female","80","70","29590","30210"
"In post","2021","Buckinghamshire CC","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","AA/AO","Female","50","40","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","AA/AO","Male","40","30","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","EO","Female","50","50","28290","27570"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","EO","Male","40","40","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","AA/AO","Female","160","120","20490","21010"
"In post","2021","Calderdale and Kirklees","AA/AO","Male","70","70","20770","21010"
"In post","2021","Calderdale and Kirklees","EO","Female","370","320","27260","27570"
"In post","2021","Calderdale and Kirklees","EO","Male","240","230","27400","27570"
"In post","2021","Calderdale and Kirklees","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","SEO/HEO","Female","60","60","33980","32830"
"In post","2021","Calderdale and Kirklees","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Unknown","Female","100","90","28680","28200"
"In post","2021","Calderdale and Kirklees","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cambridgeshire CC","AA/AO","Female","510","460","23050","21570"
"In post","2021","Cambridgeshire CC","AA/AO","Male","630","600","27210","28400"
"In post","2021","Cambridgeshire CC","EO","Female","350","320","27130","26930"
"In post","2021","Cambridgeshire CC","EO","Male","360","350","28800","27570"
"In post","2021","Cambridgeshire CC","G6/G7","Female","150","140","60950","57680"
"In post","2021","Cambridgeshire CC","G6/G7","Male","160","150","60110","56350"
"In post","2021","Cambridgeshire CC","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cambridgeshire CC","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cambridgeshire CC","SEO/HEO","Female","510","480","37030","34530"
"In post","2021","Cambridgeshire CC","SEO/HEO","Male","570","560","37350","36460"
"In post","2021","Cambridgeshire CC","Unknown","Female","80","80","29870","30210"
"In post","2021","Cambridgeshire CC","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Camden and City of London","AA/AO","Female","480","440","23180","22680"
"In post","2021","Camden and City of London","AA/AO","Male","380","370","24080","23500"
"In post","2021","Camden and City of London","EO","Female","500","460","29470","29570"
"In post","2021","Camden and City of London","EO","Male","430","420","30010","29570"
"In post","2021","Camden and City of London","G6/G7","Female","230","220","65430","59240"
"In post","2021","Camden and City of London","G6/G7","Male","370","360","69160","60400"
"In post","2021","Camden and City of London","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Camden and City of London","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Camden and City of London","SEO/HEO","Female","540","520","38010","36160"
"In post","2021","Camden and City of London","SEO/HEO","Male","650","640","39290","38010"
"In post","2021","Camden and City of London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Camden and City of London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cardiff and Vale of Glamorgan","AA/AO","Female","1890","1610","21190","21010"
"In post","2021","Cardiff and Vale of Glamorgan","AA/AO","Male","1510","1440","21510","20500"
"In post","2021","Cardiff and Vale of Glamorgan","EO","Female","1810","1630","26740","27230"
"In post","2021","Cardiff and Vale of Glamorgan","EO","Male","1520","1470","27010","26670"
"In post","2021","Cardiff and Vale of Glamorgan","G6/G7","Female","690","650","59240","60830"
"In post","2021","Cardiff and Vale of Glamorgan","G6/G7","Male","660","650","60030","60830"
"In post","2021","Cardiff and Vale of Glamorgan","SCS","Female","80","80","86810","80470"
"In post","2021","Cardiff and Vale of Glamorgan","SCS","Male","110","110","92920","82870"
"In post","2021","Cardiff and Vale of Glamorgan","SEO/HEO","Female","1840","1720","36770","37410"
"In post","2021","Cardiff and Vale of Glamorgan","SEO/HEO","Male","1680","1640","36740","36460"
"In post","2021","Cardiff and Vale of Glamorgan","Unknown","Female","200","190","31150","30210"
"In post","2021","Cardiff and Vale of Glamorgan","Unknown","Male","80","80","31000","30210"
"In post","2021","Causeway Coast and Glens","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","AA/AO","Male","60","60","20390","20310"
"In post","2021","Causeway Coast and Glens","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","AA/AO","Female","70","70","20650","20920"
"In post","2021","Central Bedfordshire","AA/AO","Male","70","70","20910","20620"
"In post","2021","Central Bedfordshire","EO","Female","70","60","27720","26930"
"In post","2021","Central Bedfordshire","EO","Male","60","60","28420","27570"
"In post","2021","Central Bedfordshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","SEO/HEO","Female","40","40","[c]","[c]"
"In post","2021","Central Bedfordshire","SEO/HEO","Male","100","100","37490","36350"
"In post","2021","Central Bedfordshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Central Hampshire","AA/AO","Female","400","370","22160","20920"
"In post","2021","Central Hampshire","AA/AO","Male","410","410","24220","21010"
"In post","2021","Central Hampshire","EO","Female","410","380","26640","26670"
"In post","2021","Central Hampshire","EO","Male","310","310","27950","26670"
"In post","2021","Central Hampshire","G6/G7","Female","260","250","53010","53320"
"In post","2021","Central Hampshire","G6/G7","Male","680","660","53480","54430"
"In post","2021","Central Hampshire","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Central Hampshire","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Central Hampshire","SEO/HEO","Female","770","740","35720","33630"
"In post","2021","Central Hampshire","SEO/HEO","Male","880","860","35890","37280"
"In post","2021","Central Hampshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Central Hampshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Central Valleys","AA/AO","Female","260","220","21490","21010"
"In post","2021","Central Valleys","AA/AO","Male","100","100","21930","21010"
"In post","2021","Central Valleys","EO","Female","370","330","27730","27570"
"In post","2021","Central Valleys","EO","Male","180","170","27810","27570"
"In post","2021","Central Valleys","G6/G7","Female","80","80","61940","60830"
"In post","2021","Central Valleys","G6/G7","Male","90","90","62550","60830"
"In post","2021","Central Valleys","SCS","Female","[c]","[c]","[c]","[c]"
