"Status","Year","Sex","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Declared disabled","Durham CC","330","280","26430","25220"
"In post","2021","Female","Declared disabled","Ealing","50","50","31970","31060"
"In post","2021","Female","Declared disabled","East Ayrshire and North Ayrshire mainland","50","40","[c]","[c]"
"In post","2021","Female","Declared disabled","East Cumbria","60","50","28640","25930"
"In post","2021","Female","Declared disabled","East Derbyshire","70","60","26240","27570"
"In post","2021","Female","Declared disabled","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","80","70","27710","27570"
"In post","2021","Female","Declared disabled","East Kent","250","220","28250","27370"
"In post","2021","Female","Declared disabled","East Lancashire","60","50","25590","27570"
"In post","2021","Female","Declared disabled","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","East Merseyside","130","110","27160","27570"
"In post","2021","Female","Declared disabled","East Riding of Yorkshire","80","70","27180","27160"
"In post","2021","Female","Declared disabled","East Surrey","50","40","[c]","[c]"
"In post","2021","Female","Declared disabled","East Sussex CC","180","150","25290","26120"
"In post","2021","Female","Declared disabled","Enfield","40","40","[c]","[c]"
"In post","2021","Female","Declared disabled","Essex Haven Gateway","60","60","29740","29290"
"In post","2021","Female","Declared disabled","Essex Thames Gateway","140","120","27510","29170"
"In post","2021","Female","Declared disabled","Falkirk","110","90","27590","27570"
"In post","2021","Female","Declared disabled","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Flintshire and Wrexham","140","120","27710","26930"
"In post","2021","Female","Declared disabled","Glasgow City","680","600","28590","26160"
"In post","2021","Female","Declared disabled","Gloucestershire","100","80","26770","27130"
"In post","2021","Female","Declared disabled","Greater Manchester North East","110","100","26960","27570"
"In post","2021","Female","Declared disabled","Greater Manchester North West","210","170","24160","21530"
"In post","2021","Female","Declared disabled","Greater Manchester South East","120","100","25070","21010"
"In post","2021","Female","Declared disabled","Greater Manchester South West","300","270","29830","27570"
"In post","2021","Female","Declared disabled","Gwent Valleys","120","110","26030","27570"
"In post","2021","Female","Declared disabled","Gwynedd","60","50","23720","21010"
"In post","2021","Female","Declared disabled","Hackney and Newham","260","240","31610","30420"
"In post","2021","Female","Declared disabled","Haringey and Islington","110","100","31670","31060"
"In post","2021","Female","Declared disabled","Harrow and Hillingdon","200","170","31120","30500"
"In post","2021","Female","Declared disabled","Hartlepool and Stockton-on-Tees","140","120","26410","27570"
"In post","2021","Female","Declared disabled","Heart of Essex","80","70","32710","29290"
"In post","2021","Female","Declared disabled","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Hertfordshire","190","170","32010","29290"
"In post","2021","Female","Declared disabled","Hounslow and Richmond upon Thames","130","120","30500","29250"
"In post","2021","Female","Declared disabled","Inverclyde, East Renfrewshire and Renfrewshire","60","50","27640","27570"
"In post","2021","Female","Declared disabled","Inverness and Nairn and Moray, Badenoch and Strathspey","60","50","27730","27570"
"In post","2021","Female","Declared disabled","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Isle of Wight","60","50","26390","27380"
"In post","2021","Female","Declared disabled","Kensington & Chelsea and Hammersmith & Fulham","50","50","31280","31060"
"In post","2021","Female","Declared disabled","Kent Thames Gateway","90","80","28390","29170"
"In post","2021","Female","Declared disabled","Kingston upon Hull, City of","140","120","26410","27570"
"In post","2021","Female","Declared disabled","Lambeth","180","170","35250","31880"
"In post","2021","Female","Declared disabled","Lancaster and Wyre","60","50","26000","26670"
"In post","2021","Female","Declared disabled","Leeds","660","600","31370","27570"
"In post","2021","Female","Declared disabled","Leicester","170","150","25560","22350"
"In post","2021","Female","Declared disabled","Leicestershire CC and Rutland","110","100","26900","26500"
"In post","2021","Female","Declared disabled","Lewisham and Southwark","120","120","31860","31060"
"In post","2021","Female","Declared disabled","Lincolnshire","240","210","27230","26810"
"In post","2021","Female","Declared disabled","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Liverpool","690","590","28160","25520"
"In post","2021","Female","Declared disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Luton","60","50","25300","24720"
"In post","2021","Female","Declared disabled","Manchester","520","480","32030","27610"
"In post","2021","Female","Declared disabled","Medway","100","90","29670","29290"
"In post","2021","Female","Declared disabled","Merton, Kingston upon Thames and Sutton","50","50","30110","31060"
"In post","2021","Female","Declared disabled","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Mid Kent","70","60","28680","27790"
"In post","2021","Female","Declared disabled","Mid Lancashire","480","410","26220","25350"
"In post","2021","Female","Declared disabled","Milton Keynes","120","110","29350","27570"
"In post","2021","Female","Declared disabled","Monmouthshire and Newport","270","250","30070","27570"
"In post","2021","Female","Declared disabled","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","North and North East Lincolnshire","60","50","26200","27570"
"In post","2021","Female","Declared disabled","North and West Norfolk","50","40","[c]","[c]"
"In post","2021","Female","Declared disabled","North Hampshire","80","80","27470","26670"
"In post","2021","Female","Declared disabled","North Lanarkshire","200","160","24720","21440"
"In post","2021","Female","Declared disabled","North Northamptonshire","70","60","24950","27570"
"In post","2021","Female","Declared disabled","North Nottinghamshire","100","90","28350","27570"
"In post","2021","Female","Declared disabled","North Yorkshire CC","110","100","28570","27570"
"In post","2021","Female","Declared disabled","Northumberland","40","30","[c]","[c]"
"In post","2021","Female","Declared disabled","Norwich and East Norfolk","140","120","27020","27570"
"In post","2021","Female","Declared disabled","Nottingham","560","510","30850","27570"
"In post","2021","Female","Declared disabled","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Overseas","90","90","47880","51500"
"In post","2021","Female","Declared disabled","Oxfordshire","140","130","31010","27570"
"In post","2021","Female","Declared disabled","Perth and Kinross and Stirling","70","60","29730","27570"
"In post","2021","Female","Declared disabled","Peterborough","130","110","27020","24890"
"In post","2021","Female","Declared disabled","Plymouth","180","160","27370","27130"
"In post","2021","Female","Declared disabled","Portsmouth","230","190","27880","26670"
"In post","2021","Female","Declared disabled","Powys","30","30","[c]","[c]"
"In post","2021","Female","Declared disabled","Redbridge and Waltham Forest","120","100","28900","30330"
"In post","2021","Female","Declared disabled","Sandwell","50","50","[c]","[c]"
"In post","2021","Female","Declared disabled","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Sefton","400","340","27610","25560"
"In post","2021","Female","Declared disabled","Sheffield","480","410","31270","27570"
"In post","2021","Female","Declared disabled","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Shropshire CC","60","50","28620","27570"
"In post","2021","Female","Declared disabled","Solihull","70","70","27670","27470"
"In post","2021","Female","Declared disabled","Somerset","130","110","28050","27540"
"In post","2021","Female","Declared disabled","South and West Derbyshire","80","70","31440","27570"
"In post","2021","Female","Declared disabled","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","South Hampshire","240","200","30370","27570"
"In post","2021","Female","Declared disabled","South Lanarkshire","210","180","29860","26120"
"In post","2021","Female","Declared disabled","South Nottinghamshire","60","50","29430","27570"
"In post","2021","Female","Declared disabled","South Teesside","150","130","26680","27570"
"In post","2021","Female","Declared disabled","South West Wales","100","90","27390","27570"
"In post","2021","Female","Declared disabled","Southampton","100","90","27330","27570"
"In post","2021","Female","Declared disabled","Southend-on-Sea","120","100","28900","28130"
"In post","2021","Female","Declared disabled","Staffordshire CC","270","250","29920","27570"
"In post","2021","Female","Declared disabled","Stoke-on-Trent","140","130","25000","21010"
"In post","2021","Female","Declared disabled","Suffolk","240","220","27350","27570"
"In post","2021","Female","Declared disabled","Sunderland","380","310","25310","21440"
"In post","2021","Female","Declared disabled","Swansea","630","510","23780","21590"
"In post","2021","Female","Declared disabled","Swindon","50","40","[c]","[c]"
"In post","2021","Female","Declared disabled","Telford and Wrekin","150","130","30930","27570"
"In post","2021","Female","Declared disabled","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Torbay","40","30","[c]","[c]"
"In post","2021","Female","Declared disabled","Tower Hamlets","300","290","45410","38650"
"In post","2021","Female","Declared disabled","Tyneside","1030","880","27050","25560"
"In post","2021","Female","Declared disabled","Unknown","120","110","30860","27570"
"In post","2021","Female","Declared disabled","Wakefield","100","90","29920","27570"
"In post","2021","Female","Declared disabled","Walsall","60","50","25080","27570"
"In post","2021","Female","Declared disabled","Wandsworth","60","60","30440","30030"
"In post","2021","Female","Declared disabled","Warrington","150","130","28300","27570"
"In post","2021","Female","Declared disabled","Warwickshire","110","100","26040","24660"
"In post","2021","Female","Declared disabled","West Cumbria","80","60","25630","22690"
"In post","2021","Female","Declared disabled","West Essex","50","40","29610","28450"
"In post","2021","Female","Declared disabled","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","West Lothian","30","30","[c]","[c]"
"In post","2021","Female","Declared disabled","West Northamptonshire","100","90","25440","22920"
"In post","2021","Female","Declared disabled","West Surrey","130","120","30080","29060"
"In post","2021","Female","Declared disabled","West Sussex (North East)","40","40","[c]","[c]"
"In post","2021","Female","Declared disabled","West Sussex (South West)","100","90","29080","27570"
"In post","2021","Female","Declared disabled","Westminster","2640","2520","45090","40220"
"In post","2021","Female","Declared disabled","Wiltshire","380","350","33200","29360"
"In post","2021","Female","Declared disabled","Wirral","250","200","25210","24020"
"In post","2021","Female","Declared disabled","Wolverhampton","110","90","25010","27570"
"In post","2021","Female","Declared disabled","Worcestershire","160","140","27470","25660"
"In post","2021","Female","Declared disabled","York","170","160","35860","30730"
"In post","2021","Female","Declared non-disabled","Aberdeen City and Aberdeenshire","530","480","33730","28170"
"In post","2021","Female","Declared non-disabled","Angus and Dundee City","710","640","26910","24910"
"In post","2021","Female","Declared non-disabled","Antrim and Newtownabbey","40","40","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Ards and North Down","40","30","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Barking & Dagenham and Havering","280","250","30080","31060"
"In post","2021","Female","Declared non-disabled","Barnet","680","630","35310","31880"
"In post","2021","Female","Declared non-disabled","Barnsley, Doncaster and Rotherham","1350","1140","26040","26120"
"In post","2021","Female","Declared non-disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","3830","3540","34540","32350"
"In post","2021","Female","Declared non-disabled","Bedford","320","290","29350","27570"
"In post","2021","Female","Declared non-disabled","Belfast","860","770","29580","25560"
"In post","2021","Female","Declared non-disabled","Berkshire","910","840","32710","29290"
"In post","2021","Female","Declared non-disabled","Bexley and Greenwich","600","560","30950","31060"
"In post","2021","Female","Declared non-disabled","Birmingham","4300","3840","30630","27570"
"In post","2021","Female","Declared non-disabled","Blackburn with Darwen","220","180","26580","27570"
"In post","2021","Female","Declared non-disabled","Blackpool","2480","2190","28510","27570"
"In post","2021","Female","Declared non-disabled","Bournemouth and Poole","300","250","27350","27570"
"In post","2021","Female","Declared non-disabled","Bradford","1240","1050","27560","25560"
"In post","2021","Female","Declared non-disabled","Breckland and South Norfolk","170","160","27590","26320"
"In post","2021","Female","Declared non-disabled","Brent","290","260","30410","30940"
"In post","2021","Female","Declared non-disabled","Bridgend and Neath Port Talbot","370","310","26340","27570"
"In post","2021","Female","Declared non-disabled","Brighton and Hove","290","260","31080","27570"
"In post","2021","Female","Declared non-disabled","Bristol, City of","2440","2200","35140","30350"
"In post","2021","Female","Declared non-disabled","Bromley","250","220","29160","31060"
"In post","2021","Female","Declared non-disabled","Buckinghamshire CC","680","640","30940","28670"
"In post","2021","Female","Declared non-disabled","Caithness and Sutherland and Ross and Cromarty","80","80","27280","27570"
"In post","2021","Female","Declared non-disabled","Calderdale and Kirklees","500","410","27040","27570"
"In post","2021","Female","Declared non-disabled","Cambridgeshire CC","1110","1030","32830","28550"
"In post","2021","Female","Declared non-disabled","Camden and City of London","1140","1070","36060","31060"
"In post","2021","Female","Declared non-disabled","Cardiff and Vale of Glamorgan","4510","4100","33640","28850"
"In post","2021","Female","Declared non-disabled","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Central Bedfordshire","150","140","27970","26670"
"In post","2021","Female","Declared non-disabled","Central Hampshire","1320","1250","33100","33000"
"In post","2021","Female","Declared non-disabled","Central Valleys","920","830","33240","28850"
"In post","2021","Female","Declared non-disabled","Cheshire East","340","310","30010","27570"
"In post","2021","Female","Declared non-disabled","Cheshire West and Chester","210","190","26520","27570"
"In post","2021","Female","Declared non-disabled","Chorley and West Lancashire","410","370","29060","27380"
"In post","2021","Female","Declared non-disabled","City of Edinburgh","3470","3250","39050","33620"
"In post","2021","Female","Declared non-disabled","Clackmannanshire and Fife","390","340","27400","27570"
"In post","2021","Female","Declared non-disabled","Conwy and Denbighshire","360","330","35000","32920"
"In post","2021","Female","Declared non-disabled","Cornwall and Isles of Scilly","670","590","25830","26590"
"In post","2021","Female","Declared non-disabled","Coventry","1060","980","35810","31420"
"In post","2021","Female","Declared non-disabled","Croydon","3890","3590","37270","33120"
"In post","2021","Female","Declared non-disabled","Darlington","440","410","34850","30260"
"In post","2021","Female","Declared non-disabled","Derby","490","410","25260","22260"
"In post","2021","Female","Declared non-disabled","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Devon CC","2100","1830","30480","27570"
"In post","2021","Female","Declared non-disabled","Dorset CC","640","580","27790","26670"
"In post","2021","Female","Declared non-disabled","Dudley","620","500","24900","25560"
"In post","2021","Female","Declared non-disabled","Dumfries and Galloway","140","120","28170","27570"
"In post","2021","Female","Declared non-disabled","Durham CC","2220","1910","26420","24440"
"In post","2021","Female","Declared non-disabled","Ealing","230","220","31750","31060"
"In post","2021","Female","Declared non-disabled","East Ayrshire and North Ayrshire mainland","390","330","26030","27570"
"In post","2021","Female","Declared non-disabled","East Cumbria","440","380","26730","24920"
"In post","2021","Female","Declared non-disabled","East Derbyshire","210","170","26380","27570"
"In post","2021","Female","Declared non-disabled","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","530","480","27630","26440"
"In post","2021","Female","Declared non-disabled","East Kent","1530","1360","27970","26160"
"In post","2021","Female","Declared non-disabled","East Lancashire","240","200","25600","27570"
"In post","2021","Female","Declared non-disabled","East Lothian and Midlothian","40","40","[c]","[c]"
"In post","2021","Female","Declared non-disabled","East Merseyside","550","470","26630","27570"
"In post","2021","Female","Declared non-disabled","East Riding of Yorkshire","500","450","26660","25400"
"In post","2021","Female","Declared non-disabled","East Surrey","340","320","33980","31930"
"In post","2021","Female","Declared non-disabled","East Sussex CC","880","750","26370","27370"
"In post","2021","Female","Declared non-disabled","Enfield","180","160","30130","31060"
"In post","2021","Female","Declared non-disabled","Essex Haven Gateway","440","400","29190","29290"
"In post","2021","Female","Declared non-disabled","Essex Thames Gateway","490","430","27610","28200"
"In post","2021","Female","Declared non-disabled","Falkirk","750","630","25430","21010"
"In post","2021","Female","Declared non-disabled","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Flintshire and Wrexham","790","720","27050","24920"
"In post","2021","Female","Declared non-disabled","Glasgow City","4090","3690","31130","27570"
"In post","2021","Female","Declared non-disabled","Gloucestershire","570","490","28650","27570"
"In post","2021","Female","Declared non-disabled","Greater Manchester North East","530","480","27430","27570"
"In post","2021","Female","Declared non-disabled","Greater Manchester North West","1010","880","25010","23240"
"In post","2021","Female","Declared non-disabled","Greater Manchester South East","660","580","25470","22080"
"In post","2021","Female","Declared non-disabled","Greater Manchester South West","1900","1740","30870","27570"
"In post","2021","Female","Declared non-disabled","Gwent Valleys","570","510","27920","27570"
"In post","2021","Female","Declared non-disabled","Gwynedd","350","310","24860","21050"
"In post","2021","Female","Declared non-disabled","Hackney and Newham","1250","1130","33330","31060"
"In post","2021","Female","Declared non-disabled","Haringey and Islington","510","470","30590","31060"
"In post","2021","Female","Declared non-disabled","Harrow and Hillingdon","1290","1150","30950","29170"
"In post","2021","Female","Declared non-disabled","Hartlepool and Stockton-on-Tees","630","550","26650","27380"
"In post","2021","Female","Declared non-disabled","Heart of Essex","430","390","31600","29290"
"In post","2021","Female","Declared non-disabled","Herefordshire, County of","150","140","26200","26350"
"In post","2021","Female","Declared non-disabled","Hertfordshire","1090","990","33650","29620"
"In post","2021","Female","Declared non-disabled","Hounslow and Richmond upon Thames","1070","990","31750","30450"
"In post","2021","Female","Declared non-disabled","Inverclyde, East Renfrewshire and Renfrewshire","380","330","28010","27370"
"In post","2021","Female","Declared non-disabled","Inverness and Nairn and Moray, Badenoch and Strathspey","420","390","28660","27570"
"In post","2021","Female","Declared non-disabled","Isle of Anglesey","90","80","27300","26670"
"In post","2021","Female","Declared non-disabled","Isle of Wight","270","240","25540","25300"
"In post","2021","Female","Declared non-disabled","Kensington & Chelsea and Hammersmith & Fulham","300","290","31970","31060"
"In post","2021","Female","Declared non-disabled","Kent Thames Gateway","490","460","29050","29290"
"In post","2021","Female","Declared non-disabled","Kingston upon Hull, City of","790","670","27510","27130"
"In post","2021","Female","Declared non-disabled","Lambeth","1530","1420","42380","36890"
"In post","2021","Female","Declared non-disabled","Lancaster and Wyre","410","370","28530","26670"
"In post","2021","Female","Declared non-disabled","Leeds","3890","3510","32580","28130"
"In post","2021","Female","Declared non-disabled","Leicester","1060","920","27310","26120"
"In post","2021","Female","Declared non-disabled","Leicestershire CC and Rutland","730","650","28150","25690"
"In post","2021","Female","Declared non-disabled","Lewisham and Southwark","570","550","33500","31060"
"In post","2021","Female","Declared non-disabled","Lincolnshire","1020","930","26570","25560"
"In post","2021","Female","Declared non-disabled","Lisburn and Castlereagh","130","120","26490","22330"
"In post","2021","Female","Declared non-disabled","Liverpool","4280","3830","28040","25040"
"In post","2021","Female","Declared non-disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","110","100","28380","27570"
"In post","2021","Female","Declared non-disabled","Luton","240","210","25800","25310"
"In post","2021","Female","Declared non-disabled","Manchester","3230","3000","33840","29360"
"In post","2021","Female","Declared non-disabled","Medway","510","480","29410","29290"
"In post","2021","Female","Declared non-disabled","Merton, Kingston upon Thames and Sutton","280","260","29970","31060"
"In post","2021","Female","Declared non-disabled","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Mid Kent","370","340","29870","29290"
"In post","2021","Female","Declared non-disabled","Mid Lancashire","2090","1810","27760","25560"
"In post","2021","Female","Declared non-disabled","Milton Keynes","730","680","30970","27570"
"In post","2021","Female","Declared non-disabled","Monmouthshire and Newport","1920","1720","32260","28240"
"In post","2021","Female","Declared non-disabled","Na h-Eileanan Siar","80","70","24620","21010"
"In post","2021","Female","Declared non-disabled","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","North and North East Lincolnshire","440","370","25600","25490"
"In post","2021","Female","Declared non-disabled","North and West Norfolk","330","290","26180","25760"
"In post","2021","Female","Declared non-disabled","North Hampshire","430","400","28960","26930"
"In post","2021","Female","Declared non-disabled","North Lanarkshire","1170","980","25530","21440"
"In post","2021","Female","Declared non-disabled","North Northamptonshire","250","210","25370","27570"
"In post","2021","Female","Declared non-disabled","North Nottinghamshire","360","330","29210","27570"
"In post","2021","Female","Declared non-disabled","North Yorkshire CC","670","620","28900","26700"
"In post","2021","Female","Declared non-disabled","Northumberland","200","170","27680","27570"
"In post","2021","Female","Declared non-disabled","Norwich and East Norfolk","670","570","27950","27570"
"In post","2021","Female","Declared non-disabled","Nottingham","2800","2530","32040","27570"
"In post","2021","Female","Declared non-disabled","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Overseas","980","970","48630","47000"
"In post","2021","Female","Declared non-disabled","Oxfordshire","960","880","30360","27570"
"In post","2021","Female","Declared non-disabled","Perth and Kinross and Stirling","230","200","28470","27570"
"In post","2021","Female","Declared non-disabled","Peterborough","770","660","27330","25220"
"In post","2021","Female","Declared non-disabled","Plymouth","950","830","30080","27570"
"In post","2021","Female","Declared non-disabled","Portsmouth","1290","1160","29940","27280"
"In post","2021","Female","Declared non-disabled","Powys","240","220","29420","27570"
"In post","2021","Female","Declared non-disabled","Redbridge and Waltham Forest","510","450","29140","30400"
"In post","2021","Female","Declared non-disabled","Sandwell","230","200","26860","27570"
"In post","2021","Female","Declared non-disabled","Scottish Borders","140","120","29490","27570"
"In post","2021","Female","Declared non-disabled","Sefton","2310","2020","28810","25970"
"In post","2021","Female","Declared non-disabled","Sheffield","2910","2560","32380","27570"
"In post","2021","Female","Declared non-disabled","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Shropshire CC","350","320","27200","26670"
"In post","2021","Female","Declared non-disabled","Solihull","490","430","28420","26160"
"In post","2021","Female","Declared non-disabled","Somerset","820","720","29080","27570"
"In post","2021","Female","Declared non-disabled","South and West Derbyshire","500","440","31420","27570"
"In post","2021","Female","Declared non-disabled","South Ayrshire","130","110","28690","27570"
"In post","2021","Female","Declared non-disabled","South Hampshire","1150","970","30670","27570"
"In post","2021","Female","Declared non-disabled","South Lanarkshire","1250","1080","30820","27570"
"In post","2021","Female","Declared non-disabled","South Nottinghamshire","280","260","29790","27380"
"In post","2021","Female","Declared non-disabled","South Teesside","540","460","26860","25420"
"In post","2021","Female","Declared non-disabled","South West Wales","700","630","30230","27570"
"In post","2021","Female","Declared non-disabled","Southampton","500","440","29860","27570"
"In post","2021","Female","Declared non-disabled","Southend-on-Sea","480","420","31030","29290"
"In post","2021","Female","Declared non-disabled","Staffordshire CC","1470","1340","29340","27570"
"In post","2021","Female","Declared non-disabled","Stoke-on-Trent","580","500","24830","21170"
"In post","2021","Female","Declared non-disabled","Suffolk","1460","1320","27350","26670"
"In post","2021","Female","Declared non-disabled","Sunderland","2040","1640","24710","21440"
"In post","2021","Female","Declared non-disabled","Swansea","3780","3200","26200","21590"
"In post","2021","Female","Declared non-disabled","Swindon","200","180","30600","27570"
"In post","2021","Female","Declared non-disabled","Telford and Wrekin","720","640","32000","27570"
"In post","2021","Female","Declared non-disabled","Thurrock","110","100","26650","25790"
"In post","2021","Female","Declared non-disabled","Torbay","170","140","25940","24550"
"In post","2021","Female","Declared non-disabled","Tower Hamlets","2380","2260","47040","41190"
"In post","2021","Female","Declared non-disabled","Tyneside","6230","5420","28890","25560"
"In post","2021","Female","Declared non-disabled","Unknown","580","530","32300","27570"
"In post","2021","Female","Declared non-disabled","Wakefield","590","530","29350","27570"
"In post","2021","Female","Declared non-disabled","Walsall","330","270","25250","26110"
"In post","2021","Female","Declared non-disabled","Wandsworth","300","280","30890","30850"
"In post","2021","Female","Declared non-disabled","Warrington","760","690","30730","27570"
"In post","2021","Female","Declared non-disabled","Warwickshire","550","480","26710","23470"
"In post","2021","Female","Declared non-disabled","West Cumbria","580","500","26000","23840"
"In post","2021","Female","Declared non-disabled","West Essex","270","240","29700","29290"
"In post","2021","Female","Declared non-disabled","West Kent","90","80","32130","29290"
"In post","2021","Female","Declared non-disabled","West Lothian","200","180","32290","27570"
"In post","2021","Female","Declared non-disabled","West Northamptonshire","480","420","26300","23970"
"In post","2021","Female","Declared non-disabled","West Surrey","890","810","32140","29290"
"In post","2021","Female","Declared non-disabled","West Sussex (North East)","510","450","29460","27570"
"In post","2021","Female","Declared non-disabled","West Sussex (South West)","490","430","29020","27570"
