"Status","Year","Ethnicity","Region_ITL2","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Cornwall and Isles of Scilly","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","20-29","120","110","27000","25560"
"In post","2021","Asian","Derbyshire and Nottinghamshire","30-39","170","160","28790","27570"
"In post","2021","Asian","Derbyshire and Nottinghamshire","40-49","180","160","30860","27570"
"In post","2021","Asian","Derbyshire and Nottinghamshire","50-59","150","140","32140","27570"
"In post","2021","Asian","Derbyshire and Nottinghamshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","20-29","60","50","23750","21430"
"In post","2021","Asian","East Anglia","30-39","110","90","26440","22420"
"In post","2021","Asian","East Anglia","40-49","110","90","27730","25030"
"In post","2021","Asian","East Anglia","50-59","60","50","30430","25580"
"In post","2021","Asian","East Anglia","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Wales","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Wales","20-29","80","80","25520","23760"
"In post","2021","Asian","East Wales","30-39","110","110","28220","25560"
"In post","2021","Asian","East Wales","40-49","80","80","33620","27570"
"In post","2021","Asian","East Wales","50-59","40","40","[c]","[c]"
"In post","2021","Asian","East Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","20-29","30","30","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","30-39","70","70","31080","27570"
"In post","2021","Asian","Eastern Scotland","40-49","60","60","35020","28700"
"In post","2021","Asian","Eastern Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex","20-29","40","40","[c]","[c]"
"In post","2021","Asian","Essex","30-39","40","30","[c]","[c]"
"In post","2021","Asian","Essex","40-49","60","60","34200","29290"
"In post","2021","Asian","Essex","50-59","50","50","43910","30670"
"In post","2021","Asian","Essex","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","20-29","160","150","27580","27540"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","30-39","220","210","34710","32830"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","40-49","170","160","38830","34530"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","50-59","110","100","38020","34050"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester","20-29","360","350","26590","25560"
"In post","2021","Asian","Greater Manchester","30-39","440","420","29610","27570"
"In post","2021","Asian","Greater Manchester","40-49","360","320","29990","27570"
"In post","2021","Asian","Greater Manchester","50-59","180","160","30160","25560"
"In post","2021","Asian","Greater Manchester","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hampshire and Isle of Wight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hampshire and Isle of Wight","20-29","70","70","27130","26670"
"In post","2021","Asian","Hampshire and Isle of Wight","30-39","60","50","29110","27570"
"In post","2021","Asian","Hampshire and Isle of Wight","40-49","60","50","32940","27570"
"In post","2021","Asian","Hampshire and Isle of Wight","50-59","80","80","30160","26510"
"In post","2021","Asian","Hampshire and Isle of Wight","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hampshire and Isle of Wight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","30-39","50","40","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","40-49","70","60","26890","27120"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","50-59","40","30","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inner London - East","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inner London - East","20-29","520","510","32390","31060"
"In post","2021","Asian","Inner London - East","30-39","690","650","37720","32960"
"In post","2021","Asian","Inner London - East","40-49","670","610","40030","34070"
"In post","2021","Asian","Inner London - East","50-59","440","420","38830","32520"
"In post","2021","Asian","Inner London - East","60-64","130","110","33960","31610"
"In post","2021","Asian","Inner London - East","65+","70","60","32040","29580"
"In post","2021","Asian","Inner London - West","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inner London - West","20-29","1470","1460","35060","33210"
"In post","2021","Asian","Inner London - West","30-39","1660","1610","43770","40800"
"In post","2021","Asian","Inner London - West","40-49","1540","1460","44990","40230"
"In post","2021","Asian","Inner London - West","50-59","980","950","42690","36650"
"In post","2021","Asian","Inner London - West","60-64","240","220","37710","31880"
"In post","2021","Asian","Inner London - West","65+","120","100","33690","29740"
"In post","2021","Asian","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kent","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kent","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kent","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kent","40-49","50","50","30030","29290"
"In post","2021","Asian","Kent","50-59","50","50","[c]","[c]"
"In post","2021","Asian","Kent","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kent","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lancashire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lancashire","20-29","200","180","23050","21010"
"In post","2021","Asian","Lancashire","30-39","320","280","24180","21010"
"In post","2021","Asian","Lancashire","40-49","310","270","25680","21440"
"In post","2021","Asian","Lancashire","50-59","130","120","26900","23820"
"In post","2021","Asian","Lancashire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lancashire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Leicestershire, Rutland and Northamptonshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Leicestershire, Rutland and Northamptonshire","20-29","150","140","23710","22350"
"In post","2021","Asian","Leicestershire, Rutland and Northamptonshire","30-39","230","210","25490","23970"
"In post","2021","Asian","Leicestershire, Rutland and Northamptonshire","40-49","270","230","26030","22350"
"In post","2021","Asian","Leicestershire, Rutland and Northamptonshire","50-59","300","270","25180","21950"
"In post","2021","Asian","Leicestershire, Rutland and Northamptonshire","60-64","70","60","24770","21440"
"In post","2021","Asian","Leicestershire, Rutland and Northamptonshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lincolnshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lincolnshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lincolnshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lincolnshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lincolnshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lincolnshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Merseyside","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Merseyside","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Merseyside","30-39","60","60","31560","25560"
"In post","2021","Asian","Merseyside","40-49","40","30","[c]","[c]"
"In post","2021","Asian","Merseyside","50-59","30","30","[c]","[c]"
"In post","2021","Asian","Merseyside","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Merseyside","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Eastern Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Eastern Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Eastern Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Eastern Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Eastern Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Eastern Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Eastern Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northumberland and Tyne and Wear","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northumberland and Tyne and Wear","20-29","60","60","24800","21010"
"In post","2021","Asian","Northumberland and Tyne and Wear","30-39","110","100","28370","25560"
"In post","2021","Asian","Northumberland and Tyne and Wear","40-49","70","70","30920","27570"
"In post","2021","Asian","Northumberland and Tyne and Wear","50-59","30","30","[c]","[c]"
"In post","2021","Asian","Northumberland and Tyne and Wear","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northumberland and Tyne and Wear","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outer London - East and North East","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outer London - East and North East","20-29","150","150","29490","31060"
"In post","2021","Asian","Outer London - East and North East","30-39","140","130","30430","31060"
"In post","2021","Asian","Outer London - East and North East","40-49","160","140","29410","31060"
"In post","2021","Asian","Outer London - East and North East","50-59","180","160","30120","31060"
"In post","2021","Asian","Outer London - East and North East","60-64","40","30","[c]","[c]"
"In post","2021","Asian","Outer London - East and North East","65+","30","20","[c]","[c]"
"In post","2021","Asian","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outer London - South","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outer London - South","20-29","180","180","32110","30600"
"In post","2021","Asian","Outer London - South","30-39","360","350","35870","35050"
"In post","2021","Asian","Outer London - South","40-49","460","430","36410","31350"
"In post","2021","Asian","Outer London - South","50-59","430","400","34290","29450"
"In post","2021","Asian","Outer London - South","60-64","180","150","29580","28670"
"In post","2021","Asian","Outer London - South","65+","100","80","27450","25630"
"In post","2021","Asian","Outer London - West and North West","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outer London - West and North West","20-29","320","320","29040","28760"
"In post","2021","Asian","Outer London - West and North West","30-39","540","520","31220","29080"
"In post","2021","Asian","Outer London - West and North West","40-49","700","640","32640","29750"
"In post","2021","Asian","Outer London - West and North West","50-59","680","630","31110","30410"
"In post","2021","Asian","Outer London - West and North West","60-64","230","200","30830","29980"
"In post","2021","Asian","Outer London - West and North West","65+","150","110","29540","27130"
"In post","2021","Asian","Overseas","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","30-39","50","50","[c]","[c]"
"In post","2021","Asian","Overseas","40-49","60","60","[c]","[c]"
"In post","2021","Asian","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Shropshire and Staffordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Shropshire and Staffordshire","20-29","60","60","25020","25560"
"In post","2021","Asian","Shropshire and Staffordshire","30-39","80","80","32230","29060"
"In post","2021","Asian","Shropshire and Staffordshire","40-49","80","70","34390","27570"
"In post","2021","Asian","Shropshire and Staffordshire","50-59","70","70","33320","29470"
"In post","2021","Asian","Shropshire and Staffordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Shropshire and Staffordshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South Yorkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South Yorkshire","20-29","110","110","24780","22920"
"In post","2021","Asian","South Yorkshire","30-39","160","150","27010","24890"
"In post","2021","Asian","South Yorkshire","40-49","90","80","31690","27570"
"In post","2021","Asian","South Yorkshire","50-59","40","40","[c]","[c]"
"In post","2021","Asian","South Yorkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South Yorkshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Southern Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Southern Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Southern Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Southern Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Southern Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Southern Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Southern Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Surrey, East and West Sussex","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Surrey, East and West Sussex","20-29","40","40","[c]","[c]"
"In post","2021","Asian","Surrey, East and West Sussex","30-39","70","70","29560","27570"
"In post","2021","Asian","Surrey, East and West Sussex","40-49","80","70","32290","28670"
"In post","2021","Asian","Surrey, East and West Sussex","50-59","80","70","28700","27570"
"In post","2021","Asian","Surrey, East and West Sussex","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Surrey, East and West Sussex","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tees Valley and Durham","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tees Valley and Durham","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tees Valley and Durham","30-39","40","40","[c]","[c]"
"In post","2021","Asian","Tees Valley and Durham","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tees Valley and Durham","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tees Valley and Durham","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tees Valley and Durham","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","40-49","40","30","[c]","[c]"
"In post","2021","Asian","Unknown","50-59","40","30","[c]","[c]"
"In post","2021","Asian","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Central Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Central Scotland","20-29","30","30","[c]","[c]"
"In post","2021","Asian","West Central Scotland","30-39","80","80","30830","26620"
"In post","2021","Asian","West Central Scotland","40-49","60","50","31790","27570"
"In post","2021","Asian","West Central Scotland","50-59","40","40","[c]","[c]"
"In post","2021","Asian","West Central Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Central Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands","20-29","650","630","25200","24880"
"In post","2021","Asian","West Midlands","30-39","1110","1040","27220","25560"
"In post","2021","Asian","West Midlands","40-49","1020","930","29170","27570"
"In post","2021","Asian","West Midlands","50-59","650","600","27900","26780"
"In post","2021","Asian","West Midlands","60-64","120","100","27690","25560"
"In post","2021","Asian","West Midlands","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Wales and The Valleys","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Wales and The Valleys","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Wales and The Valleys","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Wales and The Valleys","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Wales and The Valleys","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Wales and The Valleys","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Wales and The Valleys","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Yorkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Yorkshire","20-29","470","460","25170","25560"
"In post","2021","Asian","West Yorkshire","30-39","550","490","27540","27570"
"In post","2021","Asian","West Yorkshire","40-49","520","460","29150","27570"
"In post","2021","Asian","West Yorkshire","50-59","220","200","31540","27570"
"In post","2021","Asian","West Yorkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Yorkshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Bedfordshire and Hertfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Bedfordshire and Hertfordshire","20-29","30","30","[c]","[c]"
"In post","2021","Black","Bedfordshire and Hertfordshire","30-39","50","40","[c]","[c]"
"In post","2021","Black","Bedfordshire and Hertfordshire","40-49","40","40","[c]","[c]"
"In post","2021","Black","Bedfordshire and Hertfordshire","50-59","90","90","30860","29290"
"In post","2021","Black","Bedfordshire and Hertfordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Bedfordshire and Hertfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","20-29","40","40","[c]","[c]"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","30-39","50","40","[c]","[c]"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","40-49","80","80","31450","29600"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","50-59","100","90","30940","28200"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cheshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cheshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cheshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cheshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cheshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cheshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cheshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cornwall and Isles of Scilly","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cornwall and Isles of Scilly","20-29","[c]","[c]","[c]","[c]"
