"Status","Year","Profession_of_post","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Crown Commercial Service","180","180","34510","34800"
"In post","2021","Commercial","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Defence Equipment and Support","440","430","41740","37530"
"In post","2021","Commercial","Male","Defence Science and Technology Laboratory","40","40","[c]","[c]"
"In post","2021","Commercial","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Department for Education (excl. agencies)","90","90","39880","38000"
"In post","2021","Commercial","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","41680","37940"
"In post","2021","Commercial","Male","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Department for Transport (excl. agencies)","50","50","51190","54110"
"In post","2021","Commercial","Male","Department of Health and Social Care (excl. agencies)","90","80","51060","40650"
"In post","2021","Commercial","Male","Driver and Vehicle Licensing Agency","80","70","34290","31040"
"In post","2021","Commercial","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Education and Skills Funding Agency","100","90","43150","38710"
"In post","2021","Commercial","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","FCDO Services","40","40","[c]","[c]"
"In post","2021","Commercial","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","HM Prison and Probation Service","310","300","53970","52370"
"In post","2021","Commercial","Male","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Commercial","Male","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Home Office (incl. agencies)","50","50","[c]","[c]"
"In post","2021","Commercial","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Legal Aid Agency","40","40","[c]","[c]"
"In post","2021","Commercial","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Met Office","90","90","44490","46100"
"In post","2021","Commercial","Male","Ministry of Defence (excl. agencies)","380","370","37350","35000"
"In post","2021","Commercial","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Ministry of Justice (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Commercial","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Scottish Prison Service","50","50","[c]","[c]"
"In post","2021","Commercial","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Submarine Delivery Agency","80","80","42590","40290"
"In post","2021","Commercial","Male","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Crown Prosecution Service","30","30","[c]","[c]"
"In post","2021","Communications","Female","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","70","70","49280","46680"
"In post","2021","Communications","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Department for Education (excl. agencies)","160","150","37610","33510"
"In post","2021","Communications","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","170","160","41020","37360"
"In post","2021","Communications","Female","Department for International Trade","80","80","42390","38540"
"In post","2021","Communications","Female","Department for Transport (excl. agencies)","60","60","47470","43360"
"In post","2021","Communications","Female","Department of Health and Social Care (excl. agencies)","110","110","43120","36070"
"In post","2021","Communications","Female","Driver and Vehicle Licensing Agency","40","40","[c]","[c]"
"In post","2021","Communications","Female","Driver and Vehicle Standards Agency","50","50","30590","26780"
"In post","2021","Communications","Female","Education and Skills Funding Agency","60","50","41660","39840"
"In post","2021","Communications","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Foreign, Commonwealth and Development Office (excl. agencies)","80","80","48480","44880"
"In post","2021","Communications","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","HM Revenue and Customs (excl. agencies)","140","140","44240","38980"
"In post","2021","Communications","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Home Office (incl. agencies)","110","100","48340","44200"
"In post","2021","Communications","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2021","Communications","Female","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Ministry of Defence (excl. agencies)","260","250","35440","33300"
"In post","2021","Communications","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","40680","34200"
"In post","2021","Communications","Female","Ministry of Justice (excl. agencies)","60","60","46080","45880"
"In post","2021","Communications","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Public Health England","40","40","[c]","[c]"
"In post","2021","Communications","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","United Kingdom Statistics Authority","50","50","36130","30500"
"In post","2021","Communications","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Welsh Government (excl. agencies)","90","80","39270","37410"
"In post","2021","Communications","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","60","46510","45070"
"In post","2021","Communications","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Department for Education (excl. agencies)","80","80","38170","33500"
"In post","2021","Communications","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","90","90","42650","39090"
"In post","2021","Communications","Male","Department for International Trade","60","60","43980","38540"
"In post","2021","Communications","Male","Department for Transport (excl. agencies)","50","50","47600","43360"
"In post","2021","Communications","Male","Department of Health and Social Care (excl. agencies)","80","80","44020","40650"
"In post","2021","Communications","Male","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Driver and Vehicle Standards Agency","40","30","[c]","[c]"
"In post","2021","Communications","Male","Education and Skills Funding Agency","30","30","[c]","[c]"
"In post","2021","Communications","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Foreign, Commonwealth and Development Office (excl. agencies)","60","60","49430","46880"
"In post","2021","Communications","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","HM Revenue and Customs (excl. agencies)","90","80","44720","39250"
"In post","2021","Communications","Male","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Home Office (incl. agencies)","70","70","49080","42710"
"In post","2021","Communications","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Ministry of Defence (excl. agencies)","270","270","33790","29200"
"In post","2021","Communications","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","41910","37250"
"In post","2021","Communications","Male","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Communications","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Public Health England","30","30","[c]","[c]"
"In post","2021","Communications","Male","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Communications","Male","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Welsh Government (excl. agencies)","70","70","38950","37410"
"In post","2021","Communications","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Defence Science and Technology Laboratory","40","30","[c]","[c]"
"In post","2021","Corporate Finance","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
