"Status","Year","Organisation","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office (excl. agencies)","Female","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Bristol, City of","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Camden and City of London","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Greater Manchester South West","100","100","44200","38410"
"In post","2021","Cabinet Office (excl. agencies)","Female","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Leeds","100","100","47700","40250"
"In post","2021","Cabinet Office (excl. agencies)","Female","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Liverpool","60","60","46930","49700"
"In post","2021","Cabinet Office (excl. agencies)","Female","Manchester","60","50","42720","33300"
"In post","2021","Cabinet Office (excl. agencies)","Female","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Milton Keynes","50","50","28550","26670"
"In post","2021","Cabinet Office (excl. agencies)","Female","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Norwich and East Norfolk","50","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Sheffield","60","50","46160","40160"
"In post","2021","Cabinet Office (excl. agencies)","Female","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Tower Hamlets","440","420","48900","54700"
"In post","2021","Cabinet Office (excl. agencies)","Female","Tyneside","250","230","27650","23850"
"In post","2021","Cabinet Office (excl. agencies)","Female","Unknown","330","320","36050","32000"
"In post","2021","Cabinet Office (excl. agencies)","Female","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Westminster","2930","2870","46750","38580"
"In post","2021","Cabinet Office (excl. agencies)","Female","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","York","230","220","28550","26670"
"In post","2021","Cabinet Office (excl. agencies)","Male","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Bristol, City of","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Camden and City of London","60","60","56290","56340"
"In post","2021","Cabinet Office (excl. agencies)","Male","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Greater Manchester South West","70","70","46580","49700"
"In post","2021","Cabinet Office (excl. agencies)","Male","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Leeds","80","80","46360","40250"
"In post","2021","Cabinet Office (excl. agencies)","Male","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Liverpool","60","60","51310","49700"
"In post","2021","Cabinet Office (excl. agencies)","Male","Manchester","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Milton Keynes","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Norwich and East Norfolk","50","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Sheffield","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Tower Hamlets","430","430","54470","54700"
"In post","2021","Cabinet Office (excl. agencies)","Male","Tyneside","160","150","29760","23850"
"In post","2021","Cabinet Office (excl. agencies)","Male","Unknown","280","280","36480","32000"
"In post","2021","Cabinet Office (excl. agencies)","Male","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Westminster","2520","2510","52440","43890"
"In post","2021","Cabinet Office (excl. agencies)","Male","Wiltshire","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","York","210","200","29910","26670"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Dorset CC","70","60","31190","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Plymouth","[c]","[c]","[c]","[c]"
