"Status","Year","Sexual_orientation","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","AA/AO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","United Kingdom Statistics Authority","910","620","19590","19520"
"In post","2021","Heterosexual / straight","AA/AO","Valuation Office Agency","430","380","21270","21100"
"In post","2021","Heterosexual / straight","AA/AO","Vehicle Certification Agency","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Welsh Government (excl. agencies)","790","720","23410","23830"
"In post","2021","Heterosexual / straight","AA/AO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Accountant in Bankruptcy","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Advisory, Conciliation and Arbitration Service","160","150","25480","24330"
"In post","2021","Heterosexual / straight","EO","Animal and Plant Health Agency","530","500","26620","25730"
"In post","2021","Heterosexual / straight","EO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Cabinet Office (excl. agencies)","570","550","27130","27500"
"In post","2021","Heterosexual / straight","EO","Centre for Environment, Fisheries and Aquaculture Science","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Charity Commission","60","50","24590","24440"
"In post","2021","Heterosexual / straight","EO","Companies House","190","170","27670","27460"
"In post","2021","Heterosexual / straight","EO","Competition and Markets Authority","60","60","28520","28160"
"In post","2021","Heterosexual / straight","EO","Criminal Injuries Compensation Authority","50","50","23200","22570"
"In post","2021","Heterosexual / straight","EO","Crown Commercial Service","80","70","23810","22640"
"In post","2021","Heterosexual / straight","EO","Crown Office and Procurator Fiscal Service","290","280","27330","26570"
"In post","2021","Heterosexual / straight","EO","Crown Prosecution Service","940","880","27780","28430"
"In post","2021","Heterosexual / straight","EO","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Defence Electronics and Components Agency","70","70","27330","27460"
"In post","2021","Heterosexual / straight","EO","Defence Equipment and Support","2050","1960","22300","21380"
"In post","2021","Heterosexual / straight","EO","Defence Science and Technology Laboratory","170","160","23100","22780"
"In post","2021","Heterosexual / straight","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","290","280","28140","27680"
"In post","2021","Heterosexual / straight","EO","Department for Digital, Culture, Media and Sport","130","130","27360","26180"
"In post","2021","Heterosexual / straight","EO","Department for Education (excl. agencies)","500","480","26790","26000"
"In post","2021","Heterosexual / straight","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","350","340","26630","25600"
"In post","2021","Heterosexual / straight","EO","Department for International Trade","140","140","27320","26510"
"In post","2021","Heterosexual / straight","EO","Department for Transport (excl. agencies)","240","230","28810","30270"
"In post","2021","Heterosexual / straight","EO","Department for Work and Pensions (excl. agencies)","32040","29190","28130","27570"
"In post","2021","Heterosexual / straight","EO","Department of Health and Social Care (excl. agencies)","160","160","27200","27270"
"In post","2021","Heterosexual / straight","EO","Disclosure Scotland","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Driver and Vehicle Licensing Agency","630","590","26680","26700"
"In post","2021","Heterosexual / straight","EO","Driver and Vehicle Standards Agency","1430","1340","28510","26780"
"In post","2021","Heterosexual / straight","EO","Education and Skills Funding Agency","130","120","25970","26000"
"In post","2021","Heterosexual / straight","EO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","FCDO Services","170","170","28130","26950"
"In post","2021","Heterosexual / straight","EO","Food Standards Agency","210","210","27130","26750"
"In post","2021","Heterosexual / straight","EO","Food Standards Scotland","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Foreign, Commonwealth and Development Office (excl. agencies)","540","530","30110","30300"
"In post","2021","Heterosexual / straight","EO","Forestry and Land Scotland","70","70","31370","30160"
"In post","2021","Heterosexual / straight","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Government Legal Department","220","210","28580","27580"
"In post","2021","Heterosexual / straight","EO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Health and Safety Executive","320","300","27920","27540"
"In post","2021","Heterosexual / straight","EO","HM Courts and Tribunals Service","2000","1870","24020","23670"
"In post","2021","Heterosexual / straight","EO","HM Land Registry","1220","1070","27490","27130"
"In post","2021","Heterosexual / straight","EO","HM Prison and Probation Service","4290","4120","30790","31420"
"In post","2021","Heterosexual / straight","EO","HM Revenue and Customs (excl. agencies)","8050","7400","26430","25560"
"In post","2021","Heterosexual / straight","EO","HM Treasury (excl. agencies)","150","140","26660","26750"
"In post","2021","Heterosexual / straight","EO","Home Office (incl. agencies)","11420","10470","26910","25900"
"In post","2021","Heterosexual / straight","EO","Insolvency Service","100","90","26120","26290"
"In post","2021","Heterosexual / straight","EO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Legal Aid Agency","270","250","23890","22570"
"In post","2021","Heterosexual / straight","EO","Maritime and Coastguard Agency","180","180","28800","26780"
"In post","2021","Heterosexual / straight","EO","Medicines and Healthcare Products Regulatory Agency","140","140","27610","27400"
"In post","2021","Heterosexual / straight","EO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Ministry of Defence (excl. agencies)","5640","5480","28460","26670"
"In post","2021","Heterosexual / straight","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","200","200","28500","27850"
"In post","2021","Heterosexual / straight","EO","Ministry of Justice (excl. agencies)","520","500","25940","26410"
"In post","2021","Heterosexual / straight","EO","National Crime Agency","1840","1800","33320","32770"
"In post","2021","Heterosexual / straight","EO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Office for Standards in Education, Children's Services and Skills","150","140","26320","25880"
"In post","2021","Heterosexual / straight","EO","Office of Gas and Electricity Markets","110","110","25430","25600"
"In post","2021","Heterosexual / straight","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Office of the Public Guardian","290","270","22290","22570"
"In post","2021","Heterosexual / straight","EO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Planning Inspectorate","70","60","26630","26050"
"In post","2021","Heterosexual / straight","EO","Public Health England","640","600","25680","25260"
"In post","2021","Heterosexual / straight","EO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Registers of Scotland","200","190","30040","30080"
"In post","2021","Heterosexual / straight","EO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Rural Payments Agency","300","270","25680","25560"
"In post","2021","Heterosexual / straight","EO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Scottish Government (excl. agencies)","790","760","28300","28170"
"In post","2021","Heterosexual / straight","EO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Scottish Prison Service","750","710","33000","33650"
"In post","2021","Heterosexual / straight","EO","Scottish Public Pensions Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Serious Fraud Office","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Social Security Scotland","210","200","26880","26160"
"In post","2021","Heterosexual / straight","EO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","The National Archives","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Transport Scotland","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","UK Export Finance","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","UK Hydrographic Office","150","140","27490","26740"
"In post","2021","Heterosexual / straight","EO","UK Intellectual Property Office","220","210","25860","24750"
"In post","2021","Heterosexual / straight","EO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","United Kingdom Statistics Authority","480","450","24020","23050"
"In post","2021","Heterosexual / straight","EO","Valuation Office Agency","530","480","26980","26000"
"In post","2021","Heterosexual / straight","EO","Vehicle Certification Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Welsh Government (excl. agencies)","840","780","28730","28850"
"In post","2021","Heterosexual / straight","EO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Advisory, Conciliation and Arbitration Service","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Animal and Plant Health Agency","150","140","54380","53870"
"In post","2021","Heterosexual / straight","G6/G7","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Cabinet Office (excl. agencies)","1640","1610","58780","56340"
"In post","2021","Heterosexual / straight","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Charity Commission","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Companies House","50","50","57540","56390"
"In post","2021","Heterosexual / straight","G6/G7","Competition and Markets Authority","350","330","65870","62890"
"In post","2021","Heterosexual / straight","G6/G7","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Crown Commercial Service","150","140","52870","50060"
"In post","2021","Heterosexual / straight","G6/G7","Crown Office and Procurator Fiscal Service","170","160","66260","68470"
"In post","2021","Heterosexual / straight","G6/G7","Crown Prosecution Service","1970","1840","56950","55610"
"In post","2021","Heterosexual / straight","G6/G7","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Defence Equipment and Support","1330","1300","56820","55140"
"In post","2021","Heterosexual / straight","G6/G7","Defence Science and Technology Laboratory","1370","1310","51170","46650"
"In post","2021","Heterosexual / straight","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","1680","1630","58770","56600"
"In post","2021","Heterosexual / straight","G6/G7","Department for Digital, Culture, Media and Sport","560","550","58670","56040"
"In post","2021","Heterosexual / straight","G6/G7","Department for Education (excl. agencies)","1510","1440","56740","54160"
"In post","2021","Heterosexual / straight","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","1310","1260","54550","53200"
"In post","2021","Heterosexual / straight","G6/G7","Department for International Trade","640","630","55520","52660"
"In post","2021","Heterosexual / straight","G6/G7","Department for Transport (excl. agencies)","910","890","59960","55380"
"In post","2021","Heterosexual / straight","G6/G7","Department for Work and Pensions (excl. agencies)","1860","1780","56460","54070"
"In post","2021","Heterosexual / straight","G6/G7","Department of Health and Social Care (excl. agencies)","550","530","57800","54970"
"In post","2021","Heterosexual / straight","G6/G7","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Driver and Vehicle Licensing Agency","190","180","64090","60690"
"In post","2021","Heterosexual / straight","G6/G7","Driver and Vehicle Standards Agency","80","80","55160","52510"
"In post","2021","Heterosexual / straight","G6/G7","Education and Skills Funding Agency","380","360","55450","51620"
"In post","2021","Heterosexual / straight","G6/G7","Education Scotland","120","120","68380","71160"
"In post","2021","Heterosexual / straight","G6/G7","ESTYN","60","50","73750","74730"
"In post","2021","Heterosexual / straight","G6/G7","FCDO Services","170","150","63040","60310"
"In post","2021","Heterosexual / straight","G6/G7","Food Standards Agency","150","150","56480","56130"
"In post","2021","Heterosexual / straight","G6/G7","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","1960","1920","59940","58470"
"In post","2021","Heterosexual / straight","G6/G7","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Government Actuary's Department","90","80","87970","81240"
"In post","2021","Heterosexual / straight","G6/G7","Government Internal Audit Agency","150","140","57660","56240"
"In post","2021","Heterosexual / straight","G6/G7","Government Legal Department","1070","990","58450","52930"
"In post","2021","Heterosexual / straight","G6/G7","Government Property Agency","80","80","57280","55610"
"In post","2021","Heterosexual / straight","G6/G7","Health and Safety Executive","370","360","60560","57810"
"In post","2021","Heterosexual / straight","G6/G7","HM Courts and Tribunals Service","510","490","55780","54810"
"In post","2021","Heterosexual / straight","G6/G7","HM Land Registry","190","180","62350","60520"
"In post","2021","Heterosexual / straight","G6/G7","HM Prison and Probation Service","610","590","73150","70290"
"In post","2021","Heterosexual / straight","G6/G7","HM Revenue and Customs (excl. agencies)","4870","4690","56910","52580"
"In post","2021","Heterosexual / straight","G6/G7","HM Treasury (excl. agencies)","650","630","58510","56030"
"In post","2021","Heterosexual / straight","G6/G7","Home Office (incl. agencies)","2600","2540","60900","57680"
"In post","2021","Heterosexual / straight","G6/G7","Insolvency Service","90","90","59920","57640"
"In post","2021","Heterosexual / straight","G6/G7","Institute for Apprenticeships and Technical Education","80","80","56330","54030"
"In post","2021","Heterosexual / straight","G6/G7","Legal Aid Agency","80","80","58000","54450"
"In post","2021","Heterosexual / straight","G6/G7","Maritime and Coastguard Agency","120","120","60440","57710"
"In post","2021","Heterosexual / straight","G6/G7","Medicines and Healthcare Products Regulatory Agency","250","240","58610","53860"
"In post","2021","Heterosexual / straight","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Ministry of Defence (excl. agencies)","1960","1880","62730","59730"
"In post","2021","Heterosexual / straight","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","770","750","56860","53560"
"In post","2021","Heterosexual / straight","G6/G7","Ministry of Justice (excl. agencies)","950","920","58760","58130"
"In post","2021","Heterosexual / straight","G6/G7","National Crime Agency","280","270","65170","64410"
"In post","2021","Heterosexual / straight","G6/G7","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","National Records of Scotland","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","National Savings and Investments","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Office for Standards in Education, Children's Services and Skills","490","480","73210","75500"
"In post","2021","Heterosexual / straight","G6/G7","Office of Gas and Electricity Markets","160","160","59280","57980"
"In post","2021","Heterosexual / straight","G6/G7","Office of Qualifications and Examinations Regulation","50","50","53060","49420"
"In post","2021","Heterosexual / straight","G6/G7","Office of Rail and Road","80","80","60530","59100"
"In post","2021","Heterosexual / straight","G6/G7","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Planning Inspectorate","330","300","57930","58810"
"In post","2021","Heterosexual / straight","G6/G7","Public Health England","1150","1080","57570","54230"
"In post","2021","Heterosexual / straight","G6/G7","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Registers of Scotland","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Rural Payments Agency","60","60","53060","50260"
"In post","2021","Heterosexual / straight","G6/G7","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Scottish Government (excl. agencies)","1450","1390","62200","61010"
"In post","2021","Heterosexual / straight","G6/G7","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Scottish Prison Service","60","60","61400","55110"
"In post","2021","Heterosexual / straight","G6/G7","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Serious Fraud Office","120","120","61470","58700"
