"Status","Year","Function_of_post","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","EO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Cabinet Office (excl. agencies)","1240","1230","64860","64500"
"In post","2022","Commercial","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Defence Equipment and Support","130","130","57520","55420"
"In post","2022","Commercial","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Department for Education (excl. agencies)","50","50","52570","49970"
"In post","2022","Commercial","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Department for Transport (excl. agencies)","60","60","62090","65440"
"In post","2022","Commercial","G6/G7","Department of Health and Social Care (excl. agencies)","110","110","54250","53360"
"In post","2022","Commercial","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","FCDO Services","30","30","[c]","[c]"
"In post","2022","Commercial","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Met Office","110","110","51460","47960"
"In post","2022","Commercial","G6/G7","Ministry of Defence (excl. agencies)","60","50","60070","54870"
"In post","2022","Commercial","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","UK Export Finance","70","70","64640","61920"
"In post","2022","Commercial","G6/G7","UK Health Security Agency","60","60","59570","55520"
"In post","2022","Commercial","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Cabinet Office (excl. agencies)","240","230","118970","117230"
"In post","2022","Commercial","SCS","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Department of Health and Social Care (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Commercial","SCS","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Cabinet Office (excl. agencies)","140","140","38090","38420"
"In post","2022","Commercial","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Crown Commercial Service","290","280","35550","38330"
"In post","2022","Commercial","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Defence Equipment and Support","250","240","36470","37400"
"In post","2022","Commercial","SEO/HEO","Defence Science and Technology Laboratory","40","40","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Department for Education (excl. agencies)","160","160","34770","36500"
"In post","2022","Commercial","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","110","100","35720","36070"
"In post","2022","Commercial","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Department for Transport (excl. agencies)","70","70","37120","34880"
"In post","2022","Commercial","SEO/HEO","Department of Health and Social Care (excl. agencies)","130","120","38490","40650"
"In post","2022","Commercial","SEO/HEO","Driver and Vehicle Licensing Agency","80","70","35020","32180"
"In post","2022","Commercial","SEO/HEO","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","FCDO Services","30","30","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","HM Revenue and Customs (excl. agencies)","90","80","37790","40180"
"In post","2022","Commercial","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Met Office","80","70","36280","37420"
"In post","2022","Commercial","SEO/HEO","Ministry of Defence (excl. agencies)","620","590","38070","40000"
"In post","2022","Commercial","SEO/HEO","Ministry of Justice (excl. agencies)","160","150","38440","37340"
"In post","2022","Commercial","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","UK Export Finance","110","110","41500","41000"
"In post","2022","Commercial","SEO/HEO","UK Health Security Agency","50","40","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","UK Hydrographic Office","60","50","38630","42510"
"In post","2022","Commercial","SEO/HEO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Submarine Delivery Agency","160","160","40420","37450"
"In post","2022","Communications","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","HM Revenue and Customs (excl. agencies)","300","260","21520","21250"
"In post","2022","Communications","AA/AO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Ministry of Defence (excl. agencies)","80","80","21450","21180"
"In post","2022","Communications","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Communications","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Department for Education (excl. agencies)","50","50","[c]","[c]"
"In post","2022","Communications","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Communications","EO","Department of Health and Social Care (excl. agencies)","100","100","27460","27270"
"In post","2022","Communications","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","HM Revenue and Customs (excl. agencies)","2630","2550","26760","26820"
"In post","2022","Communications","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Ministry of Defence (excl. agencies)","150","140","27630","26670"
"In post","2022","Communications","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Cabinet Office (excl. agencies)","130","130","58970","55640"
"In post","2022","Communications","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Department for Education (excl. agencies)","50","40","[c]","[c]"
"In post","2022","Communications","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","54600","53790"
"In post","2022","Communications","G6/G7","Department for International Trade","30","30","[c]","[c]"
"In post","2022","Communications","G6/G7","Department for Levelling Up, Housing and Communities (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Communications","G6/G7","Department for Transport (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Communications","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Department of Health and Social Care (excl. agencies)","180","170","59170","56430"
"In post","2022","Communications","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Communications","G6/G7","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","HM Revenue and Customs (excl. agencies)","180","180","58050","55210"
"In post","2022","Communications","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Communications","G6/G7","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Communications","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
