"Status","Year","Region_ITL3","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Angus and Dundee City","Declared disabled","No function","40","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","Unknown","220","200","23960","21010"
"In post","2021","Angus and Dundee City","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","Legal","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","No function","170","150","25520","22220"
"In post","2021","Angus and Dundee City","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","Unknown","950","880","26180","23110"
"In post","2021","Angus and Dundee City","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Unknown","70","70","23610","21010"
"In post","2021","Angus and Dundee City","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Legal","60","50","25790","22820"
"In post","2021","Angus and Dundee City","Unknown","No function","140","130","21870","20140"
"In post","2021","Angus and Dundee City","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Unknown","180","170","30840","24510"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Security","50","50","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Unknown","60","60","25740","21880"
"In post","2021","Antrim and Newtownabbey","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","Security","50","50","21120","20310"
"In post","2021","Ards and North Down","Declared non-disabled","Unknown","40","30","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Security","30","30","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Unknown","80","70","31180","31060"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","No function","80","70","28060","26150"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Unknown","350","320","30930","31060"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","No function","60","60","34670","30780"
"In post","2021","Barnet","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Unknown","60","50","34340","31060"
"In post","2021","Barnet","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","Finance","30","30","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","No function","650","610","37230","32330"
"In post","2021","Barnet","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","Unknown","360","340","35300","31060"
"In post","2021","Barnet","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","No function","40","30","[c]","[c]"
"In post","2021","Barnet","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","No function","350","330","49270","44950"
"In post","2021","Barnet","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","No function","150","140","29480","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Unknown","250","210","24980","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","No function","990","920","28300","26780"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Security","50","50","38770","40190"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Unknown","1060","900","25210","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","No function","170","160","29780","30450"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Unknown","60","50","25040","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","No function","150","140","24170","22850"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Unknown","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Commercial","70","70","42950","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Finance","90","80","36410","32600"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Human Resources","80","70","36790","33030"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","No function","70","60","30800","28200"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Project Delivery","800","770","37300","35720"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Property","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Unknown","160","150","33030","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Analysis","50","50","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Commercial","430","420","42000","39860"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Communications","60","50","39480","35990"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Digital, Data & Technology","100","90","36640","35700"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Finance","500","490","40940","36620"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Human Resources","430","390","36170","31970"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Legal","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","No function","580","540","31030","28840"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Project Delivery","6110","5920","38680","36550"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Property","210","210","39370","37500"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Security","80","80","28190","20920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Unknown","940","880","33190","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Commercial","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","No function","100","100","29750","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Project Delivery","530","510","41620","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Unknown","90","80","34920","30980"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Commercial","100","90","53550","44990"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Finance","70","70","38320","33300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Human Resources","90","90","30450","28840"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","No function","260","250","32690","32770"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Project Delivery","900","860","38170","36190"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","90","80","36210","33300"
"In post","2021","Bedford","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","No function","60","60","30340","28200"
"In post","2021","Bedford","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Unknown","40","40","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","No function","310","290","31970","30400"
"In post","2021","Bedford","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Unknown","220","200","28230","27570"
"In post","2021","Bedford","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","No function","40","30","[c]","[c]"
"In post","2021","Bedford","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","No function","90","80","27120","27700"
"In post","2021","Bedford","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Belfast","Declared disabled","Debt","[c]","[c]","[c]","[c]"
