"Status","Year","Sexual_orientation","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","LGBO","South East (England)","Unknown","90","90","27150","24020"
"In post","2021","LGBO","South West (England)","AA/AO","360","350","22730","21010"
"In post","2021","LGBO","South West (England)","EO","410","400","26300","27540"
"In post","2021","LGBO","South West (England)","G6/G7","140","130","55010","52600"
"In post","2021","LGBO","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","South West (England)","SEO/HEO","480","470","34590","33770"
"In post","2021","LGBO","South West (England)","Unknown","90","90","31460","28200"
"In post","2021","LGBO","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Wales","AA/AO","440","420","21100","21010"
"In post","2021","LGBO","Wales","EO","380","370","26710","27570"
"In post","2021","LGBO","Wales","G6/G7","100","100","58090","56620"
"In post","2021","LGBO","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Wales","SEO/HEO","350","340","35790","36030"
"In post","2021","LGBO","Wales","Unknown","40","40","[c]","[c]"
"In post","2021","LGBO","West Midlands (England)","AA/AO","380","360","22350","21010"
"In post","2021","LGBO","West Midlands (England)","EO","290","280","26970","27570"
"In post","2021","LGBO","West Midlands (England)","G6/G7","80","80","57520","52890"
"In post","2021","LGBO","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","West Midlands (England)","SEO/HEO","200","200","35230","33300"
"In post","2021","LGBO","West Midlands (England)","Unknown","50","50","26630","23380"
"In post","2021","LGBO","Yorkshire and The Humber","AA/AO","440","420","22630","21010"
"In post","2021","LGBO","Yorkshire and The Humber","EO","420","400","27080","27570"
"In post","2021","LGBO","Yorkshire and The Humber","G6/G7","140","130","55710","52580"
"In post","2021","LGBO","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Yorkshire and The Humber","SEO/HEO","390","380","34280","32540"
"In post","2021","LGBO","Yorkshire and The Humber","Unknown","60","60","29420","28270"
"In post","2021","Undeclared","East Midlands (England)","AA/AO","700","620","22000","21010"
"In post","2021","Undeclared","East Midlands (England)","EO","600","540","27160","27410"
"In post","2021","Undeclared","East Midlands (England)","G6/G7","130","120","58080","53430"
"In post","2021","Undeclared","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","SEO/HEO","490","470","36740","35000"
"In post","2021","Undeclared","East Midlands (England)","Unknown","100","90","31380","31420"
"In post","2021","Undeclared","East of England","AA/AO","690","630","23460","21440"
"In post","2021","Undeclared","East of England","EO","700","640","28370","27570"
"In post","2021","Undeclared","East of England","G6/G7","120","110","58950","54660"
"In post","2021","Undeclared","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East of England","SEO/HEO","600","570","37160","35480"
"In post","2021","Undeclared","East of England","Unknown","80","70","30390","31420"
"In post","2021","Undeclared","London","AA/AO","1130","1040","25060","25110"
"In post","2021","Undeclared","London","EO","2010","1870","30000","30270"
"In post","2021","Undeclared","London","G6/G7","2430","2350","61220","59160"
"In post","2021","Undeclared","London","SCS","310","300","88710","81200"
"In post","2021","Undeclared","London","SEO/HEO","3010","2930","39000","38510"
"In post","2021","Undeclared","London","Unknown","130","130","36740","35310"
"In post","2021","Undeclared","North East (England)","AA/AO","960","820","21600","21010"
"In post","2021","Undeclared","North East (England)","EO","550","500","26930","27370"
"In post","2021","Undeclared","North East (England)","G6/G7","150","150","56250","52580"
"In post","2021","Undeclared","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","North East (England)","SEO/HEO","450","420","35550","34290"
"In post","2021","Undeclared","North East (England)","Unknown","50","50","[c]","[c]"
"In post","2021","Undeclared","North West (England)","AA/AO","1570","1380","21530","21010"
"In post","2021","Undeclared","North West (England)","EO","1470","1340","27060","27570"
"In post","2021","Undeclared","North West (England)","G6/G7","340","330","56790","53430"
"In post","2021","Undeclared","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","North West (England)","SEO/HEO","1060","1000","35750","34290"
"In post","2021","Undeclared","North West (England)","Unknown","150","140","32790","32390"
"In post","2021","Undeclared","Northern Ireland","AA/AO","100","90","21340","20810"
"In post","2021","Undeclared","Northern Ireland","EO","60","60","26450","25560"
"In post","2021","Undeclared","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland","SEO/HEO","60","60","34560","33390"
"In post","2021","Undeclared","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Overseas","EO","40","40","[c]","[c]"
"In post","2021","Undeclared","Overseas","G6/G7","120","120","61050","58850"
"In post","2021","Undeclared","Overseas","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Overseas","SEO/HEO","140","140","37530","34770"
"In post","2021","Undeclared","Overseas","Unknown","40","40","[c]","[c]"
"In post","2021","Undeclared","Scotland","AA/AO","1900","1680","22100","21010"
"In post","2021","Undeclared","Scotland","EO","1290","1180","28020","27570"
"In post","2021","Undeclared","Scotland","G6/G7","320","300","62000","61010"
"In post","2021","Undeclared","Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scotland","SEO/HEO","1000","950","37970","35230"
"In post","2021","Undeclared","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","South East (England)","AA/AO","1220","1110","24290","21580"
"In post","2021","Undeclared","South East (England)","EO","1370","1250","28290","27380"
"In post","2021","Undeclared","South East (England)","G6/G7","320","310","57650","54540"
"In post","2021","Undeclared","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","South East (England)","SEO/HEO","1150","1100","37190","35300"
"In post","2021","Undeclared","South East (England)","Unknown","140","130","32930","32470"
"In post","2021","Undeclared","South West (England)","AA/AO","840","760","22670","21010"
"In post","2021","Undeclared","South West (England)","EO","970","890","27060","27370"
"In post","2021","Undeclared","South West (England)","G6/G7","640","610","56810","54770"
"In post","2021","Undeclared","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","South West (England)","SEO/HEO","1750","1660","37190","36970"
"In post","2021","Undeclared","South West (England)","Unknown","270","260","41050","38030"
"In post","2021","Undeclared","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","EO","50","50","28370","27570"
"In post","2021","Undeclared","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Wales","AA/AO","1770","1460","20890","21510"
"In post","2021","Undeclared","Wales","EO","1030","940","27560","27460"
"In post","2021","Undeclared","Wales","G6/G7","320","310","60220","60830"
"In post","2021","Undeclared","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Wales","SEO/HEO","940","890","38220","37410"
"In post","2021","Undeclared","Wales","Unknown","60","50","30870","31420"
"In post","2021","Undeclared","West Midlands (England)","AA/AO","820","720","21720","21010"
"In post","2021","Undeclared","West Midlands (England)","EO","830","750","27190","27570"
"In post","2021","Undeclared","West Midlands (England)","G6/G7","180","180","57840","54540"
"In post","2021","Undeclared","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","West Midlands (England)","SEO/HEO","570","540","36180","34640"
"In post","2021","Undeclared","West Midlands (England)","Unknown","90","80","31210","31130"
"In post","2021","Undeclared","Yorkshire and The Humber","AA/AO","960","850","22980","21100"
"In post","2021","Undeclared","Yorkshire and The Humber","EO","950","870","27320","27570"
"In post","2021","Undeclared","Yorkshire and The Humber","G6/G7","240","230","55690","52580"
"In post","2021","Undeclared","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Yorkshire and The Humber","SEO/HEO","780","740","36110","35310"
"In post","2021","Undeclared","Yorkshire and The Humber","Unknown","100","90","32370","34340"
"In post","2021","Unknown","East Midlands (England)","AA/AO","1910","1710","22040","21010"
"In post","2021","Unknown","East Midlands (England)","EO","1350","1220","27040","27570"
"In post","2021","Unknown","East Midlands (England)","G6/G7","230","210","57260","53430"
"In post","2021","Unknown","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","East Midlands (England)","SEO/HEO","860","820","34840","32230"
"In post","2021","Unknown","East Midlands (England)","Unknown","80","70","26910","24320"
"In post","2021","Unknown","East of England","AA/AO","1570","1410","23810","21580"
"In post","2021","Unknown","East of England","EO","1230","1120","28320","27570"
"In post","2021","Unknown","East of England","G6/G7","290","270","57210","54390"
"In post","2021","Unknown","East of England","SCS","30","30","[c]","[c]"
"In post","2021","Unknown","East of England","SEO/HEO","820","770","35880","35000"
"In post","2021","Unknown","East of England","Unknown","100","80","24480","22920"
