"Status","Year","Region_ITL2","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Anglia","Asian","Male","170","160","29310","25310"
"In post","2021","East Anglia","Black","Female","70","60","31320","27570"
"In post","2021","East Anglia","Black","Male","50","50","33730","29200"
"In post","2021","East Anglia","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Mixed","Female","110","100","27700","27570"
"In post","2021","East Anglia","Mixed","Male","80","70","30730","27850"
"In post","2021","East Anglia","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Undeclared","Female","200","180","30280","27570"
"In post","2021","East Anglia","Undeclared","Male","370","350","31600","29150"
"In post","2021","East Anglia","Unknown","Female","490","440","29110","25560"
"In post","2021","East Anglia","Unknown","Male","610","590","28800","26730"
"In post","2021","East Anglia","White","Female","5280","4750","29010","27560"
"In post","2021","East Anglia","White","Male","4790","4620","31680","29270"
"In post","2021","East Wales","Asian","Female","160","150","29730","25720"
"In post","2021","East Wales","Asian","Male","170","170","31010","25560"
"In post","2021","East Wales","Black","Female","80","70","28070","25560"
"In post","2021","East Wales","Black","Male","80","80","30620","27570"
"In post","2021","East Wales","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Mixed","Female","170","160","31460","27570"
"In post","2021","East Wales","Mixed","Male","110","110","33180","29540"
"In post","2021","East Wales","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Other ethnicity","Male","50","40","[c]","[c]"
"In post","2021","East Wales","Undeclared","Female","230","210","32770","27570"
"In post","2021","East Wales","Undeclared","Male","390","370","34840","31810"
"In post","2021","East Wales","Unknown","Female","1480","1360","27650","24570"
"In post","2021","East Wales","Unknown","Male","1550","1520","30290","25560"
"In post","2021","East Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","White","Female","8810","7970","32140","27570"
"In post","2021","East Wales","White","Male","7000","6780","34630","29890"
"In post","2021","East Wales","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","Female","60","50","28010","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","Male","110","110","29840","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","Female","190","170","25500","23970"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","Male","230","220","26020","24920"
"In post","2021","East Yorkshire and Northern Lincolnshire","White","Female","2040","1770","26790","26930"
"In post","2021","East Yorkshire and Northern Lincolnshire","White","Male","1970","1880","29290","27380"
"In post","2021","Eastern Scotland","Asian","Female","110","100","31640","27570"
"In post","2021","Eastern Scotland","Asian","Male","80","80","33190","27570"
"In post","2021","Eastern Scotland","Black","Female","60","50","30790","27570"
"In post","2021","Eastern Scotland","Black","Male","30","30","[c]","[c]"
"In post","2021","Eastern Scotland","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Mixed","Female","60","60","37880","33450"
"In post","2021","Eastern Scotland","Mixed","Male","60","60","37770","30650"
"In post","2021","Eastern Scotland","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Undeclared","Female","240","210","31970","27570"
"In post","2021","Eastern Scotland","Undeclared","Male","400","370","35930","33650"
"In post","2021","Eastern Scotland","Unknown","Female","2560","2360","30290","26160"
"In post","2021","Eastern Scotland","Unknown","Male","2420","2330","31780","29350"
"In post","2021","Eastern Scotland","White","Female","7650","7000","34790","29190"
"In post","2021","Eastern Scotland","White","Male","6110","5930","36410","31990"
"In post","2021","Essex","Asian","Female","120","110","32830","29290"
"In post","2021","Essex","Asian","Male","100","90","37170","29290"
"In post","2021","Essex","Black","Female","170","160","29130","29290"
"In post","2021","Essex","Black","Male","80","80","30680","29290"
"In post","2021","Essex","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Mixed","Female","50","50","31270","29290"
"In post","2021","Essex","Mixed","Male","50","40","[c]","[c]"
"In post","2021","Essex","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Undeclared","Female","130","120","28970","27370"
"In post","2021","Essex","Undeclared","Male","180","170","32530","30890"
"In post","2021","Essex","Unknown","Female","300","270","28850","25850"
"In post","2021","Essex","Unknown","Male","280","270","29930","28130"
"In post","2021","Essex","White","Female","2430","2160","29570","29290"
