"Status","Year","Sex","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Undeclared","Northern Ireland","40","30","[c]","[c]"
"In post","2021","Female","Undeclared","Overseas","60","60","[c]","[c]"
"In post","2021","Female","Undeclared","Scotland","630","560","30350","27570"
"In post","2021","Female","Undeclared","South East (England)","860","760","30750","27570"
"In post","2021","Female","Undeclared","South West (England)","810","730","32890","30180"
"In post","2021","Female","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Wales","510","450","29890","26780"
"In post","2021","Female","Undeclared","West Midlands (England)","620","540","29120","27570"
"In post","2021","Female","Undeclared","Yorkshire and The Humber","590","510","30260","27570"
"In post","2021","Female","Unknown","East Midlands (England)","1360","1240","26830","25260"
"In post","2021","Female","Unknown","East of England","1000","920","29020","26300"
"In post","2021","Female","Unknown","London","8170","7880","41560","35050"
"In post","2021","Female","Unknown","North East (England)","2380","2070","24840","21440"
"In post","2021","Female","Unknown","North West (England)","3690","3370","27150","24620"
"In post","2021","Female","Unknown","Northern Ireland","280","260","25820","21440"
"In post","2021","Female","Unknown","Overseas","290","290","50070","46620"
"In post","2021","Female","Unknown","Scotland","5120","4670","29220","25870"
"In post","2021","Female","Unknown","South East (England)","1960","1760","29200","26700"
"In post","2021","Female","Unknown","South West (England)","1840","1660","30380","26780"
"In post","2021","Female","Unknown","Unknown","470","470","34080","32000"
"In post","2021","Female","Unknown","Wales","2300","2090","26810","23050"
"In post","2021","Female","Unknown","West Midlands (England)","1920","1770","27870","25560"
"In post","2021","Female","Unknown","Yorkshire and The Humber","2350","2170","30040","25790"
"In post","2021","Female","White","East Midlands (England)","8740","7820","29210","27380"
"In post","2021","Female","White","East of England","9370","8420","29690","27570"
"In post","2021","Female","White","London","26900","25360","46090","40920"
"In post","2021","Female","White","North East (England)","14790","12680","27600","25560"
"In post","2021","Female","White","North West (England)","27250","24230","28900","27130"
"In post","2021","Female","White","Northern Ireland","1420","1280","28930","25560"
"In post","2021","Female","White","Overseas","980","980","50170","51500"
"In post","2021","Female","White","Scotland","19270","17290","31760","27570"
"In post","2021","Female","White","South East (England)","16710","15060","30280","27570"
"In post","2021","Female","White","South West (England)","17730","15990","32190","27610"
"In post","2021","Female","White","Unknown","530","490","33180","27570"
"In post","2021","Female","White","Wales","17240","15260","29900","27130"
"In post","2021","Female","White","West Midlands (England)","11440","10200","30040","27570"
"In post","2021","Female","White","Yorkshire and The Humber","15320","13560","30820","27570"
"In post","2021","Male","Asian","East Midlands (England)","750","710","27440","25560"
"In post","2021","Male","Asian","East of England","470","450","31950","28080"
"In post","2021","Male","Asian","London","5420","5300","38030","32790"
"In post","2021","Male","Asian","North East (England)","180","170","29350","25560"
"In post","2021","Male","Asian","North West (England)","1420","1380","28280","26000"
"In post","2021","Male","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Asian","Overseas","90","90","48870","45910"
"In post","2021","Male","Asian","Scotland","230","230","34650","27570"
"In post","2021","Male","Asian","South East (England)","600","570","31190","28400"
"In post","2021","Male","Asian","South West (England)","420","410","35370","32650"
"In post","2021","Male","Asian","Unknown","60","60","31140","27570"
"In post","2021","Male","Asian","Wales","220","210","30430","25560"
"In post","2021","Male","Asian","West Midlands (England)","1800","1760","28290","26560"
"In post","2021","Male","Asian","Yorkshire and The Humber","1180","1140","28750","27570"
"In post","2021","Male","Black","East Midlands (England)","200","190","28260","27570"
"In post","2021","Male","Black","East of England","210","200","31990","29290"
"In post","2021","Male","Black","London","3220","3170","35480","31880"
"In post","2021","Male","Black","North East (England)","70","70","29490","25960"
"In post","2021","Male","Black","North West (England)","320","310","28870","27570"
"In post","2021","Male","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Overseas","30","30","[c]","[c]"
"In post","2021","Male","Black","Scotland","110","110","35610","30790"
"In post","2021","Male","Black","South East (England)","370","360","31140","29290"
"In post","2021","Male","Black","South West (England)","270","260","33900","32780"
"In post","2021","Male","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Wales","90","90","29930","27570"
"In post","2021","Male","Black","West Midlands (England)","400","390","29190","27570"
"In post","2021","Male","Black","Yorkshire and The Humber","240","230","29380","27570"
"In post","2021","Male","Chinese","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","London","250","240","41840","36360"
"In post","2021","Male","Chinese","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","North West (England)","70","70","27980","25560"
"In post","2021","Male","Chinese","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","South East (England)","40","40","[c]","[c]"
"In post","2021","Male","Chinese","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","East Midlands (England)","140","140","31050","27570"
"In post","2021","Male","Mixed","East of England","180","170","31950","29290"
"In post","2021","Male","Mixed","London","1360","1340","42530","37270"
"In post","2021","Male","Mixed","North East (England)","110","100","29520","27180"
"In post","2021","Male","Mixed","North West (England)","300","290","31320","27570"
"In post","2021","Male","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Overseas","50","50","51740","53000"
"In post","2021","Male","Mixed","Scotland","120","120","35400","30080"
"In post","2021","Male","Mixed","South East (England)","320","310","33180","29920"
"In post","2021","Male","Mixed","South West (England)","310","290","34740","31810"
"In post","2021","Male","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Wales","150","150","31790","27680"
"In post","2021","Male","Mixed","West Midlands (England)","190","190","29640","27570"
"In post","2021","Male","Mixed","Yorkshire and The Humber","210","200","32350","27570"
"In post","2021","Male","Other ethnicity","East Midlands (England)","30","30","[c]","[c]"
"In post","2021","Male","Other ethnicity","East of England","50","50","37060","31320"
"In post","2021","Male","Other ethnicity","London","510","500","43660","36650"
"In post","2021","Male","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","North West (England)","90","90","32890","27570"
"In post","2021","Male","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Scotland","40","40","[c]","[c]"
"In post","2021","Male","Other ethnicity","South East (England)","100","100","32430","31000"
"In post","2021","Male","Other ethnicity","South West (England)","100","100","36360","33000"
"In post","2021","Male","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Wales","60","50","34200","28850"
"In post","2021","Male","Other ethnicity","West Midlands (England)","70","70","30950","27570"
"In post","2021","Male","Other ethnicity","Yorkshire and The Humber","60","60","34130","27570"
"In post","2021","Male","Undeclared","East Midlands (England)","510","490","30890","27590"
"In post","2021","Male","Undeclared","East of England","670","640","32410","29870"
"In post","2021","Male","Undeclared","London","2520","2450","44520","39870"
"In post","2021","Male","Undeclared","North East (England)","610","580","30390","27570"
"In post","2021","Male","Undeclared","North West (England)","1200","1150","31760","27570"
"In post","2021","Male","Undeclared","Northern Ireland","60","60","29070","25710"
"In post","2021","Male","Undeclared","Overseas","140","140","48960","42030"
"In post","2021","Male","Undeclared","Scotland","1000","950","34100","32140"
"In post","2021","Male","Undeclared","South East (England)","1410","1350","34420","32030"
"In post","2021","Male","Undeclared","South West (England)","1650","1600","38420","37320"
"In post","2021","Male","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Male","Undeclared","Wales","740","710","33490","29550"
"In post","2021","Male","Undeclared","West Midlands (England)","640","610","31380","27570"
"In post","2021","Male","Undeclared","Yorkshire and The Humber","810","780","31790","27680"
"In post","2021","Male","Unknown","East Midlands (England)","1340","1300","28360","25560"
"In post","2021","Male","Unknown","East of England","1080","1050","29460","27570"
"In post","2021","Male","Unknown","London","7390","7310","44290","36800"
"In post","2021","Male","Unknown","North East (England)","1970","1900","27620","25560"
"In post","2021","Male","Unknown","North West (England)","3570","3480","28790","25560"
"In post","2021","Male","Unknown","Northern Ireland","360","360","26120","23370"
"In post","2021","Male","Unknown","Overseas","280","280","53470","53000"
"In post","2021","Male","Unknown","Scotland","5020","4810","30870","28130"
"In post","2021","Male","Unknown","South East (England)","2270","2190","31100","28650"
"In post","2021","Male","Unknown","South West (England)","2340","2280","33160","29000"
"In post","2021","Male","Unknown","Unknown","1970","1960","37720","33570"
"In post","2021","Male","Unknown","Wales","2170","2110","29930","25560"
"In post","2021","Male","Unknown","West Midlands (England)","1680","1640","29640","25790"
"In post","2021","Male","Unknown","Yorkshire and The Humber","2500","2450","29820","25560"
"In post","2021","Male","White","East Midlands (England)","6370","6140","31560","27570"
"In post","2021","Male","White","East of England","7760","7460","32360","29810"
"In post","2021","Male","White","London","25990","25470","48140","42540"
"In post","2021","Male","White","North East (England)","9580","9120","29910","27570"
"In post","2021","Male","White","North West (England)","18230","17540","31110","27570"
"In post","2021","Male","White","Northern Ireland","1620","1570","27920","24890"
"In post","2021","Male","White","Overseas","1640","1640","50410","49760"
"In post","2021","Male","White","Scotland","15400","14860","33940","29350"
"In post","2021","Male","White","South East (England)","15340","14720","33080","30380"
"In post","2021","Male","White","South West (England)","18670","18150","36600","33300"
"In post","2021","Male","White","Unknown","440","420","34370","27570"
"In post","2021","Male","White","Wales","11950","11530","33080","27770"
"In post","2021","Male","White","West Midlands (England)","8190","7920","32600","28130"
"In post","2021","Male","White","Yorkshire and The Humber","11520","11080","32990","29180"
"In post","2021","Unknown","Black","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Female","Asian","East Midlands (England)","1090","950","27990","26590"
"In post","2022","Female","Asian","East of England","700","620","30500","27570"
"In post","2022","Female","Asian","London","8820","8170","37630","32960"
"In post","2022","Female","Asian","North East (England)","300","270","28300","26590"
"In post","2022","Female","Asian","North West (England)","1440","1270","28100","26590"
"In post","2022","Female","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Female","Asian","Overseas","70","70","43670","34770"
"In post","2022","Female","Asian","Scotland","400","360","30350","27230"
"In post","2022","Female","Asian","South East (England)","880","790","29920","28350"
"In post","2022","Female","Asian","South West (England)","440","400","33560","28900"
"In post","2022","Female","Asian","Unknown","120","100","29000","27780"
"In post","2022","Female","Asian","Wales","290","270","31090","27570"
"In post","2022","Female","Asian","West Midlands (England)","2720","2460","28310","26820"
"In post","2022","Female","Asian","Yorkshire and The Humber","1440","1270","28210","26820"
"In post","2022","Female","Black","East Midlands (England)","380","350","27800","26590"
"In post","2022","Female","Black","East of England","410","380","30500","29290"
"In post","2022","Female","Black","London","7070","6770","34930","31060"
"In post","2022","Female","Black","North East (England)","90","80","26710","21300"
"In post","2022","Female","Black","North West (England)","510","480","28910","26820"
"In post","2022","Female","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Female","Black","Overseas","30","30","[c]","[c]"
"In post","2022","Female","Black","Scotland","170","160","29070","27230"
"In post","2022","Female","Black","South East (England)","520","490","30280","28480"
"In post","2022","Female","Black","South West (England)","280","270","32030","28700"
"In post","2022","Female","Black","Unknown","40","40","[c]","[c]"
"In post","2022","Female","Black","Wales","120","120","29590","27570"
"In post","2022","Female","Black","West Midlands (England)","950","880","28520","27570"
"In post","2022","Female","Black","Yorkshire and The Humber","350","330","29450","27570"
"In post","2022","Female","Mixed","East Midlands (England)","250","230","28890","26820"
"In post","2022","Female","Mixed","East of England","250","230","30350","28170"
"In post","2022","Female","Mixed","London","2160","2060","40810","35490"
"In post","2022","Female","Mixed","North East (England)","140","130","29570","27570"
"In post","2022","Female","Mixed","North West (England)","540","500","29270","26820"
"In post","2022","Female","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Female","Mixed","Overseas","60","60","46050","40170"
"In post","2022","Female","Mixed","Scotland","180","170","35440","30040"
"In post","2022","Female","Mixed","South East (England)","410","380","30530","27570"
"In post","2022","Female","Mixed","South West (England)","350","320","32630","29230"
"In post","2022","Female","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Mixed","Wales","260","240","30820","27570"
"In post","2022","Female","Mixed","West Midlands (England)","430","390","29410","27570"
"In post","2022","Female","Mixed","Yorkshire and The Humber","330","300","31370","27570"
"In post","2022","Female","Other ethnicity","East Midlands (England)","40","40","[c]","[c]"
"In post","2022","Female","Other ethnicity","East of England","70","60","30370","28560"
"In post","2022","Female","Other ethnicity","London","760","720","39510","34100"
"In post","2022","Female","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Female","Other ethnicity","North West (England)","90","80","30440","27570"
"In post","2022","Female","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Female","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Female","Other ethnicity","Scotland","60","60","32580","28920"
"In post","2022","Female","Other ethnicity","South East (England)","90","90","30900","27570"
"In post","2022","Female","Other ethnicity","South West (England)","60","60","33330","27810"
"In post","2022","Female","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Other ethnicity","Wales","50","50","30100","27570"
"In post","2022","Female","Other ethnicity","West Midlands (England)","90","80","29730","26820"
"In post","2022","Female","Other ethnicity","Yorkshire and The Humber","60","50","31950","27570"
"In post","2022","Female","Undeclared","East Midlands (England)","410","370","30900","27570"
"In post","2022","Female","Undeclared","East of England","420","370","30710","28550"
"In post","2022","Female","Undeclared","London","1990","1850","39380","34020"
"In post","2022","Female","Undeclared","North East (England)","410","350","28830","26670"
"In post","2022","Female","Undeclared","North West (England)","990","860","29800","27570"
"In post","2022","Female","Undeclared","Northern Ireland","30","30","[c]","[c]"
"In post","2022","Female","Undeclared","Overseas","80","80","46060","44130"
"In post","2022","Female","Undeclared","Scotland","630","560","31960","27570"
"In post","2022","Female","Undeclared","South East (England)","830","740","32000","28670"
"In post","2022","Female","Undeclared","South West (England)","760","690","33400","30980"
"In post","2022","Female","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Wales","500","450","30890","27130"
"In post","2022","Female","Undeclared","West Midlands (England)","610","530","29690","27570"
"In post","2022","Female","Undeclared","Yorkshire and The Humber","600","530","30720","27570"
"In post","2022","Female","Unknown","East Midlands (England)","1500","1370","28010","26310"
"In post","2022","Female","Unknown","East of England","1170","1060","29210","26310"
"In post","2022","Female","Unknown","London","8930","8630","41970","35490"
"In post","2022","Female","Unknown","North East (England)","2490","2200","26570","22600"
"In post","2022","Female","Unknown","North West (England)","4520","4170","28240","25000"
"In post","2022","Female","Unknown","Northern Ireland","360","330","27870","24880"
"In post","2022","Female","Unknown","Overseas","270","270","48150","46600"
"In post","2022","Female","Unknown","Scotland","5470","5040","30700","27080"
"In post","2022","Female","Unknown","South East (England)","2200","1990","29880","26820"
"In post","2022","Female","Unknown","South West (England)","2010","1840","30420","26740"
"In post","2022","Female","Unknown","Unknown","420","410","33750","30330"
"In post","2022","Female","Unknown","Wales","2330","2120","27700","23880"
"In post","2022","Female","Unknown","West Midlands (England)","2290","2120","29120","26290"
"In post","2022","Female","Unknown","Yorkshire and The Humber","2690","2500","31060","26820"
"In post","2022","Female","White","East Midlands (England)","9390","8460","30260","27570"
"In post","2022","Female","White","East of England","9460","8530","30440","27570"
"In post","2022","Female","White","London","27430","25930","46590","41950"
"In post","2022","Female","White","North East (England)","15880","13820","28890","26820"
"In post","2022","Female","White","North West (England)","28840","25890","29850","27570"
"In post","2022","Female","White","Northern Ireland","1560","1430","30460","26820"
"In post","2022","Female","White","Overseas","980","980","50160","51500"
"In post","2022","Female","White","Scotland","20780","18840","33090","27570"
"In post","2022","Female","White","South East (England)","17190","15520","31180","27570"
"In post","2022","Female","White","South West (England)","18430","16680","32840","29000"
"In post","2022","Female","White","Unknown","410","380","33670","29790"
"In post","2022","Female","White","Wales","18170","16230","30850","27570"
"In post","2022","Female","White","West Midlands (England)","12070","10860","30860","27570"
"In post","2022","Female","White","Yorkshire and The Humber","16130","14400","31690","27570"
"In post","2022","Male","Asian","East Midlands (England)","860","820","28890","27130"
"In post","2022","Male","Asian","East of England","480","460","32730","28140"
"In post","2022","Male","Asian","London","5980","5860","39110","34260"
"In post","2022","Male","Asian","North East (England)","290","280","31230","27570"
"In post","2022","Male","Asian","North West (England)","1800","1740","29660","27570"
"In post","2022","Male","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Male","Asian","Overseas","100","100","46280","40490"
"In post","2022","Male","Asian","Scotland","340","330","34970","28950"
"In post","2022","Male","Asian","South East (England)","660","640","31730","28660"
"In post","2022","Male","Asian","South West (England)","460","450","36160","33300"
"In post","2022","Male","Asian","Unknown","50","50","31200","31060"
"In post","2022","Male","Asian","Wales","300","290","31410","26820"
"In post","2022","Male","Asian","West Midlands (England)","2140","2090","29540","27570"
"In post","2022","Male","Asian","Yorkshire and The Humber","1490","1450","29770","27570"
"In post","2022","Male","Black","East Midlands (England)","230","230","29310","27380"
"In post","2022","Male","Black","East of England","230","230","31850","29290"
"In post","2022","Male","Black","London","3420","3370","36110","32350"
"In post","2022","Male","Black","North East (England)","80","80","30970","27570"
"In post","2022","Male","Black","North West (England)","430","420","30630","27570"
"In post","2022","Male","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Overseas","40","40","[c]","[c]"
"In post","2022","Male","Black","Scotland","140","140","34250","27570"
"In post","2022","Male","Black","South East (England)","400","390","31540","29290"
"In post","2022","Male","Black","South West (England)","300","290","33680","33080"
"In post","2022","Male","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Wales","110","110","31630","27570"
"In post","2022","Male","Black","West Midlands (England)","480","460","30260","27570"
"In post","2022","Male","Black","Yorkshire and The Humber","270","260","30030","27380"
"In post","2022","Male","Mixed","East Midlands (England)","170","160","31580","27350"
"In post","2022","Male","Mixed","East of England","190","190","33060","29290"
"In post","2022","Male","Mixed","London","1430","1420","43050","37930"
"In post","2022","Male","Mixed","North East (England)","120","110","29920","27570"
"In post","2022","Male","Mixed","North West (England)","350","340","31690","27570"
"In post","2022","Male","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Overseas","60","60","53560","52410"
"In post","2022","Male","Mixed","Scotland","140","140","36060","30860"
"In post","2022","Male","Mixed","South East (England)","360","350","33580","30450"
"In post","2022","Male","Mixed","South West (England)","320","310","35010","32080"
"In post","2022","Male","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Wales","170","170","33010","29430"
"In post","2022","Male","Mixed","West Midlands (England)","220","210","30580","27570"
"In post","2022","Male","Mixed","Yorkshire and The Humber","230","220","32400","27570"
"In post","2022","Male","Other ethnicity","East Midlands (England)","40","30","[c]","[c]"
"In post","2022","Male","Other ethnicity","East of England","50","50","36480","31650"
"In post","2022","Male","Other ethnicity","London","550","540","42540","36650"
"In post","2022","Male","Other ethnicity","North East (England)","30","30","[c]","[c]"
"In post","2022","Male","Other ethnicity","North West (England)","90","90","33150","27570"
"In post","2022","Male","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Scotland","50","50","[c]","[c]"
"In post","2022","Male","Other ethnicity","South East (England)","90","90","32930","30930"
"In post","2022","Male","Other ethnicity","South West (England)","90","90","36230","32980"
"In post","2022","Male","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Wales","60","60","34160","30120"
"In post","2022","Male","Other ethnicity","West Midlands (England)","70","70","32440","27570"
"In post","2022","Male","Other ethnicity","Yorkshire and The Humber","70","60","33310","27750"
"In post","2022","Male","Undeclared","East Midlands (England)","530","500","32060","29080"
"In post","2022","Male","Undeclared","East of England","640","610","32830","30820"
"In post","2022","Male","Undeclared","London","2440","2380","45170","40650"
"In post","2022","Male","Undeclared","North East (England)","650","620","32650","27570"
"In post","2022","Male","Undeclared","North West (England)","1240","1180","33060","28840"
"In post","2022","Male","Undeclared","Northern Ireland","60","60","31950","27570"
"In post","2022","Male","Undeclared","Overseas","160","160","48280","42110"
"In post","2022","Male","Undeclared","Scotland","950","900","35430","33370"
"In post","2022","Male","Undeclared","South East (England)","1340","1280","35100","32780"
"In post","2022","Male","Undeclared","South West (England)","1590","1530","38570","37410"
"In post","2022","Male","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Wales","760","730","34970","31650"
"In post","2022","Male","Undeclared","West Midlands (England)","670","640","32560","28040"
"In post","2022","Male","Undeclared","Yorkshire and The Humber","860","820","32900","29270"
"In post","2022","Male","Unknown","East Midlands (England)","1370","1330","29450","26590"
"In post","2022","Male","Unknown","East of England","1130","1090","30370","27120"
"In post","2022","Male","Unknown","London","7850","7750","44580","38050"
"In post","2022","Male","Unknown","North East (England)","2110","2050","29690","26820"
"In post","2022","Male","Unknown","North West (England)","4030","3930","30120","26820"
"In post","2022","Male","Unknown","Northern Ireland","450","440","27670","24880"
"In post","2022","Male","Unknown","Overseas","250","250","50560","52430"
"In post","2022","Male","Unknown","Scotland","5300","5090","32100","28990"
"In post","2022","Male","Unknown","South East (England)","2380","2260","31750","28140"
"In post","2022","Male","Unknown","South West (England)","2380","2320","33630","29230"
"In post","2022","Male","Unknown","Unknown","1800","1790","37840","33570"
"In post","2022","Male","Unknown","Wales","2190","2130","31240","26820"
