"Status","Year","Sex","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Undeclared","40","30","[c]","[c]"
"In post","2021","Female","Bedford","Unknown","80","70","28010","27570"
"In post","2021","Female","Belfast","Heterosexual / straight","960","860","29870","26730"
"In post","2021","Female","Belfast","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Belfast","Undeclared","60","60","28560","25560"
"In post","2021","Female","Belfast","Unknown","380","330","26150","21440"
"In post","2021","Female","Berkshire","Heterosexual / straight","910","850","32780","29290"
"In post","2021","Female","Berkshire","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Berkshire","Undeclared","120","110","33620","29290"
"In post","2021","Female","Berkshire","Unknown","290","260","32660","29460"
"In post","2021","Female","Bexley and Greenwich","Heterosexual / straight","610","570","30650","31060"
"In post","2021","Female","Bexley and Greenwich","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Undeclared","70","70","30320","30780"
"In post","2021","Female","Bexley and Greenwich","Unknown","200","180","29590","30150"
"In post","2021","Female","Birmingham","Heterosexual / straight","4240","3840","30850","27570"
"In post","2021","Female","Birmingham","LGBO","180","170","31180","27570"
"In post","2021","Female","Birmingham","Undeclared","530","470","30330","26900"
"In post","2021","Female","Birmingham","Unknown","1640","1460","28540","25560"
"In post","2021","Female","Blackburn with Darwen","Heterosexual / straight","220","190","26990","27570"
"In post","2021","Female","Blackburn with Darwen","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Unknown","60","50","24100","21010"
"In post","2021","Female","Blackpool","Heterosexual / straight","2100","1860","28560","27570"
"In post","2021","Female","Blackpool","LGBO","90","90","26970","27570"
"In post","2021","Female","Blackpool","Undeclared","220","200","29300","27570"
"In post","2021","Female","Blackpool","Unknown","800","690","27780","27570"
"In post","2021","Female","Bournemouth and Poole","Heterosexual / straight","300","260","26900","27570"
"In post","2021","Female","Bournemouth and Poole","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Undeclared","40","40","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Unknown","70","50","27340","27570"
"In post","2021","Female","Bradford","Heterosexual / straight","1110","950","27920","25560"
"In post","2021","Female","Bradford","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Bradford","Undeclared","150","120","25400","21440"
"In post","2021","Female","Bradford","Unknown","560","460","25180","21440"
"In post","2021","Female","Breckland and South Norfolk","Heterosexual / straight","160","140","27420","26740"
"In post","2021","Female","Breckland and South Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Unknown","40","30","[c]","[c]"
"In post","2021","Female","Brent","Heterosexual / straight","240","220","30730","31060"
"In post","2021","Female","Brent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brent","Undeclared","60","60","29840","30330"
"In post","2021","Female","Brent","Unknown","100","80","30340","29450"
"In post","2021","Female","Bridgend and Neath Port Talbot","Heterosexual / straight","380","330","26730","27570"
"In post","2021","Female","Bridgend and Neath Port Talbot","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Unknown","90","70","25610","27570"
"In post","2021","Female","Brighton and Hove","Heterosexual / straight","270","240","31150","27570"
"In post","2021","Female","Brighton and Hove","LGBO","50","40","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Undeclared","40","30","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Unknown","70","60","31510","27570"
"In post","2021","Female","Bristol, City of","Heterosexual / straight","2410","2170","35090","30850"
"In post","2021","Female","Bristol, City of","LGBO","150","140","32990","29180"
"In post","2021","Female","Bristol, City of","Undeclared","280","250","34460","31680"
"In post","2021","Female","Bristol, City of","Unknown","690","610","32200","27570"
"In post","2021","Female","Bromley","Heterosexual / straight","230","210","29240","31060"
"In post","2021","Female","Bromley","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bromley","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Bromley","Unknown","60","50","29440","31060"
"In post","2021","Female","Buckinghamshire CC","Heterosexual / straight","730","690","31150","28670"
"In post","2021","Female","Buckinghamshire CC","LGBO","50","40","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Undeclared","90","90","29440","28670"
"In post","2021","Female","Buckinghamshire CC","Unknown","110","100","32680","28670"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Heterosexual / straight","70","60","27430","27570"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Calderdale and Kirklees","Heterosexual / straight","470","400","27090","27570"
"In post","2021","Female","Calderdale and Kirklees","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Calderdale and Kirklees","Undeclared","60","50","26390","27570"
"In post","2021","Female","Calderdale and Kirklees","Unknown","150","120","26000","27570"
"In post","2021","Female","Cambridgeshire CC","Heterosexual / straight","1170","1090","33190","29610"
"In post","2021","Female","Cambridgeshire CC","LGBO","50","50","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Undeclared","170","160","33540","29780"
"In post","2021","Female","Cambridgeshire CC","Unknown","220","200","32440","27570"
"In post","2021","Female","Camden and City of London","Heterosexual / straight","1120","1050","35580","30850"
"In post","2021","Female","Camden and City of London","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Camden and City of London","Undeclared","180","170","35890","31780"
"In post","2021","Female","Camden and City of London","Unknown","440","400","36130","31060"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Heterosexual / straight","4540","4130","33570","28850"
"In post","2021","Female","Cardiff and Vale of Glamorgan","LGBO","250","240","30410","25560"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Undeclared","510","450","34480","28850"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Unknown","1210","1060","27030","25560"
"In post","2021","Female","Causeway Coast and Glens","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Causeway Coast and Glens","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Causeway Coast and Glens","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Heterosexual / straight","150","140","28610","26670"
"In post","2021","Female","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Hampshire","Heterosexual / straight","1430","1350","33130","32770"
"In post","2021","Female","Central Hampshire","LGBO","70","70","30880","29200"
"In post","2021","Female","Central Hampshire","Undeclared","180","170","33600","33300"
"In post","2021","Female","Central Hampshire","Unknown","190","180","37050","33300"
"In post","2021","Female","Central Valleys","Heterosexual / straight","850","780","33440","28850"
"In post","2021","Female","Central Valleys","LGBO","30","30","[c]","[c]"
"In post","2021","Female","Central Valleys","Undeclared","100","90","33580","28850"
"In post","2021","Female","Central Valleys","Unknown","150","130","28830","27570"
"In post","2021","Female","Cheshire East","Heterosexual / straight","270","250","31050","27570"
"In post","2021","Female","Cheshire East","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Cheshire East","Undeclared","60","50","30420","29470"
"In post","2021","Female","Cheshire East","Unknown","110","100","26000","25190"
"In post","2021","Female","Cheshire West and Chester","Heterosexual / straight","220","200","26210","27570"
"In post","2021","Female","Cheshire West and Chester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire West and Chester","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Cheshire West and Chester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chorley and West Lancashire","Heterosexual / straight","430","390","29350","27570"
"In post","2021","Female","Chorley and West Lancashire","LGBO","40","30","[c]","[c]"
"In post","2021","Female","Chorley and West Lancashire","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Chorley and West Lancashire","Unknown","140","130","27110","26300"
"In post","2021","Female","City of Edinburgh","Heterosexual / straight","3870","3630","39410","33830"
"In post","2021","Female","City of Edinburgh","LGBO","250","250","35720","31810"
"In post","2021","Female","City of Edinburgh","Undeclared","790","730","32380","29350"
"In post","2021","Female","City of Edinburgh","Unknown","1840","1700","34470","30080"
"In post","2021","Female","Clackmannanshire and Fife","Heterosexual / straight","410","370","28450","27570"
"In post","2021","Female","Clackmannanshire and Fife","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Clackmannanshire and Fife","Undeclared","90","80","26270","22820"
"In post","2021","Female","Clackmannanshire and Fife","Unknown","160","150","27310","25870"
"In post","2021","Female","Conwy and Denbighshire","Heterosexual / straight","370","340","34360","31250"
"In post","2021","Female","Conwy and Denbighshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Conwy and Denbighshire","Undeclared","50","40","[c]","[c]"
"In post","2021","Female","Conwy and Denbighshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Heterosexual / straight","630","550","26450","26670"
"In post","2021","Female","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Undeclared","90","70","26350","26400"
"In post","2021","Female","Cornwall and Isles of Scilly","Unknown","180","150","25400","21010"
"In post","2021","Female","Coventry","Heterosexual / straight","950","880","35700","30320"
"In post","2021","Female","Coventry","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Coventry","Undeclared","100","90","33990","30200"
"In post","2021","Female","Coventry","Unknown","370","340","36040","32300"
"In post","2021","Female","Croydon","Heterosexual / straight","3900","3600","37280","33290"
"In post","2021","Female","Croydon","LGBO","110","110","40130","35200"
"In post","2021","Female","Croydon","Undeclared","580","530","35530","30920"
"In post","2021","Female","Croydon","Unknown","760","710","34830","31060"
"In post","2021","Female","Darlington","Heterosexual / straight","480","450","34550","30230"
"In post","2021","Female","Darlington","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Darlington","Undeclared","40","30","[c]","[c]"
"In post","2021","Female","Darlington","Unknown","60","50","31870","27570"
"In post","2021","Female","Derby","Heterosexual / straight","420","350","25610","22920"
"In post","2021","Female","Derby","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derby","Undeclared","60","50","23790","21010"
"In post","2021","Female","Derby","Unknown","150","120","23190","21010"
"In post","2021","Female","Derry City and Strabane","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derry City and Strabane","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon CC","Heterosexual / straight","1370","1190","27500","25390"
"In post","2021","Female","Devon CC","LGBO","90","90","26080","23910"
"In post","2021","Female","Devon CC","Undeclared","170","140","27910","25560"
"In post","2021","Female","Devon CC","Unknown","1090","950","33040","31650"
"In post","2021","Female","Dorset CC","Heterosexual / straight","640","590","27800","26670"
"In post","2021","Female","Dorset CC","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Dorset CC","Undeclared","80","70","28440","26930"
"In post","2021","Female","Dorset CC","Unknown","190","160","27970","26110"
"In post","2021","Female","Dudley","Heterosexual / straight","520","440","25360","26550"
"In post","2021","Female","Dudley","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dudley","Undeclared","60","50","23970","21010"
"In post","2021","Female","Dudley","Unknown","220","180","24330","21010"
"In post","2021","Female","Dumfries and Galloway","Heterosexual / straight","130","110","28420","27570"
"In post","2021","Female","Dumfries and Galloway","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dumfries and Galloway","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dumfries and Galloway","Unknown","90","80","26890","25870"
"In post","2021","Female","Durham CC","Heterosexual / straight","2180","1890","26330","23970"
"In post","2021","Female","Durham CC","LGBO","100","90","26930","24890"
"In post","2021","Female","Durham CC","Undeclared","240","200","26690","24880"
"In post","2021","Female","Durham CC","Unknown","640","560","24870","22350"
"In post","2021","Female","Ealing","Heterosexual / straight","210","200","31840","31060"
"In post","2021","Female","Ealing","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ealing","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ealing","Unknown","100","80","30910","31060"
"In post","2021","Female","East Ayrshire and North Ayrshire mainland","Heterosexual / straight","360","310","26430","27570"
"In post","2021","Female","East Ayrshire and North Ayrshire mainland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Ayrshire and North Ayrshire mainland","Undeclared","60","50","25490","22820"
"In post","2021","Female","East Ayrshire and North Ayrshire mainland","Unknown","90","70","24760","22830"
"In post","2021","Female","East Cumbria","Heterosexual / straight","380","330","26910","24920"
"In post","2021","Female","East Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Cumbria","Undeclared","50","40","[c]","[c]"
"In post","2021","Female","East Cumbria","Unknown","100","80","28050","26120"
"In post","2021","Female","East Derbyshire","Heterosexual / straight","210","180","26130","27570"
"In post","2021","Female","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Derbyshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Derbyshire","Unknown","50","30","[c]","[c]"
"In post","2021","Female","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Heterosexual / straight","550","500","28040","26670"
"In post","2021","Female","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Undeclared","80","70","26960","24400"
"In post","2021","Female","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Unknown","190","170","27890","27570"
"In post","2021","Female","East Kent","Heterosexual / straight","1500","1340","27830","25940"
"In post","2021","Female","East Kent","LGBO","60","60","27320","25110"
"In post","2021","Female","East Kent","Undeclared","250","220","28550","27370"
"In post","2021","Female","East Kent","Unknown","260","220","28300","25110"
"In post","2021","Female","East Lancashire","Heterosexual / straight","230","200","25690","27570"
"In post","2021","Female","East Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Lancashire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Lancashire","Unknown","60","50","25030","26120"
"In post","2021","Female","East Lothian and Midlothian","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Female","East Lothian and Midlothian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Lothian and Midlothian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Lothian and Midlothian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Merseyside","Heterosexual / straight","500","430","27320","27570"
"In post","2021","Female","East Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Merseyside","Undeclared","50","40","[c]","[c]"
"In post","2021","Female","East Merseyside","Unknown","170","140","26340","27570"
"In post","2021","Female","East Riding of Yorkshire","Heterosexual / straight","490","440","26730","25790"
"In post","2021","Female","East Riding of Yorkshire","LGBO","40","40","[c]","[c]"
"In post","2021","Female","East Riding of Yorkshire","Undeclared","60","60","27240","26670"
"In post","2021","Female","East Riding of Yorkshire","Unknown","90","80","25290","24920"
"In post","2021","Female","East Surrey","Heterosexual / straight","320","300","32950","31180"
"In post","2021","Female","East Surrey","LGBO","40","40","[c]","[c]"
"In post","2021","Female","East Surrey","Undeclared","50","40","[c]","[c]"
"In post","2021","Female","East Surrey","Unknown","110","100","31300","30720"
"In post","2021","Female","East Sussex CC","Heterosexual / straight","830","710","26340","26780"
"In post","2021","Female","East Sussex CC","LGBO","50","50","[c]","[c]"
"In post","2021","Female","East Sussex CC","Undeclared","100","90","26170","26350"
"In post","2021","Female","East Sussex CC","Unknown","200","170","25140","25850"
"In post","2021","Female","Enfield","Heterosexual / straight","150","140","30370","31060"
"In post","2021","Female","Enfield","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Enfield","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Enfield","Unknown","60","60","29690","31060"
"In post","2021","Female","Essex Haven Gateway","Heterosexual / straight","430","390","29470","29290"
"In post","2021","Female","Essex Haven Gateway","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex Haven Gateway","Undeclared","60","50","28190","26670"
"In post","2021","Female","Essex Haven Gateway","Unknown","70","60","30170","29290"
"In post","2021","Female","Essex Thames Gateway","Heterosexual / straight","470","410","27840","29290"
"In post","2021","Female","Essex Thames Gateway","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex Thames Gateway","Undeclared","50","40","26430","25110"
"In post","2021","Female","Essex Thames Gateway","Unknown","150","120","26830","25110"
"In post","2021","Female","Falkirk","Heterosexual / straight","690","590","26290","25410"
"In post","2021","Female","Falkirk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Falkirk","Undeclared","80","70","26550","22820"
"In post","2021","Female","Falkirk","Unknown","360","300","26020","21750"
"In post","2021","Female","Fermanagh and Omagh","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Fermanagh and Omagh","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Fermanagh and Omagh","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Flintshire and Wrexham","Heterosexual / straight","690","640","27660","25790"
"In post","2021","Female","Flintshire and Wrexham","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Flintshire and Wrexham","Undeclared","140","120","26580","25560"
"In post","2021","Female","Flintshire and Wrexham","Unknown","230","200","26040","22850"
"In post","2021","Female","Glasgow City","Heterosexual / straight","4130","3750","31640","27570"
"In post","2021","Female","Glasgow City","LGBO","220","220","31500","27570"
"In post","2021","Female","Glasgow City","Undeclared","610","530","28860","26320"
"In post","2021","Female","Glasgow City","Unknown","1360","1220","30800","26560"
"In post","2021","Female","Gloucestershire","Heterosexual / straight","540","470","28230","27570"
"In post","2021","Female","Gloucestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Gloucestershire","Undeclared","100","80","29590","27130"
"In post","2021","Female","Gloucestershire","Unknown","170","140","27050","27130"
"In post","2021","Female","Greater Manchester North East","Heterosexual / straight","520","480","27990","27570"
"In post","2021","Female","Greater Manchester North East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Greater Manchester North East","Undeclared","60","50","26630","27570"
"In post","2021","Female","Greater Manchester North East","Unknown","140","120","25240","26780"
"In post","2021","Female","Greater Manchester North West","Heterosexual / straight","860","760","25420","23840"
"In post","2021","Female","Greater Manchester North West","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Greater Manchester North West","Undeclared","100","90","24000","21010"
"In post","2021","Female","Greater Manchester North West","Unknown","330","280","23630","21010"
"In post","2021","Female","Greater Manchester South East","Heterosexual / straight","590","530","25780","22260"
"In post","2021","Female","Greater Manchester South East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Greater Manchester South East","Undeclared","90","80","25250","22080"
"In post","2021","Female","Greater Manchester South East","Unknown","160","140","24480","21010"
"In post","2021","Female","Greater Manchester South West","Heterosexual / straight","1850","1700","31250","27570"
"In post","2021","Female","Greater Manchester South West","LGBO","100","100","29450","25560"
"In post","2021","Female","Greater Manchester South West","Undeclared","230","200","29670","27570"
"In post","2021","Female","Greater Manchester South West","Unknown","910","830","27330","25560"
"In post","2021","Female","Gwent Valleys","Heterosexual / straight","540","470","27900","27570"
"In post","2021","Female","Gwent Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Gwent Valleys","Undeclared","60","50","29400","27570"
"In post","2021","Female","Gwent Valleys","Unknown","140","120","24760","22920"
"In post","2021","Female","Gwynedd","Heterosexual / straight","310","270","25280","22920"
"In post","2021","Female","Gwynedd","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Gwynedd","Undeclared","40","30","[c]","[c]"
"In post","2021","Female","Gwynedd","Unknown","100","90","23770","21010"
"In post","2021","Female","Hackney and Newham","Heterosexual / straight","1080","990","34080","31060"
"In post","2021","Female","Hackney and Newham","LGBO","50","40","[c]","[c]"
"In post","2021","Female","Hackney and Newham","Undeclared","170","150","32970","31060"
"In post","2021","Female","Hackney and Newham","Unknown","530","470","31520","30330"
"In post","2021","Female","Haringey and Islington","Heterosexual / straight","490","460","30640","31060"
"In post","2021","Female","Haringey and Islington","LGBO","30","30","[c]","[c]"
"In post","2021","Female","Haringey and Islington","Undeclared","80","70","30920","31060"
"In post","2021","Female","Haringey and Islington","Unknown","240","220","28630","30330"
"In post","2021","Female","Harrow and Hillingdon","Heterosexual / straight","1230","1110","30650","29080"
"In post","2021","Female","Harrow and Hillingdon","LGBO","30","30","[c]","[c]"
"In post","2021","Female","Harrow and Hillingdon","Undeclared","220","190","32330","30410"
"In post","2021","Female","Harrow and Hillingdon","Unknown","190","170","30720","30250"
"In post","2021","Female","Hartlepool and Stockton-on-Tees","Heterosexual / straight","590","520","26810","27570"
"In post","2021","Female","Hartlepool and Stockton-on-Tees","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Hartlepool and Stockton-on-Tees","Undeclared","70","60","27540","23240"
"In post","2021","Female","Hartlepool and Stockton-on-Tees","Unknown","170","140","24800","22850"
"In post","2021","Female","Heart of Essex","Heterosexual / straight","440","400","31160","29290"
"In post","2021","Female","Heart of Essex","LGBO","30","30","[c]","[c]"
"In post","2021","Female","Heart of Essex","Undeclared","60","50","27590","28000"
"In post","2021","Female","Heart of Essex","Unknown","110","100","32670","26970"
"In post","2021","Female","Herefordshire, County of","Heterosexual / straight","160","150","26090","26670"
"In post","2021","Female","Herefordshire, County of","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Herefordshire, County of","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Herefordshire, County of","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Hertfordshire","Heterosexual / straight","1120","1030","33760","29920"
"In post","2021","Female","Hertfordshire","LGBO","60","50","32810","30400"
"In post","2021","Female","Hertfordshire","Undeclared","130","120","33560","29970"
"In post","2021","Female","Hertfordshire","Unknown","290","260","33860","30730"
"In post","2021","Female","Hounslow and Richmond upon Thames","Heterosexual / straight","970","890","31510","29440"
"In post","2021","Female","Hounslow and Richmond upon Thames","LGBO","70","60","31900","31260"
"In post","2021","Female","Hounslow and Richmond upon Thames","Undeclared","160","150","31400","29250"
"In post","2021","Female","Hounslow and Richmond upon Thames","Unknown","290","270","32380","31060"
"In post","2021","Female","Inverclyde, East Renfrewshire and Renfrewshire","Heterosexual / straight","350","310","28800","27570"
"In post","2021","Female","Inverclyde, East Renfrewshire and Renfrewshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inverclyde, East Renfrewshire and Renfrewshire","Undeclared","120","100","26580","26120"
"In post","2021","Female","Inverclyde, East Renfrewshire and Renfrewshire","Unknown","110","90","26810","25870"
"In post","2021","Female","Inverness and Nairn and Moray, Badenoch and Strathspey","Heterosexual / straight","370","340","27910","27570"
"In post","2021","Female","Inverness and Nairn and Moray, Badenoch and Strathspey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inverness and Nairn and Moray, Badenoch and Strathspey","Undeclared","70","60","28980","27570"
"In post","2021","Female","Inverness and Nairn and Moray, Badenoch and Strathspey","Unknown","140","130","29300","27570"
"In post","2021","Female","Isle of Anglesey","Heterosexual / straight","100","90","27150","26670"
"In post","2021","Female","Isle of Anglesey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Isle of Anglesey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Isle of Anglesey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Isle of Wight","Heterosexual / straight","290","250","25540","25300"
"In post","2021","Female","Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Isle of Wight","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Isle of Wight","Unknown","50","50","27450","27570"
"In post","2021","Female","Kensington & Chelsea and Hammersmith & Fulham","Heterosexual / straight","280","270","31590","31060"
